Kood;Nimetus eesti keeles;Kehtiv alates
NAS94;"Muu operatsioon lülisamba kõõluse, liigese, diski või luu infektsiooni korral; lülisamba lumbaalosa";1.1.2003
NAS95;"Muu operatsioon lülisamba kõõluse, liigese, diski või luu infektsiooni korral; lülisamba tserviko-torako-lumbaalosa";1.1.2003
NAS96;"Muu operatsioon lülisamba kõõluse, liigese, diski või luu infektsiooni korral; lülisamba lumbosakraalosa";1.1.2003
NAS99;"Muu operatsioon lülisamba kõõluse, liigese, diski või luu infektsiooni korral; määratlemata";1.1.2003
NAT00;"Lülisamba või kaela koest võõrkeha eemaldamine; lülisamba tservikaalosa";1.1.2010
NAT01;"Lülisamba või kaela koest võõrkeha eemaldamine; lülisamba tserviko-torakaalosa";1.1.2010
NAT02;"Lülisamba või kaela koest võõrkeha eemaldamine; lülisamba torakaalosa";1.1.2010
NAT03;"Lülisamba või kaela koest võõrkeha eemaldamine;  lülisamba torakolumbaalosa";1.1.2010
NAT04;"Lülisamba või kaela koest võõrkeha eemaldamine; lülisamba lumbaalosa";1.1.2010
NAT05;"Lülisamba või kaela koest võõrkeha eemaldamine;  lülisamba tserviko-torako-lumbaalosa";1.1.2010
NAT09;"Lülisamba või kaela koest võõrkeha eemaldamine; määratlemata";1.1.2010
NAT10;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba tservikaalosa";1.1.2003
NAT11;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba tserviko-torakaalosa";1.1.2003
NAT12;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba torakaalosa";1.1.2003
NAT13;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba torakolumbaalosa";1.1.2003
NAT14;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba lumbaalosa";1.1.2003
NAT15;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba tserviko-torako-lumbaalosa";1.1.2003
NAT16;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; lülisamba lumbosakraalosa";1.1.2003
NAT19;"Lülisamba eesmine operatiivne instrumentaalne ekstensioon; määratlemata";1.1.2003
NAT20;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba tservikaalosa";1.1.2003
NAT21;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba tserviko-torakaalosa";1.1.2003
NAT22;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba torakaalosa";1.1.2003
NAT23;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba torakolumbaalosa";1.1.2003
NAT24;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba lumbaalosa";1.1.2003
NAT25;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba tserviko-torako-lumbaalosa";1.1.2003
NAT26;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; lülisamba lumbosakraalosa";1.1.2003
NAT29;"Lülisamba tagumine operatiivne instrumentaalne ekstensioon; määratlemata";1.1.2003
NAT90;"Muu operatsioon lülisambal; lülisamba tservikaalosa";1.1.2003
NAT91;"Muu operatsioon lülisambal; lülisamba tserviko-torakaalosa";1.1.2003
NAT92;"Muu operatsioon lülisambal; lülisamba torakaalosa";1.1.2003
NAT93;"Muu operatsioon lülisambal; lülisamba torakolumbaalosa";1.1.2003
NAT94;"Muu operatsioon lülisambal; lülisamba lumbaalosa";1.1.2003
NAT95;"Muu operatsioon lülisambal; lülisamba tserviko-torako-lumbaalosa";1.1.2003
NAT96;"Muu operatsioon lülisambal; lülisamba lumbosakraalosa";1.1.2003
NAT99;"Muu operatsioon lülisambal; määratlemata";1.1.2003
NAU20;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba tservikaalosa";1.1.2003
NAU21;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba tserviko-torakaalosa";1.1.2003
NAU22;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba torakaalosa";1.1.2003
NAU23;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba torakolumbaalosa";1.1.2003
NAU24;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba lumbaalosa";1.1.2003
NAU25;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba tserviko-torako-lumbaalosa";1.1.2003
NAU26;"Proteesi eemaldamine lülisamba- või kaelaliigesest; lülisamba lumbosakraalosa";1.1.2003
NAU29;"Proteesi eemaldamine lülisamba- või kaelaliigesest; määratlemata";1.1.2003
NAU39;Välise fiksatsioonivahendi eemaldamine lülisambalt või kaelalt;1.1.2003
NAU49;Sisemise fiksatsioonivahendi eemaldamine lülisambalt või kaelalt;1.1.2003
NAU89;Terapeutilise implantaadi eemaldamine lülisamba või kaela infektsiooni ravi korral;1.1.2003
NAU99;Muu implantaadi eemaldamine lülisambalt või kaelalt;1.1.2003
NAW49;Haava dehistsentsi korrektsioon lülisamba või kaela kirurgias;1.1.2003
NAW59;Kordusoperatsioon pindmise infektsiooni korral lülisamba või kaela kirurgias;1.1.2003
NAW69;Kordusoperatsioon süvainfektsiooni korral lülisamba või kaela kirurgias;1.1.2003
NAW79;Kordusoperatsioon pindmise verejooksu korral lülisamba või kaela kirurgias;1.1.2003
NAW89;Kordusoperatsioon sisemise verejooksu korral lülisamba või kaela kirurgias;1.1.2003
NAW99;Muu kordusoperatsioon lülisamba või kaela kirurgias;1.1.2003
NBA00;"Õla või õlavarre pehme koe eksploratsioon; perkutaanne";1.1.2003
NBA01;"Õla või õlavarre pehme koe eksploratsioon; artroskoopiline";1.1.2003
NBA02;"Õla või õlavarre pehme koe eksploratsioon; lahtine";1.1.2003
NBA09;"Õla või õlavarre pehme koe eksploratsioon; määratlemata";1.1.2003
NBA10;"Õlaliigese või õlavarre eksploratsioon; perkutaanne";1.1.2003
NBA11;"Õlaliigese või õlavarre eksploratsioon; artroskoopiline";1.1.2003
NBA12;"Õlaliigese või õlavarre eksploratsioon; lahtine";1.1.2003
NBA19;"Õlaliigese või õlavarre eksploratsioon; määratlemata";1.1.2003
NBA20;"Õla või õlavarre pehme koe või liigese biopsia; perkutaanne";1.1.2003
NBA21;"Õla või õlavarre pehme koe või liigese biopsia; artroskoopiline";1.1.2003
NBA22;"Õla või õlavarre pehme koe või liigese biopsia; lahtine";1.1.2003
NBA29;"Õla või õlavarre pehme koe või liigese biopsia; määratlemata";1.1.2003
NBA30;"Õlaliigest moodustavate luude või õlavarreluu biopsia; perkutaanne";1.1.2003
NBA31;"Õlaliigest moodustavate luude või õlavarreluu biopsia; artroskoopiline";1.1.2003
NBA32;"Õlaliigest moodustavate luude või õlavarreluu biopsia; lahtine";1.1.2003
NBA39;"Õlaliigest moodustavate luude või õlavarreluu biopsia; määratlemata";1.1.2003
NBB00;"Õlaliigese esmane proteesimine osaline proteesiga ilma tsemendita; mõlemad osad";1.1.2003
NBB01;"Õlaliigese esmane proteesimine osaline proteesiga ilma tsemendita; üks osa  - proksimaalne";1.1.2003
NBB02;"Õlaliigese esmane proteesimine osaline proteesiga ilma tsemendita; üks osa - distaalne";1.1.2003
NBB09;"Õlaliigese esmane proteesimine osaline proteesiga ilma tsemendita; muu või määratlemata";1.1.2003
NBB10;"Õlaliigese esmane proteesimine osaline proteesiga kasutades tsementi; mõlemad osad";1.1.2003
NBB11;"Õlaliigese esmane proteesimine osaline proteesiga kasutades tsementi; üks osa  - proksimaalne";1.1.2003
NBB12;"Õlaliigese esmane proteesimine osaline proteesiga kasutades tsementi; üks osa - distaalne";1.1.2003
NBB19;"Õlaliigese esmane proteesimine osaline proteesiga kasutades tsementi; muu või määratlemata";1.1.2003
NBB20;Õlaliigese esmane proteesimine totaalse proteesiga ilma tsemendita;1.1.2003
NBB30;Õlaliigese esmane proteesimine totaalse proteesiga hübriid-meetodil;1.1.2003
NBB40;Õlaliigese esmane proteesimine totaalse proteesiga kasutades tsementi;1.1.2003
NBB59;Õlaliigese esmane interpositsiooni proteesimine;1.1.2003
NBB80;"Akromio- või sternoklavikulaarliigese esmane proteesimine; mõlemad osad";1.1.2003
NBB81;"Akromio- või sternoklavikulaarliigese esmane proteesimine; üks osa  - proksimaalne";1.1.2003
NBB82;"Akromio- või sternoklavikulaarliigese esmane proteesimine; üks osa - distaalne";1.1.2003
NBB89;"Akromio- või sternoklavikulaarliigese esmane proteesimine; muu või määratlemata";1.1.2003
NBB99;Õlaliigese muu esmane proteesimine;1.1.2003
NBC00;"Õlaliigese teisene proteesimine osalise proteesiga ilma tsemendita; mõlemad osad";1.1.2003
NBC01;"Õlaliigese teisene proteesimine osalise proteesiga ilma tsemendita; üks osa - proksimaalne";1.1.2003
NBC02;"Õlaliigese teisene proteesimine osalise proteesiga ilma tsemendita; üks osa - distaalne";1.1.2003
NBC09;"Õlaliigese teisene proteesimine osalise proteesiga ilma tsemendita; muu või määratlemata";1.1.2003
NBC10;"Õlaliigese teisene proteesimine osalise proteesiga kasutades tsementi; mõlemad osad";1.1.2003
NBC11;"Õlaliigese teisene proteesimine osalise proteesiga kasutades tsementi; üks osa - proksimaalne";1.1.2003
NBC12;"Õlaliigese teisene proteesimine osalise proteesiga kasutades tsementi; üks osa - distaalne";1.1.2003
NBC19;"Õlaliigese teisene proteesimine osalise proteesiga kasutades tsementi; muu või määratlemata";1.1.2003
NBC20;"Õlaliigese teisene proteesimine totaalse proteesiga ilma tsemendita; mõlemad osad";1.1.2003
NBC21;"Õlaliigese teisene proteesimine totaalse proteesiga ilma tsemendita; üks osa - proksimaalne";1.1.2003
NBC22;"Õlaliigese teisene proteesimine totaalse proteesiga ilma tsemendita; üks osa - distaalne";1.1.2003
NBC29;"Õlaliigese teisene proteesimine totaalse proteesiga ilma tsemendita; muu või määratlemata";1.1.2003
NBC30;"Õlaliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; mõlemad osad";1.1.2003
NBC31;"Õlaliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; üks osa - proksimaalne";1.1.2003
NBC32;"Õlaliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; üks osa - distaalne";1.1.2003
NBC39;"Õlaliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; muu või määratlemata";1.1.2003
NBC40;"Õlaliigese teisene proteesimine totaalse proteesiga kasutades tsementi; mõlemad osad";1.1.2003
NBC41;"Õlaliigese teisene proteesimine totaalse proteesiga kasutades tsementi; üks osa - proksimaalne";1.1.2003
NBC42;"Õlaliigese teisene proteesimine totaalse proteesiga kasutades tsementi; üks osa - distaalne";1.1.2003
NBC49;"Õlaliigese teisene proteesimine totaalse proteesiga kasutades tsementi; muu või määratlemata";1.1.2003
NBC59;Õlaliigese teisene interpositsiooni proteesimine;1.1.2003
NBC80;"Akromio- või sternoklavikulaarliigese teisene proteesimine; mõlemad osad";1.1.2003
NBC81;"Akromio- või sternoklavikulaarliigese teisene proteesimine; üks osa - proksimaalne";1.1.2003
NBC82;"Akromio- või sternoklavikulaarliigese teisene proteesimine; üks osa - distaalne";1.1.2003
NBC89;"Akromio- või sternoklavikulaarliigese teisene proteesimine; muu või määratlemata";1.1.2003
NBC99;Õlaliigese muu teisene proteesimine;1.1.2003
NBE01;"Õlaliigese kapsli intsisioon või suturatsioon; artroskoopiline";1.1.2003
NBE02;"Õlaliigese kapsli intsisioon või suturatsioon; lahtine";1.1.2003
NBE09;"Õlaliigese kapsli intsisioon või suturatsioon; määratlemata";1.1.2003
NBE11;"Õlaliigese sideme transtsisioon või ekstsisioon; artroskoopiline";1.1.2003
NBE12;"Õlaliigese sideme transtsisioon või ekstsisioon; lahtine";1.1.2003
NBE19;"Õlaliigese sideme transtsisioon või ekstsisioon; määratlemata";1.1.2003
NBE21;"Õlaliigese sideme suturatsioon või tagasikinnitamine; artroskoopiline";1.1.2003
NBE22;"Õlaliigese sideme suturatsioon või tagasikinnitamine; lahtine";1.1.2003
NBE29;"Õlaliigese sideme suturatsioon või tagasikinnitamine; määratlemata";1.1.2003
NBE31;"Õlaliigese sideme transpositsioon; artroskoopiline";1.1.2003
NBE32;"Õlaliigese sideme transpositsioon; lahtine";1.1.2003
NBE39;"Õlaliigese sideme transpositsioon; määratlemata";1.1.2003
NBE41;"Õlaliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; artroskoopiline";1.1.2003
NBE42;"Õlaliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; lahtine";1.1.2003
NBE49;"Õlaliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; määratlemata";1.1.2003
NBE51;"Õlaliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; artroskoopiline";1.1.2003
NBE52;"Õlaliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; lahtine";1.1.2003
NBE59;"Õlaliigese sideme plastiline korrektsioon proteesimaterjali kasutamisega; määratlemata";1.1.2003
NBE91;"Muu operatsioon õlaliigese kapslil või sidemel; artroskoopiline";1.1.2003
NBE92;"Muu operatsioon õlaliigese kapslil või sidemel; lahtine";1.1.2003
NBE99;"Muu operatsioon õlaliigese kapslil või sidemel; määratlemata";1.1.2003
NBF01;"Õlaliigese totaalne sünovektoomia; artroskoopiline";1.1.2003
NBF02;"Õlaliigese totaalne sünovektoomia; lahtine";1.1.2003
NBF09;"Õlaliigese totaalne sünovektoomia; määratlemata";1.1.2003
NBF11;"Õlaliigese osaline sünovektoomia; artroskoopiline";1.1.2003
NBF12;"Õlaliigese osaline sünovektoomia; lahtine";1.1.2003
NBF19;"Õlaliigese osaline sünovektoomia; määratlemata";1.1.2003
NBF21;"Õlaliigese liigespinna fragmendi fiksatsioon; artroskoopiline";1.1.2003
NBF22;"Õlaliigese liigespinna fragmendi fiksatsioon; lahtine";1.1.2003
NBF29;"Õlaliigese liigespinna fragmendi fiksatsioon; määratlemata";1.1.2003
NBF31;"Õlaliigese kõhre osaline ekstsisioon; artroskoopiline";1.1.2003
NBF32;"Õlaliigese kõhre osaline ekstsisioon; lahtine";1.1.2003
NBF39;"Õlaliigese kõhre osaline ekstsisioon; määratlemata";1.1.2003
NBF91;"Muu operatsioon õlaliigese sünoviaalmembraanil või liigespinnal; artroskoopiline";1.1.2003
NBF92;"Muu operatsioon õlaliigese sünoviaalmembraanil või liigespinnal; lahtine";1.1.2003
NBF99;"Muu operatsioon õlaliigese sünoviaalmembraanil või liigespinnal; määratlemata";1.1.2003
NBG09;Õlaliigese ekstsisiooni artroplastika;1.1.2003
NBG19;Õlaliigese interpositsiooni artroplastika;1.1.2003
NBG29;Õlaliigese muu artroplastika ilma proteesimiseta;1.1.2003
NBG39;Õlaliigese artrodees ilma fiksatsioonita;1.1.2003
NBG49;Õlaliigese artrodees sisemise fiksatsiooniga;1.1.2003
NBG59;Õlaliigese artrodees välise fiksatsiooniga;1.1.2003
NBG99;Õlaliigese muu ekstsisioon, rekonstruktsioon või artrodees;1.1.2003
NBH00;"Õlaliigese luksatsiooni paigaldamine; kinnine";1.1.2003
NBH01;"Õlaliigese luksatsiooni paigaldamine; artroskoopiline";1.1.2003
NBH02;"Õlaliigese luksatsiooni paigaldamine; lahtine";1.1.2003
NBH09;"Õlaliigese luksatsiooni paigaldamine; määratlemata";1.1.2003
NBH10;"Akromioklavikulaarliigese luksatsiooni paigaldamine; kinnine";1.1.2003
NBH11;"Akromioklavikulaarliigese luksatsiooni paigaldamine; artroskoopiline";1.1.2003
NBH12;"Akromioklavikulaarliigese luksatsiooni paigaldamine; lahtine";1.1.2003
NBH19;"Akromioklavikulaarliigese luksatsiooni paigaldamine; määratlemata";1.1.2003
NBH20;"Õlaliigese proteesi luksatsiooni paigaldamine; kinnine";1.1.2003
NBH21;"Õlaliigese proteesi luksatsiooni paigaldamine; artroskoopiline";1.1.2003
NBH22;"Õlaliigese proteesi luksatsiooni paigaldamine; lahtine";1.1.2003
NBH29;"Õlaliigese proteesi luksatsiooni paigaldamine; määratlemata";1.1.2003
NBH30;"Õlaliigese piirkonna liidete vabastamine; kinnine";1.1.2003
NBH31;"Õlaliigese piirkonna liidete vabastamine; artroskoopiline";1.1.2003
NBH32;"Õlaliigese piirkonna liidete vabastamine; lahtine";1.1.2003
NBH39;"Õlaliigese piirkonna liidete vabastamine; määratlemata";1.1.2003
NBH40;"Võõrkeha või vaba keha eemaldamine õlaliigesest; kinnine";1.1.2003
NBH41;"Võõrkeha või vaba keha eemaldamine õlaliigesest; artroskoopiline";1.1.2003
NBH42;"Võõrkeha või vaba keha eemaldamine õlaliigesest; lahtine";1.1.2003
NBH49;"Võõrkeha või vaba keha eemaldamine õlaliigesest; määratlemata";1.1.2003
NBH50;"Õlaliigesesisese eksostoosi või osteofüüdi ekstsisioon; kinnine";1.1.2003
NBH51;"Õlaliigesesisese eksostoosi või osteofüüdi ekstsisioon; artroskoopiline";1.1.2003
NBH52;"Õlaliigesesisese eksostoosi või osteofüüdi ekstsisioon; lahtine";1.1.2003
NBH59;"Õlaliigesesisese eksostoosi või osteofüüdi ekstsisioon; määratlemata";1.1.2003
NBH70;"Operatsioon õlaliigese habituaalse luksatsiooni korral; kinnine";1.1.2003
NBH71;"Operatsioon õlaliigese habituaalse luksatsiooni korral; artroskoopiline";1.1.2003
NBH72;"Operatsioon õlaliigese habituaalse luksatsiooni korral; lahtine";1.1.2003
NBH79;"Operatsioon õlaliigese habituaalse luksatsiooni korral; määratlemata";1.1.2003
NBH90;"Muu operatsioon õlaliigesel; kinnine";1.1.2003
NBH91;"Muu operatsioon õlaliigesel; artroskoopiline";1.1.2003
NBH92;"Muu operatsioon õlaliigesel; lahtine";1.1.2003
NBH99;"Muu operatsioon õlaliigesel; määratlemata";1.1.2003
NBJ01;"Õla- või õlavarreluu murru kinnine paigaldamine; õlavarreluu";1.1.2003
NBJ02;"Õla- või õlavarreluu murru kinnine paigaldamine; rangluu";1.1.2003
NBJ03;"Õla- või õlavarreluu murru kinnine paigaldamine; abaluu";1.1.2003
NBJ11;"Õla- või õlavarreluu murru lahtine paigaldamine; õlavarreluu";1.1.2003
NBJ12;"Õla- või õlavarreluu murru lahtine paigaldamine; rangluu";1.1.2003
NBJ13;"Õla- või õlavarreluu murru lahtine paigaldamine; abaluu";1.1.2003
NBJ21;"Õla- või õlavarreluu murru väline fiksatsioon; õlavarreluu";1.1.2003
NBJ22;"Õla- või õlavarreluu murru väline fiksatsioon; rangluu";1.1.2003
NBJ23;"Õla- või õlavarreluu murru väline fiksatsioon; abaluu";1.1.2003
NBJ31;"Õla- või õlavarreluu murru sisemine fiksatsioon bioimplantaadiga; õlavarreluu";1.1.2003
NBJ32;"Õla- või õlavarreluu murru sisemine fiksatsioon bioimplantaadiga; rangluu";1.1.2003
NBJ33;"Õla- või õlavarreluu murru sisemine fiksatsioon bioimplantaadiga; abaluu";1.1.2003
NBJ41;"Õla- või õlavarreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; õlavarreluu";1.1.2003
NBJ42;"Õla- või õlavarreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; rangluu";1.1.2003
NBJ43;"Õla- või õlavarreluu murru sisemine fiksatsioon traadi, varda, lingu või nõelaga; abaluu";1.1.2003
NBJ51;"Õla- või õlavarreluu murru sisemine fiksatsioon intramedullaarse naelaga; õlavarreluu";1.1.2003
NBJ52;"Õla- või õlavarreluu murru sisemine fiksatsioon intramedullaarse naelaga; rangluu";1.1.2003
NBJ53;"Õla- või õlavarreluu murru sisemine fiksatsioon intramedullaarse naelaga; abaluu";1.1.2003
NBJ61;"Õla- või õlavarreluu murru sisemine fiksatsioon plaadi ja kruvidega; õlavarreluu";1.1.2003
NBJ62;"Õla- või õlavarreluu murru sisemine fiksatsioon plaadi ja kruvidega; rangluu";1.1.2003
NBJ63;"Õla- või õlavarreluu murru sisemine fiksatsioon plaadi ja kruvidega; abaluu";1.1.2003
NBJ71;"Õla- või õlavarreluu murru sisemine fiksatsioon ainult kruvidega; õlavarreluu";1.1.2003
NBJ72;"Õla- või õlavarreluu murru sisemine fiksatsioon ainult kruvidega; rangluu";1.1.2003
NBJ73;"Õla- või õlavarreluu murru sisemine fiksatsioon ainult kruvidega; abaluu";1.1.2003
NBJ81;"Õla- või õlavarreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; õlavarreluu";1.1.2003
NBJ82;"Õla- või õlavarreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; rangluu";1.1.2003
NBJ83;"Õla- või õlavarreluu murru sisemine fiksatsioon muul või kombineeritud meetodil; abaluu";1.1.2003
NBJ91;"Õla või õlavarreluu murru muu kirurgia; õlavarreluu";1.1.2003
NBJ92;"Õla või õlavarreluu murru muu kirurgia; rangluu";1.1.2003
NBJ93;"Õla või õlavarreluu murru muu kirurgia; abaluu";1.1.2003
NBK01;"Õla- või õlavarreluu fragmendi ekstsisioon; õlavarreluu";1.1.2003
NBK02;"Õla- või õlavarreluu fragmendi ekstsisioon; rangluu";1.1.2003
NBK03;"Õla- või õlavarreluu fragmendi ekstsisioon; abaluu";1.1.2003
NBK11;"Õla või õlavarreluu osaline või täielik ekstsisioon; õlavarreluu";1.1.2003
NBK12;"Õla või õlavarreluu osaline või täielik ekstsisioon; rangluu";1.1.2003
NBK13;"Õla või õlavarreluu osaline või täielik ekstsisioon; abaluu";1.1.2003
NBK21;"Õla- või õlavarreluu fragmendi fenestratsioon või mulgustamine; õlavarreluu";1.1.2003
NBK22;"Õla- või õlavarreluu fragmendi fenestratsioon või mulgustamine; rangluu";1.1.2003
NBK23;"Õla- või õlavarreluu fragmendi fenestratsioon või mulgustamine; abaluu";1.1.2003
NBK31;"Õla- või õlavarreluu tsüsti ekskohleatsioon; õlavarreluu";1.1.2003
NBK32;"Õla- või õlavarreluu tsüsti ekskohleatsioon; rangluu";1.1.2003
NBK33;"Õla- või õlavarreluu tsüsti ekskohleatsioon; abaluu";1.1.2003
NBK41;"Õla- või õlavarreluu epifüsiodees; õlavarreluu";1.1.2003
NBK42;"Õla- või õlavarreluu epifüsiodees; rangluu";1.1.2003
NBK43;"Õla- või õlavarreluu epifüsiodees; abaluu";1.1.2003
NBK51;"Õla- või õlavarreluu angulatsioon, rotatsioon või nihutus-osteotoomia; õlavarreluu";1.1.2003
NBK52;"Õla- või õlavarreluu angulatsioon, rotatsioon või nihutus-osteotoomia; rangluu";1.1.2003
NBK53;"Õla- või õlavarreluu angulatsioon, rotatsioon või nihutus-osteotoomia; abaluu";1.1.2003
NBK61;"Õla- või õlavarreluu lühendav või pikendav osteotoomia; õlavarreluu";1.1.2003
NBK62;"Õla- või õlavarreluu lühendav või pikendav osteotoomia; rangluu";1.1.2003
NBK63;"Õla- või õlavarreluu lühendav või pikendav osteotoomia; abaluu";1.1.2003
NBK71;"Luu transport-operatsioon õlal või õlavarreluul; õlavarreluu";1.1.2003
NBK72;"Luu transport-operatsioon õlal või õlavarreluul; rangluu";1.1.2003
NBK73;"Luu transport-operatsioon õlal või õlavarreluul; abaluu";1.1.2003
NBK81;"Õla- või õlavarreluu epifüsaarplaadi distraktsioon-pikendamine; õlavarreluu";1.1.2003
NBK82;"Õla- või õlavarreluu epifüsaarplaadi distraktsioon-pikendamine; rangluu";1.1.2003
NBK83;"Õla- või õlavarreluu epifüsaarplaadi distraktsioon-pikendamine; abaluu";1.1.2003
NBK91;"Muu operatsioon õlal või õlavarreluul; õlavarreluu";1.1.2003
NBK92;"Muu operatsioon õlal või õlavarreluul; rangluu";1.1.2003
NBK93;"Muu operatsioon õlal või õlavarreluul; abaluu";1.1.2003
NBL09;Õla- või õlavarre lihase vabastamine;1.1.2003
NBL19;Õla- või õlavarre lihase suturatsioon või plastiline korrektsioon;1.1.2003
NBL29;Õla- või õlavarre lihase transpositsioon;1.1.2003
NBL39;Õla- või õlavarre lihase müotoomia või tenotoomia;1.1.2003
NBL49;Õla- või õlavarre kõõluse suturatsioon või tagasikinnitamine;1.1.2003
NBL59;Õla- või õlavarre tenolüüs või tenosünovektoomia;1.1.2003
NBL69;Õla- või õlavarre kõõluse tenodees, lühendamine või pikendamine;1.1.2003
NBL79;Õla- või õlavarre lihase või kõõluse ekstsisioon;1.1.2003
NBL89;Õla- või õlavarre kõõluse transpositsioon;1.1.2003
NBL99;Muu operatsioon õla- või õlavarre lihasel või kõõlusel;1.1.2003
NBM09;Õla või õlavarre fastsiotoomia;1.1.2003
NBM19;Õla või õlavarre fastsia osaline või täielik ekstsisioon;1.1.2003
NBM29;Õla või õlavarre fastsia suturatsioon;1.1.2003
NBM79;Õla või õlavarre limapauna ekstsisioon;1.1.2003
NBM99;Muu operatsioon õla või õlavarre fastsial, ganglionil või limapaunal;1.1.2003
NBN09;Luu autotransplantaat õlale või õlavarreluule;1.1.2003
NBN19;Luu allotransplantaat õlale või õlavarreluule;1.1.2003
NBN29;Luu ksenotransplantaat õlale või õlavarreluule;1.1.2003
NBN39;Kõõluse transplantatsioon õlale või õlavarrele;1.1.2003
NBN49;Kõhre, periosti või fastsia transplantatsioon õlale või õlavarrele;1.1.2003
NBN99;Muu transplantatsioon õlal või õlavarrel;1.1.2003
NBP29;Ülajäseme replantatsioon küünarliigesest kõrgemal;1.1.2003
NBQ01;"Õlavarre amputatsioon või õlaliigese eksartikulatsioon; intertorakoskapulaarne";1.1.2003
NBQ02;"Õlavarre amputatsioon või õlaliigese eksartikulatsioon; humeroskapulaarne";1.1.2003
NBQ03;"Õlavarre amputatsioon või õlaliigese eksartikulatsioon; õlavarrel";1.1.2003
NBQ08;"Õlavarre amputatsioon või õlaliigese eksartikulatsioon; muu või määratlemata";1.1.2003
NBQ29;Õlavarre amputatsiooni- või õlaliigese eksartikulatsiooniköndi revisioon;1.1.2003
NBQ99;Õlavarre muu amputatsioon või sellega seotud operatsioon;1.1.2003
NBR09;Õla piirkonna või õlavarre pehme koe tuumori mittetäielik ekstsisioon;1.1.2003
NBR19;Õla piirkonna või õlavarre pehme koe tuumori täielik ekstsisioon;1.1.2003
NBR29;Õla piirkonna või õlavarre pehme koe tuumori laiendatud ekstsisioon;1.1.2003
NBR39;Õla piirkonna või õlavarre pehme koe tuumori plokk-ekstsisioon;1.1.2003
NBR49;Õla või õlavarre luu- või kõhretuumori mittetäielik ekstsisioon;1.1.2003
NBR59;Õla või õlavarre luu- või kõhretuumori täielik ekstsisioon;1.1.2003
NBR69;Õla või õlavarre luu- või kõhretuumori laiendatud ekstsisioon;1.1.2003
NBR79;Õla või õlavarre luu- või kõhretuumori plokk-ekstsisioon;1.1.2003
NBR89;Õlavarreluu totaalne ekstsisioon proteesimisega;1.1.2010
NBR99;Muu operatsioon õla piirkonna või õlavarre tuumori korral;1.1.2003
NBS09;Intsisioon ja nekrektoomia õla või õlavarre kõõluse infektsiooni korral;1.1.2003
NBS19;Intsisioon ja nekrektoomia õlaliigese infektsiooni korral;1.1.2003
NBS29;Intsisioon ja nekrektoomia õla- või õlavarreluu infektsiooni korral;1.1.2003
NBS39;Intsisioon ja nekrektoomia õla või õlavarre kõõluse infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse;1.1.2003
NBS49;Intsisioon ja nekrektoomia õlaliigese infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse;1.1.2003
NBS59;Intsisioon ja nekrektoomia õla- või õlavarreluu infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse;1.1.2003
NBS99;Muu operatsioon õla- või õlavarre kõõluse, liigese või luu infektsiooni korral;1.1.2003
NBT09;Võõrkeha eemaldamine õla või õlavarre koest;1.1.2010
NBT19;Õlaliigese  redressioon;1.1.2003
NBT39;Õla või õlavarre deformatsiooni korrektsioon lihase, kõõluse või sideme abil;1.1.2003
NBT49;Õla või õlavarre deformatsiooni korrektsioon välimise või sisemise fiksatsiooniga;1.1.2003
