Code	Text in Estonian	Text in English	Valid from	
NFJ64	"Reieluumurru sisemine fiksatsioon plaadi ja kruvidega; reieluu keskosa"	"Internal fixation of fracture of femur using plate and screws; body of femur"	1.1.2003	
NFJ65	"Reieluumurru sisemine fiksatsioon plaadi ja kruvidega; reieluu distaalne osa"	Internal fixation of fracture of other parts of femur with screws and plate	1.1.2003	
NFJ70	"Reieluumurru sisemine fiksatsioon ainult kruvidega; reieluukael"	"Internal fixation of fracture of femur using screws alone; neck of femur"	1.1.2003	
NFJ71	"Reieluumurru sisemine fiksatsioon ainult kruvidega; pertrohanteerne"	"Internal fixation of fracture of femur using screws alone; pertrochanteric"	1.1.2003	
NFJ72	"Reieluumurru sisemine fiksatsioon ainult kruvidega; subtrohanteerne"	"Internal fixation of fracture of femur using screws alone; subtrochanteric"	1.1.2003	
NFJ73	"Reieluumurru sisemine fiksatsioon ainult kruvidega; reieluu proksimaalne osa, muu"	"Internal fixation of fracture of femur using screws alone; proximal femur, other"	1.1.2003	
NFJ74	"Reieluumurru sisemine fiksatsioon ainult kruvidega; reieluu keskosa"	"Internal fixation of fracture of femur using screws alone; body of femur"	1.1.2003	
NFJ75	"Reieluumurru sisemine fiksatsioon ainult kruvidega; reieluu distaalne osa"	"Internal fixation of fracture of femur using screws alone; distal femur"	1.1.2003	
NFJ80	"Reieluumurru sisemine fiksatsioon muul või kombineeritud meetodil; reieluukael"	"Internal fixation of fracture of femur using other or combined methods; neck of femur"	1.1.2003	
NFJ81	"Reieluumurru sisemine fiksatsioon muul või kombineeritud meetodil; pertrohanteerne"	"Internal fixation of fracture of femur using other or combined methods; pertrochanteric"	1.1.2003	
NFJ82	"Reieluumurru sisemine fiksatsioon muul või kombineeritud meetodil; subtrohanteerne"	"Internal fixation of fracture of femur using other or combined methods; subtrochanteric"	1.1.2003	
NFJ83	"Reieluumurru sisemine fiksatsioon muul või kombineeritud meetodil; reieluu proksimaalne osa, muu"	"Internal fixation of fracture of femur using other or combined methods; proximal femur, other"	1.1.2003	
NFJ84	"Reieluumurru sisemine fiksatsioon muul või kombineeritud meetodil; reieluu keskosa"	"Internal fixation of fracture of femur using other or combined methods; body of femur"	1.1.2003	
NFJ85	"Reieluumurru sisemine fiksatsioon muul või kombineeritud meetodil; reieluu distaalne osa"	Refixation of fracture of femur	1.1.2003	
NFJ90	"Reieluumurru muu kirurgia; reieluukael"	"Other fracture surgery of femur; neck of femur"	1.1.2003	
NFJ91	"Reieluumurru muu kirurgia; pertrohanteerne"	"Other fracture surgery of femur; pertrochanteric"	1.1.2003	
NFJ92	"Reieluumurru muu kirurgia; subtrohanteerne"	"Other fracture surgery of femur; subtrochanteric"	1.1.2003	
NFJ93	"Reieluumurru muu kirurgia; reieluu proksimaalne osa, muu"	"Other fracture surgery of femur; proximal femur, other"	1.1.2003	
NFJ94	"Reieluumurru muu kirurgia; reieluu keskosa"	"Other fracture surgery of femur; body of femur"	1.1.2003	
NFJ95	"Reieluumurru muu kirurgia; reieluu distaalne osa"	"Other fracture surgery of femur; distal femur"	1.1.2003	
NFK09	Reieluu fragmendi ekstsisioon	Excision of fragment of bone of femur	1.1.2003	
NFK19	Reieluu osaline või täielik ekstsisioon	Partial or total excision of bone of femur	1.1.2003	
NFK29	Reieluu fenestratsioon või mulgustamine	Fenestration or forage of femur	1.1.2003	
NFK39	Reieluu tsüsti ekskohleatsioon	Curettage of cyst of femur	1.1.2003	
NFK47	Reieluu kasvuplaadi täielik eraldamine	Total separation of growth plate of femur	1.1.2010	
NFK48	Reieluu kasvuplaadi osaline eraldamine	Partial separation of growth plate of femur	1.1.2010	
NFK49	Reieluu epifüsiodees	Epiphysiodesis of femur	1.1.2003	
NFK59	Reieluu angulatsioon, rotatsioon või nihutus-osteotoomia	Angulation, rotation or displacement osteotomy of femur	1.1.2003	
NFK69	Reieluu lühendav või pikendav osteotoomia	Shortening or lengthening osteotomy of femur	1.1.2003	
NFK79	Luu transport-operatsioon reieluul	Bone transport operation of femur	1.1.2003	
NFK89	Reieluu epifüsaarplaadi distraktsioon-pikendamine	Traction lengthening of epiphyseal plate of femur	1.1.2003	
NFK99	Muu operatsioon reieluul	Other operation on bone of femur	1.1.2003	
NFL09	Puusa või reie lihase vabastamine	Freeing of muscle of hip or thigh	1.1.2003	
NFL19	Puusa või reie lihase suturatsioon või plastiline korrektsioon	Suture or plastic repair of muscle of hip or thigh	1.1.2003	
NFL29	Puusa või reie lihase transpositsioon	Transposition of muscle of hip or thigh	1.1.2003	
NFL39	Puusa või reie lihase müotoomia või tenotoomia	Myotomy or tenotomy of hip or thigh	1.1.2003	
NFL49	Puusa või reie kõõluse õmblus või taasasetamine	Suture or reinsertion of tendon of hip or thigh	1.1.2010	
NFL79	Puusa või reie lihase või kõõluse ekstsisioon	Excision of muscle or tendon of hip or thigh	1.1.2010	
NFL99	Muu operatsioon puusa või reie lihasel või kõõlusel	Other operation on muscle or tendon of hip or thigh	1.1.2003	
NFM09	Reie fastsiotoomia	Fasciotomy of thigh	1.1.2003	
NFM19	Reie fastsia osaline või täielik ekstsisioon	Partial or total excision of fascia of thigh	1.1.2003	
NFM29	Reie fastsia suturatsioon	Suture of fascia of thigh	1.1.2003	
NFM79	Puusa või reie limapauna ekstsisioon	Excision of bursa of hip or thigh	1.1.2003	
NFM99	Muu operatsioon puusa või reie fastsial, ganglionil või limapaunal	Other operation on fascia, ganglion or bursa of hip or thigh	1.1.2003	
NFN09	Luu autotransplantaat reieluule	Autograft of bone to femur	1.1.2003	
NFN19	Luu allotransplantaat reieluule	Allograft of bone to femur	1.1.2003	
NFN29	Luu ksenotransplantaat reieluule	Xenograft of bone to femur	1.1.2003	
NFN39	Kõõluse transplantatsioon puusale või reiele	Transplantation of tendon to hip or thigh	1.1.2003	
NFN49	Kõhre, periosti või fastsia transplantatsioon puusale või reiele	Transplantation of cartilage, periosteum or fascia to hip or thigh	1.1.2003	
NFN99	Muu transplantatsioon puusa või reie kirurgias	Other transplantation in surgery of hip or thigh	1.1.2003	
NFP29	Jäseme replantatsioon puusa või reie tasandil	Replantation of extremity at level of hip or thigh	1.1.2003	
NFQ09	Puusa eksartikulatsioon	Exarticulation of hip	1.1.2003	
NFQ19	Reie amputatsioon	Amputation of femur	1.1.2003	
NFQ29	Puusa või reie amputatsiooni- või eksartikulatsiooniköndi korrektsioon	Revision of exarticulation or amputation stump of hip or femur	1.1.2003	
NFQ99	Muu amputatsioon või sellega seotud operatsioon puusal või reiel	Other amputation or related operation on hip or femur	1.1.2003	
NFR09	Puusa või reie pehme koe tuumori mittetäielik ekstsisioon	Incomplete excision of soft tissue tumour of hip or thigh	1.1.2003	
NFR19	Puusa või reie pehme koe tuumori täielik ekstsisioon	Complete excision of soft tissue tumour of hip or thigh	1.1.2003	
NFR29	Puusa või reie pehme koe tuumori laiendatud ekstsisioon	Extended excision of soft tissue tumour of hip or thigh	1.1.2003	
NFR39	Puusa või reie pehme koe tuumori plokk-ekstsisioon	Block excision of soft tissue tumour of hip or thigh	1.1.2003	
NFR49	Puusaliigese või reieluu kõhre või luu tuumori mittetäielik ekstsisioon	Incomplete excision of tumour of bone or cartilage of hip joint or femur	1.1.2003	
NFR59	Puusaliigese või reieluu kõhre või luu tuumori täielik ekstsisioon	Complete excision of tumour of bone or cartilage of hip joint or femur	1.1.2003	
NFR69	Puusaliigese või reieluu kõhre või luu tuumori laiendatud ekstsisioon	Extended excision of tumour of bone or cartilage of hip joint or femur	1.1.2003	
NFR79	Puusaliigese või reieluu kõhre või luu tuumori plokk-ekstsisioon	Block excision of tumour of bone or cartilage of hip joint or femur	1.1.2003	
NFR89	Muu operatsioon puusal või reiel tuumori korral 	Other operation for tumour of hip or thigh	1.1.2010	
NFS19	Intsisioon või nekrektoomia puusaliigese infektsiooni korral	Incision and debridement of infection of hip joint	1.1.2003	
NFS29	Intsisioon või nekrektoomia reieluu infektsiooni korral	Incision and debridement of infection of femur	1.1.2003	
NFS49	Intsisioon või nekrektoomia puusaliigese infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse	Incision and debridement of infection of hip joint with introduction of therapeutic agent	1.1.2003	
NFS59	Intsisioon või nekrektoomia reieluu infektsiooni korral koos raviaine sisseviimisega infektsioonikoldesse	Incision and debridement of infection of femur with introduction of therapeutic agent	1.1.2003	
NFS99	Muu operatsioon puusa või reie kõõluse, liigese või luu infektsiooni korral	Other operation for infection of tendon, joint or bone of hip or thigh	1.1.2003	
NFT09	Võõrkeha eemaldamine puusa- või reieluu koest	Removal of foreign body from tissue of hip or thigh	1.1.2010	
NFT19	Puusaliigese redressioon	Forcible manipulation of hip joint	1.1.2003	
NFT39	Puusaliigese või reieluu deformatsiooni korrektsioon lihase, kõõluse või sidemega	Correction of deformity of hip joint or femur using muscle, tendon or ligament	1.1.2003	
NFT49	Puusaliigese või reieluu deformatsiooni korrektsioon välise või sisemise fiksatsiooniga	Correction of deformity of hip joint or femur using external or internal fixation	1.1.2003	
NFT99	Muu operatsioon puusal või reiel	Other operation on hip or thigh	1.1.2003	
NFU00	"Osalise proteesi eemaldamine puusaliigesest; kõik osad"	"Removal of partial prosthesis from hip joint; all parts"	1.1.2003	
NFU01	"Osalise proteesi eemaldamine puusaliigesest; üks osa  - proksimaalne"	"Removal of partial prosthesis from hip joint; single part - proximal"	1.1.2003	
NFU02	"Osalise proteesi eemaldamine puusaliigesest; üks osa - distaalne"	"Removal of partial prosthesis from hip joint; single part - distal"	1.1.2003	
NFU03	"Osalise proteesi eemaldamine puusaliigesest; üks osa - muu"	"Removal of partial prosthesis from hip joint; single part - other"	1.1.2003	
NFU04	"Osalise proteesi eemaldamine puusaliigesest; rohkem kui üks, aga mitte kõik osad"	"Removal of partial prosthesis from hip joint; more than one, but not all parts"	1.1.2003	
NFU09	"Osalise proteesi eemaldamine puusaliigesest; muu või määratlemata"	"Removal of partial prosthesis from hip joint; other or unspecified"	1.1.2003	
NFU10	"Totaalse proteesi eemaldamine puusaliigesest; kõik osad"	"Removal of total prosthesis from hip joint; all parts"	1.1.2003	
NFU11	"Totaalse proteesi eemaldamine puusaliigesest; üks osa  - proksimaalne"	"Removal of total prosthesis from hip joint; single part - proximal"	1.1.2003	
NFU12	"Totaalse proteesi eemaldamine puusaliigesest; üks osa - distaalne"	"Removal of total prosthesis from hip joint; single part - distal"	1.1.2003	
NFU13	"Totaalse proteesi eemaldamine puusaliigesest; üks osa - muu"	"Removal of total prosthesis from hip joint; single part - other"	1.1.2003	
NFU14	"Totaalse proteesi eemaldamine puusaliigesest; rohkem kui üks, aga mitte kõik osad"	"Removal of total prosthesis from hip joint; more than one, but not all parts"	1.1.2003	
NFU19	"Totaalse proteesi eemaldamine puusaliigesest; muu või määratlemata"	"Removal of total prosthesis from hip joint; other or unspecified"	1.1.2003	
NFU39	Välise fiksatsioonivahendi eemaldamine reieluult	Removal of external fixation device from femur	1.1.2003	
NFU49	Sisemise fiksatsioonivahendi eemaldamine reieluult	Removal of internal fixation device from femur	1.1.2003	
NFU89	Terapeutilise implantaadi eemaldamine puusa või reieluu infektsiooni ravi korral	Removal of therapeutic implant in treatment of infection of hip or femur	1.1.2003	
NFU99	Muu implantaadi eemaldamine puusaliigeselt või reieluult	Removal of other implant from hip joint or femur	1.1.2003	
NFW49	Haava dehistsentsi korrektsioon puusa või reie kirurgias	Repair of wound dehiscence in surgery of hip or thigh	1.1.2003	
NFW59	Kordusoperatsioon pindmise infektsiooni korral puusa või reie kirurgias	Reoperation for superficial infection in surgery of hip or thigh	1.1.2003	
NFW69	Kordusoperatsioon süvainfektsiooni korral puusa või reie kirurgias	Reoperation for deep infection in surgery of hip or thigh	1.1.2003	
NFW79	Kordusoperatsioon pindmise verejooksu korral puusa või reie kirurgias	Reoperation for superficial haemorrhage in surgery of hip or thigh	1.1.2003	
NFW89	Kordusoperatsioon sisemise verejooksu korral puusa või reie kirurgias	Reoperation for deep haemorrhage in surgery of hip or thigh	1.1.2003	
NFW99	Muu kordusoperatsioon puusa või reie kirurgias	Other reoperation in surgery of hip or thigh	1.1.2003	
NGA00	"Põlve või sääre pehme koe eksploratsioon; perkutaanne"	"Exploration of soft tissue knee or lower leg; percutaneous"	1.1.2003	
NGA01	"Põlve või sääre pehme koe eksploratsioon; artroskoopiline"	"Exploration of soft tissue knee or lower leg; arthroscopic"	1.1.2003	
NGA02	"Põlve või sääre pehme koe eksploratsioon; lahtine"	"Exploration of soft tissue knee or lower leg; open"	1.1.2003	
NGA09	"Põlve või sääre pehme koe eksploratsioon; määratlemata"	"Exploration of soft tissue knee or lower leg; unspecified"	1.1.2003	
NGA10	"Põlveliigese eksploratsioon; perkutaanne"	"Exploration of knee joint; percutaneous"	1.1.2003	
NGA11	"Põlveliigese eksploratsioon; artroskoopiline"	"Exploration of knee joint; arthroscopic"	1.1.2003	
NGA12	"Põlveliigese eksploratsioon; lahtine"	"Exploration of soft tissue knee or lower leg; open"	1.1.2003	
NGA19	"Põlveliigese eksploratsioon; määratlemata"	"Exploration of knee joint; unspecified"	1.1.2003	
NGA20	"Põlve või sääre pehme koe või liigese biopsia; perkutaanne"	"Biopsy of soft tissue or joint of knee or lower leg; percutaneous"	1.1.2003	
NGA21	"Põlve või sääre pehme koe või liigese biopsia; artroskoopiline"	"Biopsy of soft tissue or joint of knee or lower leg; arthroscopic"	1.1.2003	
NGA22	"Põlve või sääre pehme koe või liigese biopsia; lahtine"	"Biopsy of soft tissue or joint of knee or lower leg; open"	1.1.2003	
NGA29	"Põlve või sääre pehme koe või liigese biopsia; määratlemata"	"Biopsy of soft tissue or joint of knee or lower leg; unspecified"	1.1.2003	
NGA30	"Põlve- või sääreluu biopsia; perkutaanne"	"Biopsy of bone of knee or lower leg; percutaneous"	1.1.2003	
NGA31	"Põlve- või sääreluu biopsia; artroskoopiline"	"Biopsy of bone of knee or lower leg; arthroscopic"	1.1.2003	
NGA32	"Põlve- või sääreluu biopsia; lahtine"	"Biopsy of bone of knee or lower leg; open"	1.1.2003	
NGA39	"Põlve- või sääreluu biopsia; määratlemata"	"Biopsy of bone of knee or lower leg; unspecified"	1.1.2003	
NGB00	"Põlveliigese esmane proteesimine osalise proteesiga ilma tsemendita; kõik osad"	"Primary partial prosthetic replacement of knee joint not using cement; all parts"	1.1.2003	
NGB01	"Põlveliigese esmane proteesimine osalise proteesiga ilma tsemendita; mediaalne osa"	"Primary partial prosthetic replacement of knee joint not using cement; medial compartment"	1.1.2003	
NGB02	"Põlveliigese esmane proteesimine osalise proteesiga ilma tsemendita; lateraalne osa"	"Primary partial prosthetic replacement of knee joint not using cement; lateral compartment"	1.1.2003	
NGB03	"Põlveliigese esmane proteesimine osalise proteesiga ilma tsemendita; patello-femoraalne osa"	"Primary partial prosthetic replacement of knee joint not using cement; patello-femoral compartment"	1.1.2003	
NGB04	"Põlveliigese esmane proteesimine osalise proteesiga ilma tsemendita; rohkem kui üks, aga mitte kõik osad"	"Primary partial prosthetic replacement of knee joint not using cement; more than one, but not all parts"	1.1.2003	
NGB09	"Põlveliigese esmane proteesimine osalise proteesiga ilma tsemendita; muu või määratlemata"	"Primary partial prosthetic replacement of knee joint not using cement; other or unspecified"	1.1.2003	
NGB10	"Põlveliigese esmane proteesimine osalise proteesiga kasutades tsementi; kõik osad"	"Primary partial prosthetic replacement of knee joint using cement; all parts"	1.1.2003	
NGB11	"Põlveliigese esmane proteesimine osalise proteesiga kasutades tsementi; mediaalne osa"	"Primary partial prosthetic replacement of knee joint using cement; medial compartment"	1.1.2003	
NGB12	"Põlveliigese esmane proteesimine osalise proteesiga kasutades tsementi; lateraalne osa"	"Primary partial prosthetic replacement of knee joint using cement; lateral compartment"	1.1.2003	
NGB13	"Põlveliigese esmane proteesimine osalise proteesiga kasutades tsementi; patello-femoraalne osa"	"Primary partial prosthetic replacement of knee joint using cement; patello-femoral compartment"	1.1.2003	
NGB14	"Põlveliigese esmane proteesimine osalise proteesiga kasutades tsementi; rohkem kui üks, aga mitte kõik osad"	Primary partial prosthetic replacement of knee joint, demi prosthesis	1.1.2003	
NGB19	"Põlveliigese esmane proteesimine osalise proteesiga kasutades tsementi; muu või määratlemata"	"Primary partial prosthetic replacement of knee joint using cement; other or unspecified"	1.1.2003	
NGB20	Põlveliigese esmane proteesimine totaalse proteesiga ilma tsemendita	Primary total prosthetic replacement of knee joint not using cement	1.1.2003	
NGB30	Põlveliigese esmane proteesimine totaalse proteesiga hübriid-meetodil	Primary total prosthetic replacement of knee joint using hybrid technique	1.1.2003	
NGB40	Põlveliigese esmane proteesimine totaalse proteesiga kasutades tsementi	Primary total prosthetic replacement of knee joint using cement	1.1.2003	
NGB59	Põlveliigese esmane interpositsiooni proteesimine	Primary prosthetic interposition arthroplasty of knee joint	1.1.2003	
NGB99	Põlveliigese muu esmane proteesimine	Other primary prosthetic replacement of knee joint	1.1.2003	
NGC00	"Põlveliigese teisene proteesimine osalise proteesiga ilma tsemendita; kõik osad"	"Secondary implantation of partial prosthesis in knee joint not using cement; all parts"	1.1.2003	
NGC01	"Põlveliigese teisene proteesimine osalise proteesiga ilma tsemendita; mediaalne osa"	"Secondary implantation of partial prosthesis in knee joint not using cement; medial compartment"	1.1.2003	
NGC02	"Põlveliigese teisene proteesimine osalise proteesiga ilma tsemendita; lateraalne osa"	"Secondary implantation of partial prosthesis in knee joint not using cement; lateral compartment"	1.1.2003	
NGC03	"Põlveliigese teisene proteesimine osalise proteesiga ilma tsemendita; patello-femoraalne osa"	"Secondary implantation of partial prosthesis in knee joint not using cement; patello-femoral compartment"	1.1.2003	
NGC04	"Põlveliigese teisene proteesimine osalise proteesiga ilma tsemendita; rohkem kui üks, aga mitte kõik osad"	"Secondary implantation of partial prosthesis in knee joint not using cement; more than one, but not all parts"	1.1.2003	
NGC09	"Põlveliigese teisene proteesimine osalise proteesiga ilma tsemendita; muu või määratlemata"	"Secondary implantation of partial prosthesis in knee joint not using cement; other or unspecified"	1.1.2003	
NGC10	"Põlveliigese teisene proteesimine osalise proteesiga kasutades tsementi; kõik osad"	"Secondary implantation of partial prosthesis in knee joint using cement; all parts"	1.1.2003	
NGC11	"Põlveliigese teisene proteesimine osalise proteesiga kasutades tsementi; mediaalne osa"	"Secondary implantation of partial prosthesis in knee joint using cement; medial compartment"	1.1.2003	
NGC12	"Põlveliigese teisene proteesimine osalise proteesiga kasutades tsementi; lateraalne osa"	"Secondary implantation of partial prosthesis in knee joint using cement; lateral compartment"	1.1.2003	
NGC13	"Põlveliigese teisene proteesimine osalise proteesiga kasutades tsementi; patello-femoraalne osa"	"Secondary implantation of partial prosthesis in knee joint using cement; patello-femoral compartment"	1.1.2003	
NGC14	"Põlveliigese teisene proteesimine osalise proteesiga kasutades tsementi; rohkem kui üks, aga mitte kõik osad"	"Secondary implantation of partial prosthesis in knee joint using cement; more than one, but not all parts"	1.1.2003	
NGC19	"Põlveliigese teisene proteesimine osalise proteesiga kasutades tsementi; muu või määratlemata"	"Secondary implantation of partial prosthesis in knee joint using cement; other or unspecified"	1.1.2003	
NGC20	"Põlveliigese teisene proteesimine totaalse proteesiga ilma tsemendita; kõik osad"	"Secondary implantation of total prosthesis in knee joint not using cement; all parts"	1.1.2003	
NGC21	"Põlveliigese teisene proteesimine totaalse proteesiga ilma tsemendita; mediaalne osa"	"Secondary implantation of total prosthesis in knee joint not using cement; medial compartment"	1.1.2003	
NGC22	"Põlveliigese teisene proteesimine totaalse proteesiga ilma tsemendita; lateraalne osa"	"Secondary implantation of total prosthesis in knee joint not using cement; lateral compartment"	1.1.2003	
NGC23	"Põlveliigese teisene proteesimine totaalse proteesiga ilma tsemendita; patello-femoraalne osa"	"Secondary implantation of total prosthesis in knee joint not using cement; patello-femoral compartment"	1.1.2003	
NGC24	"Põlveliigese teisene proteesimine totaalse proteesiga ilma tsemendita; rohkem kui üks, aga mitte kõik osad"	"Secondary implantation of total prosthesis in knee joint not using cement; more than one, but not all parts"	1.1.2003	
NGC29	"Põlveliigese teisene proteesimine totaalse proteesiga ilma tsemendita; muu või määratlemata"	"Secondary implantation of total prosthesis in knee joint not using cement; other or unspecified"	1.1.2003	
NGC30	"Põlveliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; kõik osad"	"Secondary implantation of total prosthesis in knee joint using hybrid technique; all parts"	1.1.2003	
NGC31	"Põlveliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; mediaalne osa"	"Secondary implantation of total prosthesis in knee joint using hybrid technique; medial compartment"	1.1.2003	
NGC32	"Põlveliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; lateraalne osa"	"Secondary implantation of total prosthesis in knee joint using hybrid technique; lateral compartment"	1.1.2003	
NGC33	"Põlveliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; patello-femoraalne osa"	"Secondary implantation of total prosthesis in knee joint using hybrid technique; patello-femoral compartment"	1.1.2003	
NGC34	"Põlveliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; rohkem kui üks, aga mitte kõik osad"	"Secondary implantation of total prosthesis in knee joint using hybrid technique; more than one, but not all parts"	1.1.2003	
NGC39	"Põlveliigese teisene proteesimine totaalse proteesiga hübriid-meetodil; muu või määratlemata"	"Secondary implantation of total prosthesis in knee joint using hybrid technique; other or unspecified"	1.1.2003	
NGC40	"Põlveliigese teisene proteesimine totaalse proteesiga kasutades tsementi; kõik osad"	"Secondary implantation of total prosthesis in knee joint using cement; all parts"	1.1.2003	
NGC41	"Põlveliigese teisene proteesimine totaalse proteesiga kasutades tsementi; mediaalne osa"	"Secondary implantation of total prosthesis in knee joint using cement; medial compartment"	1.1.2003	
NGC42	"Põlveliigese teisene proteesimine totaalse proteesiga kasutades tsementi; lateraalne osa"	"Secondary implantation of total prosthesis in knee joint using cement; lateral compartment"	1.1.2003	
NGC43	"Põlveliigese teisene proteesimine totaalse proteesiga kasutades tsementi; patello-femoraalne osa"	"Secondary implantation of total prosthesis in knee joint using cement; patello-femoral compartment"	1.1.2003	
NGC44	"Põlveliigese teisene proteesimine totaalse proteesiga kasutades tsementi; rohkem kui üks, aga mitte kõik osad"	"Secondary implantation of total prosthesis in knee joint using cement; more than one, but not all parts"	1.1.2003	
NGC49	"Põlveliigese teisene proteesimine totaalse proteesiga kasutades tsementi; muu või määratlemata"	Secondary implantation of prosthesis in knee joint, normal prosthesis	1.1.2003	
NGC59	Põlveliigese teisene interpositsiooni proteesimine	Secondary implantation of interposition prosthesis in knee joint	1.1.2003	
NGC99	Põlveliigese muu teisene proteesimine	Other secondary prosthetic replacement in knee joint	1.1.2003	
NGD01	"Põlvemeniski täielik ekstsisioon; artroskoopiline"	"Total excision of meniscus of knee; arthroscopic"	1.1.2003	
NGD02	"Põlvemeniski täielik ekstsisioon; lahtine"	"Total excision of meniscus of knee; open"	1.1.2003	
NGD09	"Põlvemeniski täielik ekstsisioon; määratlemata"	"Total excision of meniscus of knee; unspecified"	1.1.2003	
NGD11	"Põlvemeniski osaline ekstsisioon; artroskoopiline"	"Partial excision of meniscus of knee; arthroscopic"	1.1.2003	
NGD12	"Põlvemeniski osaline ekstsisioon; lahtine"	"Partial excision of meniscus of knee; open"	1.1.2003	
NGD19	"Põlvemeniski osaline ekstsisioon; määratlemata"	"Partial excision of meniscus of knee; unspecified"	1.1.2003	
NGD21	"Põlvemeniski tagasikinnitamine; artroskoopiline"	"Reinsertion of meniscus of knee; arthroscopic"	1.1.2003	
NGD22	"Põlvemeniski tagasikinnitamine; lahtine"	"Reinsertion of meniscus of knee; open"	1.1.2003	
NGD29	"Põlvemeniski tagasikinnitamine; määratlemata"	"Reinsertion of meniscus of knee; unspecified"	1.1.2003	
NGD91	"Muu operatsioon põlvemeniskil; artroskoopiline"	"Other operation on meniscus of knee; arthroscopic"	1.1.2003	
NGD92	"Muu operatsioon põlvemeniskil; lahtine"	"Other operation on meniscus of knee; open"	1.1.2003	
NGD99	"Muu operatsioon põlvemeniskil; määratlemata"	"Other operation on meniscus of knee; unspecified"	1.1.2003	
NGE09	Põlveliigese kapsli intsisioon või suturatsioon	Incision fo capsule of knee joint	1.1.2003	
NGE11	"Põlveliigese sideme transtsisioon või ekstsisioon; eesmine ristatiside, lahtine"	"Transcision or excision of ligament of knee; anterior cruciate, open"	1.1.2003	
NGE12	"Põlveliigese sideme transtsisioon või ekstsisioon; tagumine ristatiside, lahtine"	"Transcision or excision of ligament of knee; posterior cruciate, open"	1.1.2003	
NGE13	"Põlveliigese sideme transtsisioon või ekstsisioon; mediaalne kollateraalside"	"Transcision or excision of ligament of knee; medial collateral"	1.1.2003	
NGE14	"Põlveliigese sideme transtsisioon või ekstsisioon; lateraalne kollateraalside"	"Transcision or excision of ligament of knee; lateral collateral"	1.1.2003	
NGE15	"Põlveliigese sideme transtsisioon või ekstsisioon; eesmine ristatiside, artroskoopiline"	"Transcision or excision of ligament of knee; anterior cruciate, arthroscopic"	1.1.2003	
NGE16	"Põlveliigese sideme transtsisioon või ekstsisioon; tagumine ristatiside, artroskoopiline"	"Transcision or excision of ligament of knee; posterior cruciate, arthroscopic"	1.1.2003	
NGE21	"Põlveliigese sideme suturatsioon või tagasikinnitamine; eesmine ristatiside, lahtine"	"Fixation of fragment of surface of knee; anterior cruciate, open"	1.1.2003	
NGE22	"Põlveliigese sideme suturatsioon või tagasikinnitamine; tagumine ristatiside, lahtine"	"Fixation of fragment of surface of knee; posterior cruciate, open"	1.1.2003	
NGE23	"Põlveliigese sideme suturatsioon või tagasikinnitamine; mediaalne kollateraalside"	"Fixation of fragment of surface of knee; medial collateral"	1.1.2003	
NGE24	"Põlveliigese sideme suturatsioon või tagasikinnitamine; lateraalne kollateraalside"	"Fixation of fragment of surface of knee; lateral collateral"	1.1.2003	
NGE25	"Põlveliigese sideme suturatsioon või tagasikinnitamine; eesmine ristatiside, artroskoopiline"	"Fixation of fragment of surface of knee; anterior cruciate, arthroscopic"	1.1.2003	
NGE26	"Põlveliigese sideme suturatsioon või tagasikinnitamine; tagumine ristatiside, artroskoopiline"	"Fixation of fragment of surface of knee; posterior cruciate, arthroscopic"	1.1.2003	
NGE31	"Põlveliigese sideme transpositsioon; eesmine ristatiside, lahtine"	"Transposition of ligament of knee; anterior cruciate, open"	1.1.2003	
NGE32	"Põlveliigese sideme transpositsioon; tagumine ristatiside, lahtine"	"Transposition of ligament of knee; posterior cruciate, open"	1.1.2003	
NGE33	"Põlveliigese sideme transpositsioon; mediaalne kollateraalside"	"Transposition of ligament of knee; medial collateral"	1.1.2003	
NGE34	"Põlveliigese sideme transpositsioon; lateraalne kollateraalside"	"Transposition of ligament of knee; lateral collateral"	1.1.2003	
NGE35	"Põlveliigese sideme transpositsioon; eesmine ristatiside, artroskoopiline"	"Transposition of ligament of knee; anterior cruciate, arthroscopic"	1.1.2003	
NGE36	"Põlveliigese sideme transpositsioon; tagumine ristatiside, artroskoopiline"	"Transposition of ligament of knee; posterior cruciate, arthroscopic"	1.1.2003	
NGE41	"Põlveliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; eesmine ristatiside, lahtine"	"Plastic repair of ligament of knee not using prosthetic material; anterior cruciate, open"	1.1.2003	
NGE42	"Põlveliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; tagumine ristatiside, lahtine"	"Plastic repair of ligament of knee not using prosthetic material; posterior cruciate, open"	1.1.2003	
NGE43	"Põlveliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; mediaalne kollateraalside"	"Plastic repair of ligament of knee not using prosthetic material; medial collateral"	1.1.2003	
NGE44	"Põlveliigese sideme plastiline korrektsioon ilma proteesimaterjali kasutamiseta; lateraalne kollateraalside"	"Plastic repair of ligament of knee not using prosthetic material; lateral collateral"	1.1.2003	
