SKSKODE	TEKST
BLHN00	Terapeutisk steroidinjektion i led på overekstremitet
BLHN01	Terapeutisk steroidinjektion i led på underekstremitet
BLHN1	Terapeutisk blokade i led og bløddele
BLHN10	Terapeutisk blokade i led og bløddele på overekstremitet
BLHN11	Terapeutisk blokade i led og bløddele på ryg og kolumna
BLHN12	Terapeutisk blokade i led og bløddele på underekstremitet
BLK	Pædagogiske interv. vedr.bevægeapparatets tilstand og funkti
BLKA	Pædagogisk intervention i forb.m.beh.af ryglidelse
BLKA0	Rådgivning om rygøvelser
BLKB	Pædagogisk handling i forb. med beh. af fodlidelse
BLKB0	Vejledning vedrørende fodtøj og -pleje
BLKC	Pædagogisk handling i forb. med brug af hjælpemiddel
BLKC0	Vejledning i anvendelse af hjælpemiddel
BLKC00	Vejledning i anvendelse af krykkestok
BLKC01	Vejledning i anvendelse af rollator og gangbuk
BLKC02	Vejledning i anvendelse af kørestol
BLKC03	Vejledning i anvendelse af tilpasset værktøj
BLKD	Pædagogisk intervention i forbindelse med bandagebehandling
BLKD0	Vejledning i pasning af gipsbandage
BLKX	Instruktion i afspænding
BLN	Interv.m. rel.til bevægeapparatets tilstand og funktion
BLNA	Biomekanisk bevægelsesterapi
BLNA0	Konditionstræning til øgning af aerobe kapacitet
BLNA1	Mobilitetstræning ved aktiv øgning af bevægelighed
BLNA2	Strækninger ved aktiv udspænding af væv
BLNA3	Styrketræning til øgning af maximale muskelkraft,
BLNA30	Koncentrisk styrketræning
BLNA31	Excentrisk styrketræning
BLNA32	Isometrisk styrketræning
BLNA4	Udholdenhedstræning til øgning af muskulær udholdenhed
BLNA40	Koncentrisk udholdenhedstræning
BLNA41	Excentrisk udholdenhedstræning
BLNA42	Isometrisk udholdenhedstræning
BLNA5	Cirkulationsbefordrende øvelser
BLNA6	Vedligeholdelsestræning ved immobilisering
BLNC	Neuromuskulær bevægelsesterapi
BLNC0	Grundmotorisk træning af basisfunktioner
BLNC00	Grundmotorisk træning med henblik på at vende sig
BLNC01	Grundmotorisk træning mhp på at rejse sig fra ligg.til sidd.
BLNC02	Grundmotorisk træning med henblik på at lægge sig ned
BLNC03	Grundmotorisk træning mhpat rejse sig fra sidd.til ståe.stil
BLNC04	Grundmotorisk træning med henblik på at sætte sig
BLNC05	Grundmotorisk træning med henblik på siddefunktionen
BLNC06	Grundmotorisk træning med henblik på standfunktionen
BLNC07	Grundmotorisk træning med henblik på gangfunktionen
BLNC08	Grundmotorisk træning med henblik på trappegangfunktionen
BLNC09	Grundmotorisk træning med henblik på brug af hjælpemiddel
BLNC1	Træning af posturalitet og balance
BLNC10	Træning af posturalitet
BLNC11	Træning af balance
BLNC2	Neurofysioterapi med henblik på facilitering
BLNC20	Facilitering ved hjælp af sansestimulering.
BLNC21	Facilitering ved hjælp af guiding
BLNC22	Facilitering ved hjælp af approximation
BLNC23	Facilitering ved hjælp af separation.
BLNC24	Facilitering ved hjælp af strækreflexudløsning
BLNC25	Facilitering ved hjælp af modstandsøvelser.
BLNC3	Neurofysioterapi med henblik på kognition
BLNC30	Neurofysioterapi med focus på neglect
BLNC31	Neurofysioterapi med focus på rum og retning
BLNC32	Neurofysioterapi med focus på koncentration
BLNC33	Neurofysioterapi med focus på initiativ
BLNC34	Neurofysioterapi med focus på perception
BLNC35	Neurofysioterapi med focus på praksi
BLNC4	Kontrakturprofylakse ved neurofysioterapi
BLNC40	Kontrakturprofylakse ved hjælp af reflekshæmning.
BLNC41	Kontrakturprofylakse ved hjælp af bandagering
BLNC42	Kontrakturprofylakse ved hjælp af mobilisering
BLNC5	Koordinationstræning
BLNC50	Koordinationstræning med henblik på præcision
BLNC51	Koordinationstræning med henblik på rytme
BLNC52	Koordinationstræning med henblik på timing
BLNC6	Neurofysioterapi med henblik på motorisk kontrol
BLNC60	Stabilitetstræning ved neurofysioterapi
BLNC61	Mobilitetstræning ved neurofysioterapi
BLNC7	Sanseintegrationstræning ved neurofysioterapi
BLNC8	Tonusregulering ved neurofysioterapi
BLNC9	Proprioceptiv træning
BLNG	Manuel terapi inkl. bløddelsbehandl.og ledmobilisering
BLNG0	Bløddelsbehandling ved manuel terapi
BLNG00	Generel cirkulationsbefordrende massage
BLNG01	Specifik cirkulationsbefordrende massage
BLNG02	Tonusregulerende massage
BLNG03	Relakserende massage
BLNG04	Massage med henblik på normalisering af væv
BLNG05	Psoasmassage
BLNG06	Massage af bækkenbundsmuskulatur
BLNG1	Ledmobilisering
BLNG10	Generel passiv ledmobilisering
BLNG11	Ledfrigøring ved specifik artikulering af et led
BLNG13	Separation af ledflader ved manuel traktion
BLNG2	Manipulation af kolumna og led
BLNG20	Manipulation af columna cervicalis
BLNG21	Manipulation af columna lumbalis
BLNG22	Artikulering af kolumna ud over normal bevægebane
BLNG3	Manuel udspændingsbehandling
BLNG30	Generel passiv vævsudspænding,
BLNG31	Specifik passiv vævsudspænding,
BLNG32	Redressering
BLNG4	Neuroreflektorisk behandling
BLNG40	Bindevævsmassage
BLNG41	Sensorisk stimulation ved manuel terapi
BLNG42	Bindevævsudspænding ved manuel terapi
BLNG43	Acupressure
BLNJ	Apparaturbehandling af lidelse i bevægeapparatet
BLNJ0	Elektroterapi
BLNJ00	Behandling med elektrisk muskelstimulation (EMS)
BLNJ01	Behandling med neuromuskulær stimulation (NMS)
BLNJ02	Behandling med funktionel el-stimulation, FES
BLNJ03	Behandling med transkutan elektrisk nervestimulation (TENS)
BLNJ04	Behandling med kombinationselektroterapi
BLNJ1	Laserbehandling
BLNJ10	Bløddelsbehandling med laser
BLNJ2	Indøvelse af muskelkontrol ved bio-feed-back
BLNJ20	Vandladningstræning med bio-feed-back
BLNJ21	Behandling af muskelspændinger med bio-feed-back
BLNJ22	Behandling af lammelse med bio-feed-back
BLNJ23	Stimul.med bio-feedback til muskelaktiv.efter immobilisation
BLNJ24	Træning med biofeed-back ved analinkontinens
BLNJ3	Mekanisk terapi
BLNJ30	Maskinel traktionsbehandling
BLNJ31	Maskinel mobiliseringsbehandling
BLNJ32	Behandling med trykbandager
BLNJ33	Ultralydbehandling
BLNJ34	Vibrationsbehandling
BLNJ35	Whirlpool-behandling
BLNJ4	Strækbehandling af kolumna
BLNJ40	Strækbehandling af columna cervicalis
BLNJ41	Strækbehandling af columna lumbalis
BLNJ5	Strækbehandling af ekstremiteter
BLNJ50	Strækbehandling af skulder og overarm
BLNJ51	Strækbehandling af albue og underarm
BLNJ52	Strækbehandling af håndled, hånd og fingre
BLNJ53	Strækbehandling af hofte og lårben
BLNJ54	Strækbehandling af knæ og underben
BLNJ55	Strækbehandling af ankelled, fod og tæer
BLNK	Termoterapi ved lidelser i bevægeapparatet
BLNK6	Termoterapi
BLNK60	Behandling med ethyl-chlorid spray
BLNK61	Behandling med ispakninger
BLNK62	Behandling med kolde pakninger
BLNK63	Behandling med varme pakninger
BLNK64	Behandling med kortbølge
BLNK65	Behandling med mikrobølge
BLNK66	Behandling med paraffinbade
BLNK67	Behandling med sandboks
BLNK68	Behandling med vekselbade
BLNN	Interventioner i forbindelse med mobilisering
BLNN0	Generel mobilisering
BLNN01	Aktiv generel mobilisering
BLNN1	Kompenserende handling mhp. forflytning
BLNN10	Kompenserende handling mhp. at komme ud af seng
BLNN11	Kompenserende handling mhp. at komme i seng
BLNN12	Kompenserende handling mhp. at komme op af stol
BLNN13	Kompenserende handling mhp. at komme i stol
BLNN2	Kompenserende støtte ved træning
BLNN20	Kompenserende støtte ved gangtræning
BLNN21	Kompenserende støtte ved trappetræning
BLNN22	Kompenserende støtte ved brug af motionscykling
BLNN23	Kompenserende støtte ved sengecykling
BLNN24	Kompenserende støtte ved deltagelse i sport
BLNN3	Komp. handling mhp. påsætning af ekstremitets-protese
BLNN30	Kompenserende handling mhp. påsætning af armprotese
BLNN31	Kompenserende handling mhp. påsætning af håndprotese
BLNN32	Kompenserende handling mhp. påsætning af femurprotese
BLNN33	Kompenserende handling mhp. påsætning af crusprotese
BLNO	Interventioner i forbindelse med lejring
BLNO0	Vending af patient i seng
BLNO1	Elevation mhp hensigtsmæssig lejring af patient
BLNO10	Elevering af hovedgærde
BLNO11	Elevering af overekstremitet
BLNO12	Elevering af underekstremitet
BLNR	Aktivitetstræning af fysisk funktion
BLNR0	Træning/stimulering af generel fysisk funktion ved aktiv.
BLNR1	Vedligeholdelse af generel fysisk funktion ved aktivitet
BLNR2	Sanseintegrationstræning ved aktivitet
BLNR3	Træning og stim.af specifik fysisk funktion ved aktivitet
BLNR30	Sansetræning ved aktivitet
BLNR31	Tonusnormalisering ved aktivitet
BLNR32	Balancetræn.v. siddende,stående og gående stilling v.aktiv.
BLNR33	Instruktion i og korrektion af bevægemønstre ved aktivitet
BLNR34	Træning af ledbevægelighed ved aktivitet
BLNR35	Arvævsbehandling ved aktivitet
BLNR36	Ergoterapeutisk kontrakturbehandling
BLNR37	Krafttræning ved aktivitet
BLNR39	Udholdenhedstræning ved aktivitet
BLNR3A	Koordinationstræning ved aktivitet
BLNR3B	Kompensation for fysisk dysfunktion ved aktivitetstræning
BLNR3C	Vedligeholdelsestræning af specifik fysisk funktion
BLP	Immobilisering og forbinding med relation til bevægeapparate
BLPA	Immobilisering og forbinding af ekstremitet
BLPA0	Skinnebehandling af ekstremitet
BLPA1	Skinnebehandling af skulderled og overarm
BLPA10	Skinnebeh. af skulderled og overarm,blød bandage inkl støtte
BLPA11	Skinnebeh. af skulderled og overarm, hård præfabr.skinne
BLPA12	Skinnebeh. af skulderled og overarm, modellerbart materiale
BLPA13	Skinnebeh. af skulderled og overarm,indiv.fremstil.bandage
BLPA2	Skinnebehandling af albue og underarm
BLPA20	Skinnebeh. af albue og underarm,blød bandage inkl støttebind
BLPA21	Skinnebeh. af albue og underarm, hård præfabr. skinne
BLPA22	Skinnebeh. af albue og underarm, modellerbart materiale
BLPA23	Skinnebeh. af albue og underarm, indiv.fremstillet bandage
BLPA3	Skinnebehandling af hånd og håndled
BLPA30	Skinnebeh. af hånd og håndled, blød bandage inck støttebind
BLPA31	Skinnebeh. af hånd og håndled, hård præfabrikeret skinne
BLPA32	Skinnebeh. af hånd og håndled, modellerbart materiale
BLPA33	Skinnebeh. af hånd og håndled, individuelt fremstil. bandage
BLPA4	Skinnebehandling af finger
BLPA40	Skinnebeh. af fingre, blød bandage inkl. støttebind
BLPA41	Skinnebeh. af fingre, hård præfabrik. skinne eller bandage
BLPA42	Skinnebeh. af fingre, modellerbart materiale inkl. gips
BLPA43	Skinnebeh. af fingre, individuelt fremstillet bandage
BLPA5	Skinnebehandling af hofte og lår
BLPA50	Skinnebeh. af hofte og lår, blød bandage inkl. støttebind
BLPA51	Skinnebehandling af hofte og lår, hård præfabrikeret skinne
BLPA52	Skinnebeh. af hofte og lår, modellarbart materiale inkl gips
BLPA53	Skinnebeh. af hofte og lår, individuelt fremstillet bandage
BLPA6	Skinnebehandling af knæ
BLPA60	Skinnebehandling af knæ, blød bandage inck støttebind
BLPA61	Skinnebehandling af knæ, hård præfabrikeret skinne
BLPA62	Skinnebehandling af knæ, modellarbart materiale inkl gips
BLPA63	Skinnebehandling af knæ, individuelt fremstillet bandage
BLPA7	Skinnebehandling af underben
BLPA70	Skinnebehandling af underben, blød bandage inck støttebind
BLPA71	Skinnebehandling af underben, hård præfabrikeret skinne
BLPA72	Skinnebeh. af underben, modellarbart materiale inkl gips
BLPA73	Skinnebeh. af underben, individuelt fremstillet bandage
BLPA8	Skinnebehandling af ankelled og fod
BLPA80	Skinnebeh. af ankelled og fod, blød bandage inck støttebind
BLPA81	Skinnebeh. af ankelled og fod, hård præfabrikeret skinne
BLPA82	Skinnebeh. af ankelled og fod, modellerbart mat. inkl gips
BLPA83	Skinnebeh. af ankelled og fod, individ. fremstillet bandage
BLPB	Bandagering af kolumna
BLPB0	Bandagering af kolumna og bækken
BLPB00	Bandag. af kolumna og bækken, blød bandage inkl støttebind
BLPB01	Bandagering af kolumna og bækken, hård præfabrikeret skinne
BLPB02	Bandagering af kolumna og bækken,modellerbart mat. inkl gips
BLPB03	Bandagering af kolumna og bækken, individ. fremst. bandage
BLPB0y	Bandagering af kolumna og bækken
BLPB1	Bandagering af columna cervicalis
BLPB10	Bandager. af columna cervicalis, bl. bandage inkl støttebind
BLPB11	Bandagering af columna cervicalis, hård præfabrikeret skinne
BLPB12	Bandager. af columna cervicalis,modellerbart mat. inkl gips
BLPB13	Bandagering af columna cervicalis, individ. fremst. bandage
BLPC	Immobilisering af overekstremitet med cirkulær bandage
BLPC0	Behandling af overekstremitet med cirkulær bandage
BLPC00	Beh. af overekstremitet med cirkulær bandage, blød
BLPC01	Beh. af overekstr. m. cirkulær bandage, hård præfabr..
BLPC02	Beh. af overekstremitet med cirkulær bandage, modellerbart
BLPC03	Beh. af overekstremitet m. cirkulær bandage, individ. frems.
BLPC1	Behandling af skulderled og overarm med cirkulær bandage
BLPC10	Beh. af skulderled og overarm m. cirkulær bandage, blød
BLPC11	Beh. af skulderled og overarm m. cirkulær bandage, hård
BLPC12	Beh. af skulderled og overarm m. cirkulær bandage,modellerb.
BLPC13	Beh. af skulderled og overarm m. cirkulær bandage, individ.
BLPC2	Behandling af albue og underarm med cirkulær bandage
BLPC20	Beh. af albue og underarm m. cirkulær bandage, blød
BLPC21	Beh. af albue og underarm m. cirkulær bandage, hård præfabr.
BLPC22	Beh. af albue og underarm m. cirkulær bandage, modellerbart
BLPC23	Beh. af albue og underarm m. cirkulær bandage,individ.frems.
BLPC3	Behandling af hånd og håndled med cirkulær bandage
BLPC30	Beh. af hånd og håndled m. cirkulær bandage, blød
BLPC31	Beh. af hånd og håndled m. cirkulær bandage, hård præfabr.
BLPC32	Beh. af hånd og håndled m. cirkulær bandage, modellerbart
BLPC33	Beh. af hånd og håndled m. cirkulær bandage, individ. frems.
BLPC4	Behandling af finger med cirkulær bandage
BLPC40	Beh. af fingre med cirkulær bandage, blød bandage
BLPC41	Beh. af fingre med cirkulær bandage, hård præfabrikeret.
BLPC42	Beh. af fingre med cirkulær bandage, modellerbart materiale
BLPC43	Beh. af fingre med cirkulær bandage, individ. fremstillet
BLPD	Immobilisering af underekstremitet med cirkulær bandage
BLPD0	Behandling af underekstremitet med cirkulær bandage
BLPD00	Beh. af underekstremitet med cirkulær bandage, blød
BLPD01	Beh. af underekstremitet m. cirkulær bandage, hård præfabr..
BLPD02	Beh. af underekstremitet med cirkulær bandage, modellerbart
BLPD03	Beh. af underekstremitet m. cirkulær bandage,individ. frems.
BLPD1	Behandling af hofte og lår med cirkulær bandage
BLPD10	Beh. af hofte og lår  med cirkulær bandage, blød
BLPD11	Beh. af hofte og lår med cirkulær bandage, hård præfabr.
BLPD12	Beh. af hofte og lår med cirkulær bandage, modellerbart
BLPD13	Beh. af hofte og lår med cirkulær bandage, individ. frems.
BLPD2	Behandling af knæ med cirkulær bandage
BLPD20	Beh. af knæ med cirkulær bandage, blød bandage inkl.støtte
BLPD21	Beh. af knæ med cirkulær bandage, hård præfabr.
BLPD22	Beh. af knæ med cirkulær bandage, modellerbart materiale
BLPD23	Beh. af knæ med cirkulær bandage, individuelt fremstillet
BLPD3	Behandling af underben med cirkulær bandage
BLPD30	Beh. af underben med cirkulær bandage, blød bandage
BLPD31	Beh. af underben med cirkulær bandage, hård præfabr.
BLPD32	Beh. af underben med cirkulær bandage, modellerbart mat.
BLPD33	Beh. af underben m. cirkulær bandage,individuelt fremstillet
BLPD4	Behandling af ankelled og fod med cirkulær bandage
BLPD40	Beh. af ankelled og fod m. cirkulær bandage, blød bandage
BLPD41	Beh. af ankelled og fod m. cirkulær bandage, hård præfabr.
BLPD42	Beh. af ankelled og fod m. cirkulær bandage, modellerbart
BLPD43	Beh. af ankelled og fod m. cirkulær bandage, individuelt
BLPY	Immobiliserende beh. og forbinding ikke klass. andetsteds
BLPY0	Behandling med stumpbandage
BLPY1	Behandling med DB-skinne
BLPY20	Anlæggelse af DB-skinne
BLPY21	Justering af DB-skinne
BLPY9	Immobilisernde behandling ikke klassificeret andetsteds
BLPY90	Behandling med mitella eller slynge
BLPY91	Behandling med tapening
BLPZ	Delprocedurer ved behandling med immobiliserende bandage
BLPZ0	Fjernelse af cirkulær gipsbandage
BLX	Andre interventioner med relation til bevægeapperatet
BLXA	Immobilisering ved sengeleje
BLXA0	Immobilisering i fladt rygleje
BLXA1	Immobilisering i rygleje med pude under hovedet
BLXB	Specificerede interventioner med relation til bevægeapperate
BLXB0	Fodterapeutisk behandling
BLXB00	Fodterapeutisk delbehandling
BLXB1	Behandling med indlæg i fodtøj
BLXB10	Indlæg i fodtøj efter funktionelt aftryk
BLXB2	Individuel aflastning af tå
BLXB20	Individuel aflastning af tå med 'Evazote'
BLXB21	Individuel aflastning af tå med silicone
BLXB22	Individuel aflastning af tå med skumgummi
BLXB3	Hælsko behandling
BM	Perifere kredsløb og lymfesystem
BMB	Anvendelse af perkutan adgang til kredsløbet
BMBA	Anvendelse af kanyle som adgang til kredsløbet
BMBA0	Anv.af kanyle som adgang til det peri.venøse kredsløb
BMBA00	Venepunktur
BMBA01	Venesektio
BMBA02	Anlæggelse af permanent venekanyle
BMBA03	Skalpvenepunktur
BMBA1	Anv. af kanyle som adgang til det arterielle kredsløb
BMBA10	Arteriepunktur
BMBD	Anvendelse af kateter som adgang til kredsløbet
BMBD0	Anv. af kateteradgang til det centrale venøse kredsløb
BMBD00	Anvendelse af centralt venekateter gennem v. jugularis
BMBD01	Anvendelse af centralt venekateter gennem vena subclavia
BMBD1	Anvendelse af kateteradgang til det arterielle kredsløb
BMBZ	Delprocedurer ved anvendelse af perkutan adgang til kredsløb
BMBZ0	Anlæggelse af kanyle i kredsløbet
BMBZ00	Anlæggelse af venekanyle
BMBZ1	Skiftning af kanyle
BMBZ10	Skiftning af venekanyle
BMBZ2	Fjernelse af kanyle
BMBZ20	Fjernelse af venekanyle
BMBZ5	Anlæggelse af kateter i kredsløbet
BMBZ50	Anlæggelse af venekateter
BMBZ50A	Perkutan nyrevenekateterisation
BMBZ50B	Perkutan binyrevenekateterisation
BMBZ50C	Perkutan levervenekateterisation
BMBZ51	Anlæggelse af centralt venekateter (CVK)
BMBZ52	Anlæggelse af arteriekateter
BMBZ6	Skiftning af kateter i kredsløbet
BMBZ60	Skiftning af venekateter
BMBZ61	Skiftning af centralt venekateter (CVK)
BMBZ62	Skiftning af arteriekateter
BMBZ7	Fjernelse af kateter i kredsløbet
BMBZ70	Fjernelse af venekateter
BMBZ71	Fjernelse af centralt venekateter (CVK)
BMBZ72	Fjernelse af arteriekateter
BMD	Anvendelse af hjælpemidler i relation til det perifere kreds
BMDD	Behandling med støttestrømper
BMDD0	Behandling med crusstøttestrømpe
BMDD1	Behandling med femurstøttestrømpe
BMDD2	Behandling med armstøttestrømpe
BMDD5	Måltagning til støttestrømpe
BMDD6	Kompenserende handling ved anvendelse af støttestrømper
BMDD60	Kompenserende handling ved påtagning af støttestrømper
BMDD61	Kompenserende handling ved aftagning af støttestrømper
BMF	Interventioner ved kredsløbssvigt mm.
BMFF	Ødembehandling
BMFF0	Ødembehandling og ødemprofylakse
BMFF00	Ødembehandling ved elevation
BMFF01	Ødembehandling ved elevation og aktivitet
BMFF02	Ødembehandling ved kompression
BMFF03	Ødembehandling ved kompression og aktivitet
BMFF04	Ødembehandling ved dynamisk arbejde og arbejdstræning
BMFF05	Ødembehandling ved manuel terapi
BMFF1	Lymfødembehandling
BMFF10	Drænage ved lymfødembehandling
BMFF11	Hudpleje ved lymfødembehandling
BMFF12	Bandagering ved lymfødembehandling
BMFF2	Venepumpeterapi
BMFL	Intervention til regulering af kropstemperatur
BMFL0	Legemsopvarmning med isolering og passiv varmekilde
BMFL00	Legemsopvarmning med dyne
BMFL01	Legemsopvarmning med varmepakning
BMFL02	Legemsopvarmning med varmedunk
BMFL03	Legemsopvarmning med varmt linned
BMFL04	Legemsopvarmning med varmesvøb
BMFL05	Legemsopvarmning med benvarmere
BMFL06	Legemsopvarmning med termolagen
BMFL07	Legemsopvarmning med termotæppe
BMFL1	Legemsopvarmning med aktiv varmekilde
BMFL10	Legemsopvarmning med el-varmetæppe
BMFL11	Legemsopvarmning med varmemadras
BMFL12	Legemsopvarmning med varmepude
BMFL13	Legemsopvarmning i varmekasse
BMFL14	Legemsopvarmning med varmelampe
BMFL15	Legemsopvarmning i kuvøse
BMFL3	Legemsafkøling ved afdækning og afkøling
BMFL30	Legemsafkøling ved fjernelse af dyne
BMFL31	Legemsafkøling med kold pakning
BMFL32	Legemsafkøling ved kold afvaskning
BMFL33	Legemsafkøling med vifte
BMFL34	Legemsafkøling ved indpakning i vådt lagen
BMFL35	Legemsafkøling med ispose
BMH	Medikamentel behandling af perifere kredsløbslidelser
BMHC	Behandling med midler med virkning på det perifere kredsløb
BMHC0	Behandling med perifere kardilaterende middel
BMHC5	Behandling med varice- og hæmoridemiddel
BMK	Pædagog.interv.med rel.til det perif.kredsløb og lymfesyst.
BML	Soignering mm.  med relation til det perifere kredsløb
BMLA	Soignering af kanyle og kateter
BMLA0	Soignering af venekanyle og -kateter
BMLA01	Børstning af centralt venøst kateter (CVK)
BMLA1	Soignering af arteriekateter
BN	Hud og underhud
BND	Trykaflastning ved brug af hjælpemidler
BNDD	Anvendelse af hjælpemiddel til trykaflastning
BNDD0	Anvendelse af trykaflastende underlag
BNDD00	Anvendelse af spencomadras til trykaflastning
BNDD01	Anvendelse af vandmadras til trykaflastning
BNDD02	Anvendelse af luftmadras til trykaflastning
BNDD03	Anvendelse af pude til trykaflastning
BNDD04	Anvendelse af viskoelastisk skum
BNDD05	Anvendelse af dynamisk vekseltryksmadras
BNG	Behandling med lys og anden ikke ioniseret stråling
BNGA	UVA-Lysbehandling
BNGA1	Lysbehandling, UV-A med psoralen
BNGA10	Lysbehandling, UV-A med psoralen, universel
BNGA11	Lysbehandling, UV-A med psoralen, hænder
BNGA12	Lysbehandling, UV-A med psoralen, fødder
BNGA13	Lysbehandling, UV-A med psoralen, hovedet
BNGA14	Lysbehandling, UVA med psoralenbad, universelt
BNGA15	Lysbehandling, UVA med psoralenbad, hænder, fødder og hoved
BNGA2	Lysbehandling, UV-B, bredspektret
BNGA20	Lysbehandling, UV-B, bredspektret, universel
BNGA21	Lysbehandling, UV-B, bredspektret, hånd
BNGA22	Lysbehandling, UV-B, bredspektret, fod
BNGA23	Lysbehandling, UV-B, bredspektret, hovedet
BNGA3	Lysbehandling, UV-B, smalspektret
BNGA30	Lysbehandling, UV-B, smalspektret, universel
BNGA31	Lysbehandling, UV-B, smalspektret, hånd
BNGA32	Lysbehandling, UV-B, smalspektret, fod
BNGA33	Lysbehandling, UV-B, smalspektret, hovedet
BNGA7	Lysbehandling med blitzlampe
BNGA70	Lysbehandling med blitzlampe, 550-950 nanometer (kar)
BNGA71	Lysbehandling med blitzlampe, 600-960 nanometer (hår)
BNGC	Fototerapi
BNGC0	Fototerapi af nyfødte
BNGC1	Fotodynamisk terapi
BNGC10	Fotodynamisk terapi med blitzlampelys
BNGD	Strålebehandling af hud og underhud
BNGD0	Dermatologisk Bucky-bestråling
BNGL	Behandling med laser
BNGL0	Dermatologisk laserbehandling
BNGL00	Dermatologisk behandling med CO2-laser
BNGL01	Dermatologisk behandling med farvestof-laser
BNGL02	Dermatologisk behandling med rubin-laser
BNH	Medikamentel behandling af hudlidelser
BNHA	Behandling med antimykotika
BNHA0	Lokalbehandling med antimykotika
BNHC	Behandling med psoriasismiddel
BNHC0	Lokalbehandling med psoriasismiddel
BNHC1	Systemisk behandling med psoriasismiddel
BNHG	Dermatologisk lokalbehandling med antibiotikum
BNHG0	Lokalbehandling med antibiotikum
BNHG00	Lokalbehandling med antibakterielt middel
BNHG01	Lokalbehandling med antiviralt middel
BNHI	Behandling med acnemiddel
BNHI0	Lokalbehandling med acnemiddel
BNHI1	Systemisk behandling med acnemiddel
BNHJ	Dermatologisk lokalbehandling med glukocortikoid
BNHJ0	Lokalbehandling med glukortikoid
BNHJ1	Lokalbehandling med glukortikoid i kombination med andet sto
BNHJ2	Lokalbeh.med glukortikoid i kombination med antiinfektivum
BNHK	Behandling med middel mod hårtab
BNHK0	Lokalbehandling med middel mod hårtab
BNHK1	Systemisk behandling med middel mod hårtab
BNHL	Cytostatisk behandling af hudtumor
BNHN	Behandling med middel mod ektoparasitter
BNHN0	Behandling med scabies middel
BNHN1	Behandling med middel mod lus
BNHY	Systemisk beh.m. dermatologisk middel ikke klass.andetsteds
BNK	Pædagogisk intervention med relation til hud og underhud
BNKA	Vejledning i hensigtsmæssig hudpleje
BNL	Skiftning og soignering med relation til hud og underhud
BNLB	Hudbehandling
BNLB0	Desinficering af hud
BNLB1	Afklipning af bullae
BNLB2	Pålægning af lærredsklude
BNLB3	Iltning af hud
BNLB4	Hud-ekspandering med ballon
BNLB5	Ekstern hud-ekspandering
BNLB6	Smøring af hud
BNLB60	Smøring af hud med blødgørende middel
BNLB61	Smøring af hud med keratolytisk middel
BNLB62	Smøring af hud med vortemiddel
BNLC	Rensning af hud
BNLC0	Hudvask
BNLC00	Skylning af hudområde
BNLC01	Steril afvaskning
BNLH	Procedurer vedrørende hår, hårbund og hårvækst
BNLH0	Medicinsk hårvask
BNLH00	Medicinsk hårvask med olie
BNLH1	Fjernelse af hårvækst
BNLH10	Rasering
BNLH11	Epilering
BNLH2	Behandling af hårbund ikke klassificeret andetsteds
BNLH3	Brug af arpkam
BNP	Forbinding og anden behandling af hudlidelser
BNPA	Sårbehandling
BNPA0	Rensning af sår
BNPA00	Afvaskning af sår
BNPA01	Skrubning af sår
BNPA02	Afklipning af nekrose
BNPA1	Forbinding af sår
BNPA10	Pålægning af forbinding til opløsning af nekrose og fibrin
BNPA11	Pålægning af sugende forbinding
BNPA12	Pålægning af forbinding med semipermeabel membran
BNPA13	Pålægning af occlusionsforbinding
BNPA14	Pålægning af omslag
BNPA15	Pålægning af steril bandage
BNPA2	Fiksering af forbinding
BNPA20	Fiksering af forbinding med hæfteplaster
BNPA21	Fiksering af forbinding med heldækkende plaster
BNPA22	Fiksering af forbinding med gazebind
BNPA23	Fiksering af forbinding med tubegaze
BNPA3	Sårbehandling med salve mm.
BNPA30	Applicering af creme på sår
BNPA31	Applicering af salve på sår
BNPA32	Pålægning af salvekompres på sår
BNPA4	Skiftning af sår
BNPA40	Skiftning af sår med steril forbinding
BNPA41	Skiftning af sår med ren forbinding
BNPA5	Pleje af brandsår og ætsninger
BNPA50	Skylning af hud og slimhinder ved brandsår
BNPA51	Skylning af hud og slimhinder ved ætsninger
BNPA8	Andre procedurer vedrørende sårbehandling
BNPA80	Suturfjernelse
BNPA81	Agraf-fjernelse
BNPA82	Lukning af sår med hæfteplaster
BNPA83	Lukning af sår med steristrips
BNPA84	Lukning af sår med lim (histoacryl)
BNPA85	Fjernelse af sårdræn
BNPA9	Sårbehandling ikke klassificeret andetsteds
BNPA90	Iltning af sår
BNPA91	Skylning af sår gennem sonde
BNPC	Dermatologisk bandagebehandling
BNPC0	Behandling med kortstrækbind
BNPC1	Behandling med langstrækbind
BNPC2	Behandling med zinklimsbandage
BNPC20	Pålægning af zinklimsbandage
BNPC21	Fjernelse af zinklimsbandage
BNPF	Interventioner ved hudtransplantation
BNPF0	Pålægning af hudtransplantat
BNPF1	Pleje af hudtransplantat
BNPF2	Pleje af huddonorsted
BNX	Andre interventioner med relation til hud og underhud
BNXA	Anden spec.intervention med relation til hud og underhud
BNXA0	Iontoforese
BNXA1	Medicinsk badebehandling
BNXA10	Medicinsk oliebad
BNXA11	Medicinsk bad med stenkulstjære
BNXA12	Medicinsk bad med bøgetræstjære
BNXA13	Medicinsk bad med kvillajatjære
BNXA14	Medicinsk bad med kaliumpermanganat (rødt bad)
BNXA15	Lokalbehandling med kaliumpermanganat (rødt bad)
