OPR	OPRNAVN
KNBA29C	Biopsi af bløddele på overarmen uden specifikation
KNBA30	Biopsi af humerus, scapula eller clavikel, perkutan
KNBA30A	Biopsi af humerus, perkutan
KNBA30B	Biopsi af scapula, perkutan
KNBA30C	Biopsi af clavikel, perkutan
KNBA31	Biopsi af humerus, scapula eller clavikel, artroskopisk
KNBA31A	Biopsi af humerus, artroskopisk
KNBA31B	Biopsi af scapula, artroskopisk
KNBA31C	Biopsi af clavikel, artroskopisk
KNBA32	Biopsi af humerus, scapula eller clavikel, åben
KNBA32A	Biopsi af humerus clavikel, åben
KNBA32B	Biopsi af scapula, åben
KNBA32C	Biopsi af clavikel, åben
KNBA39	Biopsi af humerus, scapula eller clavikel uden specifikatio
KNBA39A	Biopsi af humerus uden specifikation
KNBA39B	Biopsi af scapula uden specifikation
KNBA39C	Biopsi af clavikel uden specifikation
KNBB	Primær ledprotese implantation i skulderregionen
KNBB00	Indsæt. af delprotese, ucem, art. humeroscap, flere kompon
KNBB01	Indsæt. af delprotese, ucem, art. humeroscap, prox kompon.
KNBB02	Indsæt. af delprotese, ucem, art. humeroscap, dist kompon.
KNBB09	Indsættelse af delprotese, ucem, art. humeroscap. u spec
KNBB10	Indsætt. af delprotese, cem, art. humeroscap, flere kompon
KNBB11	Indsætt. af delprotese, cem, art. humeroscap, prox kompon.
KNBB12	Indsætt. af delprotese, cem, art. humeroscap, dist kompon.
KNBB19	Indsættelse af delprotese, cem, art. humeroscap. uden spec
KNBB20	Indsættelse af totalprotese, ucementeret, i art. humeroscap
KNBB30	Indsættelse af totalprotese, hybrid, i art. humeroscapulari
KNBB40	Indsættelse af totalprotese, cementeret, i art. huemeroscap
KNBB59	Indsættelse af interponeret protese, i art. humeroscapulari
KNBB80	Indsættelse af ledprotese i led i skulder, flere komponente
KNBB81	Indsættelse af ledprotese i led i skulder, prox. komponent
KNBB82	Indsættelse af ledprotese i led i skulder, distal komponent
KNBB89	Indsættelse af ledprotese i led i skulder uden specifikatio
KNBB99	Indsættelse af anden ledprotese i skulderregionen
KNBC	Sekundær ledproteseimplantation i skulderregionen
KNBC00	Sek. indsætt af delprot, ucem, art. hum.scap, flere kompone
KNBC01	Sek. indsætt af delprot, ucem, art hum.scap, komponent, pro
KNBC02	Sek. indsætt af delprot, ucem, art hum.scap, komponent, dis
KNBC09	Sek. indsættelse af delprotese, ucem, i art. hum.scap u spe
KNBC10	Sek. indsætt af delprot, cem, i art. hum.scap, flere kompon
KNBC11	Sek. indsætt af delprotese, cem, i art. hum.scap, prox komp
KNBC12	Sek. indsætt af delprotese, cem, i art. hum.scap, dist komp
KNBC19	Sek. indsættelse af delprotese, cem, i art. hum.scap u spec
KNBC20	Sek. indsætt af totalprot/del af, ucem hum.scap, fl kompone
KNBC21	Sek. indsætt af totalprot/del af, ucem hum.scap, prox kompo
KNBC22	Sek. indsætt af totalprot/del af, ucem. hum.scap dist kompo
KNBC29	Sek. indsætt af totalprot/del af, ucem. art hum.scap u spec
KNBC30	Sek. indsætt af totalprot/del af, hybrid, hum.scap, fl komp
KNBC31	Sek. indsætt af totalprot/del af, hybrid, hum.scap prox kom
KNBC32	Sek. indsætt af totalprot/del af, hybrid, hum.scap dist kom
KNBC39	Sek. indsætt af totalprot/del af, hybrid, hum.scap u spec
KNBC40	Sek. indsætt af totalprot/del af cem art hum.scap flere kom
KNBC41	Sek. indsætt af totalprot/del af cem art hum.scap, prox kom
KNBC42	Sek. indsætt af totalprot/del af cem art hum.scap, dist kom
KNBC49	Sek. indsætt af totalprot/del af, cem, i art hum.scap u spe
KNBC59	Sek. indsættelse af interponeret protese i art. hum.scap
KNBC80	Sek. indsætt af ledprot i led i skulder, flere komponenter
KNBC81	Sek. indsætt af ledprotese i led i skulder, komponent, prox
KNBC82	Sek. indsætt af ledprotese i led i skulder, komponent, dist
KNBC89	Sek. indsættelse af ledprotese i andre led i skulder u spec
KNBC99	Sekundær indsættelse af anden ledprotese i skulderegsionen
KNBE	Operationer på ledkapsler og ledbånd i skulderleddet
KNBE01	Capsulotomia/capsulorapphia i skulderleddet, artroskopisk
KNBE02	Capsulotomia/capsulorapphia i skulderleddet, åben
KNBE09	Capsulotomia/capsulorapphia i skulderleddet uden spec
KNBE11	Trancisio s. resectio ligamenti art. hum.scap, artroskopisk
KNBE12	Trancisio s. resectio ligamenti art. hum.scap, åben
KNBE19	Trancisio s. resectio ligamenti art. hum.scap uden spec
KNBE21	Ligamentorrhaphia, art. reg. humeroscapularis, artroskopisk
KNBE22	Ligamentorrhaphia, art. regionis humeroscapularis, åben
KNBE29	Ligamentorrhaphia, art. regionis humeroscapularis uden spec
KNBE31	Transpositio ligamenti reg. hum.scap, artroskopisk
KNBE32	Transpositio ligamenti reg. hum.scap, åben
KNBE39	Transpositio ligamenti reg. hum.scap uden specifikation
KNBE41	Op. plast/reconstr. lig. reg. hum.scap, u frem.leg, artrosk
KNBE42	Op. plast/reconstr. lig. reg. humeroscap, u fremmedleg, åbe
KNBE49	Op. plast/reconstr. lig. reg. hum.scap, u fremmedleg. u spe
KNBE51	Op. plast/reconstr. lig. reg. hum.scap, m frem.leg, artrosk
KNBE52	Op. plast/reconstr. lig. reg. humeroscap, m fremmedleg, åbe
KNBE59	Op. plast/reconstr. lig. reg humeroscap m fremmedleg. u spe
KNBE91	Op. på skulderens ledkapsler og ledbånd, artroskopisk, ande
KNBE92	Operation på skulderens ledkapsler og ledbånd, åben, anden
KNBE99	Op. på skulderens ledkapsler og ledbånd uden spec, anden
KNBF	Operationer på synovialis og ledflader i skulderregionen
KNBF01	Synovectomia art. regio hum.scap, artroskopisk
KNBF02	Synovectomia art. regio hum.scap, åben
KNBF09	Synovectomia art. regio hum.scap uden specifikation
KNBF11	Synovectomia partialis art. humeroscap, artroskopisk
KNBF12	Synovectomia partialis art. humeroscap, åben
KNBF19	Synovectomia partialis art. humeroscap uden specifikation
KNBF21	Op. pro osteochondritide art. reg. humeroscap, artroskopisk
KNBF22	Operatio pro osteochondritide art. reg. humeroscap, åben
KNBF29	Operatio pro osteochondritide art. reg. humeroscap. u spec
KNBF31	Chondrectomia articuli part. art. humeroscap, artroskopisk
KNBF32	Chondrectomia articuli partialis art. humeroscap, åben
KNBF39	Chondrectomia articuli partialis art. humeroscap. uden spec
KNBF91	Op. på synovia og brusk i skulderregion, artroskopisk, ande
KNBF92	Operation på synovia og brusk i skulderregionen, åben, ande
KNBF99	Op. på synovia og brusk i skulderregionen uden spec, anden
KNBG	Ledresektion, artroplastikker og artrodeser i skulderregion
KNBG09	Resectio articuli/resektionsartroplastik i skulderregionen
KNBG19	Interpositionsartroplastik i skulderregionen
KNBG29	Artroplastik u proteseimplantation i skulderregionen, anden
KNBG39	Artrodese uden fiksationsmateriale i skulderregionen
KNBG49	Artrodese m. intern fiksation i skulderregionen
KNBG59	Artrodese m. ekstern fiksation i skulderregionen
KNBG99	Artrodese, skulderregionen, anden
KNBH	Andre ledoperationer i skulderregionen
KNBH00	Reposition af art. humeroscapularis, perkutan
KNBH01	Reposition af art. humeroscapularis, artroskopisk
KNBH02	Reposition af art. humeroscapularis, åben
KNBH09	Reposition af art. humeroscapularis uden specifikation
KNBH10	Reposition af andre led i skulderregionen, perkutan
KNBH11	Reposition af andre led i skulderregionen, artroskopisk
KNBH12	Reposition af andre led i skulderregionen, åben
KNBH19	Reposition af andre led i skulderregionen uden specifikatio
KNBH20	Reposition af luxeret ledprotese i skulder, perkutan
KNBH21	Reposition af luxeret ledprotese i skulder, artroskopisk
KNBH22	Reposition af luxeret ledprotese i skulder, åben
KNBH29	Reposition af luxeret ledprotese i skulder, u specifikation
KNBH30	Lysis adhaesiones articuli reg. humeroscapularis, perkutan
KNBH31	Lysis adhaesiones articuli reg. humeroscap, artroskopisk
KNBH32	Lysis adhaesiones articuli reg. humeroscapularis, åben
KNBH39	Lysis adhaesiones articuli reg. humeroscapularis uden spec
KNBH40	Amotio corp libera s. alieni art. reg. humeroscap, perkutan
KNBH41	Amotio corp. libera s. alieni art. reg. humeroscap, artrosk
KNBH42	Amotio corporis libera s. alieni art. reg. humeroscap, åben
KNBH49	Amotio corp libera s. alieni art. reg. humeroscap. uden spe
KNBH50	Abrasio/resectio exost. oss. art. reg. humeroscap, perkutan
KNBH51	Abrasio/resectio exost. oss.art. reg. humeroscap, artroskop
KNBH52	Abrasio/resectio exostosis ossis art. reg. humeroscap, åben
KNBH59	Abrasio/resectio exostosis oss. art. reg. humeroscap. u spe
KNBH70	Op. pro lux. habitualis art. reg. humeroscapularis, perkuta
KNBH71	Op. pro lux. hab. art. reg. humeroscapularis, artroskopisk
KNBH72	Op. pro lux. habitualis art. reg. humeroscapularis, åben
KNBH79	Op. pro lux. habitualis art. reg. humeroscapularis u spec
KNBH90	Operationes art. reg. humeroscap. aliae s non spec, perkuta
KNBH91	Operationes art reg. humeroscap. aliae s non spec, artrosko
KNBH92	Operationes articuli reg. humeroscap. aliae s non spec, åbe
KNBH99	Operationes articuli reg humeroscap. aliae s non spec u spe
KNBJ	Frakturbehandling, skulderregion og overarm
KNBJ01	Frakturreposition, humerus, lukket
KNBJ02	Frakturreposition, clavicula, lukket
KNBJ03	Frakturreposition, scapula, lukket
KNBJ09	Frakturreposition, lukket, skulderregion og overarm uspec.
KNBJ11	Frakturreposition, humerus, åben
KNBJ12	Frakturreposition, clavicula, åben
KNBJ13	Frakturreposition, scapula, åben
KNBJ21	Ekstern fiksation af fraktur, humerus
KNBJ22	Ekstern fiksation af fraktur, clavicula
KNBJ23	Ekstern fiksation af fraktur, scapula
KNBJ31	Intern fiksation af fraktur, humerus med bioimplantater
KNBJ32	Intern fiksation af fraktur, clavicula med bioimplantater
KNBJ33	Intern fiksation af fraktur, scapula med bioimplantater
KNBJ41	Intern fiksation af fraktur, humerus m tråde, stave, cercl.
KNBJ42	Intern fiksation af fraktur, clavicula, tråde, stave, m.v.
KNBJ43	Intern fiksation af fraktur, scapula med tråde, stave, cerc
KNBJ51	Intern fiksation af fraktur, humerus med marvsøm
KNBJ52	Intern fiksation af fraktur, clavicula med marvsøm
KNBJ61	Intern fiksation af fraktur, humerus med skinner og plader
KNBJ62	Intern fiksation af fraktur, clavicula med skinner og plade
KNBJ63	Intern fiksation af fraktur, scapula med skinner og plader
KNBJ71	Intern fiksation af fraktur, humerus med skruer alene
KNBJ72	Intern fiksation af fraktur, clavicula med skruer alene
KNBJ73	Intern fiksation af fraktur, scapula med skruer alene
KNBJ81	Intern fiksation af fraktur, humerus med andre metoder
KNBJ82	Intern fiksation af fraktur, clavicula, kombinerede metoder
KNBJ83	Intern fiksation af fraktur, scapula med andre metoder
KNBJ91	Frakturbehandling, humerus anden
KNBJ92	Frakturbehandling, clavicula, anden
KNBJ93	Frakturbehandling, scapula, anden
KNBK	Knogleoperationer, skulderregion og overarm
KNBK01	Excisio sequestris s. fragmentis ossis, humerus
KNBK02	Excisio sequestris s. fragmentis ossis, clavicula
KNBK03	Excisio sequestris s. fragmentis ossis, scapula
KNBK11	Excisio exostosis ossis/resectio ossis, humerus
KNBK11A	Excisio exostosis ossis, humerus
KNBK11B	Excisio s. resectio ossis partialis, humerus
KNBK11C	Excisio s. resectio ossis totalis, humerus
KNBK12	Excisio exostosis ossis/resectio ossis, clavicula
KNBK12A	Excisio exostosis ossis, clavicula
KNBK12B	Excisio s. resectio ossis partialis, clavicula
KNBK12C	Excisio s. resectio ossis totalis, clavicula
KNBK13	Excisio exostosis ossis/resectio ossis, scapula
KNBK13A	Excisio exostosis ossis, scapula
KNBK13B	Excisio s. resectio ossis partialis, scapula
KNBK13C	Excisio s. resectio ossis totalis, scapula
KNBK21	Fenestratio s. inforatio ossis, humerus
KNBK22	Fenestratio s. inforatio ossis, clavicula
KNBK23	Fenestratio s. inforatio ossis, scapula
KNBK31	Excochleatio (curettage) cystis ossis, humerus
KNBK32	Excochleatio (curettage) cystis ossis, clavicula
KNBK33	Excochleatio (curettage) cystis ossis, scapula
KNBK41	Epiphysiodesis ossis, humerus
KNBK42	Epiphysiodesis ossis, clavicula
KNBK43	Epiphysiodesis ossis, scapula
KNBK51	Osteotomia ossis, humerus
KNBK52	Osteotomia ossis, clavicula
KNBK53	Osteotomia ossis, scapula
KNBK61	Osteotomia ossis pro elongatione/abbreviatio ossis, humerus
KNBK61A	Osteotomia ossis pro elongatione ossis, humerus
KNBK61B	Osteotomia ossis pro abbreviatio ossis, humerus
KNBK62	Osteotomia ossis pro elongatione/abbrev. ossis, clavicula
KNBK62A	Osteotomia ossis pro elongatione ossis, clavicula
KNBK62B	Osteotomia ossis pro abbreviatio ossis, clavicula
KNBK71	Operation m.h.p. bonetransport, humerus
KNBK72	Operation m.h.p. bonetransport, clavicula
KNBK73	Operation m.h.p. bonetransport, scapula
KNBK81	Operation m.h.p. tractio epiphysis, humerus
KNBK82	Operation m.h.p. tractio epiphysis, clavicula
KNBK83	Operation m.h.p. tractio epiphysis, scapula
KNBK91	Knogleoperation, humerus, anden
KNBK92	Knogleoperation, clavicula, anden
KNBK93	Knogleoperation, scapula, anden
KNBL	Muskel- og seneoperationer i skulderregion og på overarm
KNBL04	Excisio musculi i skulderregion og på overarm
KNBL09	Lysis musculi i skulderregionen og på overarmen
KNBL19	Operatio myoplastica s. musculorrhaphia i skulder og overar
KNBL29	Transpositio musculorum i skulderregionen og på overarmen
KNBL39	Teno/myotomi i skulderregionen og på overarmen
KNBL49	Tenorrhaphia s. reinsertio tendinis i skulder og på overarm
KNBL59	Tenolyse/tenosynovektomi i skulderregionen og på overarm
KNBL69	Tenodese/op. pro elongat s. abbrev tend, skulder og overarm
KNBL79	Resectio tendinis i skulderregionen og på overarmen
KNBL89	Transpositio tendinis i skulderregionen og på overarmen
KNBL99	Muskel- og seneoperation i skulderregionen og overarm, ande
KNBM	Op.på fascie,seneskede,ganglie,bursa i skulderreg.og overar
KNBM09	Fasciotomia i skulderregionen og på overarmen
KNBM19	Fasciectomia partialis/totalis i skulderregionen og overarm
KNBM29	Fasciorrhaphia i skulderregionen og på overarmen
KNBM79	Excisio bursae i skulderregionen og på overarmen
KNBM99	Op. på fascie, senesk, gangl, bursae, skulder/overarm, ande
KNBN	Transplantationer i skulderregionen og på overarmen
KNBN09	Autotransplantatio ossis i skulderregionen og på overarmen
KNBN19	Allotransplantatio ossis i skulderregionen og på overarmen
KNBN29	Xenotransplantatio ossis i skulderregionen og på overarm
KNBN39	Transplantatio tendinis i skulderregionen og på overarmen
KNBN49	Transpl. cartilaginis/periostis/fasciae i skulder og overar
KNBN99	Transplantation, i skulderregionen og på overarmen, anden
KNBP	Reimplantationer af overekstremitet over albueniveau
KNBP29	Reimplantation af overekstremiteten over albueniveau
KNBQ	Amputationskirurgi i skulderregionen eller på overarmen
KNBQ01	Amputatio interthoracoscapularis
KNBQ09	Exarticulatio art. humeroscapularis
KNBQ19	Amputatio humeri
KNBQ29	Stumprevision efter amputation i skulder eller på overarm
KNBQ99	Amputationskirurgi i skulderreg. eller på overarmen, anden
KNBR	Tumorbehandling i skulderregionen og på overarmen
KNBR09	Excisio af bløddelstumor i skulderreg. og overarm, inkomple
KNBR19	Excision af bløddelstumor i skulderreg. og overarm, komplet
KNBR29	Excision af bløddelstumor i skulderreg. og overarm, udvidet
KNBR39	Blokexcision i forb. m bløddelstumor, skulderreg. og overar
KNBR49	Excision af knogletumor i skulderreg. og overarm, inkomplet
KNBR59	Excision af knogletumor i skulderreg. og overarm, komplet
KNBR69	Excision af knogletumor i skulderreg. og overarm, udvidet
KNBR79	Blokexcision i forb. m knogletumor i skulderreg. og overarm
KNBR99	Bløddels/knogletumorkirurgi i skulderreg. og overarm, anden
KNBS	Op.for infekt.i sener,led,knogle i skulderregion og overarm
KNBS09	Incisio/revisio infect. tendinis reg. humeroscap./brachium
KNBS19	Incisio/revisio infectionis art. reg. humeroscap./brachium
KNBS29	Incisio/revisio infect. ossis reg. humeroscap. et brachium
KNBS39	Incisio/revisio infect. tend. humeroscap./brachium c instal
KNBS49	Incisio/revisio infect. art. humeroscap./brachium c install
KNBS59	Incisio/rev. infect. ossis reg. humeroscap/brachium c insta
KNBS69	Extract. instillationis pro infectionem, skulder og overarm
KNBS99	Op. for inf. i sener, led og knogle i skulder/overarm, ande
KNBT	Specielle procedurer og andre op. i skulderregion og overar
KNBT19	Brisement force articuli humeroscapularis
KNBT39	Correctio deform. art./extrem, skulder/arm, bløddelsop.
KNBT49	Correctio deform. art./extrem, skulder/arm med fiksation
KNBT50	Pseudoartrose-opr., skulderreg. og overarm
KNBT51	Pseudoartrose-opr. m. osteosyntese, skulderreg. og overarm
KNBT52	Pseudoartrose-opr. m.ekst. fiksat., skulderreg. og overarm
KNBT53	Pseudoartrose-opr. m.osteosyn/ekst.fiks, skulder og overarm
KNBT99	Andre operationer i skulderregion og på overarm
KNBU	Fjern.af implant/ext.fiksat.udstyr i skulderreg.og overarm
KNBU00	Fjernelse af delprotese fra skulderled, begge komponenter
KNBU01	Fjernelse af delprotese fra skulderled, prox enkeltkomponen
KNBU02	Fjernelse af delprotese fra skulderled, dist enkeltkomponen
KNBU03	Fjernelse af delprotese fra skulderled, anden enkeltkomp.
KNBU09	Fjernelse af delprotese fra skulderled uden specifikation
KNBU10	Fjernelse af protese (del heraf), skulder, begge komponente
KNBU11	Fjernelse af protese (del heraf), skulder, prox. komponent
KNBU12	Fjernelse af protese (del heraf), skulder, distal komponent
KNBU13	Fjernelse af protese (del heraf), skulder, anden komponent
KNBU19	Fjernelse af protese (del heraf), skulder uden specifikatio
KNBU20	Fjern. af ledprotese fra led i skulderreg. begge komponente
KNBU21	Fjern. af ledprotese fra led i skulderreg. prox. enkeltkomp
KNBU22	Fjern. af ledprotese fra led i skulderreg. dist. enkeltkomp
KNBU23	Fjern. af ledprotese fra led i skulderreg. anden enkeltkomp
KNBU29	Fjernelse af ledprotese fra andre led i skulderreg. u spec
KNBU39	Fjernelse af eksternt fiksationsudstyr fra skulder/overarm
KNBU49	Fjernelse af internt fiksationsudstyr fra skulder/overarm
KNBU69	Fjernelse af kunstigt ligament fra skulderregionen
KNBU89	Fjernelse af implantat i forb m infekt.beh, skulder/overarm
KNBU99	Fjernelse af andre implantater fra skulderreg. eller overar
KNBW	Reoperationer i skulderregionen eller på overarmen
KNBW49	Reoperation pga. sårruptur efter operation i skulder/overar
KNBW59	Reop. pga. overfladisk infektion efter op. i skulder/overar
KNBW69	Reoperation pga. dyb infektion efter op. i skulder/overarm
KNBW79	Reop. pga. overfladisk blødning efter op. i skulder/overarm
KNBW89	Reoperation pga. dyb blødning efter op. i skulder/ overarm
KNBW99	Reop. efter op, skulder/overarm ikke spec andetsteds, anden
KNC	Operationer på albue og underarm
KNCA	Explorat, diagn.artroskopi og biopsi i albueled og underarm
KNCA00	Exploration i bløddele i albueled og på underarm, perkutan
KNCA00A	Exploration i bløddele i albueled, perkutan
KNCA00B	Exploration i bløddele på underarm, perkutan
KNCA01	Exploration i bløddele på albueled og underarm, artroskopis
KNCA01A	Exploration i bløddele i albueled, artroskopisk
KNCA01B	Exploration i bløddele på underarm, artroskopisk
KNCA02	Exploration i bløddele i albueled og på underarm, åben
KNCA02A	Exploration i bløddele i albueled, åben
KNCA02B	Exploration i bløddele på underarm, åben
KNCA09	Exploration i bløddele i albueled og på underarm uden spec
KNCA09A	Exploration i bløddele i albueled uden specifikation
KNCA09B	Exploration i bløddele på underarm uden specifikation
KNCA10	Exploration af albueleddet, perkutan
KNCA10A	Exploration af albueleddet, perkutan
KNCA11	Exploration/diagnostik i led, artroskopisk, albue
KNCA11A	Exploration i led, artroskopisk, albue
KNCA11B	Artroskopi, diagnostisk, albue
KNCA12	Exploration af albueleddet, åben
KNCA12A	Exploration af albueleddet, åben
KNCA19	Exploration af albueleddet uden specifikation
KNCA20	Biopsi af bløddele, albue, underarm, albueled, perkutan
KNCA20A	Biopsi af bløddele ved albue, perkutan
KNCA20B	Biopsi af bløddele på underarm, perkutan
KNCA20C	Biopsi af bløddele i albueleddet, perkutan
KNCA21	Biopsi af bløddele, albue, underarm, albueled, artroskopisk
KNCA21A	Biopsi af bløddele i albueleddet, artroskopisk
KNCA22	Biopsi af bløddele, albue, underarm eller albueled, åben
KNCA22A	Biopsi af bløddele ved albue, åben
KNCA22B	Biopsi af bløddele på underarm, åben
KNCA22C	Biopsi af bløddele i albueleddet, åben
KNCA29	Biopsi af bløddele, albue, underarm, albueled uden spec
KNCA29A	Biopsi af bløddele ved albue uden specifikation
KNCA29B	Biopsi af bløddele på underarm uden specifikation
KNCA29C	Biopsi af bløddele i albueleddet uden specifikation
KNCA30	Biopsi af underarmsknogle, perkutan
KNCA31	Biopsi af underarmsknogle, artroskopisk
KNCA32	Biopsi af underarmsknogle, åben
KNCA39	Biopsi af underarmsknogle uden specifikation
KNCB	Primær ledprotese implantation i albueleddet
KNCB01	Indsættelse af delprotese, ucem, albue, proximal komponent
KNCB02	Indsættelse af delprotese, ucem, albueled, distal komponent
KNCB03	Indsættelse af delprotese, ucem, albueled, anden komponent
KNCB04	Indsættelse af delprotese, ucem, albue, ikke alle kompon.
KNCB09	Indsættelse af delprotese, ucem, i albue uden specifikation
KNCB11	Indsættelse af delprotese, cement, albue, prox. komponent
KNCB12	Indsættelse af delprotese, cementeret, albue, dist komponen
KNCB13	Indsættelse af delprotese, cementeret, albue, anden kompon.
KNCB14	Indsættelse af delprotese, cem, albue, ikke alle komponent.
KNCB19	Indsættelse af delprotese, cementeret, albue u specifikatio
KNCB20	Indsættelse af totalprotese, ucementeret, i albueleddet
KNCB30	Indsættelse af totalprotese, hybrid, i albueleddet
KNCB40	Indsættelse af totalprotese, cementeret, i albueleddet
KNCB59	Indsættelse af interponeret protese, i albueleddet
KNCB99	Indsættelse af anden ledprotesetype i albueleddet
KNCC	Sekundær ledproteseimplantation i albueleddet
KNCC01	Sek. indsættelse af delprotese, ucem, i albue, prox kompon
KNCC02	Sek. indsætt af delprotese, ucem, i albue, distal komponent
KNCC03	Sek. indsætt af delprotese, ucem, i albue, anden komponent
KNCC04	Sek. indsætt af delprotese, ucem, i albue, ikke alle kompon
KNCC09	Sek. indsættelse af delprotese, ucem, i albue, uden spec
KNCC11	Sek. indsætt af delprotese, cem, i albue, proximal komponen
KNCC12	Sek. indsætt af delprotese, cem, i albue, distal komponent
KNCC13	Sek. indsætt af delprotese, cem, i albue, anden komponent
KNCC14	Sek. indsætt af delprotese, cem, i albue, ikke alle kompon.
KNCC19	Sek. indsættelse af delprotese, cem, i albue, uden spec
KNCC20	Sek. indsætt af totalprot/del af, ucem albue, alle komponen
KNCC21	Sek. indsætt af totalprot/del af, ucem. albue prox komponen
KNCC22	Sek. indsætt af totalprot/del af, ucem albue, dist komponen
KNCC23	Sek. indsætt af totalprot/del af, ucem albue anden komponen
KNCC24	Sek. indsætt af totalprot/del af, ucem albue ikke alle komp
KNCC29	Sek. indsætt af totalprot/del af, ucem. i albue u spec
KNCC30	Sek. indsætt af totalprot/del af, hybrid, albue, alle kompo
KNCC31	Sek. indsætt af totalprot/del af, hybrid, i albue, prox kom
KNCC32	Sek. indsætt af totalprot/del af, hybrid, i albue, dist kom
KNCC33	Sek. indsætt af totalprot/del af, hybrid, albue anden kompo
KNCC34	Sek. indsætt af totalprot/del af hybrid albue ikke alle kom
KNCC39	Sek. indsætt af totalprot/del af, hybrid, i albue u spec
KNCC40	Sek. indsætt af totalprot/del af, cem, i albue, alle kompon
KNCC41	Sek. indsætt af totalprot/del af, cem, i albue, prox kompon
KNCC42	Sek. indsætt af totalprot/del af, cem, i albue, dist kompon
KNCC43	Sek. indsætt af totalprot/del af, cem, i albue, anden kompo
KNCC44	Sek. indsætt af totalprot/del af, cem albue ikke alle kompo
KNCC49	Sek. indsætt af totalprot/del af, cem, i albue u spec
KNCC59	Sek. indsættelse af interponeret protese, i albue
KNCC99	Sek. indsættelse af anden ledprotesetype i albueleddet
KNCE	Operationer på ledkapsler og ledbånd i albueled og underarm
KNCE01	Capsulotomia/capsulorapphia i albueleddet, artroskopisk
KNCE01A	Capsulotomia i albueleddet, artroskopisk
KNCE01B	Capsulorapphia i albueleddet, artroskopisk
KNCE02	Capsulotomia/capsulorapphia i albueleddet, åben
KNCE02A	Capsulotomia i albueleddet, åben
KNCE02B	Capsulorapphia i albueleddet, åben
KNCE09	Capsulotomia/capsulorapphia i albueleddet uden specifikatio
KNCE09A	Capsulotomia i albueleddet uden specifikation
KNCE09B	Capsulorapphia i albueleddet uden specifikation
KNCE11	Trancisio s. resectio ligamenti ved albue, artroskopisk
KNCE11A	Trancisio ligamenti ved albueleddet, artroskopisk
KNCE11B	Resectio ligamenti ved albueleddet, artroskopisk
KNCE12	Trancisio s. resectio ligamenti ved albue, åben
KNCE12A	Trancisio ligamenti ved albueleddet, åben
KNCE12B	Resectio ligamenti ved albueleddet, åben
KNCE19	Trancisio s. resectio ligamenti ved albue uden specifikatio
KNCE19A	Trancisio ligamenti ved albueleddet uden specifikation
KNCE19B	Resectio ligamenti ved albueleddet uden specifikation
KNCE21	Ligamentorrhaphia, albue og underarm, artroskopisk
KNCE22	Ligamentorrhaphia, albue og underarm, åben
KNCE29	Ligamentorrhaphia, albue og underarm uden specifikation
KNCE31	Transpositio ligamenti, albue og underarm, artroskopisk
KNCE31A	Transpositio ligamenti ved albue, artroskopisk
KNCE31B	Transpositio ligamenti på underarm, artroskopisk
KNCE32	Transpositio ligamenti, albue og underarm, åben
KNCE32A	Transpositio ligamenti ved albue, åben
KNCE32B	Transpositio ligamenti på underarm, åben
KNCE39	Transpositio ligamenti, albue og underarm uden specifikatio
KNCE39A	Transpositio ligamentived albue uden specifikation
KNCE39B	Transpositio ligamenti på underarm uden specifikation
KNCE41	Op. plastica lig. art. cubiti, u fremmedleg, artroskopisk
KNCE42	Op. plastica lig. art. cubiti, u fremmedleg, åben
KNCE42A	Op. plastica ligamenti art. cubiti, u fremmedlegeme, åben
KNCE42B	Reconstructio lig. art. cubiti, uden fremmedlegeme, åben
KNCE49	Op. plastica lig. art. cubiti, u fremmedleg. u spec
KNCE49A	Op. plastica ligamenti art. cubiti, u fremmedleg. u spec
KNCE49B	Reconstructio lig. art. cubiti, uden fremmedlegeme uden spe
KNCE51	Op. plastica lig. art. cubiti, m fremmedleg, artroskopisk
KNCE51A	Op. plastica ligamenti art. cubiti, m fremmedleg, artroskop
KNCE51B	Reconstructio lig. art. cubiti, m fremmedleg, artroskopisk
KNCE52	Op. plastica lig. art. cubiti, m fremmedleg, åben
KNCE52A	Op. plastica ligamenti art. cubiti, m fremmedleg, åben
KNCE52B	Reconstructio lig. art. cubiti, med fremmedlegeme, åben
KNCE59	Op. plastica lig. art. cubiti, m fremmedleg. u spec
KNCE59A	Op. plastica ligamenti art. cubiti, m fremmedleg. u spec
KNCE59B	Reconstructio lig. art. cubiti, med fremmedlegeme uden spec
KNCE91	Op. på ledkapsler/ledbånd, albue/underarm, anden artroskop
KNCE91A	Op. på ledkapsler i albue og underarm, artroskopisk, anden
KNCE91B	Op. på ledbånd i albue og på underarm, artroskopisk, anden
KNCE92	Op. på ledkapsler og ledbånd, albue og underarm, åben, ande
KNCE92A	Operation på ledkapsler i albue og på underarm, åben, anden
KNCE92B	Operation på ledbånd i albue og på underarm, åben, anden
KNCE99	Op. på ledkapsler og ledbånd i albue/underarm u spec, anden
KNCE99A	Op. på ledkapsler i albue og på underarm uden spec anden
KNCE99B	Op. på ledbånd i albue og på underarm uden spec, anden
KNCF	Operationer på synovialis og ledflader i albueleddet
KNCF01	Synovectomia art. cubiti, artroskopisk
KNCF02	Synovectomia art. cubiti, åben
KNCF09	Synovectomia art. cubiti uden specifikation
KNCF11	Synovectomia partialis art. cubiti, artroskopisk
KNCF12	Synovectomia partialis art. cubiti, åben
