Kode	Tekst
KFGB	Operation ved Ebsteins anomali
KFGB00	Op. Ebsteins anomali med atrio-ventrikulær plikatur (Hardy)
KFGB10	Op. Ebsteins anomali m mobilisering og ventrikulær plikatur
KFGB96	Operation, Ebsteins anomali, anden
KFGC	Annuloplastik ved tricuspidalinsufficiens
KFGC00	Annuloplastik af valvulae tricuspidale med sutur el lignend
KFGC10	Annuloplastik af valvulae tricuspidale med ring
KFGC96	Operation, tricuspidal insufficiens, anden annuloplastisk
KFGD	Rekonstruktion ved tricuspidalinsufficiens
KFGD00	Rekonstruktion af tricuspidalklap med sutur
KFGD05	Sutur af tricuspidalsplit
KFGD10	Rekonstruktion af tricuspidalklap med patch
KFGD30	Rekonstr. af tricuspidalklap m sut af papilmuskel el. chord
KFGD40	Rekonstruktion v tricuspidalinsufficiens med kunstig chorda
KFGD96	Rekonstruktion ved tricuspidalinsufficiens, anden
KFGE	Excision af tricuspidalklap og indsyning af klapprotese
KFGE00	Indsyning af mekanisk tricuspidalklapprotese
KFGE10	Indsyning af biologisk tricuspidalklapprotese
KFGE20	Indsyning af homograft tricuspidalklap
KFGE96	Implantation af tricuspidalklapprotese, anden
KFGW	Andre operationer på tricuspidalklap
KFGW96	Operation, tricuspidalklap, anden
KFH	Operationer på ventrikelseptum
KFHA	Lukning af erhvervet VSR ved skade, infarkt el.lign.
KFHA00	Lukning af VSR efter læsion
KFHA10	Lukning af VSR efter anteroseptalt infarkt
KFHA20	Lukning af VSR efter posteroseptalt infarkt
KFHA96	Operation, lukning af VSR, anden
KFHB	Lukning af isoleret ventrikelseptumdefekt
KFHB00	Sutur af VSD, transatriel
KFHB10	Sutur af VSD, transventrikulær
KFHB20	Sutur af VSD, transpulmonl
KFHB30	Sutur af VSD, transaortal
KFHB42	Perkutan transluminal lukning af ventrikelseptumdefekt
KFHB50	Lukning af VSD med patch, transatriel
KFHB60	Lukning af VSD med patch, transventrikulær
KFHB70	Lukning af VSD med patch, transpulmonal
KFHB80	Lukning af VSD med patch, transaortal
KFHB96	Operation, medfødt isoleret VSD, anden
KFHC	Lukning af multiple ventrikelseptumdefekter
KFHC00	Lukning af VSD, transatriel
KFHC10	Lukning af VSD gennem højre ventrikulotomi
KFHC20	Lukning af VSD gennem venstre ventrikulotomi
KFHC30	Lukning af VSD ved kombineret atriotomi og ventrikulotomi
KFHC96	Operation, multiple, medfødte VSD, anden
KFHD	Operation ved komplet a-v commune
KFHD00	Op. komplet a-v commune med atrio-ventrikulær patch
KFHD10	Operation, komplet a-v commune med 2-patch teknik
KFHD30	Op. komplet a-v commune og resektion af pulmonalstenose
KFHD96	Operation, komplet a-v commune, anden
KFHE	Operation ved Fallots tetrade
KFHE00	Korrektion af Fallots tetrade, transatriel
KFHE10	Korrektion af Fallots tetrade, transventrikulær
KFHE20	Korrektion af Fallots tetrade med udløbspatch, transventrik
KFHE30	Korrektion af Fallots tetrade med transannular patch
KFHE40	Korrektion, Fallots tetrade m conduit/homograft til a. pulm
KFHE96	Operation, Fallots tetrade, anden
KFHF	Operation ved pulmonal atresi
KFHF00	Op. pulm. atresi med transannular patch (evt. monocuspklap)
KFHF10	Op. pulm. atresi m ventriculo-pulmonal conduit el homograft
KFHF20	Op. pulmonal atresi med transannular patch og lukning, VSD
KFHF30	Op. pulm. atresi m ventr.-pulmonal conduit/lukning af VSD
KFHF96	Operation, pulmonal atresi, anden
KFHG	Lukning af VSD med samtidig intraventrikulær transposition
KFHG00	Korrektion af DOLV
KFHG10	Korrektion af DORV
KFHG96	Operation, double outlet ventricle, anden
KFHH	Anlæggelse eller udvidelse af VSD
KFHH00	Udvidelse af VSD ved 'univentrikulært hjerte'
KFHH10	Udvidelse af VSD ved 'double outlet' ventrikel
KFHH20	Fenestrering af VSD patch
KFHH96	Operation, udvidelse af VSD, anden
KFHJ	"Rekonstruktion af septum ved ""common ventricle"""
KFHJ00	Rekonstruktion af septum (patch) ved 'common ventricle'
KFHJ10	Rekonstr. af septum (fenestreret patch) v 'common ventricle
KFHJ96	Operation, common ventricle, anden
KFHW	Andre operationer på ventrikelseptum
KFHW96	Operation, ventrikelseptum, anden
KFJ	Operationer på højre ventrikel og pulmonalklap
KFJA	Biopsi fra højre ventrikel
KFJA00	Excisio probatoria ventriculi dextra
KFJA12	Perkutan transluminal biopsi af højre ventrikel
KFJA96	Biopsi af højre ventrikel, anden
KFJB	Rekonstruktion af højre ventrikel ved læsion af hjertet
KFJB00	Sutur af højre ventrikel ved læsion
KFJB10	Rekonstruktion af hø ventrikel ved hjertelæsion m implantat
KFJB96	Rekonstruktion af hø ventrikel ved læsion af hjertet, anden
KFJC	Excisio tumoris ventriculi dextra
KFJC00	Excisio tumoris ventriculi dextra
KFJC10	Amotio corporis alieni ventriculi dextra
KFJC12	Perkut.translum.fjern. af fremmedlegeme, hø. hjerteventrikel
KFJD	Op.på hø.ventrikels udløb v.medfødt el.erhvervet obstruktio
KFJD00	Resektion af fibromuskulær, infundibulær pulmonalstenose
KFJD10	Udvidelse af højre ventrikel med patch og evt. resektion
KFJD20	By-pass af arteria pulmonalis med conduit eller homograft
KFJD96	Operation, højre ventrikels udløb, anden
KFJE	Operationer for isoleret pulmonal klapstenose
KFJE00	Dilatation af pulmonalklapstenose
KFJE10	Valvulotomia pulmonalis
KFJE20	Excision af pulmonalklap, udvidelse af annulus pulm. m patc
KFJE30	Transannular pulmonal patch med monocusp klap
KFJE42	Perkutan transluminal udvidelse af pulmonalklapstenose
KFJE96	Operation, isoleret pulmonal klapstenose, anden
KFJF	Pulmonalklapprotese
KFJF00	Indsyning af pulmonal, mekanisk klapprotese
KFJF10	Indsyning af pulmonal, biologisk klapprotese
KFJF20	Indsyning af pulmonal homograft
KFJF96	Operation, indsyning af pulmonal klapprotese, anden
KFJW	Andre operationer på højre ventrikel og pulmonalklap
KFJW96	Operation, højre ventrikel og pulmonalklap, anden
KFK	Operationer på mitralklap
KFKA	Rekonstruktive operationer ved mitralstenose
KFKA00	Commisurotomia mitralis
KFKA10	Commisurotomia mitralis med dekalcinering
KFKA20	Commisurotomia mitralis og spaltning af fusionerede chordae
KFKA32	Perkutan transluminal udvidelse af mitralklapstenose
KFKA96	Operation, mitralstenose, anden
KFKB	Annuloplastik ved mitralinsufficiens
KFKB00	Annuloplastik ved mitralinsufficiens med sutur
KFKB10	Annuloplastik ved mitralinsufficiens med ring
KFKB96	Operation med annuloplastik ved mitral insufficiens, anden
KFKC	Operation for mitralinsufficiens
KFKC00	Operation, mitralinsufficiens med sutur
KFKC10	Sutur af split ved mitralklap
KFKC20	Rekonstruktion ved mitralinsufficiens med patch
KFKC30	Chordaforkortning/-forlængelse (mitralklap)
KFKC40	Sutur af chorda eller papilmuskel (mitralklap)
KFKC50	Rekonstruktion af mitralinsufficiens med kunstige chordae
KFKC60	Resektion og rekonstruktion af mitralklapsejl ved insuff
KFKC96	Operation, mitralinsufficiens, anden
KFKD	Rekonstruktion af mitralklap med protese
KFKD00	Indsyning af mitral klapprotese (mekanisk)
KFKD10	Indsyning af mitral klapprotese (biologisk)
KFKD20	Indsyning af mitralklap (homograft)
KFKD96	Procedure med indsyning af mitral klapprotese, anden
KFKW	Andre operationer på mitralklap
KFKW96	Operation, mitralklap, anden
KFL	Operationer på venstre ventrikel
KFLA	Biopsi fra venstre ventrikel
KFLA00	Excisio probatoria ventriculi sinistra
KFLA10	Biopsia ventriculi sinistra transvenosa
KFLA12	Perkutan transluminal biopsi af venstre ventrikel
KFLA96	Biopsi af venstre ventrikel, anden
KFLB	Excision af tumor i venstre ventrikel
KFLB00	Excision af tumor i venstre ventrikel
KFLB10	Amotio corporis alieni ventriculi sinistra
KFLB12	Perkut.translum.fjern. af fremmedlegeme, ve. hjerteventrikel
KFLC	Anden rekonstruktion af venstre ventrikel
KFLC00	Sutur af venstre ventrikelvæg
KFLC10	Sutur af venstre ventrikelvæg med patch
KFLC96	Procedure med rekonstruktion af ventrikelvæg, anden
KFLD	Resektion ved aneurisme i venstre ventrikel
KFLD00	Plikatur af aneurisme i venstre ventrikel
KFLD10	Resektion af aneurisme i venstre ventrikel
KFLD20	Resektion/rekonstr. med patch ved aneurisme i ve ventrikel
KFLD96	Operation for aneurisme i venstre ventrikel, anden
KFLE	Rekonstruktion ved udløbsobstruktion i venstre ventrikel
KFLE00	Excision af subvalvulær membran i venstre ventrikel
KFLE10	Myotomi/myektomi ved obstr. cardiomyopati/subvalv. stenose
KFLE96	Procedure for udløbsobstruktion i venstre ventrikel, anden
KFLF	Transmyokardiel laser-revaskularisering, ve. ventrikel
KFLF12	Perkut. transmyokard. laser-revaskularisering, ve. ventrikel
KFLW	Andre operationer på venstre ventrikel
KFLW96	Operation, venstre ventrikel, anden
KFM	Operationer på aortaklap
KFMA	Operationer på aortaklappen for klapstenose
KFMA00	Dilatation af aortaklapstenose
KFMA10	Commisurotomia valvulae aortae
KFMA20	Valvuloplastik på aorta
KFMA32	Perkutan transluminal udvidelse af aortaklapstenose
KFMA96	Operation, aortaklapstenose, anden
KFMB	Udvidelse af aortaostiet
KFMB00	Aorta patch, supravalvulær (Nick)
KFMB10	Transannular udvidelse af aortaostiet (Mounighan)
KFMB20	Udvidelse, aorto-septal af aortaostiet (Konno)
KFMB96	Annuloplastik på aortaostiet, anden
KFMC	Plastik på aortaklap ved insufficiens
KFMC00	Annuloplastik på aorta
KFMC10	Reduktion af aortaklapsejl (inkl. excision)
KFMC20	Sutur af aortaklapsejl (inkl. patch)
KFMC96	Operation, aortaklap ved insufficiens, anden
KFMD	Substitution af aortaklap med klapprotese
KFMD00	Indsyning af mekanisk aortaklapprotese
KFMD10	Indsyning af biologisk aortaklapprotese
KFMD20	Indsyning af homograft aortaklap
KFMD30	Indsyning af homograft med coronar reimplantation
KFMD40	Indsyning af pulm. autograft, inkl. coronar reimplantation
KFMD96	Operation, substitution af aortaklap, anden
KFMW	Andre operationer på aortaklap
KFMW96	Operation, aortaklap, anden
KFN	Operationer på coronararterier
KFNA	Anastomose mellem arteria mammaria og coronararterie
KFNA00	Anastomose mellem arteria mammaria og coronararterie
KFNA10	Anastomose, sekventiel mellem a. mammaria og coronararterie
KFNA20	Anastomose mellem bilaterale a. mammaria og coronararterier
KFNA96	Anastomose mellem arteria mammaria og coronararterie, anden
KFNB	Anastomose mellem arteria gastroepiploica og coronararterie
KFNB00	Anastomose mellem arteria gastroepiploica og coronararterie
KFNB20	Anast. sekventiel mellem a. gastroepipl. og coronararterie
KFNB96	Anastomose med a. gastroepiploica og coronarearterie, anden
KFNC	Aorto-coronar venebypass
KFNC10	By-pass, aorto-coronar (enkelt distal anastomose)
KFNC20	By-pass, aorto-coronar (to distale anastomoser)
KFNC30	By-pass, aorto-coronar (tre distale anastomoser)
KFNC40	By-pass, aorto-coronar (fire distale anastomoser)
KFNC50	By-pass, aorto-coronar (fem distale anastomoser)
KFNC60	By-pass, aorto-coronar (seks distale anastomoser)
KFNC96	Veneby-pass, coronar, anden
KFND	Aorto-coronar bypass med protese
KFND10	By-pass, aorto-coronar med enkelt protese
KFND20	By-pass, aorto-coronar med to proteser
KFND96	By-pass, coronar med protese, anden
KFNE	Coronar bypass med frit arterietransplantat
KFNE00	By-pass, coronar m a. mammaria interna, frit arterietranspl
KFNE10	By-pass, coronar m a. gastroepiploica, frit arterietranspl
KFNE96	By-pass, coronar med frit arterietransplantat, anden
KFNF	Coronar trombendarterektomi
KFNF00	Thrombendarterectomia coronarii dextra
KFNF10	Thrombendarterectomia ramus descendens anterior
KFNF20	Thrombendarterectomia ramus circumflexus
KFNF30	Thrombendarterectomia i ve coronararteries hovedstamme
KFNF96	Thrombendarterektomi, coronar, anden
KFNG	Rekanalisering af coronararterier
KFNG00	Dilatation af coronararterier
KFNG02	Perkutan koronar intervention (PCI)
KFNG02A	Primær perkutan koronar intervention (PCI)
KFNG05	Perkutan koronar intervention (PCI) med stent
KFNG05A	Primær perkutan koronar intervention (PCI) med stent
KFNG10	Embolectomia arteriae coronarii
KFNG12	Perkutan transluminal embolektomi på koronararterie
KFNG20	Fjernelse af fremmedlegeme i arteriae coronarii
KFNG30	Udvidelse af coronararterie med patch
KFNG40	Laserbehandling af koronararterie
KFNG96	Operation, rekanalisering af coronararterie, anden
KFNH	Rekonstruktion af coronararterier
KFNH00	Sutura arteria coronaria
KFNH10	Rekonstruktion af arteria coronaria med patch
KFNH20	Rekonstruktion af arteria coronaria med bypass
KFNH96	Rekonstruktion, coronar, anden specificeret
KFNJ	Lukning af coronarfistel
KFNJ00	Ligatur af anormal coronararterie
KFNJ02	Perkutan transluminal lukning af anomal koronararterie
KFNJ10	Okklusion af coronarfistel
KFNJ12	Perkutan transluminal lukning af koronarfistel
KFNJ96	Operation, coronarfistel, anden
KFNK	Rekonstruktion ved anomal coronararterieafgang
KFNK00	Transposition af coronararterie
KFNK10	Pulmonalarterieplastik med anastomose til aorta
KFNK20	Ligatur og bypass-rekonstruktion ved anomal coronararterie
KFNK96	Operation, anomal coronararterie, anden
KFNW	Andre operationer på coronararterierne
KFNW00	Perkutan transluminal septal myokardial ablation
KFNW96	Operation, coronaraterier, anden
KFNW97	Operation på coronararterie, anden endoskopisk
KFP	Operationer og procedurer ved hjertearytmier
KFPA	Operation for supraventrikulær arytmi
KFPA00	Deling af anteroseptal ledningsgren
KFPA10	Deling af posteroseptal ledningsgren
KFPA20	Deling af højresidig ledningsgren
KFPA30	Deling af venstresidig ledningsgren
KFPA40	Deling af multiple ledningsgrene
KFPA96	Operation, supraventrikulær arytmi, anden
KFPB	Excision el. ablation af aberrant bane eller fokus i hjerte
KFPB00	Excision af ektopisk hjertefokus
KFPB10	Kryoablation af hjertefokus
KFPB96	Procedure på ektopiske foci i hjertet, anden
KFPC	Endocardial myotomi (circumcision) for ventrikulære arytmie
KFPC00	Myotomi, partiel endocardial for ventrikulære arytmier
KFPC10	Myotomi,total endocardial for ventrikulære arytmier
KFPC96	Myotomiprocedure, anden endocardial
KFPD	Operation for atrieflimmer
KFPD00	Labyrintoperation for atrieflimmer
KFPD96	Operation, atrieflimmer, anden
KFPF	Implantation af permanent epicardial pacemaker
KFPF00	Implantation af epicardial pacemaker m ventrikulær elektrod
KFPF10	Implantation af epicardial pacemaker med atrial elektrode
KFPF20	Implant. af epicard pacemaker m atrial/ventrikulær elektrod
KFPF30	Udskiftning, transvenøs epicard pacemaker med pulsgenerator
KFPF40	Udskiftning af transvenøs epicardial pacemakerelektrode
KFPF96	Implantation af epicardial pacemaker, anden
KFPW	Andre op.og procedurer for arytmier og ledningsforstyrrelse
KFPW00	Revision af elektrode
KFPW10	Implantation af transvenøs ventrikelelektrode
KFPW20	Implantation af transvenøs atrieelektrode
KFPW96	Operation, arytmier og ledningsforstyrrelser, anden
KFQ	Transplantationer af hjerte og lunger
KFQA	Transplantation af hjerte
KFQA00	Hjertetransplantation, ortotop
KFQA10	Hjertetransplantation, ortotop med bicaval anastomose
KFQA20	Hjertetranspl, ortotop m rekonstr af recipientarterier/vene
KFQA30	Hjertetransplantation, heterotop
KFQA40	Hjertetransplantation m levende donor, Dominotransplantatio
KFQA96	Hjertetransplantation, anden
KFQB	Transplantation af hjerte og lunger
KFQB00	Hjerte-lungetransplantation
KFQB10	Hjerte-lungetransplantation med bicaval anastomose
KFQB20	Hjerte-lungetranspl. m rekonstr. af recipient arterier/vene
KFQB30	Hjerte-lungetranspl. m revask. af bronchialarterier
KFQB96	Hjerte-lungetransplantation, anden
KFQW	Andre operationer ved transplantation af hjerte og lunger
KFQW96	Operation, transplantation af hjerte og lunger, anden
KFW	Reopr. efter opr. på hjerte og store intrathoracale kar
KFWA	Sutur v. sårruptur eft. op. på hjerte og store thoracale ka
KFWA00	Sutur ved sårruptur efter op. på hjerte og thoracale kar
KFWB	Reop.for overflad.sårinf. eft.op. på hjerte og thoracale ka
KFWB00	Reop, overfladisk sårinfek eft op. på hjerte/thoracale kar
KFWC	Reop.for dyb inf. eft.op. på hjerte og store thoracale kar
KFWC00	Reop, dyb infektion efter operation på hjerte og store kar
KFWD	Reop.for overflad.blødn. eft.op. på hjerte og thoracale kar
KFWD00	Reop, overfladisk blødning eft op. på hjerte/thoracale kar
KFWE	Reop.for dyb blødn. eft. op.på hjerte og store thoracale ka
KFWE00	Reop, dyb blødning eft op. på hjerte og store thoracale kar
KFWF	Reop.for sutur/anastom.insuff.eft.op.på hjerte/thoracale ka
KFWF00	Reoperation, sut/anast.insuff eft op på hjerte/thoracale ka
KFWW	Anden reop. efter operation på hjerte og store thoracale ka
KFWW96	Reop. efter op. på hjerte og store thoracale kar, anden
KFX	Særskilte proc. f. ekstracorporal el. assisteret cirkulation
KFXA	Peroperativ ekstrakorporal cirkulation
KFXA00	Ekstrakorporal cirkulation m normotermi/  moderat  hypotermi
KFXA10	Ekstrakorporal cirkulation med dyb hypotermi
KFXA20	Ekstrakorporal cirkulation m dyb hypotermi +cirkulationsstop
KFXA96	Anden peroperativ ekstrakorporal cirkulation
KFXB	Part. cardio-pulmonal bypass m.samtidig reparativ procedure
KFXB96	By-pass, partiel cardio-pulm m reparativ kirurgisk procedur
KFXC	Brug af ECHLA uden samtidig kirurgisk procedure
KFXC96	ECHLA, brug af, uden samtidig kirurgisk procedure
KFXD	Brug af ECLA
KFXD96	ECLA, brug af
KFXE	Dekanylering efter ECHLA eller ECLA
KFXE96	ECHLA eller ECLA, dekanylering efter
KFXF	Brug af Intra-aortic ballon pumping (IABP)
KFXF96	Intra-aortic ballon pumping( IABP) brug af
KFXG	Fjernelse af  Intra-aortic ballon pumping (IABP)
KFXG96	Intra-aortic ballon pumping (IABP), fjernelse af
KFXH	Indlæggelse af PABP
KFXH96	PABP, indlæggelse af
KFXJ	Fjernelse af PABP
KFXJ96	PABP, fjernelse af
KFXK	Indlæggelse og brug af Ventricular Assist Device ( VAD)
KFXK96	Ventricular Assist Device (VAD), indlæggelse og brug af
KFXL	Fjernelse af Ventricular Assist Device ( VAD)
KFXL96	Ventricular Assist Device (VAD), fjernelse af
KFXM	Procedurer ved anvendelse af TAH
KFXM96	TAH, procedure ved anvendelse af
KFXN	Hemofiltration el. hemodialyse under cardio-pulmonal bypass
KFXN96	Hemofiltration eller hemodialyse under cardio-pulm. by-pass
KG	Op. på brystvæg, pleura, mediastinum, diafragma, trachea, bronchier og lunger
KGA	Operationer på brystvæg, pleura og diafragma
KGAA	Drænage og endoskopi af pleurahulen
KGAA10	Anlæggelse af pleuradræn
KGAA15	Indlæggelse af pleuradræn med costaresektion
KGAA20	Pleurostomi
KGAA31	Thoracoskopi
KGAA96	Drænage af pleurahule, anden åben eller perkutan
KGAA97	Drænage af pleurahule, anden endoskopisk perkutan
KGAB	Thoracotomi
KGAB00	Nødthoracotomi
KGAB10	Thoracotomia (antero/postero-lateralt)
KGAB13	Thoracotomia, transaxillær
KGAB20	Thoracotomia, gennem sternotomi
KGAB99	Thoracotomi, anden
KGAC	Operationer på pleura
KGAC00	Excisio probatoria pleurae
KGAC01	Excisio probatoria pleurae endoscopica percutanea
KGAC10	Amotio corporis alieni pleurae
KGAC11	Amotio corporis alieni pleurae endoscopica percutanea
KGAC20	Excisio/destructio tumoris pleurae
KGAC21	Excisio/destructio tumoris pleurae endoscopica percutanea
KGAC30	Pneumothorax artificialis
KGAC33	Pleurodesis mechanica
KGAC34	Pleurodesis mechanica endoscopica percutanea
KGAC36	Pleurodesis chemica
KGAC37	Pleurodesis chemica endoscopica percutanea
KGAC40	Pleurodesis et pleurectomia
KGAC41	Pleurodesis et pleurectomia endoscopica percutanea
KGAC43	Pleurectomia totalis
KGAC44	Pleurectomia totalis endoscopica percutanea
KGAC46	Pleurectomia partialis
KGAC47	Pleurectomia partialis endoscopica percutanea
KGAC50	Decorticatio pulmonis
KGAC96	Operation på pleura, anden åben
KGAC97	Operation på pleura, anden, endoskopisk
KGAC98	Operation på pleura gennem pleurokutant vindue, anden
KGAD	Thoracoplastikoperationer
KGAD00	Thoracoplastik
KGAD05	Thoracoplastik med plombage
KGAD10	Fjernelse af intrathoracal plombage
KGAD99	Thoracoplastikoperation, anden
KGAE	Incision, resektion, revision og rekonstruktion af brystvæg
KGAE00	Incisio parietis thoracis
KGAE03	Sutura parietis thoracis
KGAE06	Excisio tumoris parietis thoracis
KGAE13	Occlusio pleurostomia
KGAE16	Resectio parietis thoracis
KGAE20	Resectio parietis thoracis med muskel/hudplastik
KGAE23	Resectio parietis thoracis med implantat/protese
KGAE26	Sutur af læsion på brystvæg
KGAE30	Operation for læsion på både brystvæg og diafragma
KGAE40	Op. på ribben og bløddele ved 'thoracic outlet syndrome'
KGAE50	Rekonstruktion af brystvæg
KGAE53	Fjernelse af fremmedlegeme fra brystvæggen
KGAE53A	Fjernelse af fiksationsmateriale fra sternum
KGAE70	Pseudoartrose-operation, brystvæg
KGAE73	Pseudoartrose-operat. m. knogletransplantation, brystvæg
KGAE90	Fjernelse af osteosyntesemateriale, brystvæg
KGAE99	Incision, resekt, revision og rekonstr. af brystvæg, anden
KGAF	Rekonstruktive op. ved anomalier og misdannelser af thorax
KGAF00	Korrektion af pectus carinatum
KGAF03	Korrektion af pectus excavatum
KGAF10	Fjernelse af implantat, thoraxvæg eft op. for anomali/defek
KGAF99	Rekonstruktiv op. v anomalier/misdannelser af thorax, anden
KGAG	Transthorakale og endoskopiske operationer på diafragma
KGAG00	Biopsi af diafragma, transthorakal
KGAG01	Biopsi af diafragma, endoskopisk
KGAG10	Excision af tumor i diafragma, transthorakal
KGAG11	Excision af tumor i diafragma, endoskopisk
KGAG20	Amotio corporis alieni diafragmae transthoracalis
KGAG21	Fjernelse af fremmedlegeme i diafragma, endoskopisk
KGAG30	Operatio læsio diafragmatis transthoracalis
KGAG31	Torakoskopisk operation for læsion af diafragma
KGAG33	Resectio diafragmae transthoracalis
KGAG36	Resektion/rekonstr. af diafragma med transplantat, transtho
KGAG40	Occlusio fistula thoraco-abdominalis transthoracalis
KGAG50	Rekonstruktiv operation for diafragmadefekt, transthorakal
KGAG96	Operation på diafragma, anden, transthorakal
KGAG97	Operation på diafragma, anden endoskopisk
KGAW	Andre åbne/endoskopiske op. på brystvæg, pleura og diafragm
KGAW96	Operation på brystvæg, pleura og diafragma, anden åben
KGAW97	Op. på brystvæg, pleura og diafragma, anden endoskopisk
KGB	Oprationer på trachea
KGBA	Tracheotomi og rekonstruktive operationer på trachea
KGBA00	Tracheotomia
KGBA10	Tracheotomi med fjernelse af fremmedlegeme
KGBA12	Amotio corporis alieni tracheae endoscopica
KGBA22	Excisio tumoris tracheae endoscopica
KGBA25	Elektrocoagulatio tumoris tracheae endoscopica
KGBA28	Laserterapi af trachealtumor, endoskopisk
KGBA32	Dilatatio tracheae endoscopica
KGBA40	Sutura tracheae
KGBA46	Tracheoplastik
KGBA50	Reconstructio tracheae, uden protese
KGBA53	Reconstructio tracheae, med protese
KGBA96	Tracheotomi og rekonstruktiv operation på trachea, anden
KGBA98	Operation, anden endotracheal
KGBB	Tracheostomi og tilhørende operationer
KGBB00	Tracheostomi
KGBB00A	Dilatationstracheostomi
KGBB13	Revisio tracheostomiae
KGBB18	Lukning af tracheostomi
KGBB99	Tracheostomi, anden
KGBC	Resektion og rekonstruktion af trachea
KGBC00	Resectio tracheae
KGBC06	Resectio et reconstructio tracheae med protese
KGBC10	Resectio et reconstructio carinae
KGBC13	Resektion og rekonstruktion af carina, med implantat
KGBC15	Resektion og sutur af trachea
KGBC99	Resektion og rekonstruktion af trachea, anden
KGBW	Andre operationer på trachea
KGBW96	Operation på trachea, anden
KGBW98	Operation på trachea, anden transluminal
KGC	Operationer på bronchier
KGCA	Operationer på bronchier
KGCA02	Elektrokoagulation af tumor i bronchier, endoskopisk
KGCA05	Laserterapi af tumor i bronchier, endoskopisk
KGCA06	Excision af tumor i bronchier
KGCA08	Excision af tumor i bronchier, endoskopisk
KGCA10	Incisio bronchi cum amotio corporis alieni
KGCA12	Ekstraktion af fremmedlegeme, endoskopisk
KGCA15	Nedlæggelse af bronkial stent, endoskopisk
KGCA18	Dilatatio bronchialis endoscopica
KGCA20	Sutura et reconstructio læsionis bronchii
KGCA26	Operatio bronchoplastica
KGCA30	Operatio bronchoplastica cum protesis
KGCA40	Occlusio fistula bronchopleuralis
KGCA42	Occlusio fistula bronchopleuralis endoscopica
KGCA50	Resectio bronchii
KGCA60	Resectio bronchii med end-to-end anastomose
KGCA70	Resectio et reconstructio bronchii cum protesis
KGCA96	Operation på bronchier, anden
KGCA97	Operation på bronchi, anden endoskopisk
KGD	Operationer på lunger
KGDA	Biopsi, incision og sutur af lunge
KGDA00	Incisio pulmonis, inkl. drænage
KGDA01	Incisio pulmonis endoscopica percutanea, inkl. drænage
KGDA10	Excisio probatoria pulmonis
KGDA11	Biopsia pulmonis endoscopica percutanea
KGDA20	Excisio tumoris pulmonis
KGDA21	Excisio tumoris pulmonis thoracoscopica
KGDA30	Pneumotomia et extractio corporis alieni
KGDA31	Pneumotomia et extractio corp. alieni endoscopica percutane
KGDA40	Revisio et sutura læsio pulmonis
KGDA41	Revisio et sutura læsio pulmonis endoscopica percutanea
KGDA96	Biopsi, incision og sutur af lunger, anden
KGDA97	Biopsi, incision, sutur på lunge, anden endoskopisk perkuta
KGDB	Lungeresektioner
KGDB00	Resectio bullae pulmonis
KGDB01	Resectio bullae pulmonis endoscopica percutanea
KGDB10	Resectio pulmonis
KGDB11	Resectio pulmonis endoscopica percutanea
KGDB20	Resectio pulmonis segmentalis
KGDB21	Resectio pulmonis segmentalis endoscopica percutanea
KGDB30	Resectio pulmonis, volumenreduktion
KGDB31	Resectio pulmonis endoscopica percutanea, volumenreduktion
KGDB96	Lungeresektion, anden
KGDB97	Lungeresektion, anden endoskopisk perkutan
KGDC	Lobectomia pulmonis
KGDC00	Lobectomia pulmonis
KGDC01	Lobectomia pulmonis endoscopica percutanea
KGDC10	Bi-lobectomia pulmonis
KGDC15	Bi-lobectomia pulmonis endoscopica percutanea
KGDC20	"Lobectomia pulmonis med ""sleeve""-resektion"
KGDC23	Lobectomia pulmonis med segmentresektion
KGDC26	Lobectomia pulmonis cum resectione pulmonis
KGDC96	Lobektomi-operation på lunge, anden
KGDC97	Lobektomi-operation på lunge, anden endoskopisk perkutan
KGDD	Pneumonectomia
KGDD00	Pneumonectomia
KGDD01	Pneumonectomia endoscopica percutanea
KGDD10	Pleuropneumonectomia
KGDD11	Pleuropneumonectomia endoscopica percutanea
KGDD20	Pneumonektomi, udvidet
KGDD23	Pneumonektomi og resektion af carina
KGDD26	Pneumonektomi og resektion af bronchus eller trachea
KGDD96	Pneumonektomioperation, anden
KGDD97	Pneumonektomi, anden endoskopisk perkutan
KGDG	Lungetransplantationer
KGDG00	Lungetransplantation, ensidig
KGDG03	Lungetransplant, ensidig m. revasc. af bronchialarterier
KGDG10	Lungetransplantation, dobbeltsidig
KGDG13	Lungetransplantation en-bloc m. revasc. af bronchialarterie
KGDG30	Lungetransplantation fra levende donor
KGDG99	Lungetransplantation, anden
KGDW	Andre operationer på lunger
KGDW96	Operation på lunger, anden
KGDW97	Operation på lunger, anden endoskopisk perkutan
KGDW98	Operation på lunger, anden endoskopisk transluminal
KGE	Operationer på mediastinum
KGEA	Mediastinoskopi
KGEA00	Mediastinoskopi, inkl. drænage
KGEA10	Mediastinoskopi med ekstraktion af fremmedlegeme
KGEA20	Mediastinoskopi med excision af tumor
KGEA99	Mediastinoskopioperation, andet
KGEB	Mediastinotomi
KGEB10	Mediastinotomia, inkl. drænage
KGEB20	Mediastinotomi med fjernelse af fremmedlegeme
KGEB30	Mediastinotomi med excision af tumor
KGEB40	Mediastinotomi og udvidet excision
KGEB99	Mediastinotomioperation, anden
KGEC	Operationer på thymus
KGEC00	Excisio probatoria thymii
