A00    Kolera
O65    F”rlossningshinder orsakat av abnormitet i moderns b„cken
O66    Annat f”rlossningshinder
O67    V„rkarbete och f”rlossning komplicerade av bl”dning under f”rlossningsarbetet, som ej klassificeras annorst„des
O68    V„rkarbete och f”rlossning komplicerade av fetal distress (syrebrist hos fostret)
O69    V„rkarbete och f”rlossning med navelstr„ngskomplikationer
O70    Skador i b„ckenbotten under f”rlossningen
O71    Andra f”rlossningsskador p† modern
O72    Bl”dning i efterb”rdsskedet
O73    Kvarh†llen moderkaka eller kvarh†llna hinnor utan bl”dning
O74    Komplikationer vid anestesi under v„rkarbete och f”rlossning
O75    Andra komplikationer till v„rkarbete och f”rlossning som ej klassificeras annorst„des
O80    Spontanf”rlossning vid enkelb”rd
O81    Enkelb”rdsf”rlossning med t†ng eller sugklocka
O82    Kejsarsnittsf”rlossning, enkelb”rd
O83    Annan enkelb”rdsf”rlossning med f”rlossningshj„lp
O84    F”rlossning vid flerb”rd
O85    Barns„ngsfeber
O86    Andra infektioner under barns„ngstiden
O87    Ven”sa komplikationer under barns„ngstiden
O88    Obstetrisk emboli
O89    Komplikationer vid anestesi under barns„ngstiden
O90    Komplikationer under barns„ngstiden som ej klassificeras annorst„des
O91    Infektioner i br”stk”rtel och br”stv†rta i samband med barnsb”rd
O92    Andra br”stk”rtelsjukdomar och rubbningar i laktationen i samband med barnsb”rd
O95    Obstetrisk d”d av icke specificerad orsak
O96    D”d av obstetrisk orsak som intr„ffar mer „n 42 dagar men mindre „n ett †r efter f”rlossningen
O97    D”d som f”ljdtillst†nd efter direkta obstetriska orsaker
O98    Infektionssjukdomar och parasitsjukdomar hos modern som klassificeras annorst„des men som komplicerar graviditet, f”rlossning och barns„ngstid
O99    Andra sjukdomar hos modern som klassificeras annorst„des men som komplicerar graviditet, f”rlossning och barns„ngstid
P00    Foster och nyf”dd som p†verkats av tillst†nd hos modern, vilket ej beh”ver ha samband med den aktuella graviditeten
P01    Foster och nyf”dd som p†verkats av graviditetskomplikationer hos modern
P02    Foster och nyf”dd som p†verkats av komplikationer fr†n moderkaka, navelstr„ng och fosterhinnor
P03    Foster och nyf”dd som p†verkats av andra komplikationer under v„rkarbete och f”rlossning
P04    Foster och nyf”dd som p†verkats av skadlig inverkan ”verf”rd genom placenta eller br”stmj”lk
P05    Tillv„xth„mning under fosterlivet och undern„ring hos fostret
P07    Rubbningar i samband med underburenhet och l†g f”delsevikt som ej klassificeras annorst„des
P08    Rubbningar i samband med ”verburenhet och h”g f”delsevikt
P10    Intrakraniell skada och bl”dning orsakad av f”rlossningsskada
P11    Andra f”rlossningsskador i centrala nervsystemet
P12    F”rlossningsskada p† huvudet
P13    F”rlossningsskada p† skelettet
P14    F”rlossningsskada i perifera nervsystemet
P15    Andra f”rlossningsskador
P20    Intrauterin hypoxi (syrebrist f”re f”rlossningen)
P21    Syrebrist vid f”rlossningen
P22    Respiratorisk distress (andningssv†righeter) hos nyf”dd
P23    Medf”dd pneumoni (lunginflammation)
P24    Aspirationssyndrom i nyf”ddhetsperioden
P25    Interstitiellt emfysem och besl„ktade tillst†nd i den perinatala perioden
P26    Lungbl”dning under den perinatala perioden
P27    Kronisk sjukdom i andningsorganen under den perinatala perioden
P28    Andra andningsrubbningar under den perinatala perioden
P29    Sjukdomar i cirkulationsorganen under den perinatala perioden
P35    Medf”dda virussjukdomar
P36    Bakteriell septikemi hos nyf”dd
P37    Andra medf”dda infektionssjukdomar och parasitsjukdomar
P38    Navelinfektion hos nyf”dd med eller utan l„tt bl”dning
P39    Andra infektioner specifika f”r den perinatala perioden
P50    Bl”dning hos foster
P51    Navelbl”dning hos nyf”dd
P52    Intrakraniell, icke traumatisk bl”dning hos foster och nyf”dd
P53    Bl”dningssjukdom hos foster och nyf”dd
P54    Andra bl”dningar hos nyf”dd
P55    Hemolytisk sjukdom (blodkroppss”nderfall) hos foster och nyf”dd
P56    Hydrops fetalis (vattensvullnad hos foster) orsakad av hemolytisk sjukdom (blodkroppss”nderfall)
P57    K„rnikterus
P58    Gulsot hos nyf”dd orsakad av annan h”ggradig hemolys (blodkroppss”nderfall)
P59    Gulsot hos nyf”dd av andra och icke specificerade orsaker
P60    Disseminerad intravasal koagulation [DIC] hos foster och nyf”dd
P61    Andra blodsjukdomar under den perinatala perioden
P70    ™verg†ende rubbningar i kolhydratoms„ttningen specifika f”r foster och nyf”dd
P71    ™verg†ende rubbningar i kalcium- och magnesiumoms„ttningen hos nyf”dd
P72    Andra ”verg†ende endokrina sjukdomar hos nyf”dd
P74    Andra ”verg†ende elektrolytrubbningar och „mnesoms„ttningsrubbningar hos nyf”dd
P75    Mekoniumileus (E84.1ı)
P76    Annat tarmhinder hos nyf”dd
P77    Nekrotiserande enterokolit (tarminflammation med v„vnadsd”d) hos foster och nyf”dd
P78    Andra sjukdomar i matsm„ltningsorganen hos foster och nyf”dd
P80    Undertemperatur hos nyf”dd
P81    Andra st”rningar i temperaturregleringen hos nyf”dd
P83    Andra tillst†nd som engagerar huden, specifika f”r foster och nyf”dd
P90    Kramper hos nyf”dd
P91    Andra cerebrala rubbningar hos nyf”dd
P92    Uppf”dningsproblem hos nyf”dd
P93    Reaktioner och f”rgiftningar orsakade av l„kemedel som tillf”rts foster och nyf”dd
P94    Muskeltonusrubbningar hos nyf”dd
P95    Fosterd”d av icke specificerad orsak
P96    Andra tillst†nd under den perinatala perioden
Q00    Anencefali (avsaknad av hj„rna) och liknande missbildningar
Q01    Encefalocele (hj„rnbr†ck)
Q02    Mikrocefali (liten hj„rna)
Q03    Medf”dd hydrocefalus (vattenskalle)
Q04    Andra medf”dda missbildningar av hj„rnan
Q05    Spina bifida (kluven ryggrad)
Q06    Andra medf”dda missbildningar av ryggm„rgen
Q07    Andra medf”dda missbildningar i nervsystemet
Q10    Medf”dda missbildningar av ”gonlock, t†rs„ck och t†rkanal samt ”gonh†la
Q11    Anoftalmos (avsaknad av ”ga), mikroftalmos (f”rminskat ”ga) och makroftalmos (f”rstorat ”ga)
Q12    Medf”dd linsmissbildning
Q13    Medf”dda missbildningar i ”gats fr„mre segment
Q14    Medf”dda missbildningar i ”gats bakre segment
Q15    Andra medf”dda missbildningar av ”ga
Q16    Medf”dda missbildningar av ”ra som orsakar nedsatt h”rsel
Q17    Andra medf”dda missbildningar av ”ra
Q18    Andra medf”dda missbildningar av ansiktet och halsen
Q20    Medf”dda missbildningar av hj„rtats kamrar och f”rbindelser
Q21    Medf”dda missbildningar av hj„rtats skiljev„ggar
Q22    Medf”dda missbildningar av pulmonalis- och trikuspidalisklaffar
Q23    Medf”dda missbildningar av aorta- och mitralisklaffar
Q24    Andra medf”dda hj„rtmissbildningar
Q25    Medf”dda missbildningar av de stora art„rerna
Q26    Medf”dda missbildningar av de stora venerna
Q27    Andra medf”dda missbildningar av perifera k„rlsystemet
Q28    Andra medf”dda missbildningar av cirkulationsorganen
Q30    Medf”dda missbildningar av n„san
Q31    Medf”dda missbildningar av struphuvudet
Q32    Medf”dda missbildningar av luftstrupe och bronk
Q33    Medf”dda lungmissbildningar
Q34    Andra medf”dda missbildningar av andningsorganen
Q35    Kluven gom
Q36    Kluven l„pp
Q37    Kluven gom med kluven l„pp
Q38    Andra medf”dda missbildningar av tunga, mun och svalg
Q39    Medf”dda missbildningar av matstrupen
Q40    Andra medf”dda missbildningar i ”vre delen av matsm„ltningskanalen
Q41    Medf”dd avsaknad, atresi och stenos av tunntarmen
Q42    Medf”dd avsaknad, atresi och stenos av tjocktarmen
Q43    Andra medf”dda missbildningar av tarmen
Q44    Medf”dda missbildningar av gallbl†san, gallg†ngarna och levern
Q45    Andra medf”dda missbildningar av matsm„ltningsorganen
Q50    Medf”dda missbildningar av „ggstockar, „ggledare och breda ligament
Q51    Medf”dda missbildningar av livmodern och livmoderhalsen
Q52    Andra medf”dda missbildningar av de kvinnliga k”nsorganen
Q53    Icke nedstigen testikel
Q54    Hypospadi
Q55    Andra medf”dda missbildningar av de manliga k”nsorganen
Q56    Obest„mt k”n och pseudohermafroditism
Q60    Avsaknad och annan medf”dd underutveckling av njure
Q61    Cystnjuresjukdom
Q62    Medf”dda avfl”deshinder i njurb„cken och medf”dda missbildningar i urinledare
Q63    Andra medf”dda missbildningar av njure
Q64    Andra medf”dda missbildningar av urinorganen
Q65    Medf”dda h”ftdeformiteter
Q66    Medf”dda missbildningar av f”tterna
Q67    Medf”dda muskuloskeletala deformiteter av skalle, ansikte, kotpelare och br”stkorg
Q68    Andra medf”dda deformiteter av muskler och skelett
Q69    ™vertaliga fingrar och t†r
Q70    Sammanv„xning av fingrar och t†r
Q71    Reduktionsmissbildningar av ”vre extremitet
Q72    Reduktionsmissbildningar av nedre extremitet
Q73    Reduktionsmissbildningar av icke specificerad extremitet
Q74    Andra medf”dda missbildningar av extremiteterna
Q75    Andra medf”dda missbildningar av skallens och ansiktets ben
Q76    Medf”dda missbildningar av kotpelaren och br”stkorgens ben
Q77    Osteokondrodysplasi med bristande tillv„xt av r”rben och kotpelare
Q78    Andra osteokondrodysplasier
Q79    Medf”dd missbildning av muskler och skelett som ej klassificeras annorst„des
Q80    Medf”dd iktyos
Q81    Epidermolysis bullosa
Q82    Andra medf”dda missbildningar av huden
Q83    Medf”dda missbildningar av br”stk”rtel
Q84    Andra medf”dda missbildningar av t„ckv„vnad
Q85    Fakomatoser som ej klassificeras annorst„des
Q86    Medf”dda missbildningssyndrom orsakade av k„nda yttre orsaker som ej klassificeras annorst„des
Q87    Andra specificerade medf”dda missbildningssyndrom som engagerar multipla organsystem
Q89    Andra medf”dda missbildningar som ej klassificeras annorst„des
Q90    Downs syndrom
Q91    Edwards syndrom och Pataus syndrom
Q92    Andra autosomala trisomier och partiella trisomier som ej klassificeras annorst„des
Q93    Autosomala monosomier och deletioner som ej klassificeras annorst„des
Q95    Balanserade rearrangemang och kromosom-mark”rer som ej klassificeras annorst„des
Q96    Turners syndrom
Q97    Andra k”nskromosomavvikelser, kvinnlig fenotyp, som ej klassificeras annorst„des
Q98    Andra k”nskromosomavvikelser, manlig fenotyp, som ej klassificeras annorst„des
Q99    Andra kromosomavvikelser som ej klassificeras annorst„des
R00    Onormal hj„rtrytm
R01    Bl†sljud och andra hj„rtljud
R02    Gangr„n som ej klassificeras annorst„des
R03    Onormalt fynd vid blodtrycksm„tning utan diagnos
R04    Bl”dning fr†n luftv„garna
R05    Hosta
R06    Onormal andning
R07    Sm„rtor i luftstrupe och br”stkorg
R09    Andra symtom och sjukdomstecken fr†n cirkulations- och andningsorganen
R10    Sm„rtor fr†n buk och b„cken
R11    Illam†ende och kr„kningar
R12    Halsbr„nna
R13    Sv„ljningssv†righeter
R14    Flatulens och besl„ktade tillst†nd
R15    Fecesinkontinens
R16    F”rstorad lever och f”rstorad mj„lte som ej klassificeras annorst„des
R17    Icke specificerad gulsot
R18    Ascites (v„tska i buken)
R19    Andra symtom och sjukdomstecken fr†n matsm„ltningsorganen och buken
R20    St”rningar i hudk„nseln
R21    Icke specificerade hudutslag
R22    Lokaliserad svullnad, kn”l och resistens i huden och underhudsv„vnaden
R23    Andra f”r„ndringar i huden
R25    Abnorma ofrivilliga r”relser
R26    G†ngrubbningar och r”relserubbningar
R27    Annan koordinationsrubbning
R29    Andra symtom och sjukdomstecken fr†n nervsystemet och muskuloskeletala systemet
R30    Sm„rta vid vattenkastning
R31    Icke specificerad hematuri (blod i urinen)
R32    Icke specificerad urininkontinens
R33    Urinretention (urinst„mma)
R34    Anuri och oliguri (ingen urin eller liten urinm„ngd)
R35    Polyuri (stor m„ngd urin)
R36    Flytning fr†n uretra (urinr”ret)
R39    Andra symtom och sjukdomstecken fr†n urinorganen
R40    Somnolens, stupor och koma
R41    Andra symtom och sjukdomstecken som engagerar uppfattningsf”rm†ga och varseblivning
R42    Yrsel och svindel
R43    Rubbningar av lukt och smak
R44    Andra symtom och sjukdomstecken avseende f”rnimmelser och varseblivning
R45    Symtom och sjukdomstecken som avser k„nslol„get
R46    Symtom och sjukdomstecken avseende utseende och upptr„dande
R47    Talst”rningar som ej klassificeras annorst„des
R48    Dyslexi (l„ssv†righeter) och andra symboldysfunktioner som ej klassificeras annorst„des
R49    R”stst”rningar
R50    Feber av ok„nd orsak
R51    Huvudv„rk
R52    Sm„rta och v„rk som ej klassificeras annorst„des
R53    Sjukdomsk„nsla och tr”tthet
R54    Senilitet
R55    Svimning och kollaps
R56    Kramper som ej klassificeras annorst„des
R57    Chock som ej klassificeras annorst„des
R58    Bl”dning som ej klassificeras annorst„des
R59    Lymfk”rtelf”rstoring
R60    ™dem som ej klassificeras annorst„des
R61    Hyperhidros (”verdriven svettning)
R62    Utebliven f”rv„ntad normal kroppslig utveckling
R63    Symtom och sjukdomstecken som har samband med f”do- och v„tskeintag
R64    Utm„rgling
R68    Andra allm„nna symtom och sjukdomstecken
R69    Ok„nda och icke specificerade orsaker till sjuklighet
R70    F”rh”jd s„nkningsreaktion och onormal plasmaviskositet
R71    Onormala r”da blodkroppar
R72    Onormala vita blodkroppar som ej klassificeras annorst„des
R73    F”rh”jd glukoshalt i blodet
R74    Onormala niv†er av serumenzymer
R75    Positiv HIV-serologi utan s„ker infektion med humant immunbristvirus [HIV]
R76    Andra onormala immunologiska fynd i serum
R77    Andra onormala plasmaproteinfynd
R78    Fynd av droger och andra substanser som normalt ej finns i blodet
R79    Annan onormal blodkemi
R80    Isolerad proteinuri („ggvita i urinen)
R81    Glukosuri (socker i urinen)
R82    Andra onormala fynd vid urinunders”kning
R83    Onormala fynd i cerebrospinalv„tskan
R84    Onormala fynd i prov fr†n andningsorganen och fr†n br”stkorgen
R85    Onormala fynd i prov fr†n matsm„ltningsorganen och bukh†lan
R86    Onormala fynd i prov fr†n de manliga k”nsorganen
R87    Onormala fynd i prov fr†n de kvinnliga k”nsorganen
R89    Onormala fynd i prov fr†n andra organ, organsystem och v„vnader
R90    Onormala fynd vid radiologisk diagnostik avseende centrala nervsystemet
R91    Onormala fynd vid radiologisk diagnostik avseende lunga
R92    Onormala fynd vid radiologisk diagnostik avseende br”stk”rtel
R93    Onormala fynd vid radiologisk diagnostik avseende andra kroppsstrukturer
R94    Onormala resultat av funktionsunders”kningar
R95    Pl”tslig sp„dbarnsd”d
R96    Annan pl”tslig d”d av ok„nd orsak
R98    Obevittnad d”d
R99    Andra ofullst„ndigt definierade och icke specificerade orsaker till d”d
S00    Ytlig skada p† huvudet
S01    S†rskada p† huvudet
S02    Skallfraktur och fraktur p† ansiktsben
S03    Luxation och distorsion i huvudets leder och ligament
S04    Skada p† kranialnerver
S05    Skada p† ”gat och ”gonh†lan
S06    Intrakraniell skada
S07    Kl„mskada p† huvudet
S08    Traumatisk amputation av del av huvudet
S09    Andra och icke specificerade skador p† huvudet
S10    Ytlig skada p† halsen
S11    S†rskada p† halsen
S12    Fraktur p† halskotpelaren och halsens ben
S13    Luxation och distorsion av leder och ligament i hals och halskotpelare
S14    Skada p† nerver och p† ryggm„rgen i halsregionen
S15    Skada p† blodk„rl i halsregionen
S16    Skada p† muskel och sena i halsregionen
S17    Kl„mskada p† halsen
S18    Traumatisk amputation p† halsniv†
S19    Andra och icke specificerade skador i halsregionen
S20    Ytlig skada i br”stregionen
S21    S†rskada p† br”stregionen
S22    Fraktur p† revben, br”stbenet och br”stkotpelaren
S23    Luxation och distorsion av br”stkorgens leder och ligament
S24    Skada p† nerver och ryggm„rg i br”stregionen
S25    Skada p† blodk„rl i br”stkorgen
S26    Skada p† hj„rtat
S27    Skada p† andra och icke specificerade organ i br”sth†lan
S28    Kl„mskada p† br”stkorgen och traumatisk amputation av del av br”stkorgen
S29    Andra och icke specificerade skador p† br”stkorgen
S30    Ytlig skada p† buken, nedre delen av ryggen och b„ckenet
S31    S†rskada p† buken, nedre delen av ryggen och b„ckenet
S32    Fraktur p† l„ndkotpelaren och b„ckenet
S33    Luxation och distorsion i leder och ligament i lumbalkotpelaren och b„ckenet
S34    Skada p† nerver och lumbala delen av ryggm„rgen p† bukniv†, b„ckenniv† och nedre delen av ryggen
S35    Skada p† blodk„rl p† bukniv†, b„ckenniv† och nedre delen av ryggen
S36    Skada p† organ i bukh†lan
S37    Skada p† urin- och b„ckenorganen
S38    Kl„mskador och traumatisk amputation av del av buken, nedre delen av ryggen och b„ckenet
S39    Andra och icke specificerade skador p† buken, nedre delen av ryggen och b„ckenet
S40    Ytlig skada p† skuldra och ”verarm
S41    S†rskada p† skuldra och ”verarm
S42    Fraktur p† skuldra och ”verarm
S43    Luxation och distorsion i skulderg”rdelns leder och ligament
S44    Skada p† nerver p† skulder- och ”verarmsniv†
S45    Skada p† blodk„rl p† skulder- och ”verarmsniv†
S46    Skada p† muskel och sena p† skulder- och ”verarmsniv†
S47    Kl„mskada p† skuldra och ”verarm
S48    Traumatisk amputation av skuldra och ”verarm
S49    Andra och icke specificerade skador p† skuldra och ”verarm
S50    Ytlig skada p† underarm
S51    S†rskada p† underarm
S52    Fraktur p† underarm
S53    Luxation och distorsion i armb†gens leder och ligament
S54    Skada p† nerver p† underarmsniv†
S55    Skada p† blodk„rl p† underarmsniv†
S56    Skada p† muskel och sena p† underarmsniv†
S57    Kl„mskada p† underarm
S58    Traumatisk amputation av underarm
S59    Andra och icke specificerade skador p† underarm
S60    Ytlig skada p† handled och hand
S61    S†rskada p† handled och hand
S62    Fraktur p† handled och hand
S63    Luxation och distorsion i leder och ligament p† handleds- och handniv†
S64    Skada p† nerver p† handleds- och handniv†
S65    Skada p† blodk„rl p† handleds- och handniv†
S66    Skada p† muskel och sena p† handleds- och handniv†
S67    Kl„mskada p† handled och hand
S68    Traumatisk amputation av handled och hand
S69    Andra och icke specificerade skador p† handled och hand
S70    Ytlig skada p† h”ft och l†r
S71    S†rskada p† h”ft och l†r
S72    Fraktur p† l†rben
S73    Luxation och distorsion i h”ftled och h”ftligament
S74    Skada p† nerver p† h”ft- och l†rniv†
S75    Skada p† blodk„rl p† h”ft- och l†rniv†
S76    Skada p† muskel och sena p† h”ft- och l†rniv†
S77    Kl„mskador p† h”ft och l†r
S78    Traumatisk amputation av h”ft och l†r
S79    Andra och icke specificerade skador p† h”ft och l†r
S80    Ytlig skada p† underben
S81    S†rskada p† underben
S82    Fraktur p† underben inklusive fotled
S83    Luxation och distorsion i kn„ets leder och ligament
S84    Skada p† nerver p† underbensniv†
S85    Skada p† blodk„rl p† underbensniv†
S86    Skada p† muskel och sena p† underbensniv†
S87    Kl„mskada p† underben
S88    Traumatisk amputation av underben
S89    Andra och icke specificerade skador p† underben
S90    Ytlig skada p† fotled och fot
S91    S†rskada p† fotled och fot
S92    Fraktur p† fot med undantag f”r fotled
S93    Luxation och distorsion i leder och ligament p† fotleds- och fotniv†
S94    Skada p† nerver p† fotleds- och fotniv†
S95    Skada p† blodk„rl p† fotleds- och fotniv†
S96    Skada p† muskel och sena p† fotleds- och fotniv†
S97    Kl„mskada p† fotled och fot
S98    Traumatisk amputation av fotled och fot
S99    Andra och icke specificerade skador p† fotled och fot
T00    Ytliga skador som engagerar flera kroppsregioner
T01    S†rskador som engagerar flera kroppsregioner
T02    Frakturer som engagerar flera kroppsregioner
T03    Luxationer och distorsioner som engagerar flera kroppsregioner
T04    Kl„mskador som engagerar flera kroppsregioner
T05    Traumatiska amputationer som engagerar flera kroppsregioner
T06    Andra skador som engagerar flera kroppsregioner som ej klassificeras annorst„des
T07    Icke specificerade multipla skador
T08    Fraktur p† ryggraden p† icke specificerad niv†
T09    Andra skador p† ryggraden och b†len p† icke specificerad niv†
T10    Fraktur p† ”vre extremitet p† icke specificerad niv†
T11    Andra skador p† ”vre extremitet p† icke specificerad niv†
T12    Fraktur p† nedre extremiteter p† icke specificerad niv†
T13    Andra skador p† nedre extremitet p† icke specificerad niv†
T14    Skada p† icke specificerad kroppsregion
T15    Fr„mmande kropp i ”gats yttre delar
T16    Fr„mmande kropp i ”rat
T17    Fr„mmande kropp i andningsv„garna
T18    Fr„mmande kropp i matsm„ltningskanalen
T19    Fr„mmande kropp i urinorganen och k”nsorganen
T20    Br„nnskada och fr„tskada p† huvudet och halsen
T21    Br„nnskada och fr„tskada p† b†len
T22    Br„nnskada och fr„tskada p† skuldra och ”vre extremitet utom handled och hand
T23    Br„nnskada och fr„tskada p† handled och hand
T24    Br„nnskada och fr„tskada p† h”ft och nedre extremitet utom fotled och fot
T25    Br„nnskada och fr„tskada p† fotled och fot
T26    Br„nnskada och fr„tskada begr„nsad till ”gat och n„rliggande organ
T27    Br„nnskada och fr„tskada i andningsv„garna
T28    Br„nnskada och fr„tskada i andra inre organ
T29    Br„nnskador och fr„tskador p† flera kroppsregioner
T30    Br„nnskada och fr„tskada p† icke specificerad kroppsregion
T31    Br„nnskador klassificerade med h„nsyn till storleken p† den kroppsyta som engagerats
T32    Fr„tskador klassificerade med h„nsyn till storleken p† den kroppsyta som engagerats
T33    Ytlig k”ldskada
T34    K”ldskada med v„vnadsnekros
T35    K”ldskada som engagerar flera kroppsregioner och icke specificerad k”ldskada
T36    F”rgiftning med systemiska antibiotika
T37    F”rgiftning med andra l„kemedel f”r systemiskt bruk mot infektionssjukdomar och parasitsjukdomar
T38    F”rgiftning med hormoner och deras syntetiska substitut och antagonister som ej klassificeras annorst„des
T39    F”rgiftning med sm„rtstillande l„kemedel av icke opiatkarakt„r, feberneds„ttande l„kemedel samt antiinflammatoriska och antireumatiska l„kemedel
T40    F”rgiftning med narkotiska och psykodysleptiska medel [hallucinogener]
T41    F”rgiftning med anestetika och gaser f”r terapeutiskt bruk
T42    F”rgiftning med antiepileptika och medel vid parkinsonism samt lugnande medel och s”mnmedel
T43    F”rgiftning med psykotropa l„kemedel som ej klassificeras annorst„des
T44    F”rgiftning med l„kemedel som f”retr„desvis p†verkar det autonoma nervsystemet
T45    F”rgiftning med l„kemedel med f”retr„desvis systemisk och hematologisk effekt som ej klassificeras annorst„des
T46    F”rgiftning med l„kemedel som f”retr„desvis p†verkar hj„rt-k„rlsystemet
T47    F”rgiftning med l„kemedel som f”retr„desvis p†verkar mag-tarmkanalen
T48    F”rgiftning med l„kemedel som f”retr„desvis p†verkar glatt muskulatur, skelettmuskulatur och andningsorganen
T49    F”rgiftningar med medel f”retr„desvis anv„nda f”r lokalterapi vid hud- och slemhinnesjukdomar, vid ”gon-, ”ron-, n„s-, hals-, och tandsjukdomar
T50    F”rgiftning med diuretika samt andra och icke specificerade droger, l„kemedel och biologiska substanser
T51    Toxisk effekt av alkohol
T52    Toxisk effekt av organiska l”sningsmedel
T53    Toxisk effekt av halogenderivat av alifatiska och aromatiska kolv„ten
T54    Toxisk effekt av fr„tande substanser
T55    Toxisk effekt av s†por och reng”ringsmedel
T56    Toxisk effekt av metaller
T57    Toxisk effekt av andra oorganiska substanser
T58    Toxisk effekt av kolmonoxid
T59    Toxisk effekt av andra gaser, r”k och †ngor
T60    Toxisk effekt av pesticider
T61    Toxisk effekt av giftiga substanser i fisk och skaldjur
T62    Toxisk effekt av andra giftiga substanser i f”do„mnen
T63    Toxisk effekt av kontakt med giftiga djur
T64    Toxisk effekt av aflatoxin och andra mykotoxinf”roreningar i f”da
T65    Toxisk effekt av andra och icke specificerade substanser
T66    Icke specificerade effekter av str†lning
T67    Effekter av v„rme och ljus
T68    Hypotermi
T69    Andra effekter av nedsatt temperatur
T70    Effekter av lufttryck och vattentryck
T71    Kv„vning
T73    Effekter av annan bristsituation
T74    Misshandelssyndrom
T75    Effekter av andra yttre orsaker
T78    Ogynnsamma effekter som ej klassificeras annorst„des
T79    Vissa tidiga komplikationer till skada genom yttre v†ld som ej klassificeras annorst„des
T80    Komplikationer efter infusion, transfusion och injektion i behandlingssyfte
T81    Komplikationer till kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
T82    Komplikationer orsakade av kardiella och vaskul„ra proteser, implantat och transplantat
T83    Komplikationer av proteser, implantat och transplantat i urinorganen och k”nsorganen
T84    Komplikationer av inre ortopediska proteser, implantat och transplantat
T85    Komplikationer av andra inre proteser, implantat och transplantat
T86    Funktionssvikt och avst”tning av transplanterade organ och v„vnader
T87    Komplikationer specifika f”r replantation (†terfasts„ttning) och amputation
T88    Andra komplikationer och ogynnsamma effekter av kirurgiska †tg„rder och medicinsk v†rd som ej klassificeras annorst„des
T90    Sena besv„r av skador p† huvudet
T91    Sena besv„r av skada p† hals och b†l
T92    Sena besv„r av skador p† ”vre extremitet
T93    Sena besv„r av skador p† nedre extremitet
T94    Sena besv„r av skador som engagerar flera och icke specificerade kroppsregioner
T95    Sena besv„r av br„nnskador, fr„tskador och k”ldskador
T96    Sena besv„r av f”rgiftning orsakad av droger, l„kemedel och biologiska substanser
T97    Sena besv„r av toxiska effekter av substanser med i huvudsak icke medicinsk anv„ndning
T98    Sena besv„r av andra och icke specificerade effekter av yttre orsaker
W00    Fall i samma plan i samband med is och sn”
W01    Fall i samma plan genom halkning, snavning eller snubbling
V01    Fotg„ngare skadad i kollision med cykel
W02    Fall i samband med anv„ndning av skridskor, skidor, rullskridskor, skateboard (rullbr„da) eller snowboard
V02    Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon
W03    Annat fall i samma plan genom kollision med eller knuff av annan person
V03    Fotg„ngare skadad i kollision med personbil eller l„tt lastbil
W04    Fall n„r man blir buren eller f†r st”d av andra personer
V04    Fotg„ngare skadad i kollision med tung lastbil eller buss
W05    Fall fr†n rullstol
V05    Fotg„ngare skadad i kollision med t†g
W06    Fall fr†n s„ng
V06    Fotg„ngare skadad i kollision med annat icke motordrivet fordon
W07    Fall fr†n stol
W08    Fall fr†n andra m”bler
W09    Fall fr†n lekredskap p† lekplats
V09    Fotg„ngare skadad i transportolycka
V10    Cyklist skadad i kollision med fotg„ngare eller djur
W10    Fall i och fr†n trappa och trappsteg
V11    Cyklist skadad i kollision med annan cykel
W11    Fall p† och fr†n stege
V12    Cyklist skadad i kollision med tv†- eller trehjuligt motorfordon
W12    Fall p† och fr†n byggnadsst„llning
V13    Cyklist skadad i kollision med personbil eller l„tt lastbil
W13    Fall ut ur, fr†n eller genom byggnad eller byggnadskonstruktion
V14    Cyklist skadad i kollision med tung lastbil eller buss
W14    Fall fr†n tr„d
V15    Cyklist skadad i kollision med t†g
W15    Fall fr†n stup
V16    Cyklist skadad i kollision med annat icke motordrivet fordon
W16    Dykning eller hopp i vatten med annan skada „n drunkning eller drunkningstillbud
W17    Annat fall fr†n ett plan till ett annat
V17    Cyklist skadad i kollision med fast eller stillast†ende f”rem†l
W18    Annat fall i samma plan
V18    Cyklist i transportolycka, ej kollision
V19    Cyklist skadad i transportolycka
W19    Fall, ospecificerat
V20    Motorcyklist skadad i kollision med fotg„ngare eller djur
W20    Tr„ffad av kastat eller fallande f”rem†l
V21    Motorcyklist skadad i kollision med cykel
W21    Slagit sig mot eller tr„ffad av sportredskap
V22    Motorcyklist skadad i kollision med tv†- eller trehjuligt motorfordon
W22    Slagit sig mot eller tr„ffad av andra f”rem†l
W23    F†ngad av, kl„md eller pressad i eller mellan f”rem†l
V23    Motorcyklist skadad i kollision med personbil eller l„tt lastbil
W24    Kontakt med utrustning f”r kraft”verf”ring och lyft som ej klassificeras annorst„des
V24    Motorcyklist skadad i kollision med tung lastbil eller buss
W25    Kontakt med vasst glasf”rem†l
V25    Motorcyklist skadad i kollision med t†g
W26    Kontakt med dolk, kniv eller sv„rd
V26    Motorcyklist skadad i kollision med annat ej motordrivet fordon
W27    Kontakt med ej motordrivet handverktyg
V27    Motorcyklist skadad i kollision med fast eller stillast†ende f”rem†l
W28    Kontakt med motordriven gr„sklippare
V28    Motorcyklist skadad i transportolycka, ej kollision
W29    Kontakt med annat motordrivet handverktyg och hush†llsmaskin
V29    Motorcyklist skadad i transportolycka
V30    F”rare av eller passagerare i trehjuligt motorfordon i kollision med fotg„ngare eller djur
