V0100  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-idrott
W0679  Fall fr†n s„ng-lantbruksomr†de-ospec aktiviteter
W0680  Fall fr†n s„ng-andra omr†den-idrott
W0681  Fall fr†n s„ng-andra omr†den-lek,fritid
W0682  Fall fr†n s„ng-andra omr†den-f”rv„rvsarbete
W0683  Fall fr†n s„ng-andra omr†den-annan syssels„ttning
W0684  Fall fr†n s„ng-andra omr†den-vitalaktivitet
W0688  Fall fr†n s„ng-andra omr†den-andra aktiviteter
W0689  Fall fr†n s„ng-andra omr†den-ospec aktiviteter
W0690  Fall fr†n s„ng-ospec omr†de-idrott
W0691  Fall fr†n s„ng-ospec omr†de-lek,fritid
W0692  Fall fr†n s„ng-ospec omr†de-f”rv„rvsarbete
W0693  Fall fr†n s„ng-ospec omr†de-annan syssels„ttning
W0694  Fall fr†n s„ng-ospec omr†de-vitalaktivitet
W0698  Fall fr†n s„ng-ospec omr†de-andra aktiviteter
W0699  Fall fr†n s„ng-ospec omr†de-ospec aktiviteter
W0700  Fall fr†n stol-bostad-idrott
W0701  Fall fr†n stol-bostad-lek,fritid
W0702  Fall fr†n stol-bostad-f”rv„rvsarbete
W0703  Fall fr†n stol-bostad-annan syssels„ttning
W0704  Fall fr†n stol-bostad-vitalaktivitet
W0708  Fall fr†n stol-bostad-andra aktiviteter
W0709  Fall fr†n stol-bostad-ospec aktiviteter
W0710  Fall fr†n stol-institutionellt boende-idrott
W0711  Fall fr†n stol-institutionellt boende-lek,fritid
W0712  Fall fr†n stol-institutionellt boende-f”rv„rvsarbete
W0713  Fall fr†n stol-institutionellt boende-annan syssels„ttning
W0714  Fall fr†n stol-institutionellt boende-vitalaktivitet
W0718  Fall fr†n stol-institutionellt boende-andra aktiviteter
W0719  Fall fr†n stol-institutionellt boende-ospec aktiviteter
W0720  Fall fr†n stol-skola, offentlig lokal-idrott
W0721  Fall fr†n stol-skola, offentlig lokal-lek,fritid
W0722  Fall fr†n stol-skola, offentlig lokal-f”rv„rvsarbete
W0723  Fall fr†n stol-skola, offentlig lokal-annan syssels„ttning
W0724  Fall fr†n stol-skola, offentlig lokal-vitalaktivitet
W0728  Fall fr†n stol-skola, offentlig lokal-andra aktiviteter
W0729  Fall fr†n stol-skola, offentlig lokal-ospec aktiviteter
W0730  Fall fr†n stol-idrottsanl„ggning-idrott
W0731  Fall fr†n stol-idrottsanl„ggning-lek,fritid
W0732  Fall fr†n stol-idrottsanl„ggning-f”rv„rvsarbete
W0733  Fall fr†n stol-idrottsanl„ggning-annan syssels„ttning
W0734  Fall fr†n stol-idrottsanl„ggning-vitalaktivitet
W0738  Fall fr†n stol-idrottsanl„ggning-andra aktiviteter
W0739  Fall fr†n stol-idrottsanl„ggning-ospec aktiviteter
W0740  Fall fr†n stol-gata-idrott
W0741  Fall fr†n stol-gata-lek,fritid
W0742  Fall fr†n stol-gata-f”rv„rvsarbete
W0743  Fall fr†n stol-gata-annan syssels„ttning
W0744  Fall fr†n stol-gata-vitalaktivitet
W0748  Fall fr†n stol-gata-andra aktiviteter
W0749  Fall fr†n stol-gata-ospec aktiviteter
W0750  Fall fr†n stol-serviceomr†de-idrott
W0751  Fall fr†n stol-serviceomr†de-lek,fritid
W0752  Fall fr†n stol-serviceomr†de-f”rv„rvsarbete
W0753  Fall fr†n stol-serviceomr†de-annan syssels„ttning
W0754  Fall fr†n stol-serviceomr†de-vitalaktivitet
W0758  Fall fr†n stol-serviceomr†de-andra aktiviteter
W0759  Fall fr†n stol-serviceomr†de-ospec aktiviteter
W0760  Fall fr†n stol-industriomr†de-idrott
W0761  Fall fr†n stol-industriomr†de-lek,fritid
W0762  Fall fr†n stol-industriomr†de-f”rv„rvsarbete
W0763  Fall fr†n stol-industriomr†de-annan syssels„ttning
W0764  Fall fr†n stol-industriomr†de-vitalaktivitet
W0768  Fall fr†n stol-industriomr†de-andra aktiviteter
W0769  Fall fr†n stol-industriomr†de-ospec aktiviteter
W0770  Fall fr†n stol-lantbruksomr†de-idrott
W0771  Fall fr†n stol-lantbruksomr†de-lek,fritid
W0772  Fall fr†n stol-lantbruksomr†de-f”rv„rvsarbete
W0773  Fall fr†n stol-lantbruksomr†de-annan syssels„ttning
W0774  Fall fr†n stol-lantbruksomr†de-vitalaktivitet
W0778  Fall fr†n stol-lantbruksomr†de-andra aktiviteter
W0779  Fall fr†n stol-lantbruksomr†de-ospec aktiviteter
W0780  Fall fr†n stol-andra omr†den-idrott
W0781  Fall fr†n stol-andra omr†den-lek,fritid
W0782  Fall fr†n stol-andra omr†den-f”rv„rvsarbete
W0783  Fall fr†n stol-andra omr†den-annan syssels„ttning
W0784  Fall fr†n stol-andra omr†den-vitalaktivitet
W0788  Fall fr†n stol-andra omr†den-andra aktiviteter
W0789  Fall fr†n stol-andra omr†den-ospec aktiviteter
W0790  Fall fr†n stol-ospec omr†de-idrott
W0791  Fall fr†n stol-ospec omr†de-lek,fritid
W0792  Fall fr†n stol-ospec omr†de-f”rv„rvsarbete
W0793  Fall fr†n stol-ospec omr†de-annan syssels„ttning
W0794  Fall fr†n stol-ospec omr†de-vitalaktivitet
W0798  Fall fr†n stol-ospec omr†de-andra aktiviteter
W0799  Fall fr†n stol-ospec omr†de-ospec aktiviteter
W0800  Fall fr†n andra m”bler-bostad-idrott
W0801  Fall fr†n andra m”bler-bostad-lek,fritid
W0802  Fall fr†n andra m”bler-bostad-f”rv„rvsarbete
W0803  Fall fr†n andra m”bler-bostad-annan syssels„ttning
W0804  Fall fr†n andra m”bler-bostad-vitalaktivitet
W0808  Fall fr†n andra m”bler-bostad-andra aktiviteter
W0809  Fall fr†n andra m”bler-bostad-ospec aktiviteter
W0810  Fall fr†n andra m”bler-institutionellt boende-idrott
W0811  Fall fr†n andra m”bler-institutionellt boende-lek,fritid
W0812  Fall fr†n andra m”bler-institutionellt boende-f”rv„rvsarbete
W0813  Fall fr†n andra m”bler-institutionellt boende-annan syssels„ttning
W0814  Fall fr†n andra m”bler-institutionellt boende-vitalaktivitet
W0818  Fall fr†n andra m”bler-institutionellt boende-andra aktiviteter
W0819  Fall fr†n andra m”bler-institutionellt boende-ospec aktiviteter
W0820  Fall fr†n andra m”bler-skola, offentlig lokal-idrott
W0821  Fall fr†n andra m”bler-skola, offentlig lokal-lek,fritid
W0822  Fall fr†n andra m”bler-skola, offentlig lokal-f”rv„rvsarbete
W0823  Fall fr†n andra m”bler-skola, offentlig lokal-annan syssels„ttning
W0824  Fall fr†n andra m”bler-skola, offentlig lokal-vitalaktivitet
W0828  Fall fr†n andra m”bler-skola, offentlig lokal-andra aktiviteter
W0829  Fall fr†n andra m”bler-skola, offentlig lokal-ospec aktiviteter
W0830  Fall fr†n andra m”bler-idrottsanl„ggning-idrott
W0831  Fall fr†n andra m”bler-idrottsanl„ggning-lek,fritid
W0832  Fall fr†n andra m”bler-idrottsanl„ggning-f”rv„rvsarbete
W0833  Fall fr†n andra m”bler-idrottsanl„ggning-annan syssels„ttning
W0834  Fall fr†n andra m”bler-idrottsanl„ggning-vitalaktivitet
W0838  Fall fr†n andra m”bler-idrottsanl„ggning-andra aktiviteter
W0839  Fall fr†n andra m”bler-idrottsanl„ggning-ospec aktiviteter
W0840  Fall fr†n andra m”bler-gata-idrott
W0841  Fall fr†n andra m”bler-gata-lek,fritid
W0842  Fall fr†n andra m”bler-gata-f”rv„rvsarbete
W0843  Fall fr†n andra m”bler-gata-annan syssels„ttning
W0844  Fall fr†n andra m”bler-gata-vitalaktivitet
W0848  Fall fr†n andra m”bler-gata-andra aktiviteter
W0849  Fall fr†n andra m”bler-gata-ospec aktiviteter
W0850  Fall fr†n andra m”bler-serviceomr†de-idrott
W0851  Fall fr†n andra m”bler-serviceomr†de-lek,fritid
W0852  Fall fr†n andra m”bler-serviceomr†de-f”rv„rvsarbete
W0853  Fall fr†n andra m”bler-serviceomr†de-annan syssels„ttning
W0854  Fall fr†n andra m”bler-serviceomr†de-vitalaktivitet
W0858  Fall fr†n andra m”bler-serviceomr†de-andra aktiviteter
W0859  Fall fr†n andra m”bler-serviceomr†de-ospec aktiviteter
W0860  Fall fr†n andra m”bler-industriomr†de-idrott
W0861  Fall fr†n andra m”bler-industriomr†de-lek,fritid
W0862  Fall fr†n andra m”bler-industriomr†de-f”rv„rvsarbete
W0863  Fall fr†n andra m”bler-industriomr†de-annan syssels„ttning
W0864  Fall fr†n andra m”bler-industriomr†de-vitalaktivitet
W0868  Fall fr†n andra m”bler-industriomr†de-andra aktiviteter
W0869  Fall fr†n andra m”bler-industriomr†de-ospec aktiviteter
W0870  Fall fr†n andra m”bler-lantbruksomr†de-idrott
W0871  Fall fr†n andra m”bler-lantbruksomr†de-lek,fritid
W0872  Fall fr†n andra m”bler-lantbruksomr†de-f”rv„rvsarbete
W0873  Fall fr†n andra m”bler-lantbruksomr†de-annan syssels„ttning
W0874  Fall fr†n andra m”bler-lantbruksomr†de-vitalaktivitet
W0878  Fall fr†n andra m”bler-lantbruksomr†de-andra aktiviteter
W0879  Fall fr†n andra m”bler-lantbruksomr†de-ospec aktiviteter
W0880  Fall fr†n andra m”bler-andra omr†den-idrott
W0881  Fall fr†n andra m”bler-andra omr†den-lek,fritid
W0882  Fall fr†n andra m”bler-andra omr†den-f”rv„rvsarbete
W0883  Fall fr†n andra m”bler-andra omr†den-annan syssels„ttning
W0884  Fall fr†n andra m”bler-andra omr†den-vitalaktivitet
W0888  Fall fr†n andra m”bler-andra omr†den-andra aktiviteter
W0889  Fall fr†n andra m”bler-andra omr†den-ospec aktiviteter
W0890  Fall fr†n andra m”bler-ospec omr†de-idrott
W0891  Fall fr†n andra m”bler-ospec omr†de-lek,fritid
W0892  Fall fr†n andra m”bler-ospec omr†de-f”rv„rvsarbete
W0893  Fall fr†n andra m”bler-ospec omr†de-annan syssels„ttning
W0894  Fall fr†n andra m”bler-ospec omr†de-vitalaktivitet
W0898  Fall fr†n andra m”bler-ospec omr†de-andra aktiviteter
W0899  Fall fr†n andra m”bler-ospec omr†de-ospec aktiviteter
W0900  Fall fr†n lekredskap p† lekplats-bostad-idrott
W0901  Fall fr†n lekredskap p† lekplats-bostad-lek,fritid
W0902  Fall fr†n lekredskap p† lekplats-bostad-f”rv„rvsarbete
W0903  Fall fr†n lekredskap p† lekplats-bostad-annan syssels„ttning
W0904  Fall fr†n lekredskap p† lekplats-bostad-vitalaktivitet
W0908  Fall fr†n lekredskap p† lekplats-bostad-andra aktiviteter
W0909  Fall fr†n lekredskap p† lekplats-bostad-ospec aktiviteter
W0910  Fall fr†n lekredskap p† lekplats-institutionellt boende-idrott
W0911  Fall fr†n lekredskap p† lekplats-institutionellt boende-lek,fritid
W0912  Fall fr†n lekredskap p† lekplats-institutionellt boende-f”rv„rvsarbete
W0913  Fall fr†n lekredskap p† lekplats-institutionellt boende-annan syssels„ttning
W0914  Fall fr†n lekredskap p† lekplats-institutionellt boende-vitalaktivitet
W0918  Fall fr†n lekredskap p† lekplats-institutionellt boende-andra aktiviteter
W0919  Fall fr†n lekredskap p† lekplats-institutionellt boende-ospec aktiviteter
W0920  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-idrott
W0921  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-lek,fritid
W0922  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-f”rv„rvsarbete
W0923  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-annan syssels„ttning
W0924  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-vitalaktivitet
W0928  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-andra aktiviteter
W0929  Fall fr†n lekredskap p† lekplats-skola, offentlig lokal-ospec aktiviteter
W0930  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-idrott
W0931  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-lek,fritid
W0932  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-f”rv„rvsarbete
W0933  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-annan syssels„ttning
W0934  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-vitalaktivitet
W0938  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-andra aktiviteter
W0939  Fall fr†n lekredskap p† lekplats-idrottsanl„ggning-ospec aktiviteter
W0940  Fall fr†n lekredskap p† lekplats-gata-idrott
W0941  Fall fr†n lekredskap p† lekplats-gata-lek,fritid
W0942  Fall fr†n lekredskap p† lekplats-gata-f”rv„rvsarbete
W0943  Fall fr†n lekredskap p† lekplats-gata-annan syssels„ttning
W0944  Fall fr†n lekredskap p† lekplats-gata-vitalaktivitet
W0948  Fall fr†n lekredskap p† lekplats-gata-andra aktiviteter
W0949  Fall fr†n lekredskap p† lekplats-gata-ospec aktiviteter
W0950  Fall fr†n lekredskap p† lekplats-serviceomr†de-idrott
W0951  Fall fr†n lekredskap p† lekplats-serviceomr†de-lek,fritid
W0952  Fall fr†n lekredskap p† lekplats-serviceomr†de-f”rv„rvsarbete
W0953  Fall fr†n lekredskap p† lekplats-serviceomr†de-annan syssels„ttning
W0954  Fall fr†n lekredskap p† lekplats-serviceomr†de-vitalaktivitet
W0958  Fall fr†n lekredskap p† lekplats-serviceomr†de-andra aktiviteter
W0959  Fall fr†n lekredskap p† lekplats-serviceomr†de-ospec aktiviteter
W0960  Fall fr†n lekredskap p† lekplats-industriomr†de-idrott
W0961  Fall fr†n lekredskap p† lekplats-industriomr†de-lek,fritid
W0962  Fall fr†n lekredskap p† lekplats-industriomr†de-f”rv„rvsarbete
W0963  Fall fr†n lekredskap p† lekplats-industriomr†de-annan syssels„ttning
W0964  Fall fr†n lekredskap p† lekplats-industriomr†de-vitalaktivitet
W0968  Fall fr†n lekredskap p† lekplats-industriomr†de-andra aktiviteter
W0969  Fall fr†n lekredskap p† lekplats-industriomr†de-ospec aktiviteter
W0970  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-idrott
W0971  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-lek,fritid
W0972  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-f”rv„rvsarbete
W0973  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-annan syssels„ttning
W0974  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-vitalaktivitet
W0978  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-andra aktiviteter
W0979  Fall fr†n lekredskap p† lekplats-lantbruksomr†de-ospec aktiviteter
W0980  Fall fr†n lekredskap p† lekplats-andra omr†den-idrott
W0981  Fall fr†n lekredskap p† lekplats-andra omr†den-lek,fritid
W0982  Fall fr†n lekredskap p† lekplats-andra omr†den-f”rv„rvsarbete
W0983  Fall fr†n lekredskap p† lekplats-andra omr†den-annan syssels„ttning
W0984  Fall fr†n lekredskap p† lekplats-andra omr†den-vitalaktivitet
W0988  Fall fr†n lekredskap p† lekplats-andra omr†den-andra aktiviteter
W0989  Fall fr†n lekredskap p† lekplats-andra omr†den-ospec aktiviteter
W0990  Fall fr†n lekredskap p† lekplats-ospec omr†de-idrott
W0991  Fall fr†n lekredskap p† lekplats-ospec omr†de-lek,fritid
W0992  Fall fr†n lekredskap p† lekplats-ospec omr†de-f”rv„rvsarbete
W0993  Fall fr†n lekredskap p† lekplats-ospec omr†de-annan syssels„ttning
W0994  Fall fr†n lekredskap p† lekplats-ospec omr†de-vitalaktivitet
W0998  Fall fr†n lekredskap p† lekplats-ospec omr†de-andra aktiviteter
W0999  Fall fr†n lekredskap p† lekplats-ospec omr†de-ospec aktiviteter
W1000  Fall i och fr†n trappa och trappsteg-bostad-idrott
W1001  Fall i och fr†n trappa och trappsteg-bostad-lek,fritid
W1002  Fall i och fr†n trappa och trappsteg-bostad-f”rv„rvsarbete
W1003  Fall i och fr†n trappa och trappsteg-bostad-annan syssels„ttning
W1004  Fall i och fr†n trappa och trappsteg-bostad-vitalaktivitet
W1008  Fall i och fr†n trappa och trappsteg-bostad-andra aktiviteter
W1009  Fall i och fr†n trappa och trappsteg-bostad-ospec aktiviteter
W1010  Fall i och fr†n trappa och trappsteg-institutionellt boende-idrott
W1011  Fall i och fr†n trappa och trappsteg-institutionellt boende-lek,fritid
W1012  Fall i och fr†n trappa och trappsteg-institutionellt boende-f”rv„rvsarbete
W1013  Fall i och fr†n trappa och trappsteg-institutionellt boende-annan syssels„ttning
W1014  Fall i och fr†n trappa och trappsteg-institutionellt boende-vitalaktivitet
W1018  Fall i och fr†n trappa och trappsteg-institutionellt boende-andra aktiviteter
W1019  Fall i och fr†n trappa och trappsteg-institutionellt boende-ospec aktiviteter
W1020  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-idrott
W1021  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-lek,fritid
W1022  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-f”rv„rvsarbete
W1023  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-annan syssels„ttning
W1024  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-vitalaktivitet
W1028  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-andra aktiviteter
W1029  Fall i och fr†n trappa och trappsteg-skola, offentlig lokal-ospec aktiviteter
W1030  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-idrott
W1031  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-lek,fritid
W1032  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-f”rv„rvsarbete
W1033  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-annan syssels„ttning
W1034  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-vitalaktivitet
W1038  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-andra aktiviteter
W1039  Fall i och fr†n trappa och trappsteg-idrottsanl„ggning-ospec aktiviteter
W1040  Fall i och fr†n trappa och trappsteg-gata-idrott
W1041  Fall i och fr†n trappa och trappsteg-gata-lek,fritid
W1042  Fall i och fr†n trappa och trappsteg-gata-f”rv„rvsarbete
W1043  Fall i och fr†n trappa och trappsteg-gata-annan syssels„ttning
W1044  Fall i och fr†n trappa och trappsteg-gata-vitalaktivitet
W1048  Fall i och fr†n trappa och trappsteg-gata-andra aktiviteter
W1049  Fall i och fr†n trappa och trappsteg-gata-ospec aktiviteter
W1050  Fall i och fr†n trappa och trappsteg-serviceomr†de-idrott
W1051  Fall i och fr†n trappa och trappsteg-serviceomr†de-lek,fritid
W1052  Fall i och fr†n trappa och trappsteg-serviceomr†de-f”rv„rvsarbete
W1053  Fall i och fr†n trappa och trappsteg-serviceomr†de-annan syssels„ttning
W1054  Fall i och fr†n trappa och trappsteg-serviceomr†de-vitalaktivitet
W1058  Fall i och fr†n trappa och trappsteg-serviceomr†de-andra aktiviteter
W1059  Fall i och fr†n trappa och trappsteg-serviceomr†de-ospec aktiviteter
W1060  Fall i och fr†n trappa och trappsteg-industriomr†de-idrott
W1061  Fall i och fr†n trappa och trappsteg-industriomr†de-lek,fritid
W1062  Fall i och fr†n trappa och trappsteg-industriomr†de-f”rv„rvsarbete
W1063  Fall i och fr†n trappa och trappsteg-industriomr†de-annan syssels„ttning
W1064  Fall i och fr†n trappa och trappsteg-industriomr†de-vitalaktivitet
W1068  Fall i och fr†n trappa och trappsteg-industriomr†de-andra aktiviteter
W1069  Fall i och fr†n trappa och trappsteg-industriomr†de-ospec aktiviteter
W1070  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-idrott
W1071  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-lek,fritid
W1072  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-f”rv„rvsarbete
W1073  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-annan syssels„ttning
W1074  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-vitalaktivitet
W1078  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-andra aktiviteter
W1079  Fall i och fr†n trappa och trappsteg-lantbruksomr†de-ospec aktiviteter
W1080  Fall i och fr†n trappa och trappsteg-andra omr†den-idrott
W1081  Fall i och fr†n trappa och trappsteg-andra omr†den-lek,fritid
W1082  Fall i och fr†n trappa och trappsteg-andra omr†den-f”rv„rvsarbete
W1083  Fall i och fr†n trappa och trappsteg-andra omr†den-annan syssels„ttning
W1084  Fall i och fr†n trappa och trappsteg-andra omr†den-vitalaktivitet
W1088  Fall i och fr†n trappa och trappsteg-andra omr†den-andra aktiviteter
W1089  Fall i och fr†n trappa och trappsteg-andra omr†den-ospec aktiviteter
W1090  Fall i och fr†n trappa och trappsteg-ospec omr†de-idrott
W1091  Fall i och fr†n trappa och trappsteg-ospec omr†de-lek,fritid
W1092  Fall i och fr†n trappa och trappsteg-ospec omr†de-f”rv„rvsarbete
W1093  Fall i och fr†n trappa och trappsteg-ospec omr†de-annan syssels„ttning
W1094  Fall i och fr†n trappa och trappsteg-ospec omr†de-vitalaktivitet
W1098  Fall i och fr†n trappa och trappsteg-ospec omr†de-andra aktiviteter
W1099  Fall i och fr†n trappa och trappsteg-ospec omr†de-ospec aktiviteter
W1100  Fall p† och fr†n stege-bostad-idrott
W1101  Fall p† och fr†n stege-bostad-lek,fritid
W1102  Fall p† och fr†n stege-bostad-f”rv„rvsarbete
W1103  Fall p† och fr†n stege-bostad-annan syssels„ttning
W1104  Fall p† och fr†n stege-bostad-vitalaktivitet
W1108  Fall p† och fr†n stege-bostad-andra aktiviteter
W1109  Fall p† och fr†n stege-bostad-ospec aktiviteter
W1110  Fall p† och fr†n stege-institutionellt boende-idrott
W1111  Fall p† och fr†n stege-institutionellt boende-lek,fritid
W1112  Fall p† och fr†n stege-institutionellt boende-f”rv„rvsarbete
W1113  Fall p† och fr†n stege-institutionellt boende-annan syssels„ttning
W1114  Fall p† och fr†n stege-institutionellt boende-vitalaktivitet
W1118  Fall p† och fr†n stege-institutionellt boende-andra aktiviteter
W1119  Fall p† och fr†n stege-institutionellt boende-ospec aktiviteter
W1120  Fall p† och fr†n stege-skola, offentlig lokal-idrott
W1121  Fall p† och fr†n stege-skola, offentlig lokal-lek,fritid
W1122  Fall p† och fr†n stege-skola, offentlig lokal-f”rv„rvsarbete
W1123  Fall p† och fr†n stege-skola, offentlig lokal-annan syssels„ttning
W1124  Fall p† och fr†n stege-skola, offentlig lokal-vitalaktivitet
W1128  Fall p† och fr†n stege-skola, offentlig lokal-andra aktiviteter
W1129  Fall p† och fr†n stege-skola, offentlig lokal-ospec aktiviteter
W1130  Fall p† och fr†n stege-idrottsanl„ggning-idrott
W1131  Fall p† och fr†n stege-idrottsanl„ggning-lek,fritid
W1132  Fall p† och fr†n stege-idrottsanl„ggning-f”rv„rvsarbete
W1133  Fall p† och fr†n stege-idrottsanl„ggning-annan syssels„ttning
W1134  Fall p† och fr†n stege-idrottsanl„ggning-vitalaktivitet
W1138  Fall p† och fr†n stege-idrottsanl„ggning-andra aktiviteter
W1139  Fall p† och fr†n stege-idrottsanl„ggning-ospec aktiviteter
W1140  Fall p† och fr†n stege-gata-idrott
W1141  Fall p† och fr†n stege-gata-lek,fritid
W1142  Fall p† och fr†n stege-gata-f”rv„rvsarbete
W1143  Fall p† och fr†n stege-gata-annan syssels„ttning
W1144  Fall p† och fr†n stege-gata-vitalaktivitet
W1148  Fall p† och fr†n stege-gata-andra aktiviteter
W1149  Fall p† och fr†n stege-gata-ospec aktiviteter
W1150  Fall p† och fr†n stege-serviceomr†de-idrott
W1151  Fall p† och fr†n stege-serviceomr†de-lek,fritid
W1152  Fall p† och fr†n stege-serviceomr†de-f”rv„rvsarbete
W1153  Fall p† och fr†n stege-serviceomr†de-annan syssels„ttning
W1154  Fall p† och fr†n stege-serviceomr†de-vitalaktivitet
W1158  Fall p† och fr†n stege-serviceomr†de-andra aktiviteter
W1159  Fall p† och fr†n stege-serviceomr†de-ospec aktiviteter
W1160  Fall p† och fr†n stege-industriomr†de-idrott
W1161  Fall p† och fr†n stege-industriomr†de-lek,fritid
W1162  Fall p† och fr†n stege-industriomr†de-f”rv„rvsarbete
W1163  Fall p† och fr†n stege-industriomr†de-annan syssels„ttning
W1164  Fall p† och fr†n stege-industriomr†de-vitalaktivitet
W1168  Fall p† och fr†n stege-industriomr†de-andra aktiviteter
W1169  Fall p† och fr†n stege-industriomr†de-ospec aktiviteter
W1170  Fall p† och fr†n stege-lantbruksomr†de-idrott
W1171  Fall p† och fr†n stege-lantbruksomr†de-lek,fritid
W1172  Fall p† och fr†n stege-lantbruksomr†de-f”rv„rvsarbete
W1173  Fall p† och fr†n stege-lantbruksomr†de-annan syssels„ttning
W1174  Fall p† och fr†n stege-lantbruksomr†de-vitalaktivitet
W1178  Fall p† och fr†n stege-lantbruksomr†de-andra aktiviteter
W1179  Fall p† och fr†n stege-lantbruksomr†de-ospec aktiviteter
W1180  Fall p† och fr†n stege-andra omr†den-idrott
W1181  Fall p† och fr†n stege-andra omr†den-lek,fritid
W1182  Fall p† och fr†n stege-andra omr†den-f”rv„rvsarbete
W1183  Fall p† och fr†n stege-andra omr†den-annan syssels„ttning
W1184  Fall p† och fr†n stege-andra omr†den-vitalaktivitet
W1188  Fall p† och fr†n stege-andra omr†den-andra aktiviteter
W1189  Fall p† och fr†n stege-andra omr†den-ospec aktiviteter
W1190  Fall p† och fr†n stege-ospec omr†de-idrott
W1191  Fall p† och fr†n stege-ospec omr†de-lek,fritid
W1192  Fall p† och fr†n stege-ospec omr†de-f”rv„rvsarbete
W1193  Fall p† och fr†n stege-ospec omr†de-annan syssels„ttning
W1194  Fall p† och fr†n stege-ospec omr†de-vitalaktivitet
W1198  Fall p† och fr†n stege-ospec omr†de-andra aktiviteter
W1199  Fall p† och fr†n stege-ospec omr†de-ospec aktiviteter
W1200  Fall p† och fr†n byggnadsst„llning-bostad-idrott
W1201  Fall p† och fr†n byggnadsst„llning-bostad-lek,fritid
W1202  Fall p† och fr†n byggnadsst„llning-bostad-f”rv„rvsarbete
W1203  Fall p† och fr†n byggnadsst„llning-bostad-annan syssels„ttning
W1204  Fall p† och fr†n byggnadsst„llning-bostad-vitalaktivitet
W1208  Fall p† och fr†n byggnadsst„llning-bostad-andra aktiviteter
W1209  Fall p† och fr†n byggnadsst„llning-bostad-ospec aktiviteter
W1210  Fall p† och fr†n byggnadsst„llning-institutionellt boende-idrott
W1211  Fall p† och fr†n byggnadsst„llning-institutionellt boende-lek,fritid
W1212  Fall p† och fr†n byggnadsst„llning-institutionellt boende-f”rv„rvsarbete
W1213  Fall p† och fr†n byggnadsst„llning-institutionellt boende-annan syssels„ttning
W1214  Fall p† och fr†n byggnadsst„llning-institutionellt boende-vitalaktivitet
W1218  Fall p† och fr†n byggnadsst„llning-institutionellt boende-andra aktiviteter
W1219  Fall p† och fr†n byggnadsst„llning-institutionellt boende-ospec aktiviteter
W1220  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-idrott
W1221  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-lek,fritid
W1222  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-f”rv„rvsarbete
W1223  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-annan syssels„ttning
W1224  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-vitalaktivitet
W1228  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-andra aktiviteter
W1229  Fall p† och fr†n byggnadsst„llning-skola, offentlig lokal-ospec aktiviteter
W1230  Fall p† och fr†n byggnadsst„llning-idrottsanl„ggning-idrott
W1231  Fall p† och fr†n byggnadsst„llning-idrottsanl„ggning-lek,fritid
W1232  Fall p† och fr†n byggnadsst„llning-idrottsanl„ggning-f”rv„rvsarbete
W1233  Fall p† och fr†n byggnadsst„llning-idrottsanl„ggning-annan syssels„ttning
W1234  Fall p† och fr†n byggnadsst„llning-idrottsanl„ggning-vitalaktivitet
