AAA00  Explorativ kraniotomi
NCK89  Epifysdistraktion p† armb†ge eller underarm
NCK99  Annan operation p† ben i armb†ge eller underarm
NCL09  Fril„ggning av muskel vid armb†ge eller i underarm
NCL19  Sutur eller rekonstruktion av muskel vid armb†ge eller i underarm
NCL29  Transposition av muskel vid armb†ge eller i underarm
NCL39  Myotomi eller tenotomi vid armb†ge eller i underarm
NCL49  Sutur eller reinsertion av sena vid armb†ge eller i underarm
NCL59  Tenolys eller tenosynovektomi vid armb†ge eller i underarm
NCL69  Tenodes, f”rkortning eller f”rl„ngning av sena vid armb†ge eller i underarm
NCL79  Excision av sena vid armb†ge eller i underarm
NCL89  Transposition av sena vid armb†ge eller i underarm
NCL99  Annan operation p† muskel eller sena vid armb†ge eller i underarm
NCM09  Fasciotomi i underarm
NCM19  Partiell eller total excision av fascia i underarm
NCM29  Sutur av fascia eller senskida i underarm
NCM39  Excision av ganglion i armb†ge eller underarm
NCM49  Klyvning av senskida i underarm
NCM79  Excision av bursa i armb†ge eller underarm
NCM99  Annan operation p† fascior, senskidor eller bursor i armb†ge och underarm
NCN09  Autotransplantation av ben till armb†ge eller underarm
NCN19  Homotransplantation av ben till armb†ge eller underarm
NCN29  Heterotransplantation av ben till armb†ge eller underarm
NCN39  Transplantation av sena till armb†ge eller underarm.
NCN49  Transplantation av brosk, periost eller fascia till armb†ge eller underarm
NCN99  Annan transplantation till armb†ge eller underarm
NCP29  Replantation av underarm
NCQ09  Exartikulation i armb†gsled
NCQ19  Amputation av underarm
NCQ29  Revision av exartikulations- eller amputationsstump i armb†ge eller underarm
NCQ99  Annan amputation eller relaterad operation p† armb†ge eller underarm
NCR09  Intralesionell excision av mjukdelstum”r i armb†ge eller underarm
NCR19  Marginell excision av mjukdelstum”r i armb†ge eller underarm
NCR29  Vid excision av mjukdelstum”r i armb†ge eller underarm
NCR39  Kompartmentell excision av mjukdelstum”r i armb†ge eller underarm
NCR49  Intralesionell excision av ben- eller brosktum”r i armb†ge eller underarm
NCR59  Marginell excision av ben- eller brosktum”r i armb†ge eller underarm
NCR69  Vid excision av ben- eller brosktum”r i armb†ge eller underarm
NCR79  Kompartmentell excision av ben- eller brosktum”r i armb†ge eller underarm
NCR99  Annan operation f”r tum”r i armb†ge eller underarm
NCS09  Incision och debridering vid mjukdelsinfektion i underarm
NCS19  Incision och debridering vid septisk artrit i armb†gsled
NCS29  Incision och debridering vid osteit i armb†ge eller underarm
NCS39  Incision och debridering vid mjukdelsinfektion i underarm med implantation av l„kemedel
NCS49  Incision och debridering vid septisk artrit i armb†gsled med implantation av l„kemedel
NCS59  Incision och debridering vid osteit i armb†ge eller underarm med implantation av l„kemedel
NCS99  Annan operationer vid infektion i armb†ge eller underarm
NCT19  Mobilisering av armb†gsled
NCT39  Korrektion av deformitet av armb†gsled eller underarm med anv„ndande av muskel, sena eller ligament
NCT49  Korrektion av deformitet av armb†gsled eller underarm med anv„ndande av extern eller intern fixation
NCT99  Annan operation p† armb†gsled eller underarm
NCU09  Extraktion av del- eller halvprotes fr†n armb†gsled
NCU19  Extraktion av totalprotes fr†n armb†gsled
NCU39  Extraktion av externt fixationsmaterial fr†n armb†ge eller underarm
NCU49  Extraktion av internt fixationsmaterial fr†n armb†ge eller underarm
NCU69  Extraktion av ligamentprotes fr†n armb†ge eller underarm
NCU89  Extraktion av implantat f”r infektionsbehandling fr†n armb†ge eller underarm
NCU99  Extraktion av annat implantat fr†n armb†ge eller underarm
NCW49  Sutur av s†rruptur av armb†ge eller underarm
NCW59  Reoperation f”r ytlig infektion i armb†ge eller underarm
NCW69  Reoperation f”r djup infektion i armb†ge eller underarm
NCW79  Reoperation f”r ytlig bl”dning i armb†ge eller underarm
NCW89  Reoperation f”r djup bl”dning i armb†ge eller underarm
NCW99  Annan reoperation p† armb†ge eller underarm
NDA00  Perkutan eller sluten exploration av mjukdelar i handled eller hand
NDA01  Artroskopisk eller endoskopisk exploration av mjukdelar i handled eller hand
NDA02  ™ppen exploration av mjukdelar i handled eller hand
NDA09  Exploration av mjukdelar i handled eller hand, ospecificerad
NDA10  Perkutan eller sluten exploration av handled eller hand
NDA11  Artroskopisk eller endoskopisk exploration av handled eller hand
NDA12  ™ppen exploration av handled eller hand
NDA19  Exploration av handled eller hand, ospecificerad
NDA20  Perkutan eller sluten biopsi av mjukdelar eller led i hand
NDA21  Artroskopisk eller endoskopisk biopsi av mjukdelar eller led i hand
NDA22  ™ppen biopsi av mjukdelar eller led i hand
NDA29  Biopsi av mjukdelar eller led i hand, ospecificerad
NDA30  Perkutan eller sluten benbiopsi i hand
NDA31  Artroskopisk eller endoskopisk benbiopsi i hand
NDA32  ™ppen benbiopsi i hand
NDA39  Benbiopsi i hand, ospecificerad
NDB09  Prim„r halv- eller delprotes i handled utan cement
NDB19  Prim„r halv- eller delprotes i handled med cement
NDB29  Prim„r totalprotes i handled utan cement
NDB39  Prim„r totalprotes i handled med hybridteknik
NDB49  Prim„r totalprotes i handled med cement
NDB59  Prim„r totalprotes i karpometakarpal- eller metakarpofalangealled
NDB89  Prim„r totalprotes i fingerled
NDB99  Annan prim„r ledprotesoperation i hand- eller fingerled
NDC09  Sekund„r halv- eller delprotes i handled utan cement
NDC19  Sekund„r halv- eller delprotes i handled med cement
NDC29  Sekund„r totalprotes i handled utan cement
NDC39  Sekund„r totalprotes i handled med hybridteknik
NDC49  Sekund„r totalprotes i handled med cement
NDC59  Sekund„r ledprotes i metakarpofalangealled
NDC89  Sekund„r ledprotes i fingerled
NDC99  Annan sekund„r ledprotesoperation i hand- eller fingerled
NDE00  Perkutan eller sluten incision eller sutur av ledkapsel i hand- eller fingerled
NDE01  Artroskopisk eller endoskopisk incision eller sutur av ledkapsel i hand- eller fingerled
NDE02  ™ppen incision eller sutur av ledkapsel i hand- eller fingerled
NDE09  Incision eller sutur av ledkapsel i hand- eller fingerled, ospecificerad
NDE10  Perkutan eller sluten transcision eller excision av ligament i handens leder
NDE11  Artroskopisk eller endoskopisk transcision eller excision av ligament i handens leder
NDE12  ™ppen transcision eller excision av ligament i handens leder
NDE19  Transcision eller excision av ligament i handens leder, ospecificerad
NDE20  Perkutan eller sluten sutur eller reinsertion av ligament i handens leder
NDE21  Artroskopisk eller endoskopisk sutur eller reinsertion av ligament i handens leder
NDE22  ™ppen rutur eller reinsertion av ligament i handens leder
NDE29  Sutur eller reinsertion av ligament i handens leder, ospecificerad
NDE40  Perkutan eller sluten rekonstruktion av ligament i handens leder utan fr„mmande material
NDE41  Artroskopisk eller endoskopisk rekonstruktion av ligament i handens leder utan fr„mmande material
NDE42  ™ppen rekonstruktion av ligament i handens leder utan fr„mmande material
NDE49  Rekonstruktion av ligament i handens leder utan fr„mmande material, ospecificerad
NDE50  Perkutan eller sluten rekonstruktion av ligament i handens leder med fr„mmande material
NDE51  Artroskopisk eller endoskopisk rekonstruktion av ligament i handens leder med fr„mmande material
NDE52  ™ppen rekonstruktion av ligament i handens leder med fr„mmande material
NDE59  Rekonstruktion av ligament i handens leder med fr„mmande material, ospecificerad
NDE90  Annan perkutan eller sluten operation p† ledkapsel eller ledband i hand- eller fingerleder
NDE91  Annan artroskopisk eller endoskopisk operation p† ledkapsel eller ledband i hand- eller fingerleder
NDE92  Annan ”ppen operation p† ledkapsel eller ledband i hand- eller fingerleder
NDE99  Annan operation p† ledkapsel eller ledband i hand- eller fingerleder, ospecificerad
NDF00  Perkutan eller sluten total synovektomi i hand- eller fingerled
NDF01  Artroskopisk eller endoskopisk total synovektomi i hand- eller fingerled
NDF02  ™ppen total synovektomi i hand- eller fingerled
NDF09  Total synovektomi i hand- eller fingerled, ospecificerad
NDF10  Perkutan eller sluten partiell synovektomi i hand- eller fingerled
NDF11  Artroskopisk eller endoskopisk partiell synovektomi i hand- eller fingerled
NDF12  ™ppen partiell synovektomi i hand- eller fingerled
NDF19  Partiell synovektomi i hand- eller fingerled, ospecificerad
NDF20  Fixation av ledytefragment i hand- eller fingerled, perkutan eller sluten
NDF21  Fixation av ledytefragment i hand- eller fingerled, artroskopisk eller endoskopisk
NDF22  Fixation av ledytefragment i hand- eller fingerled, ”ppen
NDF29  Fixation av ledytefragment i hand- eller fingerled, ospecificerad
NDF30  Perkutan eller sluten partiell excision av brosk i hand- eller fingerled
NDF31  Artroskopisk eller endoskopisk partiell excision av brosk i hand- eller fingerled
NDF32  ™ppen partiell excision av brosk i hand- eller fingerled
NDF39  Partiell excision av brosk i hand- eller fingerled, ospecificerad
NDF90  Annan perkutan eller sluten operation p† ledhinnor eller ledytor i hand- eller fingerled
NDF91  Annan artroskopisk eller endoskopisk operation p† ledhinnor eller ledytor i hand- eller fingerled
NDF92  Annan ”ppen operation p† ledhinnor eller ledytor i hand- eller fingerled
NDF99  Annan operation p† ledhinnor eller ledytor i hand- eller fingerled, ospecificerad
NDG00  Excisionsartroplastik i hand- eller fingerled, radiokarpalled
NDG01  Excisionsartroplastik i hand- eller fingerled, interkarpalled
NDG02  Excisionsartroplastik i hand- eller fingerled, f”rsta karpometakarpalled
NDG03  Excisionsartroplastik i hand- eller fingerled, annan karpometakarpalled
NDG04  Excisionsartroplastik i hand- eller fingerled, f”rsta metakarpofalangealled
NDG05  Excisionsartroplastik i hand- eller fingerled, annan metakarpofalangealled
NDG06  Excisionsartroplastik i hand- eller fingerled, interfalangealled
NDG07  Excisionsartroplastik i hand- eller fingerled, annan led i hand
NDG09  Excisionsartroplastik i hand- eller fingerled, ospecificerad led i hand
NDG10  Interpositionsartroplastik i hand- eller fingerled, radiokarpalled
NDG11  Interpositionsartroplastik i hand- eller fingerled, interkarpalled
NDG12  Interpositionsartroplastik i hand- eller fingerled, f”rsta karpometakarpalled
NDG13  Interpositionsartroplastik i hand- eller fingerled, annan karpometakarpalled
NDG14  Interpositionsartroplastik i hand- eller fingerled, f”rsta metakarpofalangealled
NDG15  Interpositionsartroplastik i hand- eller fingerled, annan metakarpofalangealled
NDG16  Interpositionsartroplastik i hand- eller fingerled, interfalangealled
NDG17  Interpositionsartroplastik i hand- eller fingerled, annan led i hand
NDG19  Interpositionsartroplastik i hand- eller fingerled, ospecificerad led i hand
NDG20  Annan artroplastik i hand- eller fingerled, radiokarpalled
NDG21  Annan artroplastik i hand- eller fingerled, interkarpalled
NDG22  Annan artroplastik i hand- eller fingerled, f”rsta karpometakarpalled
NDG23  Annan artroplastik i hand- eller fingerled, annan karpometakarpalled
NDG24  Annan artroplastik i hand- eller fingerled, f”rsta metakarpofalangealled
NDG25  Annan artroplastik i hand- eller fingerled, annan metakarpofalangealled
NDG26  Annan artroplastik i hand- eller fingerled, interfalangealled
NDG27  Annan artroplastik i hand- eller fingerled, annan led i hand
NDG29  Annan artroplastik i hand- eller fingerled, ospecificerad led i hand
NDG40  Artrodes av hand- eller fingerled med intern fixation, radiokarpalled
NDG41  Artrodes av hand- eller fingerled med intern fixation, interkarpalled
NDG42  Artrodes av hand- eller fingerled med intern fixation, f”rsta karpometakarpalled
NDG43  Artrodes av hand- eller fingerled med intern fixation, annan karpometakarpalled
NDG44  Artrodes av hand- eller fingerled med intern fixation, f”rsta metakarpofalangealled
NDG45  Artrodes av hand- eller fingerled med intern fixation, annan metakarpofalangealled
NDG46  Artrodes av hand- eller fingerled med intern fixation, interfalangealled
NDG47  Artrodes av hand- eller fingerled med intern fixation, annan led i hand
NDG49  Artrodes av hand- eller fingerled med intern fixation, ospecificerad led i hand
NDG50  Artrodes av hand- eller fingerled med extern fixation, radiokarpalled
NDG51  Artrodes av hand- eller fingerled med extern fixation, interkarpalled
NDG52  Artrodes av hand- eller fingerled med extern fixation, f”rsta karpometakarpalled
NDG53  Artrodes av hand- eller fingerled med extern fixation, annan karpometakarpalled
NDG54  Artrodes av hand- eller fingerled med extern fixation, f”rsta metakarpofalangealled
NDG55  Artrodes av hand- eller fingerled med extern fixation, annan metakarpofalangealled
NDG56  Artrodes av hand- eller fingerled med extern fixation, interfalangealled
NDG57  Artrodes av hand- eller fingerled med extern fixation, annan led i hand
NDG59  Artrodes av hand- eller fingerled med extern fixation, ospecificerad led i hand
NDG90  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, radiokarpalled
NDG91  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, interkarpalled
NDG92  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, f”rsta karpometakarpalled
NDG93  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, annan karpometakarpalled
NDG94  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, f”rsta metakarpofalangealled
NDG95  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, annan metakarpofalangealled
NDG96  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, interfalangealled
NDG97  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, annan led i hand
NDG99  Annan excision, rekonstruktion eller artrodes av hand- eller fingerled, ospecificerad led i hand
NDH00  Perkutan eller sluten reposition av handled
NDH01  Artroskopisk eller endoskopisk reposition av handled
NDH02  ™ppen reposition av handled
NDH09  Reposition av handled, ospecificerad
NDH10  Perkutan eller sluten reposition av fingerled
NDH11  Artroskopisk eller endoskopisk reposition av fingerled
NDH12  ™ppen reposition av fingerled
NDH19  Reposition av fingerled, ospecificerad
NDH20  Perkutan eller sluten reposition av luxerad protes i hand- eller fingerled
NDH21  Artroskopisk eller endoskopisk reposition av luxerad protes i hand- eller fingerled
NDH22  ™ppen reposition av luxerad protes i hand- eller fingerled
NDH29  Reposition av luxerad protes i hand- eller fingerled, ospecificerad
NDH30  Perkutan eller sluten adherensl”sning i hand- eller fingerled
NDH31  Artroskopisk eller endoskopisk adherensl”sning i hand- eller fingerled
NDH32  ™ppen adherensl”sning i hand- eller fingerled
NDH39  Adherensl”sning i hand- eller fingerled, ospecificerad
NDH40  Perkutan eller sluten extraktion av fr„mmande eller fri kropp i hand- eller fingerled
NDH41  Artroskopisk eller endoskopisk extraktion av fr„mmande eller fri kropp i hand- eller fingerled
NDH42  ™ppen extraktion av fr„mmande eller fri kropp i hand- eller fingerled
NDH49  Extraktion av fr„mmande eller fri kropp i hand- eller fingerled, ospecificerad
NDH50  Perkutan eller sluten excision av intraartikul„r exostos eller osteofyt i hand- eller fingerled
NDH51  Artroskopisk eller endoskopisk excision av intraartikul„r exostos eller osteofyt i hand- eller fingerled
NDH52  ™ppen excision av intraartikul„r exostos eller osteofyt i hand- eller fingerled
NDH59  Excision av intraartikul„r exostos eller osteofyt i hand- eller fingerled, ospecificerad
NDH70  Perkutan eller sluten operation f”r recidiverande luxation av hand- eller fingerled
NDH71  Artroskopisk eller endoskopisk operation f”r recidiverande luxation av hand- eller fingerled
NDH72  ™ppen operation f”r recidiverande luxation av hand- eller fingerled
NDH79  Operation f”r recidiverande luxation av hand- eller fingerled, ospecificerad
NDH90  Annan perkutan eller sluten operation p† handled eller hand
NDH91  Annan artroskopisk eller endoskopisk operation p† handled eller hand
NDH92  Annan ”ppen operation p† handled eller hand
NDH99  Annan operation p† handled eller hand, ospecificerad
NDJ09  Sluten reposition av fraktur i handled eller hand
NDJ19  ™ppen reposition av fraktur i handled eller hand
NDJ29  Extern fixation av fraktur i handled eller hand
NDJ39  Osteosyntes av fraktur i handled eller hand med bioimplantat
NDJ49  Osteosyntes av fraktur i handled eller hand med cerklage, stift e d
NDJ59  Osteosyntes av fraktur i handled eller hand med m„rgspik
NDJ69  Osteosyntes av fraktur i handled eller hand med platta o0ch skruvar
NDJ79  Osteosyntes av fraktur i handled eller hand med skruvar enbart
NDJ89  Osteosyntes av fraktur i handled eller hand med annan eller kombinerad metod
NDJ99  Annan frakturkirurgi p† handled eller hand
NDK09  Excision av benfragment i handled eller hand
NDK19  Partiell eller total excision av ben i handled eller hand
NDK29  Fenestrering av ben i handled eller hand
NDK39  Curettage av bencysta i handled eller hand
NDK49  Epifyseodes av handled eller hand
NDK59  Vinklings-, rotations- eller f”rskjutningsosteotomi i handled eller hand
NDK69  F”rkortnings- eller f”rl„ngningsosteotomi i handled eller hand
NDK79  Bentransportoperation i handled eller hand
NDK89  Epifysdistraktion i handled eller hand
NDK99  Annan operation p† ben i handled eller hand
NDL09  Fril„ggning av muskel vid handled eller i hand
NDL19  Sutur eller rekonstruktion av muskel vid handled eller i hand
NDL29  Transposition av muskel vid handled eller i hand
NDL39  Myotomi eller tenotomi vid handled eller i hand
NDL49  Sutur eller reinsertion av sena vid handled eller i hand
NDL59  Tenolys eller tenosynovektomi vid handled eller i hand
NDL69  Tenodes, f”rkortning eller f”rl„ngning av sena vid handled eller i hand
NDL79  Excision av sena vid handled eller i hand
NDL89  Transposition av sena vid handled eller i hand
NDL99  Annan operation p† muskel eller sena vid handled eller i hand
NDM09  Fasciotomi i handled eller hand
NDM19  Partiell eller total excision av fascia i handled eller hand
NDM29  Sutur av fascia eller senskida i handled eller hand
NDM39  Excision av ganglion i handled eller hand
NDM49  Klyvning av senskida i handled eller hand
NDM59  Partiell excision av senskida i handled eller hand
NDM69  Rekonstruktion av pulley i handled eller hand
NDM79  Excision av bursa i handled eller hand
NDM99  Annan operation p† fascia, senskida eller bursa i handled och hand
NDN09  Autotransplantation av ben till handled eller hand
NDN19  Homotransplantation av ben till handled eller hand
NDN29  Heterotransplantation av ben till handled eller hand
NDN39  Transplantation av sena till handled eller hand
NDN49  Transplantation av brosk, periost eller fascia till handled eller hand
NDN99  Annan transplantation till handled eller hand
NDP09  Replantation av finger
NDP19  Autotransplantation eller transposition av finger
NDP29  Replantation av hand
NDQ00  Exartikulation i handled
NDQ11  Amputation i karpalregion
NDQ12  Amputation i metakarpalregion
NDQ13  Total amputation av tumme
NDQ14  Partiell amputation av tumme
NDQ15  Total amputation av annat finger
NDQ16  Partiell amputation av annat finger
NDQ29  Revision av amputations- eller exartikulationsstump
NDQ99  Annan amputation eller relaterad operation i handled eller hand
NDR09  Intralesionell excision av mjukdelstum”r i handled eller hand
NDR19  Marginell excision av mjukdelstum”r i handled eller hand
NDR29  Vid excision av mjukdelstum”r i handled eller hand
NDR39  Kompartmentell excision av mjukdelstum”r i handled eller hand
NDR49  Intralesionell excision av ben- eller brosktum”r i handled eller hand
NDR59  Marginell excision av ben- eller brosktum”r i handled eller hand
NDR69  Vid excision av ben- eller brosktum”r i handled eller hand
NDR79  Kompartmentell excision av ben- eller brosktum”r i handled eller hand
NDR99  Annan operation f”r tum”r i handled eller hand
NDS09  Incision och debridering vid mjukdelsinfektion i handled eller hand
NDS19  Incision och debridering vid septisk artrit i handled eller hand
NDS29  Incision och debridering vid osteit i hand
NDS39  Incision och debridering vid mjukdelsinfektion i handled eller hand med implantation av l„kemedel
NDS49  Incision och debridering vid septisk artrit i handled eller hand med implantation av l„kemedel
NDS59  Incision och debridering vid osteit i hand med implantation av l„kemedel
NDS99  Annan operationer vid infektion i handled eller hand
NDT19  Mobilisering av handled eller hand
NDT39  Korrektion av deformitet av handled eller hand med anv„ndande av muskel, sena eller ligament
NDT49  Korrektion av deformitet av handled eller hand med anv„ndande av extern eller intern fixation
NDT69  Pollicisation
NDT79  Falangisering av metakarpal
NDT99  Annan operation p† handled eller hand
NDU09  Extraktion av del- eller halvprotes fr†n handled
NDU19  Extraktion av totalprotes fr†n handled
NDU29  Extraktion av protes fr†n annan led i hand
NDU39  Extraktion av externt fixationsmaterial fr†n handled eller hand
NDU49  Extraktion av internt fixationsmaterial fr†n handled eller hand
NDU69  Extraktion av ligamentprotes fr†n handled eller hand
NDU89  Extraktion av implantat f”r infektionsbehandling fr†n handled eller hand
NDU99  Extraktion av annat implantat fr†n handled eller hand
NDW49  Sutur av s†rruptur av handled eller hand
NDW59  Reoperation f”r ytlig infektion i handled eller hand
NDW69  Reoperation f”r djup infektion i handled eller hand
NDW79  Reoperation f”r ytlig bl”dning i handled eller hand
NDW89  Reoperation f”r djup bl”dning i handled eller hand
NDW99  Annan reoperation p† handled eller hand
NEA00  Exploration av mjukdelar i b„ckenet, perkutan
NEA01  Exploration av mjukdelar i b„ckenet, artroskopisk
NEA02  Exploration av mjukdelar i b„ckenet, ”ppen
NEA09  Exploration av mjukdelar i b„ckenet, ospecificerad
NEA10  Exploration av b„ckenled, perkutan
NEA11  Exploration av b„ckenled, artroskopisk
NEA12  Exploration av b„ckenled, ”ppen
NEA19  Exploration av b„ckenled, ospecificerad
NEA20  Biopsi av mjukdelar eller led i b„ckenet, perkutan
NEA21  Biopsi av mjukdelar eller led i b„ckenet, artroskopisk
NEA22  Biopsi av mjukdelar eller led i b„ckenet, ”ppen
NEA29  Biopsi av mjukdelar eller led i b„ckenet, ospecificerad
NEA30  Biopsi av b„ckenben, perkutan
NEA31  Biopsi av b„ckenben, artroskopisk
NEA32  Biopsi av b„ckenben, ”ppen
NEA39  Biopsi av b„ckenben, ospecificerad
NEG39  Artrodes av b„ckenled utan fixationsmaterial
NEG49  Artrodes av b„ckenled med intern fixation
NEG59  Artrodes av b„ckenled med extern fixation
NEG99  Annan excision, rekonstruktion eller artrodes av b„ckenled
NEH09  Reposition av b„ckenled
NEH99  Annan operation p† b„ckenled
NEJ09  Sluten reposition av b„ckenfraktur
NEJ19  ™ppen reposition av b„ckenfraktur
NEJ29  Extern fixation av b„ckenfraktur
NEJ39  Osteosyntes av b„ckenfraktur med bioimplantat
NEJ49  Osteosyntes av b„ckenfraktur med cerklage, stift e d
NEJ69  Osteosyntes av b„ckenfraktur med platta och skruvar
NEJ79  Osteosyntes av b„ckenfraktur med skruvar enbart
NEJ89  Osteosyntes av b„ckenfraktur med annan eller kombinerad metod
NEJ99  Annan frakturkirurgi p† b„ckenet
NEK09  Excision av benfragment av b„ckenet
NEK19  Partiell eller total excision av b„ckenben
NEK29  Fenestrering av b„ckenben
NEK39  Curettage av cysta i b„ckenben
NEK59  Vinklings-, rotations- eller f”rskjutningsosteotomi i b„ckenet
NEK99  Annan operation p† b„ckenben
NEL09  Fril„ggning av b„ckenmuskel
NEL19  Sutur eller rekonstruktion av b„ckenmuskel
NEL29  Transposition av b„ckenmuskel
NEL39  Myotomi eller tenotomi i b„ckenet
NEL49  Sutur eller replantation av sena i b„ckenet
NEL99  Annan operation p† muskel eller sena i b„ckenet
NEM99  Operation p† fascia eller bursa i b„ckenet
NEN09  Autotransplantation av ben till b„ckenet
NEN19  Homotransplantation av ben till b„ckenet
NEN29  Heterotransplantation av ben till b„ckenet
NEN49  Transplantation av brosk, periost eller fascia till b„ckenet
NEN99  Annan transplantation till b„ckenet
NEP29  Replantation av extremitet i b„ckenniv†
NEQ19  Transpelvin amputation
NEQ29  Revision av amputationsstump i b„ckenet
NEQ99  Annan amputation i b„ckenet eller relaterad operation
NER09  Intralesionell excision av mjukdelstum”r i b„ckenet
NER19  Marginell excision av mjukdelstum”r i b„ckenet
NER29  Vid excision av mjukdelstum”r i b„ckenet
NER39  Kompartmentell excision av mjukdelstum”r i b„ckenet
NER49  Intralesionell excision av ben- eller brosktum”r i b„ckenet
NER59  Marginell excision av ben- eller brosktum”r i b„ckenet
NER69  Vid excision av ben- eller brosktum”r i b„ckenet
NER79  Kompartmentell excision av ben- eller brosktum”r i b„ckenet
NER99  Annan operation f”r tum”r i b„ckenet
NES19  Incision och debridering vid septisk artrit i b„ckenled
NES29  Incision och debridering vid osteit i b„ckenet
NES49  Incision och debridering vid septisk artrit i b„ckenled med implantation av l„kemedel
NES59  Incision och debridering vid osteit i b„ckenet med implantation av l„kemedel
NES99  Annan operation vid infektion i b„ckenet
NET49  Korrektion av deformitet i b„cken med anv„ndande av extern eller intern fixation
NET99  Annan operation p† b„ckenet
NEU39  Extraktion av externt fixationsmaterial fr†n b„ckenet
NEU49  Extraktion av internt fixationsmaterial fr†n b„ckenet
NEU89  Extraktion av implantat f”r infektionsbehandling fr†n b„ckenet
NEU99  Extraktion av annat implantat fr†n b„ckenet
NEW49  Sutur av s†rruptur i b„ckenet
NEW59  Reoperation f”r ytlig infektion i b„ckenet
NEW69  Reoperation f”r djup infektion i b„ckenet
NEW79  Reoperation f”r ytlig bl”dning i b„ckenet
NEW89  Reoperation f”r djup bl”dning i b„ckenet
NEW99  Annan reoperation p† b„ckenet
NFA00  Perkutan eller sluten exploration av mjukdelar i h”ft och l†r
NFA01  Artroskopisk eller endoskopisk exploration av mjukdelar i h”ft och l†r
NFA02  ™ppen exploration av mjukdelar i h”ft och l†r
NFA09  Exploration av mjukdelar i h”ft och l†r, ospecificerad
NFA10  Perkutan eller sluten exploration av h”ftled
NFA11  Artroskopisk eller endoskopisk exploration av h”ftled
NFA12  ™ppen exploration av h”ftled
NFA19  Exploration av h”ftled, ospecificerad
NFA20  Perkutan eller sluten biopsi av mjukdelar i h”ft och l†r
NFA21  Artroskopisk eller endoskopisk biopsi av mjukdelar i h”ft och l†r
NFA22  ™ppen biopsi av mjukdelar i h”ft och l†r
NFA29  Biopsi av mjukdelar i h”ft och l†r, ospecificerad
NFA30  Perkutan eller sluten biopsi av femur
NFA31  Artroskopisk eller endoskopisk biopsi av femur
NFA32  ™ppen biopsi av femur
NFA39  Biopsi av femur, ospecificerad
NFB09  Prim„r halv- eller delprotes i h”ftled utan cement
NFB19  Prim„r halv- eller delprotes i h”ftled med cement
NFB29  Prim„r total h”ftledsplastik utan cement
NFB39  Prim„r total h”ftledsplastik med hybridteknik
NFB49  Prim„r total h”ftledsplastik med cement
NFB99  Annan prim„r ledprotesoperation i h”ftled
NFC09  Sekund„r halv- eller delprotes i h”ftled utan cement
NFC19  Sekund„r halv- eller delprotes i h”ftled med cement
NFC20  Sekund„r totalprotes i h”ftled utan cement, alla delar reviderade
NFC21  Sekund„r totalprotes i h”ftled utan cement, cuprevision
NFC22  Sekund„r totalprotes i h”ftled utan cement, stamrevision
NFC23  Sekund„r totalprotes i h”ftled utan cement, revision av annan del
NFC29  Sekund„r totalprotes i h”ftled utan cement, annan eller ospecificerad
NFC30  Sekund„r totalprotes i h”ftled med hybridteknik, alla delar reviderade
NFC31  Sekund„r totalprotes i h”ftled med hybridteknik, cuprevision
NFC32  Sekund„r totalprotes i h”ftled med hybridteknik, stamrevision
NFC33  Sekund„r totalprotes i h”ftled med hybridteknik, revision av annan del
NFC39  Sekund„r totalprotes i h”ftled med hybridteknik, annan eller ospecificerad
NFC40  Sekund„r totalprotes i h”ftled med cement, alla delar reviderade
NFC41  Sekund„r totalprotes i h”ftled med cement, cuprevision
NFC42  Sekund„r totalprotes i h”ftled med cement, stamrevision
NFC43  Sekund„r totalprotes i h”ftled med cement, revision av annan del
NFC49  Sekund„r totalprotes i h”ftled med cement, annan eller ospecificerad
NFC59  Sekund„r implantation av interpositionsprotes i h”ftled
NFC99  Annan sekund„r ledprotesoperation i h”ftled
NFE91  Operation p† ledkapslar och ligament i h”ftled, artroskopisk
NFE92  Operation p† ledkapslar och ligament i h”ftled, ”ppen
NFE99  Operation p† ledkapslar och ligament i h”ftled, ospecificerad
NFF00  Perkutan eller sluten total synovektomi i h”ftled
NFF01  Artroskopisk eller endoskopisk total synovektomi i h”ftled
NFF02  ™ppen total synovektomi i h”ftled
NFF09  Total synovektomi i h”ftled, ospecificerad
NFF10  Perkutan eller sluten partiell synovektomi i h”ftled
NFF11  Artroskopisk eller endoskopisk partiell synovektomi i h”ftled
NFF12  ™ppen partiell synovektomi i h”ftled
NFF19  Partiell synovektomi i h”ftled, ospecificerad
NFF20  Fixation av ledytefragment i h”ftled, perkutan eller sluten
NFF21  Fixation av ledytefragment i h”ftled, artroskopisk eller endoskopisk
NFF22  Fixation av ledytefragment i h”ftled, ”ppen
NFF29  Fixation av ledytefragment i h”ftled, ospecificerad
NFF30  Perkutan eller sluten partiell excision av ledbrosk i h”ftled
NFF31  Artroskopisk eller endoskopisk partiell excision av ledbrosk i h”ftled
NFF32  ™ppen partiell excision av ledbrosk i h”ftled
