A083A  Coxsackievirusenterit
M000H  Septisk artrit (stafylokocker) i fotled/fot
M000X  Septisk artrit (stafylokocker) med annan eller ospecificerad lokalisation
M002B  Septisk artrit (streptokocker) i axelled
M002C  Septisk artrit (streptokocker) i armb†gsled
M002D  Septisk artrit (streptokocker) i handled/hand
M002E  Septisk pelvospondylit (streptokocker)
M002F  Septisk artrit (streptokocker) i h”ftled
M002G  Septisk artrit (streptokocker) i kn„led
M002H  Septisk artrit (streptokocker) i fotled/fot
M002X  Septisk artrit (streptokocker) med annan eller ospecificerad lokalisation
M009B  Artrit UNS i axelled
M009C  Artrit UNS i armb†gsled
M009D  Artrit UNS i handled/hand
M009F  Artrit UNS i h”ftled
M009G  Artrit UNS i kn„led
M009H  Artrit UNS i fotled/fot
M009X  Artrit UNS med annan eller ospecificerad lokalisation
M011B* Tbc-artrit i axelled (A180Å)
M011E* Tbc-pelvospondylit (A180Å)
M011F* Tbc-artrit i h”ftled (A180Å)
M011G* Tbc-artrit i kn„led (A180Å)
M011H* Tbc-artrit i fotled/fot (A180Å)
M011X* Tbc-artrit med annan eller ospecificerad lokalisation (A180Å)
M029B  Reaktiv artrit UNS i axelled
M029C  Reaktiv artrit UNS i armb†gsled
M029D  Reaktiv artrit UNS i handled/hand
M029F  Reaktiv artrit UNS i h”ftled
M029G  Reaktiv artrit UNS i kn„led
M029H  Reaktiv artrit UNS i fotled/fot
M029X  Reaktiv artrit UNS med annan eller ospecificerad lokalisation
M058A  Reumatoid artrit (seropositiv) i halsryggen
M058B  Reumatoid artrit (seropositiv) i axelled
M058C  Reumatoid artrit (seropositiv) i armb†gsled
M058D  Reumatoid artrit (seropositiv) i handled/hand
M058F  Reumatoid artrit (seropositiv) i h”ftled
M058G  Reumatoid artrit (seropositiv) i kn„led
M058H  Reumatoid artrit (seropositiv) i fotled/fot
M058X  Reumatoid artrit (seropositiv) med annan eller ospecificerad lokalisation
M069A  Reumatoid artrit UNS i halsryggen
M069B  Reumatoid artrit UNS i axelled
M069C  Reumatoid artrit UNS i armb†gsled
M069D  Reumatoid artrit UNS i handled/hand
M069F  Reumatoid artrit UNS i h”ftled
M069G  Reumatoid artrit UNS i kn„led
M069H  Reumatoid artrit UNS i fotled/fot
M069X  Reumatoid artrit UNS med annan eller icke specificerad lokalisation
M073B* Psoriasisartrit i axelled (L405Å)
M073C* Psoriasisartrit i armb†gsled (L405Å)
M073D* Psoriasisartrit i handled/hand (L405Å)
M073F* Psoriasisartrit i h”ftled (L405Å)
M073G* Psoriasisartrit i kn„led (L405Å)
M073H* Psoriasisartrit i fotled/fot (L405Å)
M073X* Psoriasisartrit med annan eller ospecificerad lokalisation (L405Å)
M080B  Juvenil reumatoid artrit i axelled
M080C  Juvenil reumatoid artrit i armb†gsled
M080D  Juvenil reumatoid artrit i handled/hand
M080F  Juvenil reumatoid artrit i h”ftled
M080G  Juvenil reumatoid artrit i kn„led
M080H  Juvenil reumatoid artrit i fotled/fot
M080X  Juvenil reumatoid artrit med annan eller ospecificerad lokalisation
M082A  Artrit, juvenil, kronisk med systemdebut, s„ker
M082B  Artrit, juvenil, kronisk med systemdebut, sannolik
M084A  Oligoartrit, kronisk, juvenil
M084B  Monoartrit, kronisk, juvenil
M090A* Artrit, juvenil, vid psoriasis, s„ker (L405Å)
M090B* Artrit, juvenil, vid psoriasis, sannolik (L405Å)
M100B  Gikt i axelled
M100C  Gikt i armb†gsled
M100D  Gikt i handled/hand
M100F  Gikt i h”ftled
M100G  Gikt i kn„led
M100H  Gikt i fotled/fot
M100X  Gikt med annan eller ospecificerad lokalisation
M118B  Pyrofosfatartrit i axelled
M118C  Pyrofosfatartrit i armb†gsled
M118D  Pyrofosfatartrit i handled/hand
M118F  Pyrofosfatartrit i h”ftled
M118G  Pyrofosfatartrit i kn„led
M118H  Pyrofosfatartrit i fotled/fot
M118X  Pyrofosfatartrit med annan eller ospecificerad lokalisation
M119B  Kristallartrit UNS i axelled
M119C  Kristallartrit UNS i armb†gsled
M119D  Kristallartrit UNS i handled/hand
M119F  Kristallartrit UNS i h”ftled
M119G  Kristallartrit UNS i kn„led
M119H  Kristallartrit UNS i fotled/fot
M119X  Kristallartrit UNS med annan eller ospecificerad lokalisation
M122B  Villonodul„r synovit i axelled
M122C  Villonodul„r synovit i armb†gsled
M122D  Villonodul„r synovit i handled/hand
M122F  Villonodul„r synovit i h”ftled
M122G  Villonodul„r synovit i kn„led
M122H  Villonodul„r synovit i fotled/fot
M122X  Villonodul„r synovit med annan eller ospecificerad lokalisation
M190B  Prim„r artros i axelled
M190C  Prim„r artros i armb†gsled
M190D  Prim„r artros ”vrig i handled/hand
M190H  Prim„r artros i fotled/fot
M191B  Posttraumatisk artros i axelled
M191C  Posttraumatisk artros i armb†gsled
M191D  Posttraumatisk artros i handled/hand
M191H  Posttraumatisk artros i fotled/fot
M192B  Annan sekund„r artros i axelled
M192C  Annan sekund„r artros i armb†gsled
M192D  Annan sekund„r artros i handled/hand
M192H  Annan sekund„r artros i fotled/fot
M210C  Cubitus valgus
M210F  Coxa valga
M210G  Genu valgus
M211C  Cubitus varus
M211F  Coxa vara
M211G  Genu varum
M217F  Benl„ngdsskillnad i l†rben
M217G  Benl„ngdsskillnad i underben
M217X  Benl„ngdsskillnad, ospecificerad
M230L  Cystisk menisk lateralt i kn„led
M230M  Cystisk menisk medialt i kn„led
M231L  Diskoid menisk lateralt  i kn„led
M231M  Diskoid menisk medialt i kn„led
M232L  Meniskruptur (gammal) lateralt i kn„led
M232M  Meniskruptur (gammal) medialt i kn„led
M233L  Andra meniskf”r„ndringar lateralt i kn„led
M233M  Andra meniskf”r„ndringar medialt i kn„led
M240B  Fri kropp i axelled
M240C  Fri kropp i armb†gsled
M240D  Fri kropp i handled/hand
M240F  Fri kropp i h”ftled
M240H  Fri kropp i fotled/fot
M242B  Ligament„r instabilitet i axelled
M242C  Ligament„r instabilitet i armb†gsled
M242D  Ligament„r instabilitet i handled/finger
M242H  Ligament„r instabilitet i fotled
M242X  Ligament„r instabilitet med annan eller icke specificerad lokalisation
M244B  Recidivluxation/subluxation i axelled
M244C  Recidivluxation/subluxation i armb†gsled
M244D  Recidivluxation/subluxation i handled/hand
M244F  Recidivluxation/subluxation i h”ftled
M244G  Recidiverande luxation/subluxation i kn„led (utom patella)
M244H  Recidivluxation/subluxation i fotled/fot
M245B  Kontraktur i axelled
M245C  Kontraktur i armb†gsled
M245D  Kontraktur i handled/finger
M245F  Kontraktur i h”ftled
M245G  Kontraktur i kn„led
M245H  Kontraktur i fotled
M245X  Kontraktur i led med annan eller icke specificerad lokalisation
M246B  Ankylos i axelled
M246C  Ankylos i armb†gsled
M246D  Ankylos i handled/hand
M246E  Ankylos i sakroiliakaled
M246F  Ankylos i h”ftled
M246G  Ankylos i kn„led
M246H  Ankylos i fotled/fot
M254B  Ledutgjutning i axelled
M254C  Ledutgjutning i armb†gsled
M254D  Ledutgjutning i handled/hand
M254F  Ledutgjutning i h”ftled
M254G  Ledutgjutning i kn„led
M254H  Ledutgjutning i fotled/fot
M255B  Ledv„rk UNS i axelled
M255C  Ledv„rk UNS i armb†gsled
M255D  Ledv„rk UNS i handled/hand
M255E  Ledv„rk UNS i b„ckenet
M255F  Ledv„rk UNS i h”ftled
M255G  Ledv„rk UNS i kn„led
M255H  Ledv„rk UNS i fotled/fot
M258F  Snapping hip i h”ftled/l†rben
M328A  ANA-negativ systemisk lupus erythematosus
M328B  Lupus erythematosus- och erythema multiforme-liknande syndrom
M328C  Subakut lupus erythematosus
M328D  Systemisk lupus erythematosus, bull”s form
M328W  Andra former av systemisk lupus erythematosus
M479A  Spondylos UNS i halsryggen
M479J  Spondylos UNS i torakalryggen
M479K  Spondylos UNS i l„ndryggen
M479X  Spondylos UNS med icke specificerad lokalisation
M480A  Central spinal stenos i halsryggen
M480J  Central spinal stenos i torakalryggen
M480K  Central spinal stenos i l„ndryggen
M480W  Central spinal stenos med icke specificerad lokalisation
M484A  Stressfraktur i halskota
M484J  Stressfraktur i torakalkota
M484K  Stressfraktur i l„ndkota
M484X  Stressfraktur i kota med icke specificerad lokalisation
M488A  Lateral spinal stenos (rotkanalstenos) i halsryggen
M488J  Lateral spinal stenos (rotkanalstenos) i torakalryggen
M488K  Lateral spinal stenos (rotkanalstenos) i l„ndryggen
M488W  Andra specificerade spondylopatier
M510J  Diskdegeneration/diskbr†ck med myelopati i torakalryggen
M510K  Diskdegeneration/diskbr†ck med myelopati i l„ndryggen
M511J  Diskdegeneration/diskbr†ck med radikulit i torakalryggen
M511K  Diskdegeneration/diskbr†ck med radikulit i l„ndryggen (ischias)
M610C  Myositis ossificans traumatica i armb†ge/underarm
M610F  Myositis ossificans traumatica i h”ftled/l†rben
M610X  Myositis ossificans traumatica med annan eller ospecificerad lokalisation
M621B  Muskelruptur (ej traumatisk) i axelled/”verarm
M621C  Muskelruptur (ej traumatisk) i armb†ge/underarm
M621D  Muskelruptur (ej traumatisk) i handled/hand
M621F  Muskelruptur (ej traumatisk) i h”ftled/l†rben
M621G  Muskelruptur (ej traumatisk) i kn„led/underben
M621H  Muskelruptur (ej traumatisk) i fotled/fot
M659B  Ospecifik synovit/tenosynovit i axelled/”verarm
M659C  Ospecifik synovit/tenosynovit i armb†ge/underarm
M659D  Ospecifik synovit/tenosynovit i handled/hand
M659F  Ospecifik synovit/tenosynovit i h”ftled/l†rben
M659G  Ospecifik synovit/tenosynovit i kn„led/underben
M659H  Ospecifik synovit/tenosynovit i fotled/fot
M662B  Spontanruptur str„cksena i axelled/”verarm
M662C  Spontanruptur str„cksena i armb†ge/underarm
M662D  Spontanruptur str„cksena i handled/hand
M662F  Spontanruptur str„cksena i h”ftled/l†rben
M662G  Spontanruptur str„cksena i kn„led/underben
M662H  Spontanruptur str„cksena i fotled/fot
M663B  Spontanruptur b”jsena (biceps) i axelled/”verarm
M663C  Spontanruptur b”jsena i armb†ge/underarm
M663D  Spontanruptur b”jsena i handled/hand
M663F  Spontanruptur b”jsena i h”ftled/l†rben
M663G  Spontanruptur b”jsena i kn„led/underben
M663H  Spontanruptur b”jsena i fotled/fot
M674D  Ganglion i handled/hand
M674H  Ganglion i fotled/fot
M674L  Meniskganglion, lateralt i kn„led/underben
M674M  Meniskganglion, medialt i kn„led/underben
M728A  Infantil digital fibromatos
M728B  Juvenil fibromatos
M728W  Andra specificerade fibroplastiska sjukdomar
M791B  Myalgi UNS i axelled/”verarm
M791C  Myalgi UNS i armb†ge/underarm
M791D  Myalgi UNS i handled/hand
M791E  Myalgi i b„ckenet
M791F  Myalgi i h”ftled/l†rben
M791G  Myalgi UNS i kn„led/underben
M791H  Myalgi i fotled/fot
M793A  Nodul„r pannikulit
M793B  Panniculitis factitia
M793W  Annan icke specificerad pannikulit
M793X  Pannikulit, ospecificerad
M796B  Sm„rta, ospecifik i ”verarm
M796C  Sm„rta, ospecifik i underarm
M796D  Sm„rta, ospecifik i hand
M796E  Sm„rta, ospecifik i b„ckenet
M796F  Sm„rta, ospecifik i l†r
M796G  Sm„rta, ospecifik i underben
M796H  Sm„rta, ospecifik i fot
M800A  ldersosteoporos efter menopausen med fraktur i halsryggen
M800B  ldersosteoporos efter menopausen med fraktur i axelled/”verarm
M800C  ldersosteoporos efter menopausen med fraktur i armb†ge/underarm
M800E  ldersosteoporos efter menopausen med fraktur i b„ckenet
M800F  ldersosteoporos efter menopausen med fraktur i h”ftled/l†rben
M800G  ldersosteoporos efter menopausen med fraktur i kn„led/underben
M800H  ldersosteoporos efter menopausen med fraktur i fotled/fot
M800J  ldersosteoporos efter menopausen med fraktur i torakalryggen
M800K  ldersosteoporos efter menopausen med fraktur i l„ndryggen
M840A  Fell„kning av fraktur i halsryggen
M840B  Fell„kning av fraktur i axelled/”verarm
M840C  Fell„kning av fraktur i armb†ge/underarm
M840D  Fell„kning av fraktur i handled/hand
M840E  Fell„kning av fraktur i b„ckenet
M840F  Fell„kning av fraktur i h”ftled/l†rben
M840G  Fell„kning av fraktur i kn„led/underben
M840H  Fell„kning av fraktur i fotled/fot
M840J  Fell„kning av fraktur i torakalryggen
M840K  Fell„kning av fraktur i l„ndryggen
M841A  Utebliven l„kning/pseudartros i halsryggen
M841B  Utebliven l„kning/pseudartros i axelled/”verarm
M841C  Utebliven l„kning/pseudartros i armb†ge/underarm
M841D  Utebliven l„kning/pseudartros i handled/hand
M841E  Utebliven l„kning/pseudartros i b„ckenet
M841F  Utebliven l„kning/pseudartros i h”ftled/l†rben
M841G  Utebliven l„kning/pseudartros i kn„led/underben
M841H  Utebliven l„kning/pseudartros i fotled/fot
M841J  Utebliven l„kning/pseudartros i torakalryggen
M841K  Utebliven l„kning/pseudartros i l„ndryggen
M842A  F”rdr”jd frakturl„kning i halsryggen
M842B  F”rdr”jd frakturl„kning i axelled/”verarm
M842C  F”rdr”jd frakturl„kning i armb†ge/underarm
M842D  F”rdr”jd frakturl„kning i handled/hand
M842E  F”rdr”jd frakturl„kning i b„ckenet
M842F  F”rdr”jd frakturl„kning i h”ftled/l†rben
M842G  F”rdr”jd frakturl„kning i kn„led/underben
M842H  F”rdr”jd frakturl„kning i fotled/fot
M842J  F”rdr”jd frakturl„kning i torakalryggen
M842K  F”rdr”jd frakturl„kning i l„ndryggen
M843B  Stressfraktur i axelled/”verarm
M843C  Stressfraktur i armb†ge/underarm
M843D  Stressfraktur i handled/hand
M843E  Stressfraktur i b„ckenet
M843F  Stressfraktur i h”ftled/l†rben
M843G  Stressfraktur i kn„led/underben
M843H  Stressfraktur i fotled/fot
M850B  Fibr”s dysplasi i axelled/”verarm
M850C  Fibr”s dysplasi i armb†ge/underarm
M850D  Fibr”s dysplasi i handled/hand
M850E  Fibr”s dysplasi i b„ckenet
M850F  Fibr”s dysplasi i h”ftled/l†rben
M850G  Fibr”s dysplasi i kn„led/underben
M850H  Fibr”s dysplasi i fotled/fot
M854B  Solit„r bencysta i axelled/”verarm
M854C  Solit„r bencysta i armb†ge/underarm
M854D  Solit„r bencysta i handled/hand
M854E  Solit„r bencysta i b„ckenet
M854F  Solit„r bencysta i h”ftled/l†rben
M854G  Solit„r bencysta i kn„led/underben
M854H  Solit„r bencysta i fotled/fot
M860B  Akut hematogen osteomyelit i axelled/”verarm
M860C  Akut hematogen osteomyelit i armb†ge/underarm
M860D  Akut hematogen osteomyelit i handled/hand
M860E  Akut hematogen osteomyelit i b„ckenet
M860F  Akut hematogen osteomyelit i h”ftled/l†rben
M860G  Akut hematogen osteomyelit i kn„led/underben
M860H  Akut hematogen osteomyelit i fotled/fot
M861B  Annan akut osteomyelit i axelled/”verarm
M861C  Annan akut osteomyelit i armb†ge/underarm
M861D  Annan akut osteomyelit i handled/hand
M861E  Annan akut osteomyelit i b„ckenet
M861F  Annan akut osteomyelit i h”ftled/l†rben
M861G  Annan akut osteomyelit i kn„led/underben
M861H  Annan akut osteomyelit i fotled/fot
M866B  Kronisk osteomyelit i axelled/”verarm
M866C  Kronisk osteomyelit i armb†ge/underarm
M866D  Kronisk osteomyelit i handled/hand
M866E  Kronisk osteomyelit i b„ckenet
M866F  Kronisk osteomyelit i h”ftled/l†rben
M866G  Kronisk osteomyelit i kn„led/underben
M866H  Kronisk osteomyelit i fotled/fot
M870B  Osteonekros i axelled/”verarm
M870C  Osteonekros i armb†ge/underarm
M870D  Osteonekros i handled/hand
M870F  Osteonekros i h”ftled/l†rben
M870G  Osteonekros i kn„led/underben
M870H  Osteonekros i fotled/fot
M872B  Osteonekros efter tidigare skada i axelled/”verarm
M872C  Osteonekros efter tidigare skada i armb†ge/underarm
M872D  Osteonekros efter tidigare skada i handled/hand
M872F  Osteonekros efter tidigare skada i h”ftled/l†rben
M872G  Osteonekros efter tidigare skada i kn„led/underben
M872H  Osteonekros efter tidigare skada i fotled/fot
M890B  Algoneurodystrofi i axelled/”verarm
M890C  Algoneurodystrofi i armb†ge/underarm
M890D  Algoneurodystrofi i handled/hand
M890G  Algoneurodystrofi i kn„led/underben
M890H  Algoneurodystrofi i fotled/fot
M895B  Osteolys (klavikel) i axelled/”verarm
M895E  Osteolys i b„ckenet
M895G  Osteolys i kn„led/underben
M895H  Osteolys i fotled/fot
M900E* TBC i benv„vnad i b„ckenet (A180Å)
M900F* TBC i benv„vnad i h”ftled/l†rben (A180Å)
M900G* TBC i benv„vnad i kn„led/underben (A180Å)
M900H* TBC i benv„vnad i fotled/fot (A180Å)
M907B* Patologisk fraktur vid tum”r i axelled/”verarm (C00-D48Å)
M907C* Patologisk fraktur vid tum”r i armb†ge/underarm (C00-D48Å)
M907D* Patologisk fraktur vid tum”r i handled/hand (C00-D48Å)
M907E* Patologisk fraktur vid tum”r i b„ckenet (C00-D48Å)
M907F* Patologisk fraktur vid tum”r i h”ftled/l†rben (C00-D48Å)
M907G* Patologisk fraktur vid tum”r i kn„led/underben (C00-D48Å)
M907H* Patolologisk fraktur vid tum”r i fotled/fot (C00-D48Å)
M908F* Diabetesosteopati i h”ftled/l†rben (E10-E14 med fj„rdeposition 6Å)
M908G* Diabetesosteopati i kn„led/underben (E10-E14 med fj„rdeposition 6Å)
M908H* Diabetesosteopati i fotled/fot (E10-E14 med fj„rdeposition 6Å)
M925A  Osteokondros, juvenil, i tuberositas tibiae (Osgood-Schlatter)
M925B  Osteokondros, juvenil, i proximala tibia (Blount)
M925W  Annan specificerad juvenil osteokondros
M932B  Osteochondritis dissecans i axelled/”verarm
M932C  Osteochondritis dissecans i armb†ge/underarm
M932F  Osteochondritis dissecans i h”ftled/l†rben
M932G  Osteochondritis dissecans i kn„led/underben
M932H  Osteochondritis dissecans i fotled/fot
M932X  Osteochondritis dissecans med ospecificerad lokalisation
M960A  Pseudartros efter fusion i halsryggen
M960B  Pseudartros efter artrodes i axelled
M960C  Pseudartros efter artrodes i armb†ge
M960D  Pseudartros efter artrodes i handled/hand
M960E  Pseudartros efter artrodes i b„ckenet
M960F  Pseudartros efter artrodes i h”ftled
M960G  Pseudartros efter artrodes i kn„led
M960H  Pseudartros efter artrodes i fotled/fot
M960J  Pseudartros efter fusion i torakalryggen
M960K  Pseudartros efter fusion i l„ndryggen
M961A  Postlaminektomisyndrom i halsryggen
M961J  Postlaminektomisyndrom i torakalryggen
M961K  Postlaminektomisyndrom i l„ndryggen
M966A  Fraktur efter implantatkirurgi i halsryggen
M966B  Fraktur efter implantatkirurgi i axelled/”verarm
M966C  Fraktur efter implantatkirurgi i armb†ge/underarm
M966D  Fraktur efter implantatkirurgi i handled/hand
M966E  Fraktur efter implantatkirurgi i b„ckenet
M966F  Fraktur efter implantatkirurgi i h”ftled/l†rben
M966G  Fraktur efter implantatkirurgi i kn„led/underben
M966H  Fraktur efter implantatkirurgi i fotled/fot
M966J  Fraktur efter implantatkirurgi i torakalryggen
M966K  Fraktur efter implantatkirurgi i l„ndryggen
M991A  Segmentell instabilitet i halsryggen
M991J  Segmentell instabilitet i torakalryggen
M991K  Segmentell instabilitet i l„ndryggen
N342A  Inflammation i yttre urinr”rsmynningen
N342B  Postmenopaus-uretrit
N342C  S†rbildning i meatus urethrae
N342E  Cowperit
N342W  Annan och icke specificerad uretrit
N390A  Urinv„gsinfektion, asymtomatisk (ABU)
N390X  Urinv„gsinfektion UNS
N393A  Stressinkontinens
N393B  Anstr„ngningsinkontinens
N479A  Fastsittande f”rhud
N479B  Fimosis
N479C  Parafimosis
N479D  ™verskott av f”rhud
N479X  F”rhudssjukdomar, ospecificerat
N481B  Balanitis erosiva circinata
N481C  Gangr„n”s balanit
N481D  Plasmacellsbalanit
N481E  S†r p† preputiet
N481W  Annan och icke specificerad balanopostit
N486A  Induratio penis plastica
N486X  Balanitis xerotica obliterans
N501A  Bl”dning i de manliga k”nsorganen
N501B  Hematocele UNS
N501W  Andra k„rlsjukdomar i de manliga k”nsorganen
N508C  S†r i skrotum
N508D  ™dem i skrotum
N508E  Kylocele i tunica vaginalis UNS (icke filaria)
N508W  Andra sjukdomar i de manliga k”nsorganen
N950A  Postmenopausal bl”dning hos icke hormonbehandlad kvinna
N950B  Postmenopausal bl”dning hos ”strogenbehandlad kvinna
N950W  Annan specificerad postmenopausal bl”dning
N950X  Postmenopausal bl”dning, ospecificerad
N978A  Kvinnlig infertilitet; immunologiska orsaker
N978B  Kvinnlig infertilitet; sociala faktorer med m”jlig inverkan p† fertiliteten
N978C  Kvinnlig infertilitet; of”rklarad efter utredning
N978D  Kvinnlig infertilitet; i samband med endometrios
N978W  Kvinnlig infertilitet av annan specificerad orsak
O141A  Sv†r preeklampsi utan organp†verkan
O141B  Sv†r preeklampsi med organp†verkan
O141C  HELLP-syndrom
O141X  Sv†r preeklampsi, ospecificerad
O244A  Diabetes som upptr„der under graviditeten, ej insulinbehandlad
O244B  Diabetes som upptr„der under graviditeten, insulinbehandlad
O244X  Diabetes som upptr„der under graviditeten, ospecificerad
O268A  Graviditet som uppkommit genom assisterad befruktning
O268B  Graviditetsrelaterade buksm„rtor
O268C  Hydronefros under graviditet
O268D  Karpaltunnelsyndrom under graviditet
O268E  Graviditetskl†da, utan leverp†verkan
O268F  Prurigo gestationis of Besnier
O268G  Polymorf eruption vid graviditet
O268W  Andra specificerade graviditetsrelaterade tillst†nd
O312A  V†rd pga graviditet som forts„tter efter intrauterin d”d av ett eller flera foster, t o m  v 21+6
O312B  V†rd pga graviditet som forts„tter efter intrauterin d”d av ett eller flera foster, fr o m v 22+0
O312X  V†rd pga graviditet som forts„tter efter intrauterin d”d av ett eller flera foster, tidpunkt ospecificerad
O347A  V†rd av blivande moder f”r abnormitet i vulva och perineum i form av tidigare k”nsstympning
O347W  V†rd av blivande moder f”r annan specificerad abnormitet i vulva eller perineum (t ex fibros, tum”r)
O348A  V†rd av blivande moder f”r abnormitet i b„ckenorganen i form av prolaps
O348B  V†rd av blivande moder f”r abnormitet i b„ckenorganen i form av ovarialtum”r
O348C  V†rd av blivande moder f”r abnormitet i b„ckenorganen i form av status post tidigare b„ckenbotten-/prolapsoperation
O348D  V†rd av blivande moder f”r abnormitet i b„ckenorganen i form av tidigare sfinkterruptur
O348W  V†rd av blivande moder f”r andra specificerade abnormiteter i b„ckenorganen
O430A  Placentalt transfusionssyndrom; fetomaternell transfusion
O430B  Placentalt transfusionssyndrom; tvillingtransfusion
O430W  Annat specificerat placentalt transfusionssyndrom
O430X  Placentalt transfusionssyndrom, ospecificerat
O470A  F”rv„rkar utan cervixp†verkan f”re utg†ngen av graviditetsvecka 37
O470B  Hotande f”rtidsb”rd f”re utg†ngen av graviditetsvecka 37
O470X  F”rv„rkar och hotande f”rtidsb”rd f”re utg†ngen av graviditetsvecka 37, ospecificerat
O610A  F”rs”k till medicinskt ig†ngs„ttande av v„rkarbetet; f”rlossning inom 48 timmar
O610B  F”rs”k till medicinskt ig†ngs„ttande av v„rkarbetet, f”rlossning efter mer „n 48 timmar, inkl misslyckad induktion
O610X  F”rs”k till medicinskt ig†ngs„ttande av v„rkarbetet; ospecificerad tid till f”rlossning
O611A  F”rs”k till mekaniskt ig†ngs„ttande av v„rkarbetet, f”rlossning inom 48 timmar
O611B  F”rs”k till mekaniskt ig†ngs„ttande av v„rkarbetet, f”rlossning efter mer „n 48 timmar, inkl misslyckad induktion
O611X  F”rs”k till mekaniskt ig†ngs„ttande av v„rkarbetet; ospecificerad tid till f”rlossning
O702A  Perinealbristning av 3:e graden, partiell sfinkterruptur
O702B  Perinealbristning av 3:e graden, total sfinkterruptur
O702X  Perinealbristning av 3:e graden, ospecificerad
O721A  Atonisk bl”dning efter placentaavg†ng
O721B  Bl”dning i efterb”rdsskedet pga f”rlossningsskada
O721X  Bl”dning omedelbart efter f”rlossningen, UNS
O756A  Vattenavg†ng utan sammandragningar i fullg†ngen tid; f”rlossningen startar spontant
O756B  Vattenavg†ng utan sammandragningar i fullg†ngen tid; f”rlossningen induceras
O756X  F”rdr”jd f”rlossning UNS efter spontan eller icke specificerad hinnbristning
O800A  Spontanf”rlossning, enkelb”rd, framstupa kronbjudning
O800B  Spontanf”rlossning, enkelb”rd, vid”ppen hj„ssbjudning
O800W  Spontanf”rlossning, enkelb”rd, annan specificerad huvudbjudning
O800X  Spontanf”rlossning, enkelb”rd, hj„ssbjudning UNS
O813A  T†ngf”rlossning, framstupa kronbjudning
O813B  T†ngf”rlossning, vid”ppen hj„ssbjudning
O813W  T†ngf”rlossning, annan specificerad huvudbjudning
O813X  T†ngf”rlossning, ospecificerad bjudning
O814A  Vakuumextraktionsf”rlossning, framstupa kronbjudning
O814B  Vakuumextraktionsf”rlossning, vid”ppen hj„ssbjudning
O814W  Vakuumextraktionsf”rlossning, annan specificerad huvudbjudning
O814X  Vakuumextraktionsf”rlossning, ospecificerad bjudning
O911A  Purulent mastit i samband med barnsb”rd
O911B  Br”stb”ld i samband med barnsb”rd
O911X  Abscess i br”st i samband med barnsb”rd, ospecificerad
O984A  Hepatit A hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
O984B  Hepatit B hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
O984C  Hepatit C hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
O984W  Annan specificerad hepatit hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
O984X  Hepatit UNS hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
O988A  Grupp B streptokock-syndrom hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
O988W  Andra specificerade infektions- och parasitsjukdomar hos modern, som komplikation till graviditet, f”rlossning och barns„ngstid
P008A  Foster eller nyf”dd som p†verkats av systemisk lupus erythematosus hos modern
P008B  Neonatal transplacental herpes gestationis
P008C  Neonatal transplacental pemphigus vulgaris
P008W  Foster och nyf”dd som p†verkats av andra tillst†nd hos modern
P041A  Foster och nyf”dd som p†verkats av cytostatika
P041W  Foster och nyf”dd som p†verkats av andra l„kemedel
P070A  Extremt l†g f”delsevikt, mindre „n 500 g
P070B  Extremt l†g f”delsevikt, 500-749 g
P070C  Extremt l†g f”delsevikt, 750-999 g
P070X  Extremt l†g f”delsevikt, mindre „n 1000 g, exakt vikt ej angiven
P071A  Annan l†g f”delsevikt, 1000-1499 g
P071B  Annan l†g f”delsevikt, 1500-1999 g
P071C  Annan l†g f”delsevikt, 2000-2499 g
P071X  Annan l†g f”delsevikt, 1000-2499 g, exakt vikt ej angiven
P211A  Asfyxi hos nyf”dd, l„tt, kortvarig, Apgar < 4 vid 1 minut
P211B  Asfyxi hos nyf”dd, m†ttlig, medell†ng, Apgar < 4 vid 5 minuter
P293A  F”rdr”jd slutning av ductus arteriosus (symtomgivande)
P293B  Persisterande pulmonell hypertension
P539A  K-vitaminbrist hos nyf”dd, tidigt debuterande
P539B  K-vitaminbrist hos nyf”dd, sent debuterande
P704A  Hypoglykemi (blodglukos < 2,2 mmol/l), transitorisk, 0-6 tim efter f”delsen
P704B  Hypoglykemi (blodglukos < 2,2 mmol/l), transitorisk, > 6 tim efter f”delsen
P779A  Nekrotiserande enterokolit (NEC), r”ntgenverifierad
P779B  Nekrotiserande enterokolit (NEC), sannolik men ej s„kerst„lld
P779X  Nekrotiserande enterokolit UNS
P838A  Bronze baby syndrome
P838B  Neonatal sklerodermi
P838C  Urticaria neonatorum
P838D  Erythema neonatorum
P838E  Transient neonatal pustulos
P838W  Andra tillst†nd som engagerar huden specifika f”r foster och nyf”dd
P909A  Kramper med EEG/aEEG verifikation
P909B  Kramper utan EEG/aEEG verifikation
P909C  Tysta kramper (EEG/aEEG diagnos)
P910A  Hypoxisk ischemisk encefalopati (HIE), l„tt
P910B  Hypoxisk ischemisk encefalopati (HIE), m†ttlig
P910C  Hypoxisk ischemisk encefalopati (HIE), sv†r
P910X  Hypoxisk ischemisk encefalopati (HIE), UNS
P959A  D”df”dd, graviditetsl„ngd < 22 fullbordade veckor
