Code	text	Original code	1.	2.	3.	4.	5.	6.		
NBT49	Pleca  joslas vai augsdelma deformacijas korekcija, izmantojot arejo vai ieksejo fiksaciju	NBT 49	N	B	T	 	4	9	NBT	49
NBT99	Cita veida pleca  joslas vai augsdelma operacija	NBT 99	N	B	T	 	9	9	NBT	99
NBU	Implantatu iznemsana un arejas fiksacijas aparata nonemsana no pleca  joslas un augsdelma	NBU	N	B	U					
NBUko		NBU kodu pedeja cipara nozime:	N	B	U	 	k	o	NBU	ko
0	Abu dalu	0	0							
1	Vienas - proksimalas - dalas	1	1							
2	Vienas - distalas - dalas	2	2							
3	Vienas - citas - dalas	3	3							
9	Cita veida vai bez precizejuma	9	9							
NBU0y	Dalejas protezes iznemsana no pleca locitavas	NBU 0y	N	B	U	 	0	y	NBU	0y
NBU1y	Totalas protezes iznemsana no pleca locitavas	NBU 1y	N	B	U	 	1	y	NBU	1y
NBU2y	Protezes iznemsana no lapstinas un atslegkaula locitavas (art. acromioclavicularis)	NBU 2y	N	B	U	 	2	y	NBU	2y
NBU39	arejas fiksacijas aparata nonemsana no pleca  joslas un augsdelma	NBU 39	N	B	U	 	3	9	NBU	39
NBU49	Ieksejas fiksacijas aparata iznemsana no pleca  joslas un augsdelma	NBU 49	N	B	U	 	4	9	NBU	49
NBU69	Saites protezes iznemsana no pleca  joslas un augsdelma	NBU 69	N	B	U	 	6	9	NBU	69
NBU89	Infekcijas arstesanai paredzeta terapeitiska implantata iznemsana  no pleca  joslas un augsdelma 	NBU 89	N	B	U	 	8	9	NBU	89
NBU99	Cita veida implantata iznemsana no pleca  joslas un augsdelma 	NBU 99	N	B	U	 	9	9	NBU	99
NBW	Pleca  joslas un augsdelma  reoperacijas	NBW	N	B	W					
NBW49	Bruces malu paversanas (dehiscences) korekcija pleca  joslas vai augsdelma kirurgija	NBW 49	N	B	W	 	4	9	NBW	49
NBW59	Reoperacija pleca  joslas vai augsdelma kirurgija virspusejas infekcijas del	NBW 59	N	B	W	 	5	9	NBW	59
NBW69	Reoperacija pleca  joslas vai augsdelma  kirurgija dzilas infekcijas del	NBW 69	N	B	W	 	6	9	NBW	69
NBW79	Reoperacija pleca  joslas vai augsdelma kirurgija virspusejas asinosanas del	NBW 79	N	B	W	 	7	9	NBW	79
NBW89	Reoperacija pleca  joslas vai augsdelma kirurgija dzilas asinosanas del	NBW 89	N	B	W	 	8	9	NBW	89
NBW99	Cita veida reoperacija pleca  joslas vai augsdelma kirurgija	NBW 99	N	B	W	 	9	9	NBW	99
NC	Elkonis un apaksdelms	NC	N	C						
NCA	Diagnostiskas manipulacijas 	NCA	N	C	A					
NCAko		NCA kodu pedeja cipara nozime: 	N	C	A	 	k	o	NCA	ko
0	Perkutana	0	0							
1	Artroskopiska	1	1							
2	Valeja	2	2							
NCA0y	Elkona vai apaksdelma miksto audu eksplorativa izmeklesana 	NCA 0y	N	C	A	 	0	y	NCA	0y
NCA1y	Elkona vai apaksdelma locitavu eksplorativa izmeklesana	NCA 1y	N	C	A	 	1	y	NCA	1y
NCA2y	Elkona vai apaksdelma miksto audu vai locitavas biopsija 	NCA 2y	N	C	A	 	2	y	NCA	2y
NCA3y	Elkona vai apaksdelma kaula biopsija 	NCA 3y	N	C	A	 	3	y	NCA	3y
NCB	Primara elkona locitavas endoprotezesana	NCB	N	C	B					
NCBko		NCB kodu pedeja cipara nozime: 	N	C	B	 	k	o	NCB	ko
0	Visu dalu	0	0							
1	Vienas - proksimalas - dalas	1	1							
2	Vienas - distalas - dalas	2	2							
3	Vienas - citas - dalas	3	3							
4	Divu distalo dalu vai proksimalas dalas un vienas distalas dalas	4	4							
9	Cita veida vai bez precizejuma	9	9							
NCB0y	Primara daleja elkona locitavas endoprotezesana, neizmantojot cementu	NCB 0y	N	C	B	 	0	y	NCB	0y
NCB1y	Primara daleja elkona locitavas endoprotezesana, izmantojot cementu 	NCB 1y	N	C	B	 	1	y	NCB	1y
NCB20	Primara totala elkona locitavas endoprotezesa, neizmantojot cementu	NCB 20	N	C	B	 	2	0	NCB	20
NCB30	Primara totala elkona locitavas endoprotezesana, izmantojot hibridtehniku	NCB 30	N	C	B	 	3	0	NCB	30
NCB40	Primara totala elkona locitavas endoprotezesana, izmantojot cementu	NCB 40	N	C	B	 	4	0	NCB	40
NCB59	Primara elkona locitavas artroplastika, izmantojot interpozicijas endoprotezi	NCB 59	N	C	B	 	5	9	NCB	59
NCB99	Cita veida primara elkona locitavas endoprotezesana	NCB 99	N	C	B	 	9	9	NCB	99
NCC	Sekundara elkona locitavas endoprotezesana	NCC	N	C	C					
NCCko		NCC kodu pedeja cipara nozime: 	N	C	C	 	k	o	NCC	ko
0	Visu dalu	0	0							
1	Vienas - proksimalas - dalas	1	1							
2	Vienas - distalas - dalas	2	2							
3	Vienas - citas - dalas	3	3							
4	Divu distalo dalu vai proksimalas dalas un vienas distalas dalas	4	4							
9	Cita veida vai bez precizejuma 	9	9							
NCC0y	Sekundara daleja elkona locitavas endoprotezesana, neizmantojot cementu	NCC 0y	N	C	C	 	0	y	NCC	0y
NCC1y	Sekundara daleja elkona locitavas endoprotezesana, izmantojot cementu 	NCC 1y	N	C	C	 	1	y	NCC	1y
NCC2y	Sekundara totala elkona locitavas endoprotezesana, neizmantojot cementu	NCC 2y	N	C	C	 	2	y	NCC	2y
NCC3y	Sekundara totala elkona locitavas endoprotezesana, izmantojot hibridtehniku	NCC 3y	N	C	C	 	3	y	NCC	3y
NCC4y	Sekundara totala elkona locitavas endoprotezesana, izmantojot cementu 	NCC 4y	N	C	C	 	4	y	NCC	4y
NCC59	Sekundara elkona locitavas artroplastika, izmantojot interpozicijas endoprotezi	NCC 59	N	C	C	 	5	9	NCC	59
NCC99	Cita veida sekundara elkona locitavas endoprotezesana	NCC 99	N	C	C	 	9	9	NCC	99
NCE	Elkona locitavas kapsulas un saisu operacijas	NCE	N	C	E					
NCEko		NCE kodu pedeja cipara nozime: 	N	C	E	 	k	o	NCE	ko
1	Artroskopiska	1	1							
2	Valeja	2	2							
9	Bez precizejuma 	9	9							
NCE0y	Elkona locitavas kapsulas incizija vai sasusana	NCE 0y	N	C	E	 	0	y	NCE	0y
NCE1y	Elkona locitavas saites pargriesana vai ekscizija 	NCE 1y	N	C	E	 	1	y	NCE	1y
NCE2y	Elkona locitavas saites reinsercija vai sasusana 	NCE 2y	N	C	E	 	2	y	NCE	2y
NCE3y	Elkona locitavas saites transpozicija 	NCE 3y	N	C	E	 	3	y	NCE	3y
NCE4y	Elkona locitavas saites plastiska korekcija, neizmantojot protezesanas materialu 	NCE 4y	N	C	E	 	4	y	NCE	4y
NCE59	Elkona locitavas saites plastiska korekcija, izmantojot protezesanas materialu 	NCE 59	N	C	E	 	5	9	NCE	59
NCE99	Cita veida elkona locitavas kapsulas vai saites operacija	NCE 99	N	C	E	 	9	9	NCE	99
NCF	Elkona locitavas virsmu un sinovialo apvalku operacijas	NCF	N	C	F					
NCFko		NCF kodu pedeja cipara nozime: 	N	C	F	 	k	o	NCF	ko
1	Artroskopiska	1	1							
2	Valeja	2	2							
NCF0y	Totala elkona locitavas sinovektomija	NCF 0y	N	C	F	 	0	y	NCF	0y
NCF1y	Parciala elkona sinovektomija	NCF 1y	N	C	F	 	1	y	NCF	1y
NCF2y	Elkona locitavas virsmas fragmentu fiksacija	NCF 2y	N	C	F	 	2	y	NCF	2y
NCF3y	Daleja elkona locitavas skrimsla ekscizija 	NCF 3y	N	C	F	 	3	y	NCF	3y
NCF9y	Cita veida elkona locitavas virsmu vai sinovialo apvalku operacija	NCF 9y	N	C	F	 	9	y	NCF	9y
NCG	Elkona locitavas rezekcija, rekonstrukcija un artrodeze	NCG	N	C	G					
NCG09	Elkona locitavas ekscizijas artroplastika	NCG 09	N	C	G	 	0	9	NCG	09
NCG19	Elkona locitavas interpozicijas artroplastika	NCG 19	N	C	G	 	1	9	NCG	19
NCG29	Cita veida elkona locitavas artroplastika bez endoprotezesanas	NCG 29	N	C	G	 	2	9	NCG	29
NCG39	Elkona locitavas artrodeze bez fiksacijas	NCG 39	N	C	G	 	3	9	NCG	39
NCG49	Elkona locitavas artrodeze ar ieksejo fiksaciju	NCG 49	N	C	G	 	4	9	NCG	49
NCG59	Elkona locitavas artrodeze ar arejo fiksaciju	NCG 59	N	C	G	 	5	9	NCG	59
NCG99	Cita veida elkona locitavas rezekcija, rekonstrukcija vai artrodeze	NCG 99	N	C	G	 	9	9	NCG	99
NCH	Dazadas elkona locitavas operacijas	NCH	N	C	H					
NCHko		NCH kodu pedeja cipara nozime: 	N	C	H	 	k	o	NCH	ko
0	Slegta	0	0							
1	Artroskopiska	1	1							
2	Valeja	2	2							
NCH0y	Elkona locitavas izmezgijuma repozicija 	NCH 0y	N	C	H	 	0	y	NCH	0y
NCH2y	Elkona locitavas endoprotezes izmezgijuma repozicija 	NCH 2y	N	C	H	 	2	y	NCH	2y
NCH3y	Elkona locitavas saaugumu atbrivosana 	NCH 3y	N	C	H	 	3	y	NCH	3y
NCH4y	Sveskermena vai locitavas peles (mus articularis s. corpus liberum) iznemsana no elkona locitavas 	NCH 4y	N	C	H	 	4	y	NCH	4y
NCH5y	Elkona locitavas intraartikularas eksostozes vai osteofita rezekcija 	NCH 5y	N	C	H	 	5	y	NCH	5y
NCH7y	Elkona locitavas operacija paraduma mezgijuma del	NCH 7y	N	C	H	 	7	y	NCH	7y
NCH9y	Cita veida elkona locitavas operacija	NCH 9y	N	C	H	 	9	y	NCH	9y
NCJ	Elkona locitavas un apaksdelma luzumu kirurgija	NCJ	N	C	J					
NCJko		NCJ kodu pedeja cipara nozime: 	N	C	J	 	k	o	NCJ	ko
0	Elkonkaula proksimala dala	0	0							
1	Elkonkaula kermenis	1	1							
2	Elkonkaula distala dala	2	2							
3	Spiekkaula proksimala dala	3	3							
4	Spiekkaula kermenis	4	4							
5	Spiekkaula distala dala	5	5							
6	Spiekkaula un elkonkaula kermenis	6	6							
7	Spiekkaula un elkonkaula distala dala	7	7							
8	Cita lokalizacija	8	8							
NCJ0y	Elkona vai apaksdelma luzuma slegta repozizija	NCJ 0y	N	C	J	 	0	y	NCJ	0y
NCJ1y	Elkona vai apaksdelma luzuma valeja repozicija	NCJ 1y	N	C	J	 	1	y	NCJ	1y
NCJ2y	Elkona vai apaksdelma luzuma areja fiksacija 	NCJ 2y	N	C	J	 	2	y	NCJ	2y
NCJ3y	Elkona vai apaksdelma luzuma iekseja fiksacija, izmantojot bioimplantatu	NCJ 3y	N	C	J	 	3	y	NCJ	3y
NCJ4y	Elkona vai apaksdelma luzuma iekseja fiksacija, izmantojot stiepli, stieni, gredzenu (serklazu) vai naglu	NCJ 4y	N	C	J	 	4	y	NCJ	4y
NCJ5y	Elkona vai apaksdelma luzuma iekseja fiksacija, izmantojot intramedularu naglu 	NCJ 5y	N	C	J	 	5	y	NCJ	5y
NCJ6y	Elkona vai apaksdelma luzuma iekseja fiksacija, izmantojot plaksni un skruves	NCJ 6y	N	C	J	 	6	y	NCJ	6y
NCJ7y	Elkona vai apaksdelma luzuma iekseja fiksacija, izmantojot tikai skruves	NCJ 7y	N	C	J	 	7	y	NCJ	7y
NCJ8y	Elkona vai apaksdelma luzuma iekseja fiksacija, izmantojot citu vai kombinetu metodi	NCJ 8y	N	C	J	 	8	y	NCJ	8y
NCJ9y	Cita veida manipulacija elkona locitavas vai apaksdelma luzumu kirurgija	NCJ 9y	N	C	J	 	9	y	NCJ	9y
NCK	Elkona locitavas vai apaksdelma kaulu operacijas	NCK	N	C	K					
NCKko		NCK kodu pedeja cipara nozime: 	N	C	K	 	k	o	NCK	ko
0	Elkonkaula proksimala dala	0	0							
1	Elkonkaula kermenis	1	1							
2	Elkonkaula distala dala	2	2							
3	Spiekkaula proksimala dala	3	3							
4	Spiekkaula kermenis	4	4							
5	Spiekkaula distala dala	5	5							
6	Spiekkaula un elkonkaula kermenis	6	6							
7	Spiekkaula un elkonkaula distala dala	7	7							
8	Cita lokalizacija	8	8							
NCK0y	Elkona vai apaksdelma kaula fragmenta rezekcija 	NCK 0y	N	C	K	 	0	y	NCK	0y
NCK1y	Elkona vai apaksdelma daleja vai pilna kaula rezekcija 	NCK 1y	N	C	K	 	1	y	NCK	1y
NCK2y	Elkona vai apaksdelma kaula fenestracija vai tunelizacija 	NCK 2y	N	C	K	 	2	y	NCK	2y
NCK3y	Elkona vai apaksdelma kaula cistas kiretaza 	NCK 3y	N	C	K	 	3	y	NCK	3y
NCK4y	Elkona vai apaksdelma kaula epifiziodeze 	NCK 4y	N	C	K	 	4	y	NCK	4y
NCK5y	Elkona vai apaksdelma lenkiska, rotacijas vai nobides osteotomija 	NCK 5y	N	C	K	 	5	y	NCK	5y
NCK6y	Elkona vai apaksdelma pagarinasanas vai saisinasanas osteotomija 	NCK 6y	N	C	K	 	6	y	NCK	6y
NCK7y	Elkona vai apaksdelma kaula parvietosanas operacija	NCK 7y	N	C	K	 	7	y	NCK	7y
NCK8y	Elkona vai apaksdelma epifizealas augsanas platnites trakcijas pagarinasana 	NCK 8y	N	C	K	 	8	y	NCK	8y
NCK9y	Cita veida elkona vai apaksdelma kaulu operacija	NCK 9y	N	C	K	 	9	y	NCK	9y
NCL	Elkona locitavas vai apaksdelma muskulu un cipslu operacijas	NCL	N	C	L					
NCL09	Elkona vai apaksdelma muskula atbrivosana	NCL 09	N	C	L	 	0	9	NCL	09
NCL19	Elkona vai apaksdelma muskula sasusana vai plastika	NCL 19	N	C	L	 	1	9	NCL	19
NCL29	Elkona vai apaksdelma muskula transpozicija	NCL 29	N	C	L	 	2	9	NCL	29
NCL39	Elkona vai apaksdelma tenotomija vai miotomija	NCL 39	N	C	L	 	3	9	NCL	39
NCL49	Elkona vai apaksdelma cipslas sasusana vai reinsercija	NCL 49	N	C	L	 	4	9	NCL	49
NCL59	Elkona vai apaksdelma tenolize vai tenosinovektomija	NCL 59	N	C	L	 	5	9	NCL	59
NCL69	Elkona vai apaksdelma tenodeze, cipslas saisinasana vai pagarinasana	NCL 69	N	C	L	 	6	9	NCL	69
NCL79	Elkona vai apaksdelma muskula vai cipslas rezekcija	NCL 79	N	C	L	 	7	9	NCL	79
NCL89	Elkona vai apaksdelma cipslas transpozicija	NCL 89	N	C	L	 	8	9	NCL	89
NCL99	Cita veida elkona vai apaksdelma muskulu vai cipslu operacija	NCL 99	N	C	L	 	9	9	NCL	99
NCM	Elkona locitavas vai apaksdelma  fasciju, sinovialo cistu un glotsominu operacijas	NCM	N	C	M					
NCM09	Elkona locitavas vai apaksdelma fasciotomija	NCM 09	N	C	M	 	0	9	NCM	09
NCM19	Elkona locitavas vai apaksdelma fascijas daleja vai pilniga ekscizija	NCM 19	N	C	M	 	1	9	NCM	19
NCM29	Elkona locitavas vai apaksdelma fascijas sasusana	NCM 29	N	C	M	 	2	9	NCM	29
NCM39	Elkona locitavas vai apaksdelma sinovialas cistas ekscizija	NCM 39	N	C	M	 	3	9	NCM	39
NCM49	Apaksdelma cipslas apvalka parskelsana	NCM 49	N	C	M	 	4	9	NCM	49
NCM59	Apaksdelma cipslas apvalka daleja ekscizija	NCM 59	N	C	M	 	5	9	NCM	59
NCM79	Elkona locitavas vai apaksdelma glotsominas ekscizija	NCM 79	N	C	M	 	7	9	NCM	79
NCM99	Cita veida elkona locitavas vai apaksdelma fasciju, sinovialo cistu vai glotsominu operacija	NCM 99	N	C	M	 	9	9	NCM	99
NCN	Elkona vai apaksdelma transplantacija 	NCN	N	C	N					
NCN09	Kaula autotransplantacija elkona locitava vai apaksdelma 	NCN 09	N	C	N	 	0	9	NCN	09
NCN19	Kaula alotransplantacija elkona locitava vai apaksdelma 	NCN 19	N	C	N	 	1	9	NCN	19
NCN29	Kaula ksenotransplantacija elkona locitava vai apaksdelma 	NCN 29	N	C	N	 	2	9	NCN	29
NCN39	Cipslas transplantacija elkona locitava vai apaksdelma 	NCN 39	N	C	N	 	3	9	NCN	39
NCN49	Skrimsla, kaulpleves vai fascijas transplantacija elkona locitava vai apaksdelma	NCN 49	N	C	N	 	4	9	NCN	49
NCN99	Cita veida transplantacija elkona locitava vai apaksdelma	NCN 99	N	C	N	 	9	9	NCN	99
NCP	Apaksdelma replantacija 	NCP	N	C	P					
NCP29	Apaksdelma replantacija 	NCP 29	N	C	P	 	2	9	NCP	29
NCQ	Apaksdelma amputacija un ar to saistitas operacijas	NCQ	N	C	Q					
NCQ09	Elkona eksartikulacija	NCQ 09	N	C	Q	 	0	9	NCQ	09
NCQ19	Apaksdelma amputacija	NCQ 19	N	C	Q	 	1	9	NCQ	19
NCQ29	Elkona locitavas vai apaksdelma amputacijas vai eksartikulacijas stumbra revizija	NCQ 29	N	C	Q	 	2	9	NCQ	29
NCQ99	Cita veida elkona vai apaksdelma amputacija vai ar to saistita operacija	NCQ 99	N	C	Q	 	9	9	NCQ	99
NCR	Elkona vai apaksdelma audzeju operacijas 	NCR	N	C	R					
NCR09	Elkona vai apaksdelma miksto audu audzeja nepilniga ekscizija	NCR 09	N	C	R	 	0	9	NCR	09
NCR19	Elkona vai apaksdelma miksto audu audzeja pilniga ekscizija	NCR 19	N	C	R	 	1	9	NCR	19
NCR29	Elkona vai apaksdelma miksto audu audzeja paplasinata ekscizija	NCR 29	N	C	R	 	2	9	NCR	29
NCR39	Elkona vai apaksdelma miksto audu audzeja ekscizija vienota bloka	NCR 39	N	C	R	 	3	9	NCR	39
NCR49	Elkona vai apaksdelma kaula vai skrimsla audzeja nepilniga ekscizija	NCR 49	N	C	R	 	4	9	NCR	49
NCR59	Elkona vai apaksdelma kaula vai skrimsla audzeja pilniga ekscizija	NCR 59	N	C	R	 	5	9	NCR	59
NCR69	Elkona vai apaksdelma kaula vai skrimsla audzeja paplasinata ekscizija	NCR 69	N	C	R	 	6	9	NCR	69
NCR79	Elkona vai apaksdelma kaula vai skrimsla audzeja ekscizija vienota bloka	NCR 79	N	C	R	 	7	9	NCR	79
NCR99	Cita veida elkona vai apaksdelma audzeja operacija	NCR 99	N	C	R	 	9	9	NCR	99
NCS	Operacijas elkona vai apaksdelma cipslu, locitavu un kaulu infekcijas del	NCS	N	C	S					
NCS09	Apaksdelma cipslas infekcijas incizija un sanacija	NCS 09	N	C	S	 	0	9	NCS	09
NCS19	Elkona locitavas infekcijas incizija un sanacija	NCS 19	N	C	S	 	1	9	NCS	19
NCS29	Elkona locitavas vai apaksdelma kaula infekcijas incizija un sanacija	NCS 29	N	C	S	 	2	9	NCS	29
NCS39	Apaksdelma cipslas infekcijas incizija un sanacija ar medikamentu  ievadisanu	NCS 39	N	C	S	 	3	9	NCS	39
NCS49	Elkona locitavas infekcijas incizija un sanacija ar medikamenta ievadisanu	NCS 49	N	C	S	 	4	9	NCS	49
NCS59	Elkona locitavas vai apaksdelma kaula infekcijas incizija un sanacija ar medikamentu ievadisanu	NCS 59	N	C	S	 	5	9	NCS	59
NCS99	Cita veida operacija elkona locitavas vai apaksdelma cipslu, locitavu vai kaulu infekcijas del	NCS 99	N	C	S	 	9	9	NCS	99
NCT	Dazadas elkona un apaksdelma operacijas 	NCT	N	C	T					
NCT09	Sveskermena iznemsana no elkona vai apaksdelma audiem	NCT 09	N	C	T	 	0	9	NCT	09
NCT19	Elkona locitavas forseta redresacija	NCT 19	N	C	T	 	1	9	NCT	19
NCT39	Elkona locitavas vai apaksdelma deformacijas korekcija, izmantojot muskuli, cipslu vai saiti	NCT 39	N	C	T	 	3	9	NCT	39
NCT49	Elkona locitavas vai apaksdelma deformacijas korekcija, izmantojot arejo vai ieksejo fiksaciju	NCT 49	N	C	T	 	4	9	NCT	49
NCT99	Cita veida elkona locitavas vai apaksdelma operacija	NCT 99	N	C	T	 	9	9	NCT	99
NCU	Elkona locitavas vai apaksdelma implantatu iznemsana un arejas fiksacijas aparatu nonemsana	NCU	N	C	U					
NCUko		NCU kodu pedeja cipara nozime: 	N	C	U	 	k	o	NCU	ko
0	Visu dalu	0	0							
1	Vienas - proksimalas -  dalas	1	1							
2	Vienas - distalas - dalas	2	2							
3	Vienas - citas - dalas 	3	3							
4	Divu distalo dalu vai proksimalas dalas un vienas distalas dalas	4	4							
9	Cita veida vai bez precizejuma	9	9							
NCU0y	Elkona locitavas dalejas endoprotezes iznemsana 	NCU 0y	N	C	U	 	0	y	NCU	0y
NCU1y	Elkona locitavas totalas endoprotezes iznemsana 	NCU 1y	N	C	U	 	1	y	NCU	1y
NCU39	Elkona vai apaksdelma arejas fiksacijas ierices nonemsana 	NCU 39	N	C	U	 	3	9	NCU	39
NCU49	Elkona vai apaksdelma iekseja fiksacijas ierices iznemsana 	NCU 49	N	C	U	 	4	9	NCU	49
NCU69	Elkona vai apaksdelma saites protezes iznemsana 	NCU 69	N	C	U	 	6	9	NCU	69
NCU89	Infekcijas arstesanai paredzeta terapeitiska implanta iznemsana  no elkona vai apaksdelma 	NCU 89	N	C	U	 	8	9	NCU	89
NCU99	Citu implantatu iznemsana no elkona vai apaksdelma 	NCU 99	N	C	U	 	9	9	NCU	99
NCW	Elkona un apaksdelma reoperacijas	NCW	N	C	W					
NCW49	Brucu malu paversanas (dehiscences) korekcija elkona vai apaksdelma kirurgija	NCW 49	N	C	W	 	4	9	NCW	49
NCW59	Reoperacija elkona vai apaksdelma kirurgija virspusejas infekcijas del	NCW 59	N	C	W	 	5	9	NCW	59
NCW69	Reoperacija elkona vai apaksdelma kirurgija dzilas infekcijas del	NCW 69	N	C	W	 	6	9	NCW	69
NCW79	Reoperacija elkona vai apaksdelma kirurgija virspusejas asinosanas del	NCW 79	N	C	W	 	7	9	NCW	79
NCW89	Reoperacija elkona vai apaksdelma kirurgija dzilas asinosanas del	NCW 89	N	C	W	 	8	9	NCW	89
NCW99	Cita veida reoperacija elkona vai apaksdelma kirurgija	NCW 99	N	C	W	 	9	9	NCW	99
ND	Plaukstpamats un plauksta	ND	N	D						
NDA	Plaukstpamata locitavas  un plaukstas diagnostiskas manipulacijas 	NDA	N	D	A					
NDAko		NDA kodu pedeja cipara nozime: 	N	D	A	 	k	o	NDA	ko
0	Perkutana	0	0							
1	Artroskopiska	1	1							
2	Valeja	2	2							
NDA0y	Plaukstpamata vai plaukstas miksto audu eksplorativa izmeklesana	NDA 0y	N	D	A	 	0	y	NDA	0y
NDA1y	Plaukstpamata vai plaukstas locitavas eksplorativa izmeklesana	NDA 1y	N	D	A	 	1	y	NDA	1y
NDA2y	Plaukstpamata vai plaukstas miksto audu vai locitavas biopsija	NDA 2y	N	D	A	 	2	y	NDA	2y
NDA3y	Plaukstpamata vai plaukstas kaula biopsija	NDA 3y	N	D	A	 	3	y	NDA	3y
NDB	Primara plaukstas un plaukstpamata locitavas endoprotezesana	NDB	N	D	B					
NDBko		NDB kodu pedeja cipara nozime: 	N	D	B	 	k	o	NDB	ko
0	Visas dalas	0	0							
1	Viena - proksimala - dala	1	1							
2	Viena - distala - dala	2	2							
3	Viena - cita - dala 	3	3							
9	Cita veida vai  bez precizejuma	9	9							
NDB0y	Primara daleja plaukstpamata locitavas endoprotezesana, neizmantojot cementu	NDB 0y	N	D	B	 	0	y	NDB	0y
NDB1y	Primara daleja plaukstpamata locitavas endoprotezesana, izmantojot cementu 	NDB 1y	N	D	B	 	1	y	NDB	1y
NDB2y	Primara totala plaukstpamata locitavas endoprotezesana, neizmantojot cementu	NDB 2y	N	D	B	 	2	y	NDB	2y
NDB3y	Primara totala plaukstpamata locitavas endoprotezesana, izmantojot hibridtehniku	NDB 3y	N	D	B	 	3	y	NDB	3y
NDB4y	Primara totala plaukstpamata locitavas endoprotezesana, izmantojot cementu	NDB 4y	N	D	B	 	4	y	NDB	4y
NDB5y	Primara plaukstpamata locitavas interpozicijas artroplastika	NDB 5y	N	D	B	 	5	y	NDB	5y
NDB8y	Primara pirksta vai metakarpala kaula locitavas endoprotezesana	NDB 8y	N	D	B	 	8	y	NDB	8y
NDB99	Cita veida primara plaukstpamata vai plaukstas locitavas endoprotezesana	NDB 99	N	D	B	 	9	9	NDB	99
NDC	Sekundara plaukstpamata un plaukstas locitavu endoprotezesana	NDC	N	D	C					
NDCko		NDC kodu pedeja cipara nozime: 	N	D	C	 	k	o	NDC	ko
0	Visas dalas	0	0							
1	Viena - proksimala - dala	1	1							
2	Viena - distala - dala	2	2							
3	Viena - cita - dala 	3	3							
9	Cita veida vai  bez precizejuma	9	9							
NDC0y	Sekundara daleja plaukstpamata locitavas endoprotezesana, neizmantojot cementu	NDC 0y	N	D	C	 	0	y	NDC	0y
NDC1y	Sekundara daleja plaukstpamata locitavas endoprotezesana, izmantojot cementu 	NDC 1y	N	D	C	 	1	y	NDC	1y
NDC2y	Sekundara totala plaukstpamata locitavas endoprotezesana, neizmantojot cementu	NDC 2y	N	D	C	 	2	y	NDC	2y
NDC3y	Sekundara totala plaukstpamata locitavas endoprotezesana, izmantojot hibridtehniku	NDC 3y	N	D	C	 	3	y	NDC	3y
NDC4y	Sekundara totala plaukstpamata locitavas endoprotezesana, izmantojot cementu 	NDC 4y	N	D	C	 	4	y	NDC	4y
NDC5y	Sekundara plaukstpamata locitavas interpozicijas protezesana	NDC 5y	N	D	C	 	5	y	NDC	5y
NDC8y	Sekundara pirksta vai metakarpala kaula locitavas endoprotezesana	NDC 8y	N	D	C	 	8	y	NDC	8y
NDC99	Cita veida sekundara plaukstpamata vai plaukstas locitavu endoprotezesana	NDC 99	N	D	C	 	9	9	NDC	99
NDE 	Plaukstpamata un plaukstas locitavu kapsulu un saisu operacijas	NDE 	N	D	E	 				
NDEko		NDE kodu pedeja cipara nozime: 	N	D	E	 	k	o	NDE	ko
1	Artroskopiska	1	1							
2	Valeja	2	2							
NDE0y	Plaukstpamata vai plaukstas locitavas kapsulas incizija vai sasusana	NDE 0y	N	D	E	 	0	y	NDE	0y
NDE1y	Plaukstpamata vai plaukstas saites pargriesana vai ekscizija 	NDE 1y	N	D	E	 	1	y	NDE	1y
NDE2y	Plaukstpamata vai plaukstas saites reinsercija vai sasusana 	NDE 2y	N	D	E	 	2	y	NDE	2y
NDE3y	Plaukstpamata vai plaukstas saites transpozicija 	NDE 3y	N	D	E	 	3	y	NDE	3y
NDE4y	Plaukstpamata vai plaukstas saites plastika, neizmantojot protezesanas materialu	NDE 4y	N	D	E	 	4	y	NDE	4y
NDE5y	Plaukstpamata vai plaukstas saites plastika, izmantojot protezesanas materialu	NDE 5y	N	D	E	 	5	y	NDE	5y
NDE9y	Cita veida plaukstpamata vai plaukstas locitavas kapsulas vai saites operacija	NDE 9y	N	D	E	 	9	y	NDE	9y
NDF	Plaukstpamata un plaukstas locitavu virsmu un sinovialo apvalku operacijas	NDF	N	D	F					
NDFko		NDF kodu pedeja cipara nozime: 	N	D	F	 	k	o	NDF	ko
1	Artroskopiska	1	1							
2	Valeja	2	2							
NDF0y	Plaukstpamata locitavas vai plaukstas totala sinovektomija 	NDF 0y	N	D	F	 	0	y	NDF	0y
NDF1y	Plaukstpamata locitavas vai plaukstas daleja sinovektomija 	NDF 1y	N	D	F	 	1	y	NDF	1y
NDF2y	Plaukstpamata locitavas vai plaukstas virsmas fragmentu fiksacija 	NDF 2y	N	D	F	 	2	y	NDF	2y
NDF3y	Plaukstpamata locitavas vai plaukstas skrimsla daleja ekscizija 	NDF 3y	N	D	F	 	3	y	NDF	3y
NDF9y	Cita veida plaukstpamata vai plaukstas locitavas virsmu vai sinovialo apvalku operacija 	NDF 9y	N	D	F	 	9	y	NDF	9y
NDG	Plaukstpamata  un plaukstas locitavas rezekcija, rekonstrukcija un artrodeze	NDG	N	D	G					
NDGko		NDG kodu pedeja cipara nozime: 	N	D	G	 	k	o	NDG	ko
0	Spiekkaula un plaukstpamata locitava (art. radiocarpea)	0	0							
1	Plaukstpamata kaulu starplocitava (art. intercarpea)	1	1							
