Tunniste;Lyhenne;Nimi;Pitkä nimi;Ylempi koodi;Hierarkiataso;Voimassaolo alkaa;Voimassaolo päättyy;Muutospvm;Viim. tallentaja;Tila;Määritelmä;OID;Anm.;Exkluderar;Huom.;Inkluderar;Korvaava koodi;Lehtisolmu;Long_name;Långt_namn;Mukaan lukien;NCSP+;NCSP+ ala;NCSP ala;NCSP+ luku;NCSP luku;NCSP+ ryhmä;NCSP ryhmä;Note;Obs.;Pois lukien;Suun terveys (T/F);Taso;Vaativuus;Voimassa
NE_2;Muut lantion toimenpiteet;Muut lantion toimenpiteet;Lantion muut toimenpiteet;NE;2;1.1.2003;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Other procedures of pelvis;Andra åtgärden på bäckenet;;NEX;;NE_;N;N;NE;NE;;;;F;A;;T
NF;Lonkkanivelet ja reidet;Lonkkanivelet ja reidet;Lonkkanivelet ja reidet;N;1;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Hip joint and thigh;Höftleder och lår;;NF;;;N;N;NF;NF;;;;F;R;;T
NF_;Lonkan ja reiden diagnostinen radiologia;Lonkan ja reiden diagnostinen radiologia;Lonkan ja reiden diagnostinen radiologia;NF;2;1.1.2003;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Diagnostic radiology of hip joint and thigh;Diagnostisk radiologi av höftled och lår;;NFD;;NF_;N;N;NF;NF;;;;F;A;;T
NFA;Lonkan/reiden tutkimusleikkaukset/ASKO;Lonkan/reiden tutkimusleikkaukset/ASKO;Lonkan ja reiden tutkimusleikkaukset ja tähystykset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Exploratory procedures on hip and thigh;Explorativa ingrepp på höftled eller femur;;NFSA;;NFA;N;N;NF;NF;;;;F;A;;T
NFA10;Neulakudosnäyte lonkkanivelestä/reisiluu;Neulakudosnäyte lonkkanivelestä/reisiluu;Neulakudosnäyte, lonkka tai reisi;NF_2;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Biopsy of soft tissue or joint of hip and thigh, percutaneous;Nålbiopsi från höftled eller femur;;NFXX00;;NFA;N;N;NF;NF;;;;F;C;;T
NFA20;Lonkan tai reiden tutkimusleikkaus;Lonkan tai reiden tutkimusleikkaus;Lonkan tai reiden tutkimusleikkaus;NFA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Exploration of hip joint or femur;Exploration av höftled eller femur;;NFSA12;;NFA;N;N;NF;NF;;;;F;C;;T
NFA30;Lonkkanivelen tähystystutkimus;Lonkkanivelen tähystystutkimus;Lonkkanivelen tähystystutkimus;NFA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Exploration of hip joint, arthroscopic;Artroskopi av höftled;;NFSA11;;NFA;N;N;NF;NF;;;;F;C;;T
NFB;Lonkan tekonivelleikkaukset;Lonkan tekonivelleikkaukset;Lonkan tekonivelleikkaukset;NF;2;1.1.1996;31.12.2030;22.10.2007;Stakes, Admin;1;;;;;;;;F;Primary prosthetic replacement of hip joint;Primära ledprotesoperationer i höftled;;NFSB;;NFB;N;N;NF;NF;;;;F;A;;T
NFB10;Lonkan osatekonivel, sementitön;Lonkan osatekonivel, sementitön;Lonkan osatekonivel, sementitön;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Primary partial prosthetic replacement of hip joint not using cement, other or unspecified;Applikation av ocementerad halvprotes i höftled;;NFSB09;;NFB;N;N;NF;NF;;;;F;C;;T
NFB20;Lonkan osatekonivel, sementöity;Lonkan osatekonivel, sementöity;Lonkan osatekonivel, sementöity;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Primary partial prosthetic replacement of hip joint using cement, other or unspecified;Applikation av cementerad halvprotes i höftled;;NFSB11;;NFB;N;N;NF;NF;;;;F;C;;T
NFB30;Lonkan kokotekonivel,standard,sementitön;Lonkan kokotekonivel,standard,sementitön;Lonkan kokotekonivel, tavallinen, sementitön;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Primary total prosthetic replacement of hip joint not using cement;Applikation av vanlig (standard), ocementerad totalprotes i höftled;;NFSB20;;NFB;N;N;NF;NF;;;;F;C;;T
NFB40;Lonkan kokotekonivel,standard,hybridi;Lonkan kokotekonivel,standard,hybridi;Lonkan kokotekonivel, tavallinen, hybridi;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Primary total prosthetic replacement of hip joint using hybrid technique;Applikation av vanlig (standard), hybrid-totalprotes i höftled;;NFSB30;;NFB;N;N;NF;NF;;;;F;C;;T
NFB50;Lonkan kokotekonivel,standard,sementöity;Lonkan kokotekonivel,standard,sementöity;Lonkan kokotekonivel, tavallinen, sementöity;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Primary total prosthetic replacement of hip joint using cement;Applikation av vanlig (standard), cementerad totalprotes i höftled;;NFSB50;;NFB;N;N;NF;NF;;;;F;C;;T
NFB60;Lonkan vaativa tekonivelleikkaus;Lonkan vaativa tekonivelleikkaus;Lonkan vaativa tekonivelleikkaus;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Demanding prosthetic replacement of hip;Krävande applikation av höftledsprotes;;NFSB60;;NFB;N;N;NF;NF;;;;F;C;;T
NFB62;Reisiluun pään pinnoitetekonivelleikkaus;Reisiluun pään pinnoitetekonivelleikkaus;Reisiluun pään pinnoitetekonivelleikkaus;NFB;3;1.1.2009;31.12.2030;1.12.2008;Stakes, Admin;1;;;;;;;;T;Primary prosthetic replacement of joint surface of femoral head;Femurhuvudets protetisk ytbeläggning;;NFSB62;;NFB;N;N;NF;NF;;;;F;C;;T
NFB99;Muu lonkan tekonivelleikkaus;Muu lonkan tekonivelleikkaus;Muu lonkan tekonivelleikkaus;NFB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other primary prosthetic replacement of hip joint;Annan protesoperation på höftleden;;NFSB99;;NFB;N;N;NF;NF;;;;F;C;;T
NFC;Lonkan tekonivelien uusintaleikkaukset;Lonkan tekonivelien uusintaleikkaukset;Lonkan tekonivelien uusintaleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Secondary prosthetic replacement of hip joint;Reoperationer på höftledsproteser;;NFSC;;NFC;N;N;NF;NF;;;;F;A;;T
NFC00;Lonkan tekonivelen irto-osan vaihto;Lonkan tekonivelen irto-osan vaihto;Lonkan tekonivelen irto-osan vaihto;NFC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Exchange of a loose part of prosthesis in hip joint;Utbyte av löstagbar proteskomponent i höftprotes;;NFSC03;;NFC;N;N;NF;NF;;;;F;C;;T
NFC20;Lonkan tekonivelen uusintaleikkaus;Lonkan tekonivelen uusintaleikkaus;Lonkan tekonivelen uusintaleikkaus;NFC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Secondary implantation of hip prosthesis;Reoperation i samband med höftprotes;;NFSC49;;NFC;N;N;NF;NF;;;;F;C;;T
NFC30;LonkkaTEPuusinta,reisiluukorjaus,luusiir;LonkkaTEPuusinta,reisiluukorjaus,luusiir;Lonkan tekonivelen uusintaleikkaus, reisiluun korjaaminen luusiirteellä;NFC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Repair of hip prosthesis by bone transplant to femur;Reoperation i samband med höftprotes, femuraugmentation med bentransplantat;;NFSC99;;NFC;N;N;NF;NF;;;;F;C;;T
NFC40;LonkkaTEPuusinta,asetabulumkorj,luusiirr;LonkkaTEPuusinta,asetabulumkorj,luusiirr;Lonkan tekonivelen uusintaleikkaus, lonkkamaljan korjaaminen luusiirteellä;NFC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Repair of hip prosthesis by bone transplant to acetabulum;Reop. i samband med höftprotes, acetabulumaugmentation med bentransplantat;;NFSC99;;NFC;N;N;NF;NF;;;;F;C;;T
NFC50;LonkkaTEPuusinta,luunsiirrekorj fem+acet;LonkkaTEPuusinta,luunsiirrekorj fem+acet;Lonkan tekonivelen uusintaleikkaus, reisiluun ja lonkkamaljan korjaaminen luusiirteellä;NFC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Repair of hip prosthesis by bone transplant to femur and acetabulum;Reop. i samband med höftprotes, augmentation med bentransplantat av både femur och acetabulum;;NFSC50;;NFC;N;N;NF;NF;;;;F;C;;T
NFC99;Muu lonkan tekonivelen korjausleikkaus;Muu lonkan tekonivelen korjausleikkaus;Muu lonkan tekonivelen korjausleikkaus;NFC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other secondary prosthetic replacement in hip joint, other or unspecified;Annan reoperation för applikation av höftprotes;;NFSC99;;NFC;N;N;NF;NF;;;;F;C;;T
NFE;Lonkan nivelside- ja kapselileikkaukset;Lonkan nivelside- ja kapselileikkaukset;Lonkan nivelside- ja kapselileikkaukset;NF;2;1.1.1997;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations on capsules and ligaments of hip joint;Operationer på höftledens kapsel/ledband;;NFSE;;NFE;N;N;NF;NF;;;;F;A;;T
NFE10;Lonkan nivelsiteiden ja kapselin aukaisu;Lonkan nivelsiteiden ja kapselin aukaisu;Lonkan nivelsiteiden ja kapselin aukaisu;NFE;3;1.1.1997;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Incision of capsule or ligament of hip joint;Incision av höftledens ledband/ledkapsel;;NFSE10;;NFE;N;N;NF;NF;;;;F;C;;T
NFE15;Lonkan nivelside/kapselimuovaus/korjaus;Lonkan nivelside/kapselimuovaus/korjaus;Lonkan nivelsiteiden tai kapselin muovaus tai korjaus;NFE;3;1.1.1997;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Plastic repair of capsule or ligament of hip joint;Plastik/rekonstruktion av höftledens ledband/ledkapsel;;NFSE15;;NFE;N;N;NF;NF;;;;F;C;;T
NFF;Lonkan nivelkalvo-/nivelrustoleikkaukset;Lonkan nivelkalvo-/nivelrustoleikkaukset;Lonkan nivelkalvo- ja nivelrustoleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations on synovia and surfaces of hip joint;Operationer på höftledens synovia/ledbrosk;;NFSF;;NFF;N;N;NF;NF;;;;F;A;;T
NFF20;Lonkkanivelen puhdistus;Lonkkanivelen puhdistus;Lonkkanivelen puhdistus;NFF;3;1.1.1996;31.12.2030;16.12.2009;Peltonen, Veli-Pekka;1;;;;;;;;T;Cleaning of hip joint, open;Öppen putsning, débridement, eller synovektomi av höftled;;NFSF20;;NFF;N;N;NF;NF;;;;F;C;;T
NFF25;Lonkkanivelen puhdistus tähystyksessä;Lonkkanivelen puhdistus tähystyksessä;Lonkkanivelen puhdistus tähystyksessä;NFF;3;1.1.1996;31.12.2030;16.12.2009;Peltonen, Veli-Pekka;1;;;;;;;;T;Cleaning of hip joint, arthroscopic;Artroskopisk putsning, débridement, eller synovektomi av höftled;;NFSF25;;NFF;N;N;NF;NF;;;;F;C;;T
NFG;Lonkkanivelen muovaukset/luudutukset;Lonkkanivelen muovaukset/luudutukset;Lonkkanivelen muovaukset ja luudutusleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Excision, reconstruction and fusion of hip joint;Artroplastiker och artrodeser på höftleden;;NFSG;;NFG;N;N;NF;NF;;;;F;A;;T
NFG00;Lonkkanivelen muovausleikkaus;Lonkkanivelen muovausleikkaus;Lonkkanivelen muovausleikkaus;NFG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Arthroplasty of hip joint;Höftledsartroplastik;;NFSG00;;NFG;N;N;NF;NF;;;;F;C;;T
NFG30;Lonkkanivelen luudutusleikkaus;Lonkkanivelen luudutusleikkaus;Lonkkanivelen luudutusleikkaus;NFG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Fusion of hip joint;Artrodes på höftleden;;NFSG30;;NFG;N;N;NF;NF;;;;F;C;;T
NFH;Lonkkanivelen repositio/muut leikkaukset;Lonkkanivelen repositio/muut leikkaukset;Lonkan sijoiltaanmenon paikalleenasetus ja muut toimenpiteet;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Miscellaneous operations on hip joint;Reposition av luxation i höftled och diverse andra operationer på höftleden;;NFSH;;NFH;N;N;NF;NF;;;;F;A;;T
NFH10;Lonkan sijoiltaanmenon paikalleenasetus;Lonkan sijoiltaanmenon paikalleenasetus;Lonkan sijoiltaanmenon paikalleenasetus;NFH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Reduction of dislocation of hip joint, closed;Sluten reposition av luxation i höftled;;NFSH00;;NFH;N;N;NF;NF;;;;F;C;;T
NFH20;Lonkan sijoiltaanmenon leikkaus;Lonkan sijoiltaanmenon leikkaus;Lonkan sijoiltaanmenon leikkaus;NFH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Reduction of dislocation of hip joint, open;Öppen reposition av luxation i höftled;;NFSH02;;NFH;N;N;NF;NF;;;;F;C;;T
NFH30;Lonkan tekonivelluksation sulj repositio;Lonkan tekonivelluksation sulj repositio;Lonkan tekonivelen sijoiltaanmenon suljettu paikalleenasetus;NFH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Reduction of dislocation prosthesis of hip joint, closed;Sluten reposition av luxation i protetisk höftled;;NFSH20;;NFH;N;N;NF;NF;;;;F;C;;T
NFH32;Lonkan tekonivel/osan avoin reduktio;Lonkan tekonivel/osan avoin reduktio;Lonkan tekonivelen/osan sijoiltaanmenon paikalleenasetusleikkaus;NFH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Reduction of dislocation prosthesis of hip joint, open;Reposition av luxerad höftproteskomponent;;NFSH22;;NFH;N;N;NF;NF;;;;F;C;;T
NFH99;Muu lonkkanivelen leikkaus;Muu lonkkanivelen leikkaus;Muu lonkkanivelen leikkaus;NFH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation on hip joint,v;Annan operation på höftleden;;NFSH99;;NFH;N;N;NF;NF;;;;F;C;;T
NFJ;Reisiluun murtumaleikkaukset;Reisiluun murtumaleikkaukset;Reisiluun murtumaleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Fracture surgery of femur;Frakturkirurgi på femur;;NFSJ;;NFJ;N;N;NF;NF;;;;F;A;;T
NFJ40;Reisiluun murtuman repositio/sidos;Reisiluun murtuman repositio/sidos;Reisiluun murtuman suljettu paikalleenasetus ja sidos;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Closed reduction of fracture of femur and bandage;Sluten reduktion av femurfraktur/bandagering;;NFSJ05;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ42;Reisiluun murtuman avoin repositio/sidos;Reisiluun murtuman avoin repositio/sidos;Reisiluun murtuman avoin paikalleenasetus ja sidos;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Open reduction of fracture of femur and bandage;Öppen reduktion av femurfraktur/bandagering;;NFSJ15;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ50;Reisiluukaulan murt naulaus,yksi/useamp;Reisiluukaulan murt naulaus,yksi/useamp;Reisiluun kaulan naulaus, yksi tai useampia nauloja tai ruuveja;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Internal fixation of fracture of neck of femur with nail or screw;Spik/skruv-fixation av fraktur på lårbenshalsen, en eller flera spikar/skruvar;;NFSJ50;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ52;Reisiluun yläosankiinnitys,liukur/naula;Reisiluun yläosankiinnitys,liukur/naula;Reisiluun yläosan kiinnitys, liukuruuvi/naula ja sivulevy;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Internal fixation of fracture of upper femur with screws and sideplate;Fixation av proximal femurfraktur med teleskopskruv/spik och platta;;NFSJ53;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ54;Reisiluun yläosan  gamma naulaus;Reisiluun yläosan  gamma naulaus;Reisiluun yläosan  gamma naulaus;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Internal fixation of fracture of upper femur with gamma nail;Gamma-spikning av fraktur på proximala femur;;NFSJ54;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ60;Reisiluun ydinnaulaus;Reisiluun ydinnaulaus;Reisiluun ydinnaulaus;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Internal fixation of fracture of other parts of femur with intramedullary nail;Märgspikning av femur;;NFSJ54;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ62;Reisiluun murtumaleikkaus levyllä;Reisiluun murtumaleikkaus levyllä;Reisiluun murtumaleikkaus levyllä;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Internal fixation of fracture of other parts of femur with plate;Plattfixation av femurfraktur;;NFSJ65;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ64;Reisiluumurtumakiinnitys,ruuvit/naulat;Reisiluumurtumakiinnitys,ruuvit/naulat;Reisiluun murtuman muu sisäinen kiinnitys;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other internal fixation of fracture of other parts of femur;Annan intern fixation av femurfraktur;;NFSJ84;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ70;Reisiluun murtuman ulkoinen kiinnitys;Reisiluun murtuman ulkoinen kiinnitys;Reisiluun murtuman ulkoinen kiinnitys;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;External fixation of fracture of femur;Extern fixation av femurfraktur;;NFSJ25;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ84;Reisiluumurtuman re-/myöhäisfiksatio;Reisiluumurtuman re-/myöhäisfiksatio;Reisiluun murtuman uudelleen- tai myöhäiskiinnitys;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Refixation of fracture of femur;Refixation eller sen sekundärfixation av femurfraktur;;NFSJ85;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ86;Reisimurtuman leikkaus luuduttamiseksi;Reisimurtuman leikkaus luuduttamiseksi;Reisimurtuman myöhäisleikkaus luutumisen edistämiseksi;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Late operation for fracture of femur to promote bone formation;Sen revisionsoperation på femur för stimulering av läkningen;;NFSJ86;;NFJ;N;N;NF;NF;;;;F;C;;T
NFJ99;Muu reisiluun murtumaleikkaus;Muu reisiluun murtumaleikkaus;Muu reisiluun murtumaleikkaus;NFJ;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other fracture surgery of femur;Annan frakturkirurgi på femur;;NFSJ99;;NFJ;N;N;NF;NF;;;;F;C;;T
NFK;Reisiluun luuleikkaukset;Reisiluun luuleikkaukset;Reisiluun luuleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations on femur;Operationer på femur (exkl frakturkirurgi);;NFSK;;NFK;N;N;NF;NF;;;;F;A;;T
NFK10;Reisiluun aukaisu tai poisto;Reisiluun aukaisu tai poisto;Reisiluun aukaisu tai poisto;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Fenestration or partial or total excision of bone of femur;Incision/resektion av femur;;NFSK19;;NFK;N;N;NF;NF;;;;F;C;;T
NFK20;Reisiluun  epifyseodeesi;Reisiluun  epifyseodeesi;Reisiluun kasvulinjan sulkeminen, epifyseodeesi;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Epiphysiodesis of femur;Fyseodes på femur;;NFSK20;;NFK;N;N;NF;NF;;;;F;C;;T
NFK30;Reisiluun katkaisu ja kääntö;Reisiluun katkaisu ja kääntö;Reisiluun katkaisu ja kääntö;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Angulation, rotation or displacement osteotomy of femur;Femurosteotomi;;NFSK30;;NFK;N;N;NF;NF;;;;F;C;;T
NFK47;Reiden koko kasvulinjan vapautus;Reiden koko kasvulinjan vapautus;Reiden koko kasvulinjan vapautus (epifyseodesolyysi);NFK;3;1.1.2009;31.12.2030;13.1.2009;Stakes, Admin;1;;;;;;Innefattar transplantation av fett.;;T;Total separation of growth plate of femur;Avskilning av hela femurepifys (epifyseodesolyysi);Sisältää rasvansiirron.;NFSK47;;NFK;N;N;NF;NF;;;;F;C;;T
NFK48;Reiden kasvulinjan vapautus osittain;Reiden kasvulinjan vapautus osittain;Reiden kasvulinjan vapautus osittain (hemiepifyseodesolyysi);NFK;3;1.1.2009;31.12.2030;13.1.2009;Stakes, Admin;1;;;;;;Innefattar transplantation av fett.;;T;Partial separation of growth plate of femur;Delvis avskilning av femurepifys (hemiepifyseodesolyysi);Sisältää rasvansiirron.;NFSK48;;NFK;N;N;NF;NF;;;;F;C;;T
NFK50;Reisiluun lyhennys;Reisiluun lyhennys;Reisiluun lyhennys;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Shortening  osteotomy of femur;Femurförkortning;;NFSK50;;NFK;N;N;NF;NF;;;;F;C;;T
NFK60;Reisiluun pidennys;Reisiluun pidennys;Reisiluun pidennys;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Lengthening osteotomy of femur;Femurförlängning;;NFSK60;;NFK;N;N;NF;NF;;;;F;C;;T
NFK70;Reisiluun osan siirto,  transport;Reisiluun osan siirto,  transport;Reisiluun osan siirto,  transport;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Bone transport operation of femur;Flyttning av femursegment;;NFSK79;;NFK;N;N;NF;NF;;;;F;C;;T
NFK76;Reisiluun kasvulinjan venyttäminen;Reisiluun kasvulinjan venyttäminen;Reisiluun kasvulinjan venyttäminen;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Traction lengthening of epiphyseal plate of femur;Distraktion av femurfys;;NFSK76;;NFK;N;N;NF;NF;;;;F;C;;T
NFK99;Muu reiden luuleikkaus;Muu reiden luuleikkaus;Muu reiden luuleikkaus;NFK;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation on bone of femur;Annan skeletal operation på femur;;NFSK99;;NFK;N;N;NF;NF;;;;F;C;;T
NFL;Reiden lihas- ja jänneleikkaukset;Reiden lihas- ja jänneleikkaukset;Reiden lihas- ja jänneleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations on muscles and tendons of hip and thigh;Operationer på lårets muskler/senor;;NFSL;;NFL;N;N;NF;NF;;;;F;A;;T
NFL20;Reisilihaksen muovaus,korjaus/kiinn irr;Reisilihaksen muovaus,korjaus/kiinn irr;Reiden lihaksen muovaus, korjaus tai kiinnikkeiden irroittelu;NFL;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Freeing of muscle of hip or thigh;Plastik, reparation, adherenslösning på lårmuskler;;NFSL09;;NFL;N;N;NF;NF;;;;F;C;;T
NFL22;Reiden lihaksen/jänteen katkaisu/poisto;Reiden lihaksen/jänteen katkaisu/poisto;Reiden lihaksen tai jänteen katkaisu tai poisto;NFL;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Myotomy or tenotomy of hip or thigh;Delning/resektion av lårmuskler/senor;;NFSL39;;NFL;N;N;NF;NF;;;;F;C;;T
NFL30;Reiden jänteen korjaus, ompelu/siirre;Reiden jänteen korjaus, ompelu/siirre;Reiden jänteen korjaus, ompelu/siirre;NFL;3;1.1.1996;31.12.2030;7.2.2007;MO;1;;;;;;;;T;Transposition of muscle of hip or thigh;Reparation av sena på låret, sutur/transplantat;;NFSL49;;NFL;N;N;NF;NF;;;;F;C;;T
NFL68;Reiden jänteen tenodeesi/transpositio;Reiden jänteen tenodeesi/transpositio;Reiden jänteen pidennys, lyhennys tai kiinnitys, tenodeesi / transpositio;NFL;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Tenodes, shortening or lenghtening of a tendon of hip or thigh;Förlängning / förkortning / tenodes / transposition av låretssenor;;NFSL69;;NFL;N;N;NF;NF;;;;F;C;;T
NFL99;Muu reiden lihas- tai jänneleikkaus;Muu reiden lihas- tai jänneleikkaus;Muu reiden lihas- tai jänneleikkaus;NFL;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation on muscle or tendon of hip or thigh;Annan operation på lårets muskler/senor;;NFSL99;;NFL;N;N;NF;NF;;;;F;C;;T
NFM;Reiden muut pehmytkudosleikkaukset;Reiden muut pehmytkudosleikkaukset;Lonkan ja reiden muut pehmytkudosleikkaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations on fascia, ganglia and bursae of hip and thigh;Andra mjukdelsoperationer på låret;;NFSM;;NFM;N;N;NF;NF;;;;F;A;;T
NFM10;Reiden faskiotomia;Reiden faskiotomia;Reiden faskiotomia;NFM;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Fasciotomy of thigh;Fasciotomi på låret;;NFSM09;;NFM;N;N;NF;NF;;;;F;C;;T
NFM20;Reiden limapussin/ganglion poisto;Reiden limapussin/ganglion poisto;Lonkan tai reiden limapussin tai ganglion poisto;NFM;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Excision of bursa of hip or thigh;Exstirpation av bursa/ganglion från låret;;NFSM79;;NFM;N;N;NF;NF;;;;F;C;;T
NFM99;Muu reiden pehmytkudosleikkaus;Muu reiden pehmytkudosleikkaus;Muu lonkan tai reiden pehmytkudosleikkaus;NFM;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation on fascia, ganglion or bursa of hip or thigh;Annan mjukdelsoperation på låret;;NFSM99;;NFM;N;N;NF;NF;;;;F;C;;T
NFP;Reiden uudelleenistutukset;Reiden uudelleenistutukset;Reiden uudelleenistutukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Replantations and autotransplantations in hip and thigh;Replantationer/autotransplantationer på höft/lårnivå;;NFSP;;NFP;N;N;NF;NF;;;;F;A;;T
NFP10;Reiden  takaisinistutus;Reiden  takaisinistutus;Reiden  takaisinistutus;NFP;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Replantation of extremity at level of hip or thigh;Replantation av lår;;NFSP29;;NFP;N;N;NF;NF;;;;F;C;;T
NFQ;Lonkan/reiden amputaatiot/tynkäkorjaukse;Lonkan/reiden amputaatiot/tynkäkorjaukse;Lonkan ja reiden amputaatiot ja tynkäkorjaukset;NF;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Amputations and related operations on hip and femur;Höftledsdisartikulation/låramputation och stumprevisioner;;NFSQ;;NFQ;N;N;NF;NF;;;;F;A;;T
