AA027	Innlegging av intracerebral trykkmåler
NCJ74	Osteosyntese av skaftfraktur av radius med skruer
NCJ75	Osteosyntese av distal radiusfraktur med skruer
NCJ76	Osteosyntese av skaftfraktur av radius og ulna med skruer
NCJ77	Osteosyntese av distal fraktur av radius og ulna med skruer
NCJ78	Osteosyntese annen fraktur av radius eller ulna med skruer
NCJ80	Osteosyntese proksimal ulnafraktur med annet/komb materiale
NCJ81	Osteosyntese skaftfraktur av ulna med annet/komb materiale
NCJ82	Osteosyntese av distal ulnafraktur med annet/komb materiale
NCJ83	Osteosyntese proksimal radiusfrakt med annet/komb materiale
NCJ84	Osteosyntese skaftfraktur radius med annet/komb materiale
NCJ85	Osteosyntese distal radiusfraktur med annet/komb materiale
NCJ86	Osteosynt skaftfrakt radius og ulna med annet/komb materiale
NCJ87	Osteosynt dist frakt radius og ulna med annet/komb materiale
NCJ88	Osteosynt annen frakt radius eller ulna annet/komb materiale
NCJ90	Annen osteosyntese av proksimal ulnafraktur
NCJ91	Annen osteosyntese av skaftfraktur av ulna
NCJ92	Annen osteosyntese av distal ulnafraktur
NCJ93	Annen osteosyntese av proksimal radiusfraktur
NCJ94	Annen osteosyntese av skaftfraktur av radius
NCJ95	Annen osteosyntese av distal radiusfraktur
NCJ96	Annen osteosyntese av skaftfraktur av radius og ulna
NCJ97	Annen osteosyntese av distal fraktur av radius og ulna
NCJ98	Annen osteosyntese av annen fraktur av radius eller ulna
NCK00	Eksisjon av beinfragment i proksimale ulna
NCK01	Eksisjon av beinfragment i skaftdelen av ulna
NCK02	Eksisjon av beinfragment i distale ulna
NCK03	Eksisjon av beinfragment i proksimale radius
NCK04	Eksisjon av beinfragment i skaftdelen av radius
NCK05	Eksisjon av beinfragment i distale radius
NCK06	Eksisjon av beinfragment i skaftdelen av radius og ulna
NCK07	Eksisjon av beinfragment i distale radius og ulna
NCK08	Eksisjon av beinfragment i annen del av radius eller ulna
NCK10	Reseksjon eller eksisjon av proksimale ulna
NCK11	Reseksjon eller eksisjon av skaftdelen av ulna
NCK12	Reseksjon eller eksisjon av distale ulna
NCK13	Reseksjon eller eksisjon av proksimale radius
NCK14	Reseksjon eller eksisjon av skaftdelen av radius
NCK15	Reseksjon eller eksisjon av distale radius
NCK16	Reseksjon eller eksisjon av skaftdelen av radius og ulna
NCK17	Reseksjon eller eksisjon av distale radius og ulna
NCK18	Reseksjon eller eksisjon av annen del av radius eller ulna
NCK20	Fenestrasjon eller oppboring av proksimale ulna
NCK21	Fenestrasjon eller oppboring av skaftdelen av ulna
NCK22	Fenestrasjon eller oppboring av distale ulna
NCK23	Fenestrasjon eller oppboring av proksimale radius
NCK24	Fenestrasjon eller oppboring av skaftdelen av radius
NCK25	Fenestrasjon eller oppboring av distale radius
NCK26	Fenestrasjon eller oppboring av skaftdelen av radius og ulna
NCK27	Fenestrasjon eller oppboring av distale radius og ulna
NCK28	Fenestrasjon/oppboring av annen del av radius eller ulna
NCK30	Utskraping av cyste i proksimale ulna
NCK31	Utskraping av cyste i skaftdelen av ulna
NCK32	Utskraping av cyste i distale ulna
NCK33	Utskraping av cyste i proksimale radius
NCK34	Utskraping av cyste i skaftdelen av radius
NCK35	Utskraping av cyste i distale radius
NCK36	Utskraping av cyste i skaftdelen av radius og ulna
NCK37	Utskraping av cyste i distale radius og ulna
NCK38	Utskraping av cyste i annen del av radius eller ulna
NCK40	Epifysiodese i proksimale ulna
NCK42	Epifysiodese i distale ulna
NCK43	Epifysiodese i proksimale radius
NCK45	Epifysiodese i distale radius
NCK47	Epifysiodese i distale radius og ulna
NCK50	Osteotomi proks ulna med aksekorreksjon/rotasjon/forskyvning
NCK51	Osteotomi ulnaskaft med aksekorreksjon/rotasjon/forskyvning
NCK52	Osteotomi dist ulna med aksekorreksjon/rotasjon/forskyvning
NCK53	Osteotomi proks radius med aksekorrek/rotasjon/forskyvning
NCK54	Osteotomi radiusskaft med aksekorrek/rotasjon/forskyvning
NCK55	Osteotomi dist radius med aksekorrek/rotasjon/forskyvning
NCK56	Osteotomi skaft radius og ulna med aksekorrek/rotasj/forskyv
NCK57	Osteotomi dist radius og ulna med aksekorrek/rotasj/forskyv
NCK58	Osteotomi annen del ulna/radius med aksekorr/rotasj/forskyv
NCK60	Osteotomi i proksimale ulna med forkorting eller forlengelse
NCK61	Osteotomi i ulnaskaft med forkorting eller forlengelse
NCK62	Osteotomi i distale ulna med forkorting eller forlengelse
NCK63	Osteotomi i proks radius med forkorting eller forlengelse
NCK64	Osteotomi i radiusskaft med forkorting eller forlengelse
NCK65	Osteotomi i distale radius med forkorting eller forlengelse
NCK66	Osteotomi skaftdel radius og ulna med forkorting/forlengelse
NCK67	Osteotomi distale radius og ulna med forkorting/forlengelse
NCK68	Osteotomi annen del radius eller ulna med forkorting/forleng
NCK70	Beintransportoperasjon i proksimale ulna
NCK71	Beintransportoperasjon i skaftdelen av ulna
NCK72	Beintransportoperasjon i distale ulna
NCK73	Beintransportoperasjon i proksimale radius
NCK74	Beintransportoperasjon i skaftdelen av radius
NCK75	Beintransportoperasjon i distale radius
NCK76	Beintransportoperasjon i skaftdelen av radius og ulna
NCK77	Beintransportoperasjon i distale radius og ulna
NCK78	Beintransportoperasjon i annen del av radius eller ulna
NCK80	Epifysedistraksjon på proksimale ulna
NCK82	Epifysedistraksjon på distale ulna
NCK83	Epifysedistraksjon på proksimale radius
NCK85	Epifysedistraksjon på distale radius
NCK87	Epifysedistraksjon på distale radius og ulna
NCK90	Annen operasjon på proksimale ulna
NCK91	Annen operasjon på skaftdelen av ulna
NCK92	Annen operasjon på distale ulna
NCK93	Annen operasjon på proksimale radius
NCK94	Annen operasjon på skaftdelen av radius
NCK95	Annen operasjon på distale radius
NCK96	Annen operasjon på skaftdelen av radius og ulna
NCK97	Annen operasjon på distale radius og ulna
NCK98	Annen operasjon på annen del av radius eller ulna
NCL09	Frilegging av muskel i albue eller underarm
NCL19	Sutur eller rekonstruksjon av muskel i albue eller underarm
NCL29	Transposisjon av muskel i albue eller underarm
NCL39	Myotomi eller tenotomi i albue eller underarm
NCL49	Sutur eller reinserering av sene i albue eller underarm
NCL59	Tenolyse eller tenosynovektomi i albue eller underarm
NCL69	Tenodese/forkorting/forlengelse av sene i albue/underarm
NCL79	Eksisjon av sene i albue eller underarm
NCL89	Transposisjon av sene i albue eller underarm
NCL99	Annen operasjon på muskel eller sene i albue eller underarm
NCM09	Fasciotomi på underarm
NCM19	Reseksjon eller eksisjon av fascie på underarm
NCM29	Sutur av fascie på underarm
NCM39	Eksisjon av synovialt ganglion i albue eller underarm
NCM49	Spalting av seneskjede på underarm
NCM59	Reseksjon av seneskjede på underarm
NCM79	Eksisjon av bursa i albue eller underarm
NCM99	Annen op fascie/ganglion/seneskjede/bursa i albue/underarm
NCN09	Autotransplantasjon av bein til albue eller underarm
NCN19	Allotransplantasjon av bein til albue eller underarm
NCN29	Xenotransplantasjon av bein til albue eller underarm
NCN39	Transplantasjon av sene til albue eller underarm.
NCN49	Transplantasjon av brusk/periost/fascie til albue/underarm
NCN99	Annen transplantasjon til albue eller underarm
NCP29	Replantasjon av underarm
NCQ09	Eksartikulasjon i albue
NCQ19	Amputasjon av underarm
NCQ29	Revisjon eksartikulasjons/amputasjonsstump i albue/underarm
NCQ99	Annen amputasjon/tilhørende op på albue eller underarm
NCR09	Reseksjon av bløtdelstumor i albue eller underarm
NCR19	Marginal eksisjon av bløtdelstumor i albue eller underarm
NCR29	Vid eksisjon av bløtdelstumor i albue eller underarm
NCR39	Kompartmentell eksisjon av bløtdelstumor i albue/underarm
NCR49	Reseksjon av bein/brusktumor i albue eller underarm
NCR59	Marginal eksisjon av bein/brusktumor i albue eller underarm
NCR69	Vid eksisjon av bein/brusktumor i albue eller underarm
NCR79	Kompartmentell eksisjon av bein/brusktumor i albue/underarm
NCR99	Annen operasjon for tumor i albue eller underarm
NCS09	Incisjon/revisjon ved infeksjon i sene på underarm
NCS19	Incisjon/revisjon ved infeksjon i albueledd
NCS29	Incisjon/revisjon ved infeksjon i bein i albue/underarm
NCS39	Incisjon/revisjon/terap subst ved seneinfeksjon på underarm
NCS49	Incisjon/revisjon/terap subst ved infeksjon i albueledd
NCS59	Incisjon/revisjon/terap subst ved beininfek i albue/underarm
NCS99	Annen op for infeksjon i sene/ledd/bein i albue/underarm
NCT19	Mobilisering av albueledd
NCT39	Korrek deformitet av albue/underarm med muskel/sene/ligament
NCT49	Korrek deform albue/underarm med ekstern/intern fiksasjon
NCT99	Annen operasjon på albue eller underarm
NCU01	Fjerning av proksimal delprotese fra albueledd
NCU02	Fjerning av distal delprotese fra albueledd
NCU04	Fjerning av 2
NCU10	Fjerning av totalprotese fra albueledd
NCU11	Fjerning av proksimal del av totalprotese fra albueledd
NCU12	Fjerning av distal del av totalprotese fra albueledd
NCU14	Fjerning 2
NCU39	Fjerning eksternt fiksasjonsutstyr fra albue eller underarm
NCU49	Fjerning av osteosyntesemateriale fra albue eller underarm
NCU69	Fjerning av ligamentprotese fra albue eller underarm
NCU89	Fjerning terapeutisk subst etter infekbeh i albue/underarm
NCU99	Fjerning av annet implantat fra albue eller underarm
NCW49	Reoperasjon for sårruptur i albue eller underarm
NCW59	Reoperasjon for overfladisk infeksjon i albue eller underarm
NCW69	Reoperasjon for dyp infeksjon i albue eller underarm
NCW79	Reoperasjon for overfladisk blødning i albue eller underarm
NCW89	Reoperasjon for dyp blødning i albue eller underarm
NCW99	Annen reoperasjon på albue eller underarm
NDA00	Perkutan eksplorasjon av bløtdeler i håndledd eller hånd
NDA02	Åpen eksplorasjon av bløtdeler i håndledd eller hånd
NDA10	Perkutan eksplorasjon av ledd i håndledd eller hånd
NDA11	Artroskopi i håndledd eller hånd
NDA12	Artrotomi i håndledd eller hånd
NDA20	Perkutan biopsi av bløtdeler eller ledd i håndledd/hånd
NDA21	Endoskopisk biopsi av bløtdeler eller ledd i håndledd/hånd
NDA22	Åpen biopsi av bløtdeler eller ledd i håndledd eller hånd
NDA30	Perkutan biopsi av bein i håndledd eller hånd
NDA32	Åpen biopsi av bein i håndledd eller hånd
NDB01	Implant proks primær delprotese i håndledd uten sement
NDB02	Implant dist primær delprotese i håndledd uten sement
NDB03	Implant annen primær delprotese i håndledd uten sement
NDB11	Implant proks primær delprotese i håndledd med sement
NDB12	Implant dist primær delprotese i håndledd med sement
NDB13	Implant annen primær delprotese i håndledd med sement
NDB20	Implantasjon av primær totalprotese i håndledd uten sement
NDB30	Implant primær totalprotese i håndledd med hybrid teknikk
NDB40	Implantasjon av primær totalprotese i håndledd med sement
NDB50	Implantasjon av interposisjonsprotese i håndledd
NDB80	Implant primær totalprotese i metakarpal- eller fingerledd
NDB81	Implant proks del av primær protese i metakarpal/fingerledd
NDB82	Implant dist del av primær protese i metakarpal/fingerledd
NDB99	Annen implantasjon av primær protese i håndledd eller hånd
NDC01	Implant proksimal sekundær delprotese i håndledd uten sement
NDC02	Implant distal sekundær delprotese i håndledd uten sement
NDC03	Implant annen sekundær delprotese i håndledd uten sement
NDC11	Implant proksimal sekundær delprotese i håndledd med sement
NDC12	Implant distal sekundær delprotese i håndledd med sement
NDC13	Implant annen sekundær delprotese i håndledd med sement
NDC20	Implant annen sekundær totalprotese i håndledd uten sement
NDC21	Implant proks del sekund totalprotese i håndledd uten sement
NDC22	Implant dist del sekund totalprotese i håndledd uten sement
NDC23	Implant annen del sekund totalprotese i håndledd uten sement
NDC30	Implant sekundær totalprotese i håndledd med hybrid teknikk
NDC31	Impl proks del sekund totalprotese i håndledd hybrid teknikk
NDC32	Impl distdel sekund totalprotese i håndledd hybrid teknikk
NDC33	Impl annen del sekund totalprotese i håndledd hybrid teknikk
NDC40	Implantasjon av sekundær totalprotese i håndledd med sement
NDC41	Implant proks del sekundær totalprotese håndledd med sement
NDC42	Implant dist del sekundær totalprotese i håndledd med sement
NDC43	Implant annen del sekundær totalprotese håndledd med sement
NDC50	Implantasjon av sekundær interposisjonsprotese i håndledd
NDC51	Implant proks del sekundær interposisjonsprotese i håndledd
NDC52	Implant dist del sekundær interposisjonsprotese i håndledd
NDC53	Implant annen del sekundær interposisjonsprotese i håndledd
NDC80	Implant sekundær protese i metakarpal- eller fingerledd
NDC81	Implant proks del sekundær protese i metakarpal/fingerledd
NDC82	Implant dist del sekundær protese i metakarpal/fingerledd
NDC99	Annen implantasjon av sekundær protese i håndledd eller hånd
NDE01	Endoskopisk incisjon/sutur av leddkapsel i håndledd/hånd
NDE02	Åpen incisjon/sutur av leddkapsel i håndledd eller hånd
NDE12	Åpen deling eller eksisjon av ligament i håndledd eller hånd
NDE22	Sutur eller reinserering av ligament i håndledd eller hånd
NDE32	Transposisjon av ligament i håndledd eller hånd
NDE42	Rekonstruk ligament i håndledd/hånd uten protesemateriale
NDE52	Rekonstruk ligament i håndledd/hånd med protesemateriale
NDE91	Annen endoskopisk op på leddkapsel/ligament i håndledd/hånd
NDE92	Annen åpen operasjon på leddkapsel/ligament i håndledd/hånd
NDF01	Endoskopisk total synovektomi i håndledd eller hånd
NDF02	Åpen total synovektomi i håndledd eller hånd
NDF11	Endoskopisk partiell synovektomi i håndledd eller hånd
NDF12	Åpen partiell synovektomi i håndledd eller hånd
NDF21	Endoskopisk fiksasjon av leddflatefragment i håndledd/hånd
NDF22	Åpen fiksasjon av leddflatefragment i håndledd eller hånd
NDF31	Endoskopisk reseksjon av ledd brusk i håndledd eller hånd
NDF32	Åpen reseksjon av ledd brusk i håndledd eller hånd
NDF91	Annen endoskopisk op synovialhinne/leddflate i håndledd/hånd
NDF92	Annen åpen op på synovialhinne/leddflate i håndledd/hånd
NDG00	Eksisjonsartroplastikk i radiokarpalledd
NDG01	Eksisjonsartroplastikk i interkarpalledd
NDG02	Eksisjonsartroplastikk i første karpometakarpalledd
NDG03	Eksisjonsartroplastikk i annet karpometakarpalledd
NDG04	Eksisjonsartroplastikk i første metakarpofalangealledd
NDG05	Eksisjonsartroplastikk i annet metakarpofalangealledd
NDG06	Eksisjonsartroplastikk i interfalangealledd
NDG07	Eksisjonsartroplastikk i annet ledd i hånd
NDG10	Interposisjonsartroplastikk i radiokarpalledd
NDG11	Interposisjonsartroplastikk i interkarpalledd
NDG12	Interposisjonsartroplastikk i første karpometakarpalledd
NDG13	Interposisjonsartroplastikk i annet karpometakarpalledd
NDG14	Interposisjonsartroplastikk i første metakarpofalangealledd
NDG15	Interposisjonsartroplastikk i annet metakarpofalangealledd
NDG16	Interposisjonsartroplastikk i interfalangealledd
NDG17	Interposisjonsartroplastikk i annet ledd i hånd
NDG20	Annen artroplastikk i radiokarpalledd uten protese
NDG21	Annen artroplastikk i interkarpalledd uten protese
NDG22	Annen artroplastikk første karpometakarpalledd uten protese
NDG23	Annen artroplastikk i annet karpometakarpalledd uten protese
NDG24	Annen artroplastikk første metakarpofalangledd uten protese
NDG25	Annen artroplastikk annet metakarpofalangledd uten protese
NDG26	Annen artroplastikk i interfalangealledd uten protese
NDG27	Annen artroplastikk i annet ledd i hånd uten protese
NDG30	Artrodese i radiokarpalledd uten fiksasjon
NDG31	Artrodese i interkarpalledd uten fiksasjon
NDG32	Artrodese i første karpometakarpalledd uten fiksasjon
NDG33	Artrodese i annet karpometakarpalledd uten fiksasjon
NDG34	Artrodese i første metakarpofalangealledd uten fiksasjon
NDG35	Artrodese i annet metakarpofalangealledd uten fiksasjon
NDG36	Artrodese i interfalangealledd uten fiksasjon
NDG37	Artrodese i annet ledd i hånd uten fiksasjon
NDG40	Artrodese i radiokarpalledd med intern fiksasjon
NDG41	Artrodese i interkarpalledd med intern fiksasjon
NDG42	Artrodese i første karpometakarpalledd med intern fiksasjon
NDG43	Artrodese i annet karpometakarpalledd med intern fiksasjon
NDG44	Artrodese første metakarpofalangealledd med intern fiksasjon
NDG45	Artrodese annet metakarpofalangealledd med intern fiksasjon
NDG46	Artrodese i interfalangealledd med intern fiksasjon
NDG47	Artrodese i annet ledd i hånd med intern fiksasjon
NDG50	Artrodese i radiokarpalledd med ekstern fiksasjon
NDG51	Artrodese i interkarpalledd med ekstern fiksasjon
NDG52	Artrodese i første karpometakarpalledd med ekstern fiksasjon
NDG53	Artrodese i annet karpometakarpalledd med ekstern fiksasjon
NDG54	Artrodese første metakarpofalangledd med ekstern fiksasjon
NDG55	Artrodese annet metakarpofalangealledd med ekstern fiksasjon
NDG56	Artrodese i interfalangealledd med ekstern fiksasjon
NDG57	Artrodese i annet ledd i hånd med ekstern fiksasjon
NDG90	Annen eksisjon/rekonstruksjon/artrodese i radiokarpalledd
NDG91	Annen eksisjon/rekonstruksjon/artrodese i interkarpalledd
NDG92	Annen eksisjon/rekonstr/artrodese første karpometakarpalledd
NDG93	Annen eksisjon/rekonstr/artrodese annet karpometakarpalledd
NDG94	Annen eksisjon/rekonstr/artrodese første metakarpofalangledd
NDG95	Annen eksisjon/rekonstr/artrodese annet metakarpofalangledd
NDG96	Annen eksisjon/rekonstruksjon/artrodese i interfalangealledd
NDG97	Annen eksisjon/rekonstruksjon/artrodese i annet ledd i hånd
NDH00	Lukket reposisjon av håndleddsluksasjon
NDH02	Åpen reposisjon av håndleddsluksasjon
NDH10	Lukket reposisjon av luksasjon av annet ledd i hånd
NDH12	Åpen reposisjon av luksasjon av annet ledd i hånd
NDH20	Lukket reposisjon av proteseluksasjon i håndledd eller hånd
NDH22	Åpen reposisjon av proteseluksasjon i håndledd eller hånd
NDH31	Endoskopisk adheranseløsning i håndledd eller hånd
NDH32	Åpen adheranseløsning i håndledd eller hånd
NDH41	Endoskopisk fjerning fremmed/fritt legeme fra håndledd/hånd
NDH42	Åpen fjerning av fremmed/fritt legeme fra håndledd/hånd
NDH51	Endoskopisk eksisjon intraartik eksostose/osteofytt i hånd
NDH52	Åpen eksisjon intraartik eksostose/osteofytt i håndledd/hånd
NDH72	Åpen operasjon for habituell luksasjon håndledd eller finger
NDH90	Annen lukket operasjon på håndledd eller hånd
NDH91	Annen endoskopisk operasjon på håndledd eller hånd
NDH92	Annen åpen operasjon på håndledd eller hånd
NDJ00	Lukket reposisjon av scaphoidfraktur
NDJ01	Lukket reposisjon av annen håndrotsfraktur
NDJ02	Lukket reposisjon av metakarpalfraktur
NDJ03	Lukket reposisjon av fingerfraktur
NDJ10	Åpen reposisjon av scaphoidfraktur
NDJ11	Åpen reposisjon av annen håndrotsfraktur
NDJ12	Åpen reposisjon av metakarpalfraktur
NDJ13	Åpen reposisjon av fingerfraktur
NDJ20	Ekstern fiksasjon av scaphoidfraktur
NDJ21	Ekstern fiksasjon av annen håndrotsfraktur
NDJ22	Ekstern fiksasjon av metakarpalfraktur
NDJ23	Ekstern fiksasjon av fingerfraktur
NDJ30	Osteosyntese av scaphoidfraktur med bioimplantat
NDJ31	Osteosyntese av annen håndrotsfraktur med bioimplantat
NDJ32	Osteosyntese av metakarpalfraktur med bioimplantat
NDJ33	Osteosyntese av fingerfraktur med bioimplantat
NDJ40	Osteosyntese scaphoidfraktur med metalltråd/cerclage/pinne
NDJ41	Osteosyntese annen håndrotsfraktur metalltråd/cerclage/pinne
NDJ42	Osteosyntese metakarpalfraktur med metalltråd/cerclage/pinne
NDJ43	Osteosyntese av fingerfraktur med metalltråd/cerclage/pinne
NDJ60	Osteosyntese av scaphoidfraktur med plate og skruer
NDJ61	Osteosyntese av annen håndrotsfraktur med plate og skruer
NDJ62	Osteosyntese av metakarpalfraktur med plate og skruer
NDJ63	Osteosyntese av fingerfraktur med plate og skruer
NDJ70	Osteosyntese av scaphoidfraktur med skruer
NDJ71	Osteosyntese av annen håndrotsfraktur med skruer
NDJ72	Osteosyntese av metakarpalfraktur med skruer
NDJ73	Osteosyntese av fingerfraktur med skruer
NDJ80	Osteosyntese scaphoidfraktur med annet/kombinert materiale
NDJ81	Osteosyntese annen håndrotsfraktur med annet/komb materiale
NDJ82	Osteosyntese metakarpalfraktur med annet/kombinert materiale
NDJ83	Osteosyntese av fingerfraktur med annet/kombinert materiale
NDJ90	Annen osteosyntese av scaphoidfraktur
NDJ91	Annen osteosyntese av annen håndrotsfraktur
NDJ92	Annen osteosyntese av metakarpalfraktur
NDJ93	Annen osteosyntese av fingerfraktur
NDK00	Eksisjon av beinfragment i os scaphoideum
NDK01	Eksisjon av beinfragment i annet håndrotsbein
NDK02	Eksisjon av beinfragment i metakarp
NDK03	Eksisjon av beinfragment i finger
NDK10	Reseksjon eller eksisjon av os scaphoideum
NDK11	Reseksjon eller eksisjon av annet håndrotsbein
NDK12	Reseksjon eller eksisjon av metakarp
NDK13	Reseksjon eller eksisjon av fingerfalang
NDK20	Fenestrasjon eller oppboring av os scaphoideum
NDK21	Fenestrasjon eller oppboring av annet håndrotsbein
NDK22	Fenestrasjon eller oppboring av metakarp
NDK23	Fenestrasjon eller oppboring av fingerfalang
NDK30	Utskraping av cyste i os scaphoideum
NDK31	Utskraping av cyste i annet håndrotsbein
NDK32	Utskraping av cyste i metakarp
NDK33	Utskraping av cyste i fingerfalang
NDK42	Epifysiodese i metakarp
NDK43	Epifysiodese i fingerfalang
NDK50	Osteotomi i scaphoid med aksekorreksjon/rotasjon/forskyvning
NDK51	Osteotomi i annet håndrotsbein med aksekorr/rotasjon/forskyv
NDK52	Osteotomi i metakarp med aksekorreksjon/rotasjon/forskyvning
NDK53	Osteotomi i fingerfalang med aksekorr/rotasjon/forskyvning
NDK60	Osteotomi i os scaphoideum med forkorting eller forlengelse
NDK61	Osteotomi i annet håndrotsbein med forkorting/forlengelse
NDK62	Osteotomi i metakarp med forkorting eller forlengelse
NDK63	Osteotomi i fingerfalang med forkorting eller forlengelse
NDK70	Beintransportoperasjon i os scaphoideum
NDK71	Beintransportoperasjon i annet håndrotsbein
NDK72	Beintransportoperasjon i metakarp
NDK73	Beintransportoperasjon i fingerfalang
NDK82	Epifysedistraksjon på metakarp
NDK83	Epifysedistraksjon på fingerfalang
NDK90	Annen operasjon på os scaphoideum
NDK91	Annen operasjon på annet håndrotsbein
NDK92	Annen operasjon på metakarp
NDK93	Annen operasjon på fingerfalang
NDL09	Frilegging av muskel i håndledd eller hånd
NDL19	Sutur eller rekonstruksjon av muskel i håndledd eller hånd
NDL29	Transposisjon av muskel i håndledd eller hånd
NDL30	Fleksormyotomi eller -tenotomi i håndledd eller hånd
NDL31	Ekstensormyotomi eller -tenotomi i håndledd eller hånd
NDL32	Annen myotomi eller tenotomi i håndledd eller hånd
NDL40	Sutur/reinserering av fleksorsene i håndledd eller hånd
NDL41	Sutur/reinserering av ekstensorsene i håndledd eller hånd
NDL42	Sutur eller reinserering av annen sene i håndledd eller hånd
NDL50	Tenolyse/tenosynovektomi av fleksorsene i håndledd/hånd
NDL51	Tenolyse/tenosynovektomi av ekstensorsene i håndledd/hånd
NDL52	Tenolyse/tenosynovektomi av annen sene i håndledd eller hånd
NDL60	Tenodese/forkorting/forlengelse fleksorsene i håndledd/hånd
NDL61	Tenodese/forkorting/forlengelse ekstensorsene håndledd/hånd
NDL62	Tenodese/forkorting/forlengelse annen sene i håndledd/hånd
NDL70	Eksisjon av fleksorsene i håndledd eller hånd
NDL71	Eksisjon av ekstensorsene i håndledd eller hånd
NDL72	Eksisjon av annen sene i håndledd eller hånd
NDL80	Transposisjon av fleksorsene i håndledd eller hånd
NDL81	Transposisjon av ekstensorsene i håndledd eller hånd
NDL82	Transposisjon av annen sene i håndledd eller hånd
NDL99	Annen operasjon på muskel eller sene i håndledd eller hånd
NDM09	Fasciotomi i håndledd eller hånd
NDM19	Reseksjon eller eksisjon av fascie i håndledd eller hånd
NDM29	Sutur av fascie i håndledd eller hånd
NDM39	Eksisjon av synovialt ganglion i håndledd eller hånd
NDM49	Spalting av seneskjede i håndledd eller hånd
NDM59	Reseksjon av seneskjede i håndledd eller hånd
NDM69	Rekonstruksjon av senepulley i håndledd eller hånd
NDM79	Eksisjon av bursa i håndledd eller hånd
NDM99	Annen op på fascie/ganglion/seneskjede/bursa i håndledd/hånd
NDN09	Autotransplantasjon av bein til håndledd eller hånd
NDN19	Allotransplantasjon av bein til håndledd eller hånd
NDN29	Xenotransplantasjon av bein til håndledd eller hånd
NDN39	Transplantasjon av sene til håndledd eller hånd
NDN49	Transplantasjon brusk/periost/fascie til håndledd eller hånd
NDN99	Annen transplantasjon til håndledd eller hånd
NDP09	Replantasjon av finger
NDP19	Autotransplantasjon eller transposisjon av finger eller tå
NDP29	Replantasjon av hånd
NDQ00	Eksartikulasjon i radiokarpalledd
NDQ01	Eksartikulasjon i håndrot
NDQ02	Eksartikulasjon i karpometakarpalledd
NDQ11	Amputasjon i håndrot
NDQ13	Total amputasjon av tommel
NDQ14	Partiell amputasjon av tommel
NDQ15	Total amputasjon av annen finger
NDQ16	Partiell amputasjon av annen finger
NDQ20	Revisjon av eksartikulasjonsstump i radiokarpalledd
NDQ21	Revisjon av amputasjons/eksartikulasjonsstump i håndrot
NDQ22	Revisjon av eksartikulasjonsstump i karpometakarpalledd
NDQ23	Revisjon av stump etter total amputasjon av tommel
NDQ24	Revisjon av stump etter partiell amputasjon av tommel
NDQ25	Revisjon av stump etter total amputasjon av annen finger
NDQ26	Revisjon av stump etter partiell amputasjon av annen finger
NDQ90	Annen amputasjon/tilhørende operasjon i radiokarpalledd
NDQ91	Annen amputasjon eller tilhørende operasjon i håndrot
NDQ92	Annen amputasjon/tilhørende operasjon i karpometakarpalledd
NDQ93	Annen total amputasjon eller tilhørende operasjon i tommel
NDQ94	Annen partiell amputasjon/tilhørende operasjon i tommel
NDQ95	Annen total amputasjon/tilhørende operasjon i annen finger
NDQ96	Annen partiell amputasjon/tilhørende op i annen finger
NDR09	Reseksjon av bløtdelstumor i håndledd eller hånd
NDR19	Marginal eksisjon av bløtdelstumor i håndledd eller hånd
NDR29	Vid eksisjon av bløtdelstumor i håndledd eller hånd
NDR39	Kompartmentell eksisjon av bløtdelstumor i håndledd/hånd
NDR49	Reseksjon av bein/brusktumor i håndledd eller hånd
NDR59	Marginal eksisjon av bein/brusktumor i håndledd eller hånd
NDR69	Vid eksisjon av bein/brusktumor i håndledd eller hånd
NDR79	Kompartmentell eksisjon av bein/brusktumor i håndledd/hånd
NDR99	Annen operasjon for tumor i håndledd eller hånd
NDS09	Incisjon/revisjon ved infeksjon i sene i håndledd eller hånd
NDS19	Incisjon/revisjon ved leddinfeksjon i hånd
NDS29	Incisjon/revisjon ved infeksjon i bein i håndledd eller hånd
NDS39	Incisjon/revisjon/terap subst ved seneinfek i håndledd/hånd
NDS49	Incisjon/revisjon/terap subst ved leddinfeksjon i hånd
NDS59	Incisjon/revisjon/terap subst ved beininfek i håndledd/hånd
NDS99	Annen op for infeksjon i sene/ledd/bein i håndledd/hånd
NDT19	Mobilisering av ledd i hånd
NDT39	Korrek deformitet i håndledd/hånd med muskel/sene/ligament
NDT49	Korrek deformitet håndledd/hånd med ekstern/intern fiksasjon
NDT69	Pollicisasjon
NDT79	Falangisering av metakarp
NDT99	Annen operasjon på håndledd eller hånd
NDU01	Fjerning av proksimal delprotese fra håndledd
NDU02	Fjerning av distal delprotese fra håndledd
NDU10	Fjerning av totalprotese fra håndledd
NDU11	Fjerning av proksimal del av totalprotese fra håndledd
NDU12	Fjerning av totalprotese fra håndledd
NDU20	Fjerning av annen total leddprotese i hånd
NDU21	Fjerning av proksimal del av protese fra annet ledd i hånd
NDU22	Fjerning av distal del av protese fra annet ledd i hånd
NDU23	Fjerning av annen enkelt protesedel fra annet ledd i hånd
NDU39	Fjerning av eksternt fiksasjonsutstyr fra håndledd/hånd
NDU49	Fjerning av osteosyntesemateriale fra håndledd eller hånd
NDU69	Fjerning av ligamentprotese fra håndledd eller hånd
NDU89	Fjerning av terap substans etter infeksjbeh i håndledd/hånd
NDU99	Fjerning av annet implantat fra håndledd eller hånd
