AA0 27	Innlegging av intracerebral trykkmåler
NAG 93	Annen eksisjon, rekonstruksjon eller artrodese av ledd i torakal- og lumbalkolumna
NAG 94	Annen eksisjon, rekonstruksjon eller artrodese av ledd i lumbalkolumna
NAG 95	Annen eksisjon, rekonstruksjon eller artrodese av ledd i cervikal-, torakal- og lumbalkolumna
NAG 96	Annen eksisjon, rekonstruksjon eller artrodese av ledd i lumbosakralkolumna
NAG 99	Annen eksisjon, rekonstruksjon eller artrodese av uspesifisert ledd i kolumna
NAH 00	Lukket reposisjon av luksasjon i kolumna
NAH 02	Åpen reposisjon av luksasjon i kolumna
NAH 31	Endoskopisk adheranseløsning i ledd i kolumna
NAH 32	Åpen adheranseløsning i ledd i kolumna
NAH 41	Endoskopisk fjerning av fremmed eller fritt legeme fra ledd i kolumna
NAH 42	Åpen fjerning av fremmed eller fritt legeme fra ledd i kolumna
NAH 51	Endoskopisk eksisjon av intraartikulær eksostose eller osteofytt i kolumna
NAH 52	Åpen eksisjon av intraartikulær eksostose eller osteofytt i kolumna
NAH 90	Annet lukket inngrep på ledd i kolumna
NAH 91	Annen endoskopisk operasjon på ledd i kolumna
NAH 92	Annen åpen operasjon på ledd i kolumna
NAJ 00	Lukket reposisjon av fraktur i cervikalkolumna
NAJ 01	Lukket reposisjon av fraktur i cervikal- og torakalkolumna
NAJ 02	Lukket reposisjon av fraktur i torakalkolumna
NAJ 03	Lukket reposisjon av fraktur i torakal- og lumbalkolumna
NAJ 04	Lukket reposisjon av fraktur i lumbalkolumna
NAJ 05	Lukket reposisjon av fraktur i cervikal-, torakal- og lumbalkolumna
NAJ 06	Lukket reposisjon av fraktur i lumbosakralkolumna
NAJ 09	Lukket reposisjon av annen kolumnafraktur
NAJ 10	Åpen reposisjon av fraktur i cervikalkolumna
NAJ 11	Åpen reposisjon av fraktur i cervikal- og torakalkolumna
NAJ 12	Åpen reposisjon av fraktur i torakalkolumna
NAJ 13	Åpen reposisjon av fraktur i torakal- og lumbalkolumna
NAJ 14	Åpen reposisjon av fraktur i lumbalkolumna
NAJ 15	Åpen reposisjon av fraktur i cervikal-, torakal- og lumbalkolumna
NAJ 16	Åpen reposisjon av fraktur i lumbosakralkolumna
NAJ 19	Åpen reposisjon av annen kolumnafraktur
NAJ 20	Ekstern fiksasjon av fraktur i cervikalkolumna
NAJ 21	Ekstern fiksasjon av fraktur i cervikal- og torakalkolumna
NAJ 22	Ekstern fiksasjon av fraktur i torakalkolumna
NAJ 23	Ekstern fiksasjon av fraktur i torakal- og lumbalkolumna
NAJ 24	Ekstern fiksasjon av fraktur i lumbalkolumna
NAJ 25	Ekstern fiksasjon av fraktur i cervikal-, torakal- og lumbalkolumna
NAJ 26	Ekstern fiksasjon av fraktur i lumbosakralkolumna
NAJ 29	Ekstern fiksasjon av annen kolumnafraktur
NAJ 30	Osteosyntese av fraktur i cervikalkolumna med bioimplantat
NAJ 31	Osteosyntese av fraktur i cervikal- og torakalkolumna med bioimplantat
NAJ 32	Osteosyntese av fraktur i torakalkolumna med bioimplantat
NAJ 33	Osteosyntese av fraktur i torakal- og lumbalkolumna med bioimplantat
NAJ 34	Osteosyntese av fraktur i lumbalkolumna med bioimplantat
NAJ 35	Osteosyntese av fraktur i cervikal-, torakal- og lumbalkolumna med bioimplantat
NAJ 36	Osteosyntese av fraktur i lumbosakralkolumna med bioimplantat
NAJ 39	Osteosyntese av annen fraktur i kolumna med bioimplantat
NAJ 40	Osteosyntese av fraktur i cervikalkolumna med metalltråd, stav, cerclage eller pinne
NAJ 41	Osteosyntese av fraktur i cervikal- og torakalkolumna med metalltråd, stav, cerclage eller pinne
NAJ 42	Osteosyntese av fraktur i torakalkolumna med metalltråd, stav, cerclage eller pinne
NAJ 43	Osteosyntese av fraktur i torakal- og lumbalkolumna med metalltråd, stav, cerclage eller pinne
NAJ 44	Osteosyntese av fraktur i lumbalkolumna med metalltråd, stav, cerclage eller pinne
NAJ 45	Osteosyntese av fraktur i cervikal-, torakal- og lumbalkolumna med metalltråd, stav, cerclage eller pinne
NAJ 46	Osteosyntese av fraktur i lumbosakralkolumna med metalltråd, stav, cerclage eller pinne
NAJ 49	Osteosyntese av annen fraktur i kolumna med metalltråd, stav, cerclage eller pinne
NAJ 60	Osteosyntese av fraktur i cervikalkolumna med plate og skruer
NAJ 61	Osteosyntese av fraktur i cervikal- og torakalkolumna med plate og skruer
NAJ 62	Osteosyntese av fraktur i torakalkolumna med plate og skruer
NAJ 63	Osteosyntese av fraktur i torakal- og lumbalkolumna med plate og skruer
NAJ 64	Osteosyntese av fraktur i lumbalkolumna med plate og skruer
NAJ 65	Osteosyntese av fraktur i cervikal-, torakal- og lumbalkolumna med plate og skruer
NAJ 66	Osteosyntese av fraktur i lumbosakralkolumna med plate og skruer
NAJ 69	Osteosyntese av annen fraktur i kolumna med plate og skruer
NAJ 70	Osteosyntese av fraktur i cervikalkolumna med skruer
NAJ 71	Osteosyntese av fraktur i cervikal- og torakalkolumna med skruer
NAJ 72	Osteosyntese av fraktur i torakalkolumna med skruer
NAJ 73	Osteosyntese av fraktur i torakal- og lumbalkolumna med skruer
NAJ 74	Osteosyntese av fraktur i lumbalkolumna med skruer
NAJ 75	Osteosyntese av fraktur i cervikal-, torakal- og lumbalkolumna med skruer
NAJ 76	Osteosyntese av fraktur i lumbosakralkolumna med skruer
NAJ 79	Osteosyntese av annen fraktur i kolumna med skruer
NAJ 80	Osteosyntese av fraktur i cervikalkolumna med annet eller kombinert materiale
NAJ 81	Osteosyntese av fraktur i cervikal- og torakalkolumna med annet eller kombinert materiale
NAJ 82	Osteosyntese av fraktur i torakalkolumna med annet eller kombinert materiale
NAJ 83	Osteosyntese av fraktur i torakal- og lumbalkolumna med annet eller kombinert materiale
NAJ 84	Osteosyntese av fraktur i lumbalkolumna med annet eller kombinert materiale
NAJ 85	Osteosyntese av fraktur i cervikal-, torakal- og lumbalkolumna med annet eller kombinert materiale
NAJ 86	Osteosyntese av fraktur i lumbosakralkolumna med annet eller kombinert materiale
NAJ 89	Osteosyntese av annen kolumnafraktur med annet eller kombinert materiale
NAJ 90	Annen operativ bruddbehandling i cervikalkolumna
NAJ 91	Annen operativ bruddbehandling i cervikal- og torakalkolumna
NAJ 92	Annen operativ bruddbehandling i torakalkolumna
NAJ 93	Annen operativ bruddbehandling i torakal- og lumbalkolumna
NAJ 94	Annen operativ bruddbehandling i lumbalkolumna
NAJ 95	Annen operativ bruddbehandling i cervikal-, torakal- og lumbalkolumna
NAJ 96	Annen operativ bruddbehandling i lumbalkolumna
NAJ 99	Annen operativ bruddbehandling i andre deler av kolumna
NAK 00	Eksisjon av virvelfragment i cervikalkolumna
NAK 01	Eksisjon av virvelfragment i cervikal- og torakalkolumna
NAK 02	Eksisjon av virvelfragment i torakalkolumna
NAK 03	Eksisjon av virvelfragment i torakal- og lumbalkolumna
NAK 04	Eksisjon av virvelfragment i lumbalkolumna
NAK 05	Eksisjon av virvelfragment i cervikal-, torakal- og lumbalkolumna
NAK 06	Eksisjon av virvelfragment i lumbosakralkolumna
NAK 09	Eksisjon av andre ryggvirvelfragmenter
NAK 10	Reseksjon eller eksisjon av cervikalvirvel
NAK 11	Reseksjon eller eksisjon av cervikal- og torakalvirvel
NAK 12	Reseksjon eller eksisjon av torakalvirvel
NAK 13	Reseksjon eller eksisjon av torakal- og lumbalvirvel
NAK 14	Reseksjon eller eksisjon av lumbalvirvel
NAK 15	Reseksjon eller eksisjon av cervikal-, torakal- og lumbalvirvel
NAK 16	Reseksjon eller eksisjon av lumbosakralvirvel
NAK 19	Reseksjon eller eksisjon av andre ryggvirvler
NAK 20	Fenestrasjon eller oppboring av cervikalvirvel
NAK 21	Fenestrasjon eller oppboring av cervikal- og torakalvirvel
NAK 22	Fenestrasjon eller oppboring av torakalvirvel
NAK 23	Fenestrasjon eller oppboring av torakal- og lumbalvirvel
NAK 24	Fenestrasjon eller oppboring av lumbalvirvel
NAK 25	Fenestrasjon eller oppboring av cervikal-, torakal- og lumbalvirvel
NAK 26	Fenestrasjon eller oppboring av lumbosakralvirvel
NAK 29	Fenestrasjon eller oppboring av uspesifisert ryggvirvel
NAK 30	Utskraping av cyste i cervikalvirvel
NAK 31	Utskraping av cyste i cervikal- og torakalvirvel
NAK 32	Utskraping av cyste i torakalvirvel
NAK 33	Utskraping av cyste i torakal- og lumbalvirvel
NAK 34	Utskraping av cyste i lumbalvirvel
NAK 35	Utskraping av cyste i cervikal-, torakal- og lumbalvirvel
NAK 36	Utskraping av cyste i lumbosakralvirvel
NAK 39	Utskraping av cyste i andre ryggvirvler
NAK 90	Annen operasjon på cervikalvirvel
NAK 91	Annen operasjon på cervikal- og torakalvirvel
NAK 92	Annen operasjon på torakalvirvel
NAK 93	Annen operasjon på torakal- og lumbalvirvel
NAK 94	Annen operasjon på lumbalvirvel
NAK 95	Annen operasjon på cervikal-, torakal- og lumbalvirvel
NAK 96	Annen operasjon på lumbosakralvirvel
NAK 99	Annen operasjon på andre ryggvirvler
NAL 09	Frilegging av muskel i kolumna
NAL 19	Sutur eller rekonstruksjon av muskel i kolumna
NAL 29	Transposisjon av muskel i kolumna
NAL 39	Myotomi eller tenotomi i kolumna
NAL 99	Annen operasjon på muskel eller sene i kolumna
NAM 09	Fasciotomi i kolumna
NAM 19	Reseksjon eller eksisjon av fascie i kolumna
NAM 29	Sutur av fascie i kolumna
NAM 39	Eksisjon av synovialt ganglion i kolumna
NAM 79	Eksisjon av bursa i kolumna
NAM 99	Annen operasjon på fascie, ganglion eller bursa i kolumna
NAN 00	Autotransplantasjon av bein i cervikalkolumna
NAN 01	Autotransplantasjon av bein i cervikal- og torakalkolumna
NAN 02	Autotransplantasjon av bein i torakalkolumna
NAN 03	Autotransplantasjon av bein i torakal- og lumbalkolumna
NAN 04	Autotransplantasjon av bein i lumbalkolumna
NAN 05	Autotransplantasjon av bein i cervikal-, torakal- og lumbalkolumna
NAN 06	Autotransplantasjon av bein i lumbosakralkolumna
NAN 09	Annen autotransplantasjon av bein i kolumna
NAN 10	Allotransplantasjon av bein i cervikalkolumna
NAN 11	Allotransplantasjon av bein i cervikal- og torakalkolumna
NAN 12	Allotransplantasjon av bein i torakalkolumna
NAN 13	Allotransplantasjon av bein i torakal- og lumbalkolumna
NAN 14	Allotransplantasjon av bein i lumbalkolumna
NAN 15	Allotransplantasjon av bein i cervikal-, torakal- og lumbalkolumna
NAN 16	Allotransplantasjon av bein i lumbosakralkolumna
NAN 19	Annen allotransplantasjon av bein i kolumna
NAN 20	Xenotransplantasjon av bein i cervikalkolumna
NAN 21	Xenotransplantasjon av bein i cervikal- og torakalkolumna
NAN 22	Xenotransplantasjon av bein i torakalkolumna
NAN 23	Xenotransplantasjon av bein i torakal- og lumbalkolumna
NAN 24	Xenotransplantasjon av bein i lumbalkolumna
NAN 25	Xenotransplantasjon av bein i cervikal-, torakal- og lumbalkolumna
NAN 26	Xenotransplantasjon av bein i lumbosakralkolumna
NAN 29	Annen xenotransplantasjon av bein i kolumna
NAN 40	Transplantasjon av brusk, periost eller fascie i cervikalkolumna
NAN 41	Transplantasjon av brusk, periost eller fascie i cervikal- og torakalkolumna
NAN 42	Transplantasjon av brusk, periost eller fascie i torakalkolumna
NAN 43	Transplantasjon av brusk, periost eller fascie i torakal- og lumbalkolumna
NAN 44	Transplantasjon av brusk, periost eller fascie i lumbalkolumna
NAN 45	Transplantasjon av brusk, periost eller fascie i cervikal-, torakal- og lumbalkolumna
NAN 46	Transplantasjon av brusk, periost eller fascie i lumbosakralkolumna
NAN 49	Annen transplantasjon av brusk, periost eller fascie i kolumna
NAN 90	Annen transplantasjon i cervikalkolumna
NAN 91	Annen transplantasjon i cervikal- og torakalkolumna
NAN 92	Annen transplantasjon i torakalkolumna
NAN 93	Annen transplantasjon i torakal- og lumbalkolumna
NAN 94	Annen transplantasjon i lumbalkolumna
NAN 95	Annen transplantasjon i cervikal-, torakal- og lumbalkolumna
NAN 96	Annen transplantasjon i lumbosakralkolumna
NAN 99	Annen transplantasjon i andre deler av kolumna
NAR 00	Reseksjon av bløtdelstumor i cervikalkolumna
NAR 01	Reseksjon av bløtdelstumor i cervikal- og torakalkolumna
NAR 02	Reseksjon av bløtdelstumor i torakalkolumna
NAR 03	Reseksjon av bløtdelstumor i torakal- og lumbalkolumna
NAR 04	Reseksjon av bløtdelstumor i lumbalkolumna
NAR 05	Reseksjon av bløtdelstumor i cervikal-, torakal- og lumbalkolumna
NAR 06	Reseksjon av bløtdelstumor i lumbosakralkolumna
NAR 09	Reseksjon av bløtdelstumor i andre deler av kolumna
NAR 10	Marginal eksisjon av bløtdelstumor i cervikalkolumna
NAR 11	Marginal eksisjon av bløtdelstumor i cervikal- og torakalkolumna
NAR 12	Marginal eksisjon av bløtdelstumor i torakalkolumna
NAR 13	Marginal eksisjon av bløtdelstumor i torakal- og lumbalkolumna
NAR 14	Marginal eksisjon av bløtdelstumor i lumbalkolumna
NAR 15	Marginal eksisjon av bløtdelstumor i cervikal-, torakal- og lumbalkolumna
NAR 16	Marginal eksisjon av bløtdelstumor i lumbosakralkolumna
NAR 19	Marginal eksisjon av bløtdelstumor i andre deler av kolumna
NAR 20	Vid eksisjon av bløtdelstumor i cervikalkolumna
NAR 21	Vid eksisjon av bløtdelstumor i cervikal- og torakalkolumna
NAR 22	Vid eksisjon av bløtdelstumor i torakalkolumna
NAR 23	Vid eksisjon av bløtdelstumor i torakal- og lumbalkolumna
NAR 24	Vid eksisjon av bløtdelstumor i lumbalkolumna
NAR 25	Vid eksisjon av bløtdelstumor i cervikal-, torakal- og lumbalkolumna
NAR 26	Vid eksisjon av bløtdelstumor i lumbosakralkolumna
NAR 29	Vid eksisjon av bløtdelstumor i andre deler av kolumna
NAR 30	Kompartmentell eksisjon av bløtdelstumor i cervikalkolumna
NAR 31	Kompartmentell eksisjon av bløtdelstumor i cervikal- og torakalkolumna
NAR 32	Kompartmentell eksisjon av bløtdelstumor i torakalkolumna
NAR 33	Kompartmentell eksisjon av bløtdelstumor i torakal- og lumbalkolumna
NAR 34	Kompartmentell eksisjon av bløtdelstumor i lumbalkolumna
NAR 35	Kompartmentell eksisjon av bløtdelstumor i cervikal-, torakal- og lumbalkolumna
NAR 36	Kompartmentell eksisjon av bløtdelstumor i lumbosakralkolumna
NAR 39	Kompartmentell eksisjon av bløtdelstumor i andre deler av kolumna
NAR 40	Reseksjon av bein- eller brusktumor i cervikalkolumna
NAR 41	Reseksjon av bein- eller brusktumor i cervikal- og torakalkolumna
NAR 42	Reseksjon av bein- eller brusktumor i torakalkolumna
NAR 43	Reseksjon av bein- eller brusktumor i torakal- og lumbalkolumna
NAR 44	Reseksjon av bein- eller brusktumor i lumbalkolumna
NAR 45	Reseksjon av bein- eller brusktumor i cervikal-, torakal- og lumbalkolumna
NAR 46	Reseksjon av bein- eller brusktumor i lumbosakralkolumna
NAR 49	Reseksjon av bein- eller brusktumor i andre deler av kolumna
NAR 50	Marginal eksisjon av bein- eller brusktumor i cervikalkolumna
NAR 51	Marginal eksisjon av bein- eller brusktumor i cervikal- og torakalkolumna
NAR 52	Marginal eksisjon av bein- eller brusktumor i torakalkolumna
NAR 53	Marginal eksisjon av bein- eller brusktumor i torakal- og lumbalkolumna
NAR 54	Marginal eksisjon av bein- eller brusktumor i lumbalkolumna
NAR 55	Marginal eksisjon av bein- eller brusktumor i cervikal-, torakal- og lumbalkolumna
NAR 56	Marginal eksisjon av bein- eller brusktumor i lumbosakralkolumna
NAR 59	Marginal eksisjon av bein- eller brusktumor i andre deler av kolumna
NAR 60	Vid eksisjon av bein- eller brusktumor i cervikalkolumna
NAR 61	Vid eksisjon av bein- eller brusktumor i cervikal- og torakalkolumna
NAR 62	Vid eksisjon av bein- eller brusktumor i torakalkolumna
NAR 63	Vid eksisjon av bein- eller brusktumor i torakal- og lumbalkolumna
NAR 64	Vid eksisjon av bein- eller brusktumor i lumbalkolumna
NAR 65	Vid eksisjon av bein- eller brusktumor i cervikal-, torakal- og lumbalkolumna
NAR 66	Vid eksisjon av bein- eller brusktumor i lumbosakralkolumna
NAR 69	Vid eksisjon av bein- eller brusktumor i andre deler av kolumna
NAR 70	Kompartmentell eksisjon av bein- eller brusktumor i cervikalkolumna
NAR 71	Kompartmentell eksisjon av bein- eller brusktumor i cervikal- og torakalkolumna
NAR 72	Kompartmentell eksisjon av bein- eller brusktumor i torakalkolumna
NAR 73	Kompartmentell eksisjon av bein- eller brusktumor i torakal- og lumbalkolumna
NAR 74	Kompartmentell eksisjon av bein- eller brusktumor i lumbalkolumna
NAR 75	Kompartmentell eksisjon av bein- eller brusktumor i cervikal-, torakal- og lumbalkolumna
NAR 76	Kompartmentell eksisjon av bein- eller brusktumor i lumbosakralkolumna
NAR 79	Kompartmentell eksisjon av bein- eller brusktumor i andre deler av kolumna
NAR 90	Annen operasjon for tumor i cervikalkolumna
NAR 91	Annen operasjon for tumor i cervikal- og torakalkolumna
NAR 92	Annen operasjon for tumor i torakalkolumna
NAR 93	Annen operasjon for tumor i torakal- og lumbalkolumna
NAR 94	Annen operasjon for tumor i lumbalkolumna
NAR 95	Annen operasjon for tumor i cervikal-, torakal- og lumbalkolumna
NAR 96	Annen operasjon for tumor i lumbosakralkolumna
NAR 99	Annen operasjon for tumor i andre deler av kolumna
NAS 10	Incisjon og revisjon ved artritt i cervikalkolumna
NAS 11	Incisjon og revisjon ved artritt i cervikal- og torakalkolumna
NAS 12	Incisjon og revisjon ved artritt i torakalkolumna
NAS 13	Incisjon og revisjon ved artritt i torakal- og lumbalkolumna
NAS 14	Incisjon og revisjon ved artritt i lumbalkolumna
NAS 15	Incisjon og revisjon ved artritt i cervikal-, torakal- og lumbalkolumna
NAS 16	Incisjon og revisjon ved artritt i lumbosakralkolumna
NAS 19	Incisjon og revisjon ved annen artritt i kolumna
NAS 20	Incisjon og revisjon ved infeksjon i cervikalvirvel
NAS 21	Incisjon og revisjon ved infeksjon i cervikal- og torakalvirvel
NAS 22	Incisjon og revisjon ved infeksjon i torakalvirvel
NAS 23	Incisjon og revisjon ved infeksjon i torakal- og lumbalvirvel
NAS 24	Incisjon og revisjon ved infeksjon i lumbalvirvel
NAS 25	Incisjon og revisjon ved infeksjon i cervikal-, torakal- og lumbalvirvel
NAS 26	Incisjon og revisjon ved infeksjon i lumbosakralvirvel
NAS 29	Incisjon og revisjon ved annen infeksjon i virvel
NAS 40	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i cervikalkolumna
NAS 41	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i cervikal- og torakalkolumna
NAS 42	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i torakalkolumna
NAS 43	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i torakal- og lumbalkolumna
NAS 44	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i lumbalkolumna
NAS 45	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i cervikal-, torakal- og lumbalkolumna
NAS 46	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i lumbosakralkolumna
NAS 49	Incisjon og revisjon med innlegging av terapeutisk substans ved artritt i andre deler av kolumna
NAS 50	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i cervikalvirvel
NAS 51	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i cervikal- og torakalvirvel
NAS 52	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i torakalvirvel
NAS 53	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i torakal- og lumbalvirvel
NAS 54	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i lumbalvirvel
NAS 55	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i cervikal-, torakal- og lumbalvirvel
NAS 56	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i lumbosakralvirvel
NAS 59	Incisjon og revisjon med innlegging av terapeutisk substans ved annen infeksjon i virvel
NAS 90	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i cervikalkolumna
NAS 91	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i cervikal- og torakalkolumna
NAS 92	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i torakalkolumna
NAS 93	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i torakal- og lumbalkolumna
NAS 94	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i lumbalkolumna
NAS 95	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i cervikal-, torakal- og lumbalkolumna
NAS 96	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i lumbosakralkolumna
NAS 99	Annen operasjon for infeksjon i sene, ledd, mellomvirvelskive eller bein i andre deler av kolumna
NAT 10	Fremre korreksjon av cervikalkolumna med internt instrument
NAT 11	Fremre korreksjon av cervikal- og torakalkolumna med internt instrument
NAT 12	Fremre korreksjon av torakalkolumna med internt instrument
NAT 13	Fremre korreksjon av torakal- og lumbalkolumna med internt instrument
NAT 14	Fremre korreksjon av lumbalkolumna med internt instrument
NAT 15	Fremre korreksjon av cervikal-, torakal- og lumbalkolumna med internt instrument
NAT 16	Fremre korreksjon av lumbosakralkolumna med internt instrument
NAT 19	Annen fremre spinal korreksjon med internt instrument
NAT 20	Bakre korreksjon av cervikalkolumna med internt instrument
NAT 21	Bakre korreksjon av cervikal- og torakalkolumna med internt instrument
NAT 22	Bakre korreksjon av torakalkolumna med internt instrument
NAT 23	Bakre korreksjon av torakal- og lumbalkolumna med internt instrument
NAT 24	Bakre korreksjon av lumbalkolumna med internt instrument
NAT 25	Bakre korreksjon av cervikal-, torakal- og lumbalkolumna med internt instrument
NAT 26	Bakre korreksjon av lumbosakralkolumna med internt instrument
NAT 29	Annen bakre spinal korreksjon med internt instrument
NAT 90	Annen operasjon på cervikalkolumna
NAT 91	Annen operasjon på cervikal- og torakalkolumna
NAT 92	Annen operasjon på torakalkolumna
NAT 93	Annen operasjon på torakal- og lumbalkolumna
NAT 94	Annen operasjon på lumbalkolumna
NAT 95	Annen operasjon på cervikal-, torakal- og lumbalkolumna
NAT 96	Annen operasjon på lumbosakralkolumna
NAT 99	Annen operasjon på andre deler av kolumna
NAU 39	Fjerning av eksternt fiksasjonsutstyr fra kolumna
NAU 49	Fjerning av osteosyntesemateriale fra kolumna
NAU 89	Fjerning av terapeutisk substans etter infeksjonsbehandling i kolumna
NAU 99	Fjerning av annet implantat fra kolumna
NAW 49	Reoperasjon for sårruptur i kolumna
NAW 59	Reoperasjon for overfladisk infeksjon i kolumna
NAW 69	Reoperasjon for dyp infeksjon i kolumna
NAW 79	Reoperasjon for overfladisk blødning i kolumna
NAW 89	Reoperasjon for dyp blødning i kolumna
NAW 99	Annen reoperasjon på kolumna
NBA 00	Perkutan eksplorasjon av bløtdeler i skulder eller overarm
NBA 02	Åpen eksplorasjon av bløtdeler i skulder eller overarm
NBA 10	Perkutan eksplorasjon av ledd i skulder
NBA 11	Artroskopi i skulder
NBA 12	Artrotomi i skulder
NBA 30	Perkutan biopsi av bein i skulder eller overarm
NBA 32	Åpen biopsi av bein i skulder eller overarm
NBB 01	Implantasjon av proksimal primær delprotese i humeroscapularledd uten sement
NBB 02	Implantasjon av distal primær delprotese i humeroscapularledd uten sement
NBB 11	Implantasjon av proksimal primær delprotese i humeroscapularledd med sement
NBB 12	Implantasjon av distal primær delprotese i humeroscapularledd med sement
NBB 20	Implantasjon av primær totalprotese i humeroscapularledd uten sement
NBB 30	Implantasjon av primær totalprotese i humeroscapularledd med hybrid teknikk
NBB 40	Implantasjon av primær totalprotese i humeroscapularledd med sement
NBB 99	Annen implantasjon av primær protese i skulderledd
NBC 01	Implantasjon av proksimal sekundær delprotese i humeroscapularledd uten sement
NBC 02	Implantasjon av distal sekundær delprotese i humeroscapularledd uten sement
NBC 11	Implantasjon av proksimal sekundær delprotese i humeroscapularledd med sement
NBC 12	Implantasjon av distal sekundær delprotese i humeroscapularledd med sement
NBC 20	Implantasjon av sekundær totalprotese i humeroscapularledd uten sement
NBC 30	Implantasjon av sekundær totalprotese i humeroscapularledd med hybrid teknikk
NBC 40	Implantasjon av sekundær totalprotese i humeroscapularledd med sement
NBC 59	Implantasjon av sekundær interposisjonsprotese i humeroscapularledd
NBC 99	Annen implantasjon av sekundær protese i skulderledd
NBE 01	Endoskopisk incisjon eller sutur av leddkapsel i skulder
NBE 02	Åpen incisjon eller sutur av leddkapsel i skulder
NBE 11	Endoskopisk deling eller eksisjon av ligament i skulder
NBE 12	Åpen deling eller eksisjon av ligament i skulder
NBE 21	Endoskopisk sutur eller reinserering av ligament i skulder
NBE 22	Åpen sutur eller reinserering av ligament i skulder
NBE 31	Endoskopisk transposisjon av ligament i skulder
NBE 32	Åpen transposisjon av ligament i skulder
NBE 41	Endoskopisk rekonstruksjon av ligament i skulder uten protesemateriale
NBE 42	Åpen rekonstruksjon av ligament i skulder uten protesemateriale
NBE 51	Endoskopisk rekonstruksjon av ligament i skulder med protesemateriale
NBE 52	Åpen rekonstruksjon av ligament i skulder med protesemateriale
NBE 91	Annen endoskopisk operasjon på leddkapsel eller ligament i skulder
NBE 92	Annen åpen operasjon på leddkapsel eller ligament i skulder
NBF 01	Endoskopisk total humeroskapulær synovektomi
NBF 02	Åpen total humeroskapulær synovektomi
NBF 11	Endoskopisk partiell humeroskapulær synovektomi
NBF 12	Åpen partiell humeroskapulær synovektomi
NBF 21	Endoskopisk fiksasjon av leddflatefragment i skulder
NBF 22	Åpen fiksasjon av leddflatefragment i skulder
NBF 31	Endoskopisk reseksjon av humeroskapulær leddbrusk
NBF 32	Åpen reseksjon av humeroskapulær leddbrusk
NBF 91	Annen endoskopisk operasjon på synovialhinne eller leddflate i skulder
NBF 92	Annen åpen operasjon på synovialhinne eller leddflate i skulder
NBG 09	Humeroskapulær eksisjonsartroplastikk
NBG 19	Humeroskapulær interposisjonsartroplastikk
NBG 29	Annen humeroskapulær artroplastikk uten protese
NBG 39	Artrodese i skulderledd uten fiksasjon
NBG 49	Artrodese av skulderledd med osteosyntese
NBG 59	Artrodese av skulderledd med ekstern fiksasjon
NBG 99	Annen eksisjon, rekonstruksjon eller artrodese av skulderledd
NBH 00	Lukket reposisjon av humeroskapulær luksasjon
NBH 02	Åpen reposisjon av humeroskapulær luksasjon
NBH 10	Lukket reposisjon av akromioklavikularluksasjon
NBH 12	Åpen reposisjon av akromioklavikularluksasjon
NBH 20	Lukket reposisjon av proteseluksasjon i skulderledd
NBH 22	Åpen reposisjon av proteseluksasjon i skulderledd
NBH 31	Endoskopisk adheranseløsning i skulderledd
NBH 32	Åpen adheranseløsning i skulderledd
NBH 40	Perkutan fjerning av fremmed eller fritt legeme fra humeroscapularledd
NBH 41	Endoskopisk fjerning av fremmed eller fritt legeme fra humeroscapularledd
NBH 42	Åpen fjerning av fremmed eller fritt legeme fra humeroscapularledd
NBH 51	Endoskopisk eksisjon av intraartikulær eksostose eller osteofytt i humeroscapularledd
NBH 52	Åpen eksisjon av intraartikulær eksostose eller osteofytt i humeroscapularledd
NBH 72	Operasjon for habituell skulderluksasjon
NBH 90	Annen lukket operasjon på skulderledd
NBH 91	Annen endoskopisk operasjon på skulderledd
NBH 92	Annen åpen operasjon på skulderledd
NBJ 01	Lukket reposisjon av humerusfraktur
NBJ 02	Lukket reposisjon av claviculafraktur
NBJ 11	Åpen reposisjon av humerusfraktur
NBJ 12	Åpen reposisjon av claviculafraktur
NBJ 13	Åpen reposisjon av scapulafraktur
NBJ 21	Ekstern fiksasjon av humerusfraktur
NBJ 22	Ekstern fiksasjon av claviculafraktur
NBJ 23	Ekstern fiksasjon av scapulafraktur
