AAA00	Eksplorativ kraniotomi
NCK56	Osteotomi i skaftdelen av ulna og radius med aksekorreksjon, rotasjon eller forskyvning
NCK57	Osteotomi i distale radius og ulna med aksekorreksjon, rotasjon eller forskyvning
NCK58	Osteotomi i annen del av ulna eller radius med aksekorreksjon, rotasjon eller forskyvning
NCK60	Osteotomi i proksimale ulna med forkorting eller forlengelse
NCK61	Osteotomi i skaftdelen av ulna med forkorting eller forlengelse
NCK62	Osteotomi i distale ulna med forkorting eller forlengelse
NCK63	Osteotomi i proksimale radius med forkorting eller forlengelse
NCK64	Osteotomi i skaftdelen av radius med forkorting eller forlengelse
NCK65	Osteotomi i distale radius med forkorting eller forlengelse
NCK66	Osteotomi i skaftdelen av ulna og radius med forkorting eller forlengelse
NCK67	Osteotomi i distale radius og ulna med forkorting eller forlengelse
NCK68	Osteotomi i annen del av ulna eller radius med forkorting eller forlengelse
NCK70	Beintransportoperasjon i proksimale ulna
NCK71	Beintransportoperasjon i skaftdelen av ulna
NCK72	Beintransportoperasjon i distale ulna
NCK73	Beintransportoperasjon i proksimale radius
NCK74	Beintransportoperasjon i skaftdelen av radius
NCK75	Beintransportoperasjon i distale radius
NCK76	Beintransportoperasjon i skaftdelen av ulna og radius
NCK77	Beintransportoperasjon i distale radius og ulna
NCK78	Beintransportoperasjon i annen del av ulna eller radius
NCK80	Epifysedistraksjon på proksimale ulna
NCK82	Epifysedistraksjon på distale ulna
NCK83	Epifysedistraksjon på proksimale radius
NCK85	Epifysedistraksjon på distale radius
NCK87	Epifysedistraksjon på distale radius og ulna
NCK90	Annen operasjon på proksimale ulna
NCK91	Annen operasjon på skaftdelen av ulna
NCK92	Annen operasjon på distale ulna
NCK93	Annen operasjon på proksimale radius
NCK94	Annen operasjon på skaftdelen av radius
NCK95	Annen operasjon på distale radius
NCK96	Annen operasjon på skaftdelen av ulna og radius
NCK97	Annen operasjon på distale radius og ulna
NCK98	Annen operasjon på annen del av ulna eller radius
NCL09	Frilegging av muskel i albue eller underarm
NCL19	Sutur eller rekonstruksjon av muskel i albue eller underarm
NCL29	Transposisjon av muskel i albue eller underarm
NCL39	Myotomi eller tenotomi i albue eller underarm
NCL49	Sutur eller reinserering av sene i albue eller underarm
NCL59	Tenolyse eller tenosynovektomi i albue eller underarm
NCL69	Tenodese, forkorting eller forlengelse av sene i albue eller underarm
NCL79	Eksisjon av sene i albue eller underarm
NCL89	Transposisjon av sene i albue eller underarm
NCL99	Annen operasjon på muskel eller sene i albue eller underarm
NCM09	Fasciotomi på underarm
NCM19	Reseksjon eller eksisjon av fascie på underarm
NCM29	Sutur av fascie på underarm
NCM39	Eksisjon av synovialt ganglion i albue eller underarm
NCM49	Spalting av seneskjede på underarm
NCM59	Reseksjon av seneskjede på underarm
NCM79	Eksisjon av bursa i albue eller underarm
NCM99	Annen operasjon på fascie, ganglion, seneskjede eller bursa i albue eller underarm
NCN09	Autotransplantasjon av bein til albue eller underarm
NCN19	Allotransplantasjon av bein til albue eller underarm
NCN29	Xenotransplantasjon av bein til albue eller underarm
NCN39	Transplantasjon av sene til albue eller underarm.
NCN49	Transplantasjon av brusk, periost eller fascie til albue eller underarm
NCN99	Annen transplantasjon til albue eller underarm
NCP29	Replantasjon av underarm
NCQ09	Eksartikulasjon i albue
NCQ19	Amputasjon av underarm
NCQ29	Revisjon av eksartikulasjons- eller amputasjonsstump i albue eller underarm
NCQ99	Annen amputasjon eller tilhørende operasjon på albue eller underarm
NCR09	Reseksjon av bløtdelstumor i albue eller underarm
NCR19	Marginal eksisjon av bløtdelstumor i albue eller underarm
NCR29	Vid eksisjon av bløtdelstumor i albue eller underarm
NCR39	Kompartmentell eksisjon av bløtdelstumor i albue eller underarm
NCR49	Reseksjon av bein- eller brusktumor i albue eller underarm
NCR59	Marginal eksisjon av bein- eller brusktumor i albue eller underarm
NCR69	Vid eksisjon av bein- eller brusktumor i albue eller underarm
NCR79	Kompartmentell eksisjon av bein- eller brusktumor i albue eller underarm
NCR99	Annen operasjon for tumor i albue eller underarm
NCS09	Incisjon og revisjon ved infeksjon i sene på underarm
NCS19	Incisjon og revisjon ved infeksjon i albueledd
NCS29	Incisjon og revisjon ved infeksjon i bein i albue eller underarm
NCS39	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i sene på underarm
NCS49	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i albueledd
NCS59	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i bein i albue eller underarm
NCS99	Annen operasjon for infeksjon i sene, ledd eller bein i albue eller underarm
NCT09	Fjerning av fremmedlegeme fra vev i albue og underarm
NCT19	Mobilisering av albueledd
NCT39	Korreksjon av deformitet av albue eller underarm med muskel, sene eller ligament
NCT49	Korreksjon av deformitet av albue eller underarm med ekstern eller intern fiksasjon
NCT99	Annen operasjon på albue eller underarm
NCU01	Fjerning av proksimal delprotese fra albueledd
NCU02	Fjerning av distal delprotese fra albueledd
NCU04	Fjerning av to distale eller en proksimal og en distal delprotese fra albueledd
NCU10	Fjerning av totalprotese fra albueledd
NCU11	Fjerning av proksimal del av totalprotese fra albueledd
NCU12	Fjerning av distal del av totalprotese fra albueledd
NCU14	Fjerning av to distale eller en proksimal og en distal del av totalprotese fra albueledd
NCU39	Fjerning av eksternt fiksasjonsutstyr fra albue eller underarm
NCU49	Fjerning av osteosyntesemateriale fra albue eller underarm
NCU69	Fjerning av ligamentprotese fra albue eller underarm
NCU89	Fjerning av terapeutisk substans etter infeksjonsbehandling i albue eller underarm
NCU99	Fjerning av annet implantat fra albue eller underarm
NCW49	Reoperasjon for sårruptur i albue eller underarm
NCW59	Reoperasjon for overfladisk infeksjon i albue eller underarm
NCW69	Reoperasjon for dyp infeksjon i albue eller underarm
NCW79	Reoperasjon for overfladisk blødning i albue eller underarm
NCW89	Reoperasjon for dyp blødning i albue eller underarm
NCW99	Annen reoperasjon på albue eller underarm
NDA00	Perkutan eksplorasjon av bløtdeler i håndledd eller hånd
NDA02	Åpen eksplorasjon av bløtdeler i håndledd eller hånd
NDA10	Perkutan eksplorasjon av ledd i håndledd eller hånd
NDA11	Artroskopi i håndledd eller hånd
NDA12	Artrotomi i håndledd eller hånd
NDA20	Perkutan biopsi av bløtdeler eller ledd i håndledd eller hånd
NDA21	Endoskopisk biopsi av bløtdeler eller ledd i håndledd eller hånd
NDA22	Åpen biopsi av bløtdeler eller ledd i håndledd eller hånd
NDA30	Perkutan biopsi av bein i håndledd eller hånd
NDA32	Åpen biopsi av bein i håndledd eller hånd
NDB01	Implantasjon av proksimal primær delprotese i håndledd uten sement
NDB02	Implantasjon av distal primær delprotese i håndledd uten sement
NDB03	Implantasjon av annen primær delprotese i håndledd uten sement
NDB11	Implantasjon av proksimal primær delprotese i håndledd med sement
NDB12	Implantasjon av distal primær delprotese i håndledd med sement
NDB13	Implantasjon av annen primær delprotese i håndledd med sement
NDB20	Implantasjon av primær totalprotese i håndledd uten sement
NDB30	Implantasjon av primær totalprotese i håndledd med hybrid teknikk
NDB40	Implantasjon av primær totalprotese i håndledd med sement
NDB50	Implantasjon av interposisjonsprotese i håndledd
NDB80	Implantasjon av primær totalprotese i metakarpal- eller fingerledd
NDB81	Implantasjon av proksimal del av primær protese i metakarpal- eller fingerledd
NDB82	Implantasjon av distal del av primær protese i metakarpal- eller fingerledd
NDB99	Annen implantasjon av primær protese i håndledd eller hånd
NDC01	Implantasjon av proksimal sekundær delprotese i håndledd uten sement
NDC02	Implantasjon av distal sekundær delprotese i håndledd uten sement
NDC03	Implantasjon av annen sekundær delprotese i håndledd uten sement
NDC11	Implantasjon av proksimal sekundær delprotese i håndledd med sement
NDC12	Implantasjon av distal sekundær delprotese i håndledd med sement
NDC13	Implantasjon av annen sekundær delprotese i håndledd med sement
NDC20	Implantasjon av annen sekundær totalprotese i håndledd uten sement
NDC21	Implantasjon av proksimal del av sekundær totalprotese i håndledd uten sement
NDC22	Implantasjon av distal del av sekundær totalprotese i håndledd uten sement
NDC23	Implantasjon av annen del av sekundær totalprotese i håndledd uten sement
NDC30	Implantasjon av sekundær totalprotese i håndledd med hybrid teknikk
NDC31	Implantasjon av proksimal del av sekundær totalprotese i håndledd med hybrid teknikk
NDC32	Implantasjon av distal del av sekundær totalprotese i håndledd med hybrid teknikk
NDC33	Implantasjon av annen del av sekundær totalprotese i håndledd med hybrid teknikk
NDC40	Implantasjon av sekundær totalprotese i håndledd med sement
NDC41	Implantasjon av proksimal del av sekundær totalprotese i håndledd med sement
NDC42	Implantasjon av distal del av sekundær totalprotese i håndledd med sement
NDC43	Implantasjon av annen del av sekundær totalprotese i håndledd med sement
NDC50	Implantasjon av sekundær interposisjonsprotese i håndledd
NDC51	Implantasjon av proksimal del av sekundær interposisjonsprotese i håndledd
NDC52	Implantasjon av distal del av sekundær interposisjonsprotese i håndledd
NDC53	Implantasjon av annen del av sekundær interposisjonsprotese i håndledd
NDC80	Implantasjon av sekundær protese i metakarpal- eller fingerledd
NDC81	Implantasjon av proksimal del av sekundær protese i metakarpal- eller fingerledd
NDC82	Implantasjon av distal del av sekundær protese i metakarpal- eller fingerledd
NDC99	Annen implantasjon av sekundær protese i håndledd eller hånd
NDE01	Endoskopisk incisjon eller sutur av leddkapsel i håndledd eller hånd
NDE02	Åpen incisjon eller sutur av leddkapsel i håndledd eller hånd
NDE11	Endoskopisk deling eller eksisjon av ligament i håndledd eller hånd
NDE12	Åpen deling eller eksisjon av ligament i håndledd eller hånd
NDE21	Endoskopisk sutur eller reinserering av ligament i håndledd eller hånd
NDE22	Åpen sutur eller reinserering av ligament i håndledd eller hånd
NDE32	Transposisjon av ligament i håndledd eller hånd
NDE41	Endoskopisk rekonstruksjon av ligament eller leddkapsel i håndledd eller hånd uten protesemateriale
NDE42	Åpen rekonstruksjon av ligament eller leddkapsel i håndledd eller hånd uten protesemateriale
NDE51	Endoskopisk rekonstruksjon av ligament eller leddkapsel i håndledd eller hånd med protesemateriale
NDE52	Åpen rekonstruksjon av ligament eller leddkapsel i håndledd eller hånd med protesemateriale
NDE91	Annen endoskopisk operasjon på leddkapsel eller ligament i håndledd eller hånd
NDE92	Annen åpen operasjon på leddkapsel eller ligament i håndledd eller hånd
NDF01	Endoskopisk total synovektomi i håndledd eller hånd
NDF02	Åpen total synovektomi i håndledd eller hånd
NDF11	Endoskopisk partiell synovektomi i håndledd eller hånd
NDF12	Åpen partiell synovektomi i håndledd eller hånd
NDF21	Endoskopisk fiksasjon av leddflatefragment i håndledd eller hånd
NDF22	Åpen fiksasjon av leddflatefragment i håndledd eller hånd
NDF31	Endoskopisk reseksjon av ledd brusk i håndledd eller hånd
NDF32	Åpen reseksjon av ledd brusk i håndledd eller hånd
NDF91	Annen endoskopisk operasjon på synovialhinne eller leddflate i håndledd eller hånd
NDF92	Annen åpen operasjon på synovialhinne eller leddflate i håndledd eller hånd
NDG00	Eksisjonsartroplastikk i radiokarpalledd
NDG01	Eksisjonsartroplastikk i interkarpalledd
NDG02	Eksisjonsartroplastikk i første karpometakarpalledd
NDG03	Eksisjonsartroplastikk i annet karpometakarpalledd
NDG04	Eksisjonsartroplastikk i første metakarpofalangealledd
NDG05	Eksisjonsartroplastikk i annet metakarpofalangealledd
NDG06	Eksisjonsartroplastikk i interfalangealledd
NDG07	Eksisjonsartroplastikk i annet ledd i hånd
NDG10	Interposisjonsartroplastikk i radiokarpalledd
NDG11	Interposisjonsartroplastikk i interkarpalledd
NDG12	Interposisjonsartroplastikk i første karpometakarpalledd
NDG13	Interposisjonsartroplastikk i annet karpometakarpalledd
NDG14	Interposisjonsartroplastikk i første metakarpofalangealledd
NDG15	Interposisjonsartroplastikk i annet metakarpofalangealledd
NDG16	Interposisjonsartroplastikk i interfalangealledd
NDG17	Interposisjonsartroplastikk i annet ledd i hånd
NDG20	Annen artroplastikk i radiokarpalledd uten protese
NDG21	Annen artroplastikk i interkarpalledd uten protese
NDG22	Annen artroplastikk i første karpometakarpalledd uten protese
NDG23	Annen artroplastikk i annet karpometakarpalledd uten protese
NDG24	Annen artroplastikk i første metakarpofalangealledd uten protese
NDG25	Annen artroplastikk i annet metakarpofalangealledd uten protese
NDG26	Annen artroplastikk i interfalangealledd uten protese
NDG27	Annen artroplastikk i annet ledd i hånd uten protese
NDG30	Artrodese i radiokarpalledd uten fiksasjon
NDG31	Artrodese i interkarpalledd uten fiksasjon
NDG32	Artrodese i første karpometakarpalledd uten fiksasjon
NDG33	Artrodese i annet karpometakarpalledd uten fiksasjon
NDG34	Artrodese i første metakarpofalangealledd uten fiksasjon
NDG35	Artrodese i annet metakarpofalangealledd uten fiksasjon
NDG36	Artrodese i interfalangealledd uten fiksasjon
NDG37	Artrodese i annet ledd i hånd uten fiksasjon
NDG40	Artrodese i radiokarpalledd med intern fiksasjon
NDG41	Artrodese i interkarpalledd med intern fiksasjon
NDG42	Artrodese i første karpometakarpalledd med intern fiksasjon
NDG43	Artrodese i annet karpometakarpalledd med intern fiksasjon
NDG44	Artrodese i første metakarpofalangealledd med intern fiksasjon
NDG45	Artrodese i annet metakarpofalangealledd med intern fiksasjon
NDG46	Artrodese i interfalangealledd med intern fiksasjon
NDG47	Artrodese i annet ledd i hånd med intern fiksasjon
NDG50	Artrodese i radiokarpalledd med ekstern fiksasjon
NDG51	Artrodese i interkarpalledd med ekstern fiksasjon
NDG52	Artrodese i første karpometakarpalledd med ekstern fiksasjon
NDG53	Artrodese i annet karpometakarpalledd med ekstern fiksasjon
NDG54	Artrodese i første metakarpofalangealledd med ekstern fiksasjon
NDG55	Artrodese i annet metakarpofalangealledd med ekstern fiksasjon
NDG56	Artrodese i interfalangealledd med ekstern fiksasjon
NDG57	Artrodese i annet ledd i hånd med ekstern fiksasjon
NDG90	Annen eksisjon, rekonstruksjon eller artrodese i radiokarpalledd
NDG91	Annen eksisjon, rekonstruksjon eller artrodese i interkarpalledd
NDG92	Annen eksisjon, rekonstruksjon eller artrodese i første karpometakarpalledd
NDG93	Annen eksisjon, rekonstruksjon eller artrodese i annet karpometakarpalledd
NDG94	Annen eksisjon, rekonstruksjon eller artrodese i første metakarpofalangealledd
NDG95	Annen eksisjon, rekonstruksjon eller artrodese i annet metakarpofalangealledd
NDG96	Annen eksisjon, rekonstruksjon eller artrodese i interfalangealledd
NDG97	Annen eksisjon, rekonstruksjon eller artrodese i annet ledd i hånd
NDH00	Lukket reposisjon av håndleddsluksasjon
NDH02	Åpen reposisjon av håndleddsluksasjon
NDH10	Lukket reposisjon av luksasjon av annet ledd i hånd
NDH12	Åpen reposisjon av luksasjon av annet ledd i hånd
NDH20	Lukket reposisjon av proteseluksasjon i håndledd eller hånd
NDH22	Åpen reposisjon av proteseluksasjon i håndledd eller hånd
NDH31	Endoskopisk adheranseløsning i håndledd eller hånd
NDH32	Åpen adheranseløsning i håndledd eller hånd
NDH41	Endoskopisk fjerning av fremmed eller fritt legeme fra håndledd eller hånd
NDH42	Åpen fjerning av fremmed eller fritt legeme fra håndledd eller hånd
NDH51	Endoskopisk eksisjon av intraartikulær eksostose eller osteofytt i håndledd eller hånd
NDH52	Åpen eksisjon av intraartikulær eksostose eller osteofytt i håndledd eller hånd
NDH72	Åpen operasjon for habituell luksasjon av håndledd eller finger
NDH90	Annen perkutan operasjon på håndledd eller hånd
NDH91	Annen endoskopisk operasjon på håndledd eller hånd
NDH92	Annen åpen operasjon på håndledd eller hånd
NDJ00	Lukket reposisjon av scaphoidfraktur
NDJ01	Lukket reposisjon av annen håndrotsfraktur
NDJ02	Lukket reposisjon av metakarpalfraktur
NDJ03	Lukket reposisjon av fingerfraktur
NDJ10	Åpen reposisjon av scaphoidfraktur
NDJ11	Åpen reposisjon av annen håndrotsfraktur
NDJ12	Åpen reposisjon av metakarpalfraktur
NDJ13	Åpen reposisjon av fingerfraktur
NDJ20	Ekstern fiksasjon av scaphoidfraktur
NDJ21	Ekstern fiksasjon av annen håndrotsfraktur
NDJ22	Ekstern fiksasjon av metakarpalfraktur
NDJ23	Ekstern fiksasjon av fingerfraktur
NDJ30	Osteosyntese av scaphoidfraktur med bioimplantat
NDJ31	Osteosyntese av annen håndrotsfraktur med bioimplantat
NDJ32	Osteosyntese av metakarpalfraktur med bioimplantat
NDJ33	Osteosyntese av fingerfraktur med bioimplantat
NDJ40	Osteosyntese av scaphoidfraktur med metalltråd, cerclage eller pinne
NDJ41	Osteosyntese av annen håndrotsfraktur med metalltråd, cerclage eller pinne
NDJ42	Osteosyntese av metakarpalfraktur med metalltråd, cerclage eller pinne
NDJ43	Osteosyntese av fingerfraktur med metalltråd, cerclage eller pinne
NDJ60	Osteosyntese av scaphoidfraktur med plate og skruer
NDJ61	Osteosyntese av annen håndrotsfraktur med plate og skruer
NDJ62	Osteosyntese av metakarpalfraktur med plate og skruer
NDJ63	Osteosyntese av fingerfraktur med plate og skruer
NDJ70	Osteosyntese av scaphoidfraktur med skruer
NDJ71	Osteosyntese av annen håndrotsfraktur med skruer
NDJ72	Osteosyntese av metakarpalfraktur med skruer
NDJ73	Osteosyntese av fingerfraktur med skruer
NDJ80	Osteosyntese av scaphoidfraktur med annet eller kombinert materiale
NDJ81	Osteosyntese av annen håndrotsfraktur med annet eller kombinert materiale
NDJ82	Osteosyntese av metakarpalfraktur med annet eller kombinert materiale
NDJ83	Osteosyntese av fingerfraktur med annet eller kombinert materiale
NDJ90	Annen osteosyntese av scaphoidfraktur
NDJ91	Annen osteosyntese av annen håndrotsfraktur
NDJ92	Annen osteosyntese av metakarpalfraktur
NDJ93	Annen osteosyntese av fingerfraktur
NDK00	Eksisjon av beinfragment i os scaphoideum
NDK01	Eksisjon av beinfragment i annet håndrotsbein
NDK02	Eksisjon av beinfragment i metakarp
NDK03	Eksisjon av beinfragment i finger
NDK10	Reseksjon eller eksisjon av os scaphoideum
NDK11	Reseksjon eller eksisjon av annet håndrotsbein
NDK12	Reseksjon eller eksisjon av metakarp
NDK13	Reseksjon eller eksisjon av fingerfalang
NDK20	Fenestrasjon eller oppboring av os scaphoideum
NDK21	Fenestrasjon eller oppboring av annet håndrotsbein
NDK22	Fenestrasjon eller oppboring av metakarp
NDK23	Fenestrasjon eller oppboring av fingerfalang
NDK30	Utskraping av cyste i os scaphoideum
NDK31	Utskraping av cyste i annet håndrotsbein
NDK32	Utskraping av cyste i metakarp
NDK33	Utskraping av cyste i fingerfalang
NDK42	Epifysiodese i metakarp
NDK43	Epifysiodese i fingerfalang
NDK50	Osteotomi i os scaphoideum med aksekorreksjon, rotasjon eller forskyvning
NDK51	Osteotomi i annet håndrotsbein med aksekorreksjon, rotasjon eller forskyvning
NDK52	Osteotomi i metakarp med aksekorreksjon, rotasjon eller forskyvning
NDK53	Osteotomi i fingerfalang med aksekorreksjon, rotasjon eller forskyvning
NDK60	Osteotomi i os scaphoideum med forkorting eller forlengelse
NDK61	Osteotomi i annet håndrotsbein med forkorting eller forlengelse
NDK62	Osteotomi i metakarp med forkorting eller forlengelse
NDK63	Osteotomi i fingerfalang med forkorting eller forlengelse
NDK70	Beintransportoperasjon i os scaphoideum
NDK71	Beintransportoperasjon i annet håndrotsbein
NDK72	Beintransportoperasjon i metakarp
NDK73	Beintransportoperasjon i fingerfalang
NDK82	Epifysedistraksjon på metakarp
NDK83	Epifysedistraksjon på fingerfalang
NDK90	Annen operasjon på os scaphoideum
NDK91	Annen operasjon på annet håndrotsbein
NDK92	Annen operasjon på metakarp
NDK93	Annen operasjon på fingerfalang
NDL09	Frilegging av muskel i håndledd eller hånd
NDL19	Sutur eller rekonstruksjon av muskel i håndledd eller hånd
NDL29	Transposisjon av muskel i håndledd eller hånd
NDL30	Fleksormyotomi eller -tenotomi i håndledd eller hånd
NDL31	Ekstensormyotomi eller -tenotomi i håndledd eller hånd
NDL32	Annen myotomi eller tenotomi i håndledd eller hånd
NDL40	Sutur eller reinserering av fleksorsene i håndledd eller hånd
NDL41	Sutur eller reinserering av ekstensorsene i håndledd eller hånd
NDL42	Sutur eller reinserering av annen sene i håndledd eller hånd
NDL50	Tenolyse eller tenosynovektomi av fleksorsene i håndledd eller hånd
NDL51	Tenolyse eller tenosynovektomi av ekstensorsene i håndledd eller hånd
NDL52	Tenolyse eller tenosynovektomi av annen sene i håndledd eller hånd
NDL60	Tenodese, forkorting eller forlengelse av fleksorsene i håndledd eller hånd
NDL61	Tenodese, forkorting eller forlengelse av ekstensorsene i håndledd eller hånd
NDL62	Tenodese, forkorting eller forlengelse av annen sene i håndledd eller hånd
NDL70	Eksisjon av fleksorsene i håndledd eller hånd
NDL71	Eksisjon av ekstensorsene i håndledd eller hånd
NDL72	Eksisjon av annen sene i håndledd eller hånd
NDL80	Transposisjon av fleksorsene i håndledd eller hånd
NDL81	Transposisjon av ekstensorsene i håndledd eller hånd
NDL82	Transposisjon av annen sene i håndledd eller hånd
NDL99	Annen operasjon på muskel eller sene i håndledd eller hånd
NDM09	Fasciotomi i håndledd eller hånd
NDM19	Reseksjon eller eksisjon av fascie i håndledd eller hånd
NDM29	Sutur av fascie i håndledd eller hånd
NDM39	Eksisjon av synovialt ganglion i håndledd eller hånd
NDM49	Spalting av seneskjede i håndledd eller hånd
NDM59	Reseksjon av seneskjede i håndledd eller hånd
NDM69	Rekonstruksjon av senepulley i håndledd eller hånd
NDM79	Eksisjon av bursa i håndledd eller hånd
NDM99	Annen operasjon på fascie, ganglion, seneskjede eller bursa i håndledd eller hånd
NDN09	Autotransplantasjon av bein til håndledd eller hånd
NDN19	Allotransplantasjon av bein til håndledd eller hånd
NDN29	Xenotransplantasjon av bein til håndledd eller hånd
NDN39	Transplantasjon av sene til håndledd eller hånd
NDN49	Transplantasjon av brusk, periost eller fascie til håndledd eller hånd
NDN99	Annen transplantasjon til håndledd eller hånd
NDP09	Replantasjon av finger
NDP19	Autotransplantasjon eller transposisjon av finger eller tå
NDP29	Replantasjon av hånd
NDQ00	Eksartikulasjon i radiokarpalledd
NDQ01	Eksartikulasjon i håndrot
NDQ02	Eksartikulasjon i karpometakarpalledd
NDQ03	Eksartikulasjon i tommelens grunnledd
NDQ04	Eksartikulasjon i tommelens ytterledd
NDQ05	Eksartikulasjon i annet metakarpofalangealledd
NDQ06	Eksartikulasjon i interfalangealledd på annen finger
NDQ11	Amputasjon i håndrot eller mellomhånd
NDQ14	Partiell amputasjon av tommel
NDQ16	Partiell amputasjon av annen finger
NDQ20	Revisjon av eksartikulasjonsstump i radiokarpalledd
NDQ21	Revisjon av amputasjons- eller eksartikulasjonsstump i håndrot eller mellomhånd
NDQ22	Revisjon av eksartikulasjonsstump i karpometakarpalledd
NDQ23	Revisjon av stump etter total amputasjon av tommel
NDQ24	Revisjon av stump etter partiell amputasjon av tommel
NDQ25	Revisjon av stump etter total amputasjon av annen finger
NDQ26	Revisjon av stump etter partiell amputasjon av annen finger
NDQ90	Annen amputasjon eller tilhørende operasjon i radiokarpalledd
NDQ91	Annen amputasjon eller tilhørende operasjon i håndrot eller mellomhånd
NDQ92	Annen amputasjon eller tilhørende operasjon i karpometakarpalledd
NDQ93	Annen total amputasjon eller tilhørende operasjon i tommel
NDQ94	Annen partiell amputasjon eller tilhørende operasjon i tommel
NDQ95	Annen total amputasjon eller tilhørende operasjon i annen finger
NDQ96	Annen partiell amputasjon eller tilhørende operasjon i annen finger
NDR09	Reseksjon av bløtdelstumor i håndledd eller hånd
NDR19	Marginal eksisjon av bløtdelstumor i håndledd eller hånd
NDR29	Vid eksisjon av bløtdelstumor i håndledd eller hånd
NDR39	Kompartmentell eksisjon av bløtdelstumor i håndledd eller hånd
NDR49	Reseksjon av bein- eller brusktumor i håndledd eller hånd
NDR59	Marginal eksisjon av bein- eller brusktumor i håndledd eller hånd
NDR69	Vid eksisjon av bein- eller brusktumor i håndledd eller hånd
NDR79	Kompartmentell eksisjon av bein- eller brusktumor i håndledd eller hånd
NDR99	Annen operasjon for tumor i håndledd eller hånd
NDS09	Incisjon og revisjon ved infeksjon i sene i håndledd eller hånd
NDS19	Incisjon og revisjon ved leddinfeksjon i hånd
NDS29	Incisjon og revisjon ved infeksjon i bein i håndledd eller hånd
NDS39	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i sene i håndledd eller hånd
NDS49	Incisjon og revisjon med innlegging av terapeutisk substans ved leddinfeksjon i hånd
NDS59	Incisjon og revisjon med innlegging av terapeutisk substans ved infeksjon i bein i håndledd eller hånd
NDS99	Annen operasjon for infeksjon i sene, ledd eller bein i håndledd eller hånd
NDT09	Fjerning av fremmedlegeme fra vev i håndledd eller hånd
NDT19	Mobilisering av ledd i hånd
NDT39	Korreksjon av deformitet i håndledd eller hånd med muskel, sene eller ligament
NDT49	Korreksjon av deformitet i håndledd eller hånd med ekstern eller intern fiksasjon
NDT69	Pollicisasjon
NDT79	Falangisering av metakarp
NDT99	Annen operasjon på håndledd eller hånd
NDU01	Fjerning av proksimal delprotese fra håndledd
NDU02	Fjerning av distal delprotese fra håndledd
NDU10	Fjerning av totalprotese fra håndledd
NDU11	Fjerning av proksimal del av totalprotese fra håndledd
NDU12	Fjerning av totalprotese fra håndledd
NDU20	Fjerning av annen total leddprotese i hånd
NDU21	Fjerning av proksimal del av protese fra annet ledd i hånd
NDU22	Fjerning av distal del av protese fra annet ledd i hånd
NDU23	Fjerning av annen enkelt del av protese fra annet ledd i hånd
NDU39	Fjerning av eksternt fiksasjonsutstyr fra håndledd eller hånd
NDU49	Fjerning av osteosyntesemateriale fra håndledd eller hånd
NDU69	Fjerning av ligamentprotese fra håndledd eller hånd
NDU89	Fjerning av terapeutisk substans etter infeksjonsbehandling i håndledd eller hånd
NDU99	Fjerning av annet implantat fra håndledd eller hånd
NDW49	Reoperasjon for sårruptur i håndledd eller hånd
NDW59	Reoperasjon for overfladisk infeksjon i håndledd eller hånd
NDW69	Reoperasjon for dyp infeksjon i håndledd eller hånd
NDW79	Reoperasjon for overfladisk blødning i håndledd eller hånd
NDW89	Reoperasjon for dyp blødning i håndledd eller hånd
NDW99	Annen reoperasjon på håndledd eller hånd
NEA00	Perkutan eksplorasjon av bløtdeler i bekkenet
NEA02	Åpen eksplorasjon av bløtdeler i bekkenet
NEA10	Perkutan eksplorasjon av ledd i bekkenet
NEA12	Artrotomi i ileosakralledd
NEA20	Perkutan biopsi av bløtdeler eller ledd i bekkenet
NEA21	Endoskopisk biopsi av bløtdeler eller ledd i bekkenet
NEA22	Åpen biopsi av bløtdeler eller ledd i bekkenet
NEA30	Perkutan biopsi av bein i bekkenet
NEA31	Endoskopisk biopsi av bein i bekkenet
NEA32	Åpen biopsi av bein i bekkenet
NEE99	Operasjon på leddkapsel eller ligament i bekkenet
NEF99	Operasjon på synovialhinne eller leddflate i ileosakralledd
NEG09	Eksisjonsartroplastikk i ileosakralledd
NEG19	Interposisjonsartroplastikk i ileosakralledd
NEG29	Annen artroplastikk uten protese i ileosakralledd
NEG39	Artrodese i ileosakralledd uten fiksasjon
NEG49	Artrodese i ileosakralledd med intern fiksasjon
NEG59	Artrodese i ileosakralledd med ekstern fiksasjon
NEG99	Annen eksisjon, rekonstruksjon eller artrodese i ileosakralledd
NEH09	Reposisjon av ileosakralluksasjon
NEH99	Annen operasjon på ileosakralledd
NEJ09	Lukket reposisjon av bekkenfraktur
NEJ19	Åpen reposisjon av bekkenfraktur
NEJ29	Ekstern fiksasjon av bekkenfraktur
NEJ39	Osteosyntese av bekkenfraktur med bioimplantat
NEJ49	Osteosyntese av bekkenfraktur med metalltråd, cerclage eller pinne
NEJ69	Osteosyntese av bekkenfraktur med plate og skruer
NEJ79	Osteosyntese av bekkenfraktur med skruer
NEJ89	Osteosyntese av bekkenfraktur med annet eller kombinert materiale
NEJ99	Annen operativ bruddbehandling i bekkenet
NEK09	Eksisjon av beinfragment i bekkenet
